Datetime,Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
2024-02-02 10:59:39.104550,292.9598294428432,7.52713941e-07,inf,0.0,1.4475268096153846e-05,inf,0.0
2024-02-02 10:59:40.738213,292.9599285761098,5.44156102e-07,0.026935727049,2.0202020202020203e-05,1.0464540423076923e-05,0.04610153283386539,0.00022698899103393486
2024-02-02 10:59:42.358854,292.96025138399943,4.06294051e-07,0.01005577776225,4.0404040404040405e-05,7.813347134615384e-06,0.017210850400774035,0.00045397798206786973
2024-02-02 10:59:43.979557,292.95995356768935,1.34704741e-07,0.0022226282264999997,6.060606060606061e-05,2.590475788461539e-06,0.0038041136953557695,0.0006809669731018046
2024-02-02 10:59:45.619997,292.95977945968275,-4.81364066e-08,-0.000595688031675,8.080808080808081e-05,-9.25700126923077e-07,-0.001019542977289904,0.0009079559641357395
2024-02-02 10:59:47.263299,292.95930795183807,-3.5643456e-07,-0.0035287021439999997,0.00010101010101010101,-6.85451076923077e-06,-0.00603950943876923,0.0011349449551696744
2024-02-02 10:59:48.891740,292.95948164333834,-5.30702638e-07,-0.0043782967635,0.00012121212121212122,-1.0205819961538463e-05,-0.007493623306759616,0.0013619339462036092
2024-02-02 10:59:50.510550,292.9595811931398,-6.97104519e-07,-0.004929524812928572,0.0001414141414141414,-1.3405856134615387e-05,-0.00843707131443544,0.001588922937237544
2024-02-02 10:59:52.121920,292.9592583851976,-9.27444904e-07,-0.0057385653434999994,0.00016161616161616162,-1.783547892307692e-05,-0.009821775299451921,0.001815911928271479
2024-02-02 10:59:53.757077,292.9596307597764,-1.07781167e-06,-0.005927964185,0.00018181818181818183,-2.0727147500000003e-05,-0.010145938701250001,0.0020429009193054137
2024-02-02 10:59:55.391515,292.959382510061,-1.22061471e-06,-0.0060420428145,0.00020202020202020202,-2.3473359807692308e-05,-0.010341188663278844,0.002269889910339349
2024-02-02 10:59:57.023969,292.9596307597764,-1.44006326e-06,-0.006480284669999999,0.00022222222222222223,-2.769352423076923e-05,-0.011091256454423076,0.0024968789013732834
2024-02-02 10:59:58.648420,292.95980445126304,-1.72960348e-06,-0.007134614355,0.00024242424242424245,-3.326160538461539e-05,-0.012211166876826923,0.0027238678924072185
2024-02-02 11:00:00.269186,292.96010226758386,-1.6784727e-06,-0.006391107588461537,0.00026262626262626266,-3.227832115384616e-05,-0.010938626449482248,0.0029508568834411535
2024-02-02 11:00:01.887087,292.9608720081286,-2.29980757e-06,-0.008131462479642857,0.0002828282828282828,-4.422706865384616e-05,-0.01391731078246566,0.003177845874475088
2024-02-02 11:00:03.503080,292.9611202577541,-2.42728131e-06,-0.008010028322999999,0.00030303030303030303,-4.667848673076923e-05,-0.013709471552826924,0.0034048348655090228
2024-02-02 11:00:05.116207,292.961194815944,-2.56836997e-06,-0.007945894594687499,0.00032323232323232324,-4.9391730192307696e-05,-0.013599704210138222,0.003631823856542958
2024-02-02 11:00:06.754422,292.9610952661817,-2.74657172e-06,-0.007997370596470588,0.00034343434343434346,-5.281868692307693e-05,-0.013687807367036198,0.003858812847576893
2024-02-02 11:00:08.369846,292.96151762373404,-2.98992159e-06,-0.0082222843725,0.00036363636363636367,-5.749849211538462e-05,-0.014072755945240385,0.0040858018386108275
2024-02-02 11:00:09.979366,292.96146764059404,-3.2066475e-06,-0.008354160592105263,0.00038383838383838383,-6.166629807692308e-05,-0.014298467167257085,0.004312790829644762
2024-02-02 11:00:11.588735,292.9612693741326,-3.49366519e-06,-0.00864682134525,0.00040404040404040404,-6.718586903846154e-05,-0.014799367302447115,0.004539779820678698
2024-02-02 11:00:13.210155,292.96136850736457,-3.74921866e-06,-0.008837443984285714,0.00042424242424242425,-7.210035884615385e-05,-0.015125625280796702,0.004766768811712632
2024-02-02 11:00:14.843745,292.96136850736457,-3.95717065e-06,-0.0089036339625,0.00044444444444444447,-7.609943557692309e-05,-0.015238911974278848,0.004993757802746567
2024-02-02 11:00:16.487005,292.96084701655485,-4.19023395e-06,-0.00901811219673913,0.0004646464646464647,-8.058142211538462e-05,-0.015434845875188126,0.005220746793780502
2024-02-02 11:00:18.113328,292.9611202577541,-4.43610593e-06,-0.009149468480624999,0.0004848484848484849,-8.530972942307693e-05,-0.015659667207223556,0.005447735784814437
2024-02-02 11:00:19.715508,292.9607728748848,-4.66816101e-06,-0.009242958799800001,0.000505050505050505,-8.977232711538462e-05,-0.015819679484273076,0.005674724775848372
2024-02-02 11:00:21.327813,292.9608720081286,-4.90778028e-06,-0.00934365861,0.0005252525252525253,-9.438039000000001e-05,-0.0159920310825,0.005901713766882307
2024-02-02 11:00:22.936449,292.96057419186354,-5.08820035e-06,-0.009328367308333332,0.0005454545454545455,-9.785000673076923e-05,-0.01596585943157051,0.006128702757916242
2024-02-02 11:00:24.585904,292.9602759590506,-5.2518786e-06,-0.009284571096428572,0.0005656565656565656,-0.00010099766538461539,-0.015890900530425824,0.006355691748950176
2024-02-02 11:00:26.216630,292.95980445126304,-5.45226587e-06,-0.009306453812586208,0.0005858585858585859,-0.00010485126673076924,-0.015928353640772545,0.006582680739984112
2024-02-02 11:00:27.859739,292.95960576819493,-5.70842395e-06,-0.0094188995175,0.0006060606060606061,-0.00010977738365384616,-0.016120808789567308,0.0068096697310180455
2024-02-02 11:00:29.468568,292.9597053179933,-5.9542957e-06,-0.009507665714516129,0.0006262626262626263,-0.00011450568653846154,-0.01627273554984491,0.007036658722051982
2024-02-02 11:00:31.078557,292.95960576819493,-6.15266739e-06,-0.00951740736890625,0.0006464646464646465,-0.00011832052673076924,-0.01628940876601262,0.007263647713085916
2024-02-02 11:00:32.700822,292.95913426033053,-6.29002461e-06,-0.009435036915,0.0006666666666666666,-0.00012096201173076924,-0.016148428566057693,0.00749063670411985
2024-02-02 11:00:34.321295,292.9592583851976,-6.4298033e-06,-0.00936103715735294,0.0006868686868686869,-0.00012365006346153848,-0.01602177513470023,0.007717625695153786
2024-02-02 11:00:35.940787,292.95960576819493,-6.65016092e-06,-0.009405227586857143,0.0007070707070707071,-0.00012788771,-0.016097408754428572,0.00794461468618772
2024-02-02 11:00:37.575523,292.9604000838832,-6.88635089e-06,-0.00946873247375,0.0007272727272727273,-0.00013242982480769232,-0.016206099810841347,0.008171603677221655
2024-02-02 11:00:39.199779,292.9612693741326,-7.21179293e-06,-0.009648209460405404,0.0007474747474747475,-0.00013868832557692307,-0.016513281576463097,0.00839859266825559
2024-02-02 11:00:40.835495,292.96188999810806,-7.40633242e-06,-0.009647722494473685,0.0007676767676767677,-0.00014242946961538463,-0.0165124481155415,0.008625581659289524
2024-02-02 11:00:42.467314,292.96268431335454,-7.61196495e-06,-0.009661340128846153,0.0007878787878787879,-0.00014638394134615387,-0.01653575522052515,0.00885257065032346
2024-02-02 11:00:44.129128,292.9634044868249,-7.87175363e-06,-0.009741295117125001,0.0008080808080808081,-0.0001513798775,-0.01667260125815625,0.009079559641357395
2024-02-02 11:00:45.737739,292.9634044868249,-8.07345096e-06,-0.009747215183414632,0.0008282828282828283,-0.00015525867230769232,-0.016682733679305815,0.00930654863239133
2024-02-02 11:00:47.355495,292.96352861156294,-8.31296892e-06,-0.009797427655714286,0.0008484848484848485,-0.00015986478692307693,-0.016768674256895603,0.009533537623425264
2024-02-02 11:00:48.985953,292.96390098575466,-8.57618611e-06,-0.009872586335930234,0.0008686868686868687,-0.00016492665596153848,-0.01689731122880367,0.009760526614459199
2024-02-02 11:00:50.616376,292.96395055233916,-8.76638864e-06,-0.00986218722,0.0008888888888888889,-0.00016858439692307695,-0.016879512741923078,0.009987515605493134
2024-02-02 11:00:52.247235,292.9642483683594,-8.97625678e-06,-0.009873882458,0.0009090909090909091,-0.0001726203226923077,-0.016899529591576923,0.010214504596527068
2024-02-02 11:00:53.862243,292.96439748462444,-9.1768465e-06,-0.009875084820652174,0.0009292929292929294,-0.00017647781730769233,-0.016901587481500835,0.010441493587561005
2024-02-02 11:00:55.471119,292.96444705120285,-9.38348745e-06,-0.00988260912287234,0.0009494949494949495,-0.00018045168173076923,-0.01691446561414689,0.01066848257859494
