Datetime,Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
2024-02-02 15:09:01.189400,137.17929196823923,-0.000167394627,-0.0836973135,0.002,-0.0032191274423076927,-0.14325117118269232,0.022471910112359553
2024-02-02 15:09:02.818750,137.6870647585361,-0.000137092392,-0.06854619599999999,0.002,-0.0026363921538461537,-0.11731945084615382,0.022471910112359553
2024-02-02 15:09:04.426859,138.17508446926945,-0.000113258809,-0.0566294045,0.002,-0.0021780540192307693,-0.09692340385576922,0.022471910112359553
2024-02-02 15:09:06.039268,138.6528440019317,-0.00013268405,-0.066342025,0.002,-0.0025516163461538465,-0.11354692740384616,0.022471910112359553
2024-02-02 15:09:07.678881,139.15326198129563,-0.000148400261,-0.07420013049999999,0.002,-0.002853851173076923,-0.12699637720192306,0.022471910112359553
2024-02-02 15:09:09.336066,139.66082602781947,-0.000133324117,-0.0666620585,0.002,-0.002563925326923077,-0.11409467704807691,0.022471910112359553
2024-02-02 15:09:10.972548,140.15957189375808,-0.000152753973,-0.07637698650000001,0.002,-0.0029375764038461543,-0.13072214997115386,0.022471910112359553
2024-02-02 15:09:12.580724,140.64698411863836,-0.000137440478,-0.068720239,0.002,-0.0026430861153846157,-0.11761733213461538,0.022471910112359553
2024-02-02 15:09:14.189914,141.11306589536622,-0.000166216438,-0.083108219,0.002,-0.0031964699615384617,-0.14224291328846153,0.022471910112359553
2024-02-02 15:09:15.805084,141.56934392703016,-0.000159850243,-0.07992512149999999,0.002,-0.0030740431346153846,-0.1367949194903846,0.022471910112359553
2024-02-02 15:09:17.423062,142.0233721376436,-9.62091673e-05,-0.04810458365,0.002,-0.0018501762942307693,-0.08233284509326923,0.022471910112359553
2024-02-02 15:09:19.048678,142.45011865173174,-7.72213131e-05,-0.03861065655,0.002,-0.001485025251923077,-0.06608362371057692,0.022471910112359553
2024-02-02 15:09:20.662025,142.86155768847993,-8.87371995e-05,-0.04436859975,0.002,-0.0017064846057692309,-0.07593856495673076,0.022471910112359553
2024-02-02 15:09:22.283540,143.27569344470209,-9.98612112e-05,-0.049930605600000004,0.002,-0.0019204079076923079,-0.0854581518923077,0.022471910112359553
2024-02-02 15:09:23.899027,143.70161817732685,-0.000131814601,-0.0659073005,0.002,-0.002534896173076923,-0.11280287970192306,0.022471910112359553
