Datetime,Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
2024-01-31 12:19:13.002166,150.02115397084276,-3.92148101e-06,-0.0026143206733333334,0.0015,-7.541309634615385e-05,-0.004474510383205128,0.016853932584269662
2024-01-31 12:19:14.630045,150.0067074066821,-3.93217082e-06,-0.002621447213333333,0.0015,-7.561866961538462e-05,-0.004486707730512821,0.016853932584269662
2024-01-31 12:19:16.248034,149.9916944721696,-3.95556712e-06,-0.0026370447466666667,0.0015,-7.606859846153847e-05,-0.004513403508717949,0.016853932584269662
2024-01-31 12:19:17.867889,149.97684319487854,-3.97301276e-06,-0.002648675173333333,0.0015,-7.640409153846154e-05,-0.004533309431282052,0.016853932584269662
2024-01-31 12:19:19.499392,149.9619645566346,-3.99005594e-06,-0.0026600372933333334,0.0015,-7.6731845e-05,-0.004552756136666667,0.016853932584269662
2024-01-31 12:19:21.116394,149.9471937702146,-4.02262947e-06,-0.00268175298,0.0015,-7.735825903846154e-05,-0.004589923369615384,0.016853932584269662
2024-01-31 12:19:22.731366,149.93250325456526,-4.03291541e-06,-0.002688610273333333,0.0015,-7.755606557692307e-05,-0.004601659890897436,0.016853932584269662
2024-01-31 12:19:24.344732,149.9175701175112,-4.04622723e-06,-0.00269748482,0.0015,-7.781206211538462e-05,-0.004616849018846154,0.016853932584269662
2024-01-31 12:19:25.982463,149.90220576271605,-4.06750684e-06,-0.0027116712266666665,0.0015,-7.822128538461539e-05,-0.00464112959948718,0.016853932584269662
2024-01-31 12:19:27.617661,149.8865440353629,-4.07960912e-06,-0.0027197394133333334,0.0015,-7.845402153846154e-05,-0.004654938611282052,0.016853932584269662
2024-01-31 12:19:29.235791,149.8719340026799,-4.09816501e-06,-0.0027321100066666666,0.0015,-7.881086557692308e-05,-0.0046761113575641035,0.016853932584269662
2024-01-31 12:19:30.841208,149.8571613860724,-4.10855252e-06,-0.002739035013333333,0.0015,-7.901062538461538e-05,-0.004687963772820513,0.016853932584269662
2024-01-31 12:19:32.452542,149.8415531994554,-4.13547873e-06,-0.00275698582,0.0015,-7.952843711538462e-05,-0.004718687268846155,0.016853932584269662
2024-01-31 12:19:34.071441,149.82589093885682,-4.13245415e-06,-0.002754969433333333,0.0015,-7.947027211538461e-05,-0.004715236145512821,0.016853932584269662
2024-01-31 12:19:35.699418,149.81028224545238,-4.13507553e-06,-0.00275671702,0.0015,-7.952068326923078e-05,-0.004718227207307693,0.016853932584269662
2024-01-31 12:19:37.317833,149.79518529410544,-4.14758058e-06,-0.00276505372,0.0015,-7.9761165e-05,-0.00473249579,0.016853932584269662
2024-01-31 12:19:38.925219,149.78014238179458,-4.14959785e-06,-0.0027663985666666665,0.0015,-7.979995865384615e-05,-0.004734797546794872,0.016853932584269662
2024-01-31 12:19:40.532568,149.76493730839192,-4.16714504e-06,-0.0027780966933333333,0.0015,-8.013740461538462e-05,-0.0047548193405128215,0.016853932584269662
2024-01-31 12:19:42.132578,149.74954337958454,-4.18328059e-06,-0.002788853726666667,0.0015,-8.044770365384617e-05,-0.004773230416794873,0.016853932584269662
2024-01-31 12:19:43.744618,149.73390630764234,-4.17924608e-06,-0.0027861640533333332,0.0015,-8.037011692307692e-05,-0.004768626937435898,0.016853932584269662
2024-01-31 12:19:45.391954,149.718161326877,-4.19003691e-06,-0.00279335794,0.0015,-8.057763288461539e-05,-0.004780939551153846,0.016853932584269662
2024-01-31 12:19:47.026451,149.70263185218212,-4.18761658e-06,-0.0027917443866666667,0.0015,-8.053108807692308e-05,-0.004778177892564103,0.016853932584269662
2024-01-31 12:19:48.656785,149.6873174415711,-4.18247324e-06,-0.002788315493333333,0.0015,-8.043217769230769e-05,-0.0047723092097435894,0.016853932584269662
2024-01-31 12:19:50.282484,149.67159883739225,-4.18650664e-06,-0.0027910044266666665,0.0015,-8.050974307692308e-05,-0.0047769114225641035,0.016853932584269662
2024-01-31 12:19:51.915279,149.65655353644638,-4.19709559e-06,-0.002798063726666667,0.0015,-8.071337673076925e-05,-0.004788993686025642,0.016853932584269662
2024-01-31 12:19:53.529524,149.64061864957185,-4.18630512e-06,-0.00279087008,0.0015,-8.05058676923077e-05,-0.004776681483076924,0.016853932584269662
2024-01-31 12:19:55.154381,149.62481830471108,-4.18842236e-06,-0.0027922815733333333,0.0015,-8.054658384615385e-05,-0.0047790973082051285,0.016853932584269662
2024-01-31 12:19:56.803019,149.60950265058273,-4.19669183e-06,-0.0027977945533333333,0.0015,-8.070561211538462e-05,-0.0047885329855128205,0.016853932584269662
2024-01-31 12:19:58.416565,149.59416006052467,-4.19235547e-06,-0.002794903646666667,0.0015,-8.062222057692309e-05,-0.0047835850875641035,0.016853932584269662
2024-01-31 12:20:00.030768,149.57862857589458,-4.18307758e-06,-0.002788718386666667,0.0015,-8.044379961538462e-05,-0.004772998777179488,0.016853932584269662
2024-01-31 12:20:01.656639,149.56323165477508,-4.16835389e-06,-0.002778902593333333,0.0015,-8.016065173076924e-05,-0.004756198669358975,0.016853932584269662
2024-01-31 12:20:03.274065,149.54783403323808,-4.15615161e-06,-0.0027707677399999996,0.0015,-7.99259925e-05,-0.004742275555,0.016853932584269662
2024-01-31 12:20:04.892850,149.53208599317026,-4.14868892e-06,-0.0027657926133333333,0.0015,-7.978247923076923e-05,-0.004733760434358975,0.016853932584269662
2024-01-31 12:20:06.508777,149.51625670951742,-4.13517523e-06,-0.0027567834866666667,0.0015,-7.952260057692307e-05,-0.004718340967564102,0.016853932584269662
2024-01-31 12:20:08.161732,149.5006701191387,-4.15131207e-06,-0.0027675413800000003,0.0015,-7.983292442307694e-05,-0.004736753515769232,0.016853932584269662
2024-01-31 12:20:09.785676,149.48532578138017,-4.15484172e-06,-0.00276989448,0.0015,-7.990080230769232e-05,-0.004740780936923077,0.016853932584269662
2024-01-31 12:20:11.401966,149.4698463678392,-4.18338259e-06,-0.0027889217266666667,0.0015,-8.04496651923077e-05,-0.004773346801410257,0.016853932584269662
2024-01-31 12:20:13.024258,149.45425856659287,-4.19366831e-06,-0.0027957788733333332,0.0015,-8.06474675e-05,-0.004785083071666667,0.016853932584269662
2024-01-31 12:20:14.633349,149.43869765804033,-4.21807334e-06,-0.0028120488933333332,0.0015,-8.1116795e-05,-0.004812929836666666,0.016853932584269662
2024-01-31 12:20:16.248996,149.4235143062548,-4.22180511e-06,-0.00281453674,0.0015,-8.118855980769232e-05,-0.004817187881923078,0.016853932584269662
2024-01-31 12:20:17.883647,149.4077909091288,-4.24388978e-06,-0.002829259853333333,0.0015,-8.1613265e-05,-0.004842387056666667,0.016853932584269662
2024-01-31 12:20:19.500451,149.39233738461087,-4.24792367e-06,-0.0028319491133333334,0.0015,-8.169083980769231e-05,-0.004846989828589744,0.016853932584269662
2024-01-31 12:20:21.111586,149.37707229751288,-4.27424438e-06,-0.0028494962533333335,0.0015,-8.219700730769232e-05,-0.004877022433589745,0.016853932584269662
2024-01-31 12:20:22.737592,149.36207665383634,-4.26970696e-06,-0.0028464713066666666,0.0015,-8.210974923076923e-05,-0.004871845121025641,0.016853932584269662
2024-01-31 12:20:24.356446,149.3462712427394,-4.30964246e-06,-0.002873094973333333,0.0015,-8.287773961538462e-05,-0.004917412550512821,0.016853932584269662
2024-01-31 12:20:25.960877,149.33108641553878,-4.31841807e-06,-0.0028789453799999997,0.0015,-8.304650134615385e-05,-0.004927425746538461,0.016853932584269662
2024-01-31 12:20:27.584840,149.31606289495843,-4.30712225e-06,-0.002871414833333333,0.0015,-8.282927403846154e-05,-0.004914536926282052,0.016853932584269662
2024-01-31 12:20:29.197086,149.3006345779335,-4.37337889e-06,-0.0029155859266666666,0.0015,-8.41034401923077e-05,-0.004990137451410257,0.016853932584269662
2024-01-31 12:20:30.813198,149.28525986162322,-4.34312517e-06,-0.0028954167799999995,0.0015,-8.352163788461538e-05,-0.004955617181153846,0.016853932584269662
2024-01-31 12:20:32.433087,149.26983149624806,-4.3877999e-06,-0.0029251999333333332,0.0015,-8.438076730769231e-05,-0.005006592193589744,0.016853932584269662
2024-01-31 12:20:34.072879,149.25461829297782,-4.43197099e-06,-0.0029546473266666667,0.0015,-8.523021134615386e-05,-0.0050569925398717954,0.016853932584269662
