Datetime,Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
2024-01-31 11:45:34.999096,156.74887761557792,-7.3897323e-06,-0.0049264882,0.0015,-0.00014211023653846154,-0.008431874034615384,0.016853932584269662
2024-01-31 11:45:36.611143,156.74301603072604,-7.41776864e-06,-0.004945179093333333,0.0015,-0.00014264939692307694,-0.008463864217435899,0.016853932584269662
2024-01-31 11:45:38.220546,156.7372347860954,-7.43925012e-06,-0.00495950008,0.0015,-0.00014306250230769233,-0.008488375136923078,0.016853932584269662
2024-01-31 11:45:39.876613,156.731186331726,-7.44963741e-06,-0.004966424939999999,0.0015,-0.0001432622578846154,-0.008500227301153847,0.016853932584269662
2024-01-31 11:45:41.508396,156.72495014186953,-7.44943896e-06,-0.00496629264,0.0015,-0.00014325844153846156,-0.008500000864615387,0.016853932584269662
2024-01-31 11:45:43.121281,156.71812522099196,-7.43511862e-06,-0.004956745746666667,0.0015,-0.0001429830503846154,-0.008483660989487182,0.016853932584269662
2024-01-31 11:45:44.736732,156.71242420338203,-7.44258086e-06,-0.004961720573333333,0.0015,-0.00014312655500000002,-0.008492175596666669,0.016853932584269662
2024-01-31 11:45:46.354319,156.707098103644,-7.43693372e-06,-0.004957955813333333,0.0015,-0.00014301795615384615,-0.008485732065128206,0.016853932584269662
2024-01-31 11:45:47.962976,156.70110244498062,-7.43269812e-06,-0.00495513208,0.0015,-0.00014293650230769232,-0.008480899136923079,0.016853932584269662
2024-01-31 11:45:49.584511,156.69526750836403,-7.42594083e-06,-0.00495062722,0.0015,-0.00014280655442307693,-0.008473188895769231,0.016853932584269662
2024-01-31 11:45:51.216320,156.68937909864553,-7.44177223e-06,-0.0049611814866666664,0.0015,-0.00014311100442307691,-0.008491252929102563,0.016853932584269662
2024-01-31 11:45:52.836452,156.6827411785501,-7.44025952e-06,-0.004960173013333334,0.0015,-0.00014308191384615387,-0.00848952688820513,0.016853932584269662
2024-01-31 11:45:54.468923,156.67717421711552,-7.42220841e-06,-0.00494813894,0.0015,-0.00014273477711538462,-0.008468930108846154,0.016853932584269662
2024-01-31 11:45:56.092869,156.67147295378945,-7.43551721e-06,-0.004957011473333333,0.0015,-0.00014299071557692309,-0.008484115790897436,0.016853932584269662
2024-01-31 11:45:57.703929,156.66569127382334,-7.4301723e-06,-0.0049534482,0.0015,-0.00014288792884615387,-0.008478017111538463,0.016853932584269662
2024-01-31 11:45:59.364006,156.6597492418813,-7.43006996e-06,-0.004953379973333333,0.0015,-0.00014288596076923076,-0.008477900338974359,0.016853932584269662
2024-01-31 11:46:01.010745,156.65348608803296,-7.4262399e-06,-0.0049508265999999995,0.0015,-0.00014281230576923076,-0.008473530142307692,0.016853932584269662
2024-01-31 11:46:02.641890,156.6476239146651,-7.44509837e-06,-0.004963398913333333,0.0015,-0.00014317496865384616,-0.008495048140128206,0.016853932584269662
2024-01-31 11:46:04.295222,156.64173520969678,-7.44388983e-06,-0.0049625932199999995,0.0015,-0.0001431517275,-0.008493669165,0.016853932584269662
2024-01-31 11:46:05.927602,156.63560576240351,-7.4357217e-06,-0.0049571478,0.0015,-0.0001429946480769231,-0.00848434911923077,0.016853932584269662
2024-01-31 11:46:07.537720,156.62942238585356,-7.44651238e-06,-0.004964341586666666,0.0015,-0.00014320216115384617,-0.008496661561794874,0.016853932584269662
2024-01-31 11:46:09.150310,156.62374778104902,-7.44631189e-06,-0.004964207926666666,0.0015,-0.0001431983055769231,-0.008496432797564103,0.016853932584269662
2024-01-31 11:46:10.778031,156.6181265836394,-7.4360243e-06,-0.004957349533333333,0.0015,-0.0001430004673076923,-0.008484694393589743,0.016853932584269662
2024-01-31 11:46:12.404770,156.6120769219579,-7.43844464e-06,-0.0049589630933333335,0.0015,-0.00014304701230769231,-0.008487456063589744,0.016853932584269662
2024-01-31 11:46:14.032461,156.60594728337236,-7.452362e-06,-0.004968241333333333,0.0015,-0.00014331465384615386,-0.008503336128205129,0.016853932584269662
2024-01-31 11:46:15.666070,156.60051325317932,-7.45437895e-06,-0.004969585966666666,0.0015,-0.00014335344134615386,-0.008505637519871797,0.016853932584269662
2024-01-31 11:46:17.275159,156.59438354001213,-7.47535817e-06,-0.0049835721133333335,0.0015,-0.0001437568878846154,-0.008529575347820513,0.016853932584269662
2024-01-31 11:46:18.905564,156.58860139101992,-7.45266714e-06,-0.004968444759999999,0.0015,-0.00014332052192307692,-0.00850368430076923,0.016853932584269662
2024-01-31 11:46:20.535908,156.5827657635862,-7.45508748e-06,-0.00497005832,0.0015,-0.00014336706692307693,-0.008506445970769232,0.016853932584269662
2024-01-31 11:46:22.172440,156.57663593595672,-7.46698879e-06,-0.0049779925266666665,0.0015,-0.00014359593826923078,-0.008520025670641026,0.016853932584269662
2024-01-31 11:46:23.794155,156.5705325662166,-7.46648435e-06,-0.004977656233333333,0.0015,-0.0001435862375,-0.008519450091666667,0.016853932584269662
2024-01-31 11:46:25.425939,156.56544639482797,-7.46920724e-06,-0.0049794714933333335,0.0015,-0.00014363860076923077,-0.008522556978974359,0.016853932584269662
2024-01-31 11:46:27.063573,156.5590483343126,-7.45387843e-06,-0.0049692522866666665,0.0015,-0.00014334381596153848,-0.00850506641371795,0.016853932584269662
2024-01-31 11:46:28.694584,156.5535340931741,-7.44964248e-06,-0.00496642832,0.0015,-0.00014326235538461538,-0.008500233086153846,0.016853932584269662
2024-01-31 11:46:30.354811,156.54791248048105,-7.45992892e-06,-0.004973285946666667,0.0015,-0.00014346017153846156,-0.008511970177948719,0.016853932584269662
2024-01-31 11:46:31.988715,156.54100589506115,-7.49522524e-06,-0.004996816826666667,0.0015,-0.00014413894692307693,-0.008552244184102565,0.016853932584269662
2024-01-31 11:46:33.606657,156.53591956567453,-7.49421518e-06,-0.004996143453333333,0.0015,-0.00014411952269230768,-0.00855109167974359,0.016853932584269662
2024-01-31 11:46:35.224971,156.5300032208815,-7.49471942e-06,-0.004996479613333334,0.0015,-0.00014412921961538464,-0.008551667030512822,0.016853932584269662
2024-01-31 11:46:36.836400,156.52427457592134,-7.48392728e-06,-0.004989284853333334,0.0015,-0.00014392167846153848,-0.008539352922051283,0.016853932584269662
2024-01-31 11:46:38.519850,156.5186527901854,-7.49149042e-06,-0.004994326946666666,0.0015,-0.00014406712346153847,-0.008547982658717949,0.016853932584269662
2024-01-31 11:46:40.168141,156.51300402304105,-7.49491923e-06,-0.004996612819999999,0.0015,-0.00014413306211538462,-0.008551895018846154,0.016853932584269662
2024-01-31 11:46:41.808890,156.50722182812598,-7.48372427e-06,-0.004989149513333333,0.0015,-0.00014391777442307693,-0.008539121282435898,0.016853932584269662
2024-01-31 11:46:43.435131,156.5008768235749,-7.50510294e-06,-0.00500340196,0.0015,-0.0001443289026923077,-0.008563514893076923,0.016853932584269662
2024-01-31 11:46:45.063512,156.49533529631734,-7.51750717e-06,-0.005011671446666667,0.0015,-0.00014456744557692308,-0.008577668437564103,0.016853932584269662
2024-01-31 11:46:46.687717,156.48904411011577,-7.52850011e-06,-0.005019000073333333,0.0015,-0.00014477884826923077,-0.008590211663974359,0.016853932584269662
2024-01-31 11:46:48.296824,156.48374370739015,-7.53112214e-06,-0.0050207480933333335,0.0015,-0.00014482927192307693,-0.008593203467435898,0.016853932584269662
2024-01-31 11:46:49.920414,156.4778000887098,-7.5341486e-06,-0.005022765733333333,0.0015,-0.00014488747307692308,-0.008596656735897436,0.016853932584269662
2024-01-31 11:46:51.528711,156.47241922451664,-7.5393937e-06,-0.005026262466666666,0.0015,-0.00014498834038461538,-0.00860264152948718,0.016853932584269662
2024-01-31 11:46:53.145221,156.46663633359574,-7.53011573e-06,-0.005020077153333333,0.0015,-0.0001448099178846154,-0.008592055127820514,0.016853932584269662
2024-01-31 11:46:54.775761,156.46101420700822,-7.56218856e-06,-0.00504145904,0.0015,-0.00014542670307692308,-0.00862865104923077,0.016853932584269662
2024-01-31 11:46:56.387577,156.45541899697008,-7.54645646e-06,-0.005030970973333333,0.0015,-0.00014512416269230768,-0.00861070031974359,0.016853932584269662
2024-01-31 11:46:58.005630,156.45011795761374,-7.53546408e-06,-0.00502364272,0.0015,-0.00014491277076923077,-0.008598157732307692,0.016853932584269662
2024-01-31 11:46:59.655011,156.44398727458162,-7.53062578e-06,-0.005020417186666667,0.0015,-0.00014481972653846155,-0.00859263710794872,0.016853932584269662
2024-01-31 11:47:01.292759,156.43831111350747,-7.52608587e-06,-0.0050173905799999995,0.0015,-0.00014473242057692307,-0.00858745695423077,0.016853932584269662
2024-01-31 11:47:02.913272,156.432796172002,-7.52285875e-06,-0.005015239166666667,0.0015,-0.0001446703605769231,-0.008583774727564103,0.016853932584269662
2024-01-31 11:47:04.526174,156.4270399906797,-7.54584995e-06,-0.005030566633333333,0.0015,-0.00014511249903846154,-0.008610008276282052,0.016853932584269662
2024-01-31 11:47:06.136792,156.42160493770427,-7.56188589e-06,-0.00504125726,0.0015,-0.0001454208825,-0.008628305695,0.016853932584269662
2024-01-31 11:47:07.753411,156.41550057257004,-7.57429013e-06,-0.005049526753333334,0.0015,-0.0001456594255769231,-0.008642459250897436,0.016853932584269662
2024-01-31 11:47:09.379451,156.4101728087656,-7.57751467e-06,-0.005051676446666667,0.0015,-0.00014572143596153846,-0.00864613853371795,0.016853932584269662
2024-01-31 11:47:10.996176,156.4043630371945,-7.58124603e-06,-0.00505416402,0.0015,-0.0001457931928846154,-0.008650396111153846,0.016853932584269662
2024-01-31 11:47:12.615377,156.39919557176006,-7.57237145e-06,-0.005048247633333333,0.0015,-0.0001456225278846154,-0.008640269987820514,0.016853932584269662
2024-01-31 11:47:14.224702,156.39351959249035,-7.58487569e-06,-0.005056583793333333,0.0015,-0.00014586299403846154,-0.00865453764628205,0.016853932584269662
2024-01-31 11:47:15.829288,156.38784357934156,-7.58346408e-06,-0.00505564272,0.0015,-0.00014583584769230768,-0.008652926963076922,0.016853932584269662
2024-01-31 11:47:17.438546,156.3822209868557,-7.5847751e-06,-0.005056516733333333,0.0015,-0.00014586105961538463,-0.008654422870512822,0.016853932584269662
2024-01-31 11:47:19.068561,156.37718726276714,-7.5974817e-06,-0.005064987799999999,0.0015,-0.0001461054173076923,-0.008668921426923076,0.016853932584269662
2024-01-31 11:47:20.722755,156.37100220513722,-7.57479102e-06,-0.00504986068,0.0015,-0.0001456690580769231,-0.00864303077923077,0.016853932584269662
2024-01-31 11:47:22.371213,156.36543341776851,-7.55976615e-06,-0.0050398441,0.0015,-0.00014538011826923077,-0.008625887017307692,0.016853932584269662
2024-01-31 11:47:24.000982,156.3595429645365,-7.57650814e-06,-0.005051005426666666,0.0015,-0.00014570207961538462,-0.008644990057179489,0.016853932584269662
2024-01-31 11:47:25.603528,156.35445566431008,-7.57973526e-06,-0.00505315684,0.0015,-0.00014576413961538462,-0.008648672283846155,0.016853932584269662
2024-01-31 11:47:27.207917,156.34875246518547,-7.58840646e-06,-0.00505893764,0.0015,-0.00014593089346153848,-0.008658566345384616,0.016853932584269662
2024-01-31 11:47:28.820065,156.34331696475053,-7.59929943e-06,-0.00506619962,0.0015,-0.00014614037365384615,-0.008670995503461539,0.016853932584269662
2024-01-31 11:47:30.471672,156.3379618434058,-7.60343417e-06,-0.0050689561133333335,0.0015,-0.0001462198878846154,-0.008675713347820514,0.016853932584269662
2024-01-31 11:47:32.131613,156.33215163066902,-7.60171842e-06,-0.005067812279999999,0.0015,-0.0001461868926923077,-0.008673755633076922,0.016853932584269662
2024-01-31 11:47:33.774567,156.32644829779454,-7.60353385e-06,-0.005069022566666666,0.0015,-0.0001462218048076923,-0.00867582708525641,0.016853932584269662
2024-01-31 11:47:35.388536,156.32098616551139,-7.60867708e-06,-0.005072451386666667,0.0015,-0.00014632071307692308,-0.008681695642564102,0.016853932584269662
2024-01-31 11:47:36.994041,156.31555050638974,-7.6231973e-06,-0.005082131533333333,0.0015,-0.0001465999480769231,-0.008698263585897438,0.016853932584269662
2024-01-31 11:47:38.630500,156.30976711066697,-7.61482582e-06,-0.005076550546666667,0.0015,-0.0001464389580769231,-0.008688711512564104,0.016853932584269662
2024-01-31 11:47:40.250860,156.30459913121894,-7.62047328e-06,-0.00508031552,0.0015,-0.00014654756307692308,-0.00869515540923077,0.016853932584269662
2024-01-31 11:47:41.864738,156.2989490923506,-7.63045788e-06,-0.00508697192,0.0015,-0.0001467395746153846,-0.008706548093846153,0.016853932584269662
2024-01-31 11:47:43.472794,156.2935937211968,-7.62692822e-06,-0.005084618813333333,0.0015,-0.00014667169653846156,-0.008702520661282053,0.016853932584269662
2024-01-31 11:47:45.083667,156.2883187342434,-7.62723076e-06,-0.005084820506666666,0.0015,-0.00014667751461538463,-0.008702865867179489,0.016853932584269662
2024-01-31 11:47:46.715499,156.2826955533597,-7.62844285e-06,-0.005085628566666667,0.0015,-0.00014670082403846153,-0.008704248892948718,0.016853932584269662
2024-01-31 11:47:48.350802,156.2771257996832,-7.62108163e-06,-0.005080721086666667,0.0015,-0.00014655926211538462,-0.008695849552179488,0.016853932584269662
2024-01-31 11:47:49.974166,156.27136867608888,-7.60171891e-06,-0.005067812606666666,0.0015,-0.00014618690211538462,-0.008673756192179487,0.016853932584269662
2024-01-31 11:47:51.607969,156.2661205210462,-7.61674386e-06,-0.00507782924,0.0015,-0.00014647584346153846,-0.008690900045384616,0.016853932584269662
2024-01-31 11:47:53.250967,156.26039028616844,-7.60716335e-06,-0.005071442233333333,0.0015,-0.00014629160288461539,-0.008679968437820514,0.016853932584269662
2024-01-31 11:47:54.886463,156.25490081906713,-7.61543355e-06,-0.0050769557,0.0015,-0.0001464506451923077,-0.008689404948076924,0.016853932584269662
2024-01-31 11:47:56.505826,156.24962516828475,-7.61987102e-06,-0.005079914013333333,0.0015,-0.00014653598115384615,-0.008694468215128206,0.016853932584269662
2024-01-31 11:47:58.150848,156.244457311344,-7.64800747e-06,-0.005098671646666666,0.0015,-0.00014707706673076923,-0.008726572626025641,0.016853932584269662
2024-01-31 11:47:59.771654,156.23832485318476,-7.65708508e-06,-0.005104723386666666,0.0015,-0.00014725163615384614,-0.008736930411794871,0.016853932584269662
2024-01-31 11:48:01.388843,156.23299609682033,-7.65063185e-06,-0.005100421233333333,0.0015,-0.00014712753557692308,-0.008729567110897436,0.016853932584269662
2024-01-31 11:48:02.993421,156.22750647164267,-7.64175727e-06,-0.005094504846666666,0.0015,-0.00014695687057692309,-0.008719440987564104,0.016853932584269662
2024-01-31 11:48:04.615643,156.2222845817468,-7.63691598e-06,-0.00509127732,0.0015,-0.00014686376884615385,-0.008713916951538461,0.016853932584269662
2024-01-31 11:48:06.228368,156.21658059010923,-7.64155328e-06,-0.005094368853333333,0.0015,-0.00014695294769230768,-0.00871920822974359,0.016853932584269662
2024-01-31 11:48:07.863563,156.21151948193932,-7.65990752e-06,-0.005106605013333333,0.0015,-0.00014730591384615383,-0.008740150888205128,0.016853932584269662
2024-01-31 11:48:09.476088,156.2060297328375,-7.65244295e-06,-0.005101628633333333,0.0015,-0.00014716236442307692,-0.008731633622435897,0.016853932584269662
2024-01-31 11:48:11.080425,156.20056690907657,-7.67503464e-06,-0.00511668976,0.0015,-0.00014759682,-0.00875741132,0.016853932584269662
2024-01-31 11:48:12.715653,156.19547875856028,-7.68189227e-06,-0.0051212615133333335,0.0015,-0.00014772869750000002,-0.008765236051666668,0.016853932584269662
2024-01-31 11:48:14.348545,156.1898280715683,-7.68017614e-06,-0.005120117426666667,0.0015,-0.000147695695,-0.008763277903333333,0.016853932584269662
2024-01-31 11:48:15.967718,156.18460597487,-7.69520311e-06,-0.0051301354066666666,0.0015,-0.0001479846751923077,-0.008780424061410257,0.016853932584269662
2024-01-31 11:48:17.604017,156.17895567259905,-7.70690142e-06,-0.005137934279999999,0.0015,-0.0001482096426923077,-0.008793772133076923,0.016853932584269662
2024-01-31 11:48:19.237146,156.17330488747797,-7.7073043e-06,-0.005138202866666667,0.0015,-0.00014821739038461542,-0.008794231829487182,0.016853932584269662
2024-01-31 11:48:20.880049,156.16824354910554,-7.71668172e-06,-0.00514445448,0.0015,-0.0001483977253846154,-0.008804931706153847,0.016853932584269662
2024-01-31 11:48:22.493505,156.1632086925849,-7.72061477e-06,-0.005147076513333334,0.0015,-0.00014847336096153848,-0.008809419417051283,0.016853932584269662
2024-01-31 11:48:24.125349,156.1573439452561,-7.72878531e-06,-0.00515252354,0.0015,-0.00014863048673076923,-0.008818742212692307,0.016853932584269662
2024-01-31 11:48:25.744832,156.15225556359937,-7.71406158e-06,-0.0051427077199999996,0.0015,-0.00014834733807692307,-0.00880194205923077,0.016853932584269662
