Datetime,Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
2024-01-31 14:38:56.425379,129.2127367754555,-1.15366195e-05,-0.007691079666666667,0.0015,-0.00022185806730769234,-0.013163578660256412,0.016853932584269662
2024-01-31 14:38:58.060800,129.22881551579133,-1.15156435e-05,-0.007677095666666666,0.0015,-0.00022145468269230769,-0.013139644506410256,0.016853932584269662
2024-01-31 14:38:59.679701,129.24362081727912,-1.15144325e-05,-0.007676288333333333,0.0015,-0.00022143139423076925,-0.013138262724358975,0.016853932584269662
2024-01-31 14:39:01.292065,129.25936689337877,-1.15058654e-05,-0.0076705769333333335,0.0015,-0.00022126664230769232,-0.013128487443589744,0.016853932584269662
2024-01-31 14:39:02.915064,129.27522357576916,-1.15136306e-05,-0.007675753733333333,0.0015,-0.00022141597307692308,-0.013137347735897437,0.016853932584269662
2024-01-31 14:39:04.543686,129.29005575427476,-1.15035494e-05,-0.007669032933333333,0.0015,-0.00022122210384615385,-0.013125844828205129,0.016853932584269662
2024-01-31 14:39:06.171581,129.3058286443629,-1.14919521e-05,-0.0076613014,0.0015,-0.00022099907884615385,-0.013112612011538462,0.016853932584269662
2024-01-31 14:39:07.781373,129.3214071306397,-1.14952808e-05,-0.007663520533333333,0.0015,-0.0002210630923076923,-0.013116410143589743,0.016853932584269662
2024-01-31 14:39:09.403956,129.33704097874013,-1.14898376e-05,-0.0076598917333333336,0.0015,-0.0002209584153846154,-0.013110199312820514,0.016853932584269662
2024-01-31 14:39:11.038634,129.3528402037343,-1.15019391e-05,-0.0076679594,0.0015,-0.00022119113653846156,-0.013124007434615385,0.016853932584269662
2024-01-31 14:39:12.655223,129.36899883148425,-1.14880207e-05,-0.007658680466666666,0.0015,-0.000220923475,-0.013108126183333334,0.016853932584269662
2024-01-31 14:39:14.314219,129.38452068038842,-1.14786444e-05,-0.0076524296,0.0015,-0.00022074316153846156,-0.013097427584615386,0.016853932584269662
2024-01-31 14:39:15.953038,129.40062334352322,-1.1467753e-05,-0.007645168666666667,0.0015,-0.00022053371153846156,-0.01308500021794872,0.016853932584269662
2024-01-31 14:39:17.586846,129.41644899234225,-1.14562578e-05,-0.007637505199999999,0.0015,-0.00022031265,-0.0130718839,0.016853932584269662
2024-01-31 14:39:19.222684,129.4322742858264,-1.14268098e-05,-0.0076178732,0.0015,-0.0002197463423076923,-0.013038282976923077,0.016853932584269662
2024-01-31 14:39:20.877103,129.44784997504294,-1.14162209e-05,-0.0076108139333333335,0.0015,-0.00021954270961538463,-0.013026200770512822,0.016853932584269662
2024-01-31 14:39:22.499963,129.46314915646784,-1.1405125e-05,-0.007603416666666666,0.0015,-0.00021932932692307695,-0.013013540064102566,0.016853932584269662
2024-01-31 14:39:24.112435,129.47886247496257,-1.14031043e-05,-0.007602069533333334,0.0015,-0.00021929046730769232,-0.013011234393589744,0.016853932584269662
2024-01-31 14:39:25.736409,129.49490775372655,-1.14100626e-05,-0.0076067083999999995,0.0015,-0.00021942428076923077,-0.013019173992307693,0.016853932584269662
2024-01-31 14:39:27.393931,129.51009499287457,-1.14019951e-05,-0.007601330066666666,0.0015,-0.00021926913653846154,-0.013009968767948719,0.016853932584269662
2024-01-31 14:39:29.018763,129.52536451529943,-1.14166157e-05,-0.007611077133333334,0.0015,-0.00021955030192307695,-0.0130266512474359,0.016853932584269662
2024-01-31 14:39:30.640513,129.54146396439901,-1.14003795e-05,-0.007600253,0.0015,-0.00021923806730769234,-0.01300812532692308,0.016853932584269662
2024-01-31 14:39:32.245970,129.55678849860254,-1.1388886e-05,-0.007592590666666667,0.0015,-0.00021901703846153849,-0.012995010948717951,0.016853932584269662
2024-01-31 14:39:33.874053,129.57230668167236,-1.1368917e-05,-0.007579278,0.0015,-0.00021863301923076924,-0.01297222580769231,0.016853932584269662
2024-01-31 14:39:35.493804,129.58774099365093,-1.13654882e-05,-0.007576992133333333,0.0015,-0.0002185670807692308,-0.01296831345897436,0.016853932584269662
2024-01-31 14:39:37.129349,129.60300930344474,-1.13579241e-05,-0.007571949400000001,0.0015,-0.00021842161730769232,-0.012959682626923078,0.016853932584269662
2024-01-31 14:39:38.762699,129.61907914308077,-1.13418896e-05,-0.007561259733333333,0.0015,-0.00021811326153846155,-0.012941386851282053,0.016853932584269662
2024-01-31 14:39:40.379032,129.63451243523315,-1.13566157e-05,-0.007571077133333333,0.0015,-0.00021839645576923077,-0.01295818970897436,0.016853932584269662
2024-01-31 14:39:41.992986,129.6504437467147,-1.13450186e-05,-0.007563345733333333,0.0015,-0.00021817343461538462,-0.01294495712051282,0.016853932584269662
2024-01-31 14:39:43.602052,129.66493627488322,-1.13438084e-05,-0.007562538933333333,0.0015,-0.00021815016153846155,-0.012943576251282052,0.016853932584269662
2024-01-31 14:39:45.223035,129.68053467973166,-1.13265667e-05,-0.007551044466666666,0.0015,-0.00021781859038461538,-0.012923903029487179,0.016853932584269662
2024-01-31 14:39:46.831798,129.69571747192649,-1.13449244e-05,-0.0075632829333333335,0.0015,-0.00021817162307692311,-0.012944849635897438,0.016853932584269662
2024-01-31 14:39:48.480884,129.71148130398737,-1.13646902e-05,-0.007576460133333333,0.0015,-0.00021855173461538462,-0.012967402920512822,0.016853932584269662
2024-01-31 14:39:50.106343,129.72710652343375,-1.13555149e-05,-0.007570343266666666,0.0015,-0.00021837528653846153,-0.012956933667948718,0.016853932584269662
2024-01-31 14:39:51.720685,129.74231615667946,-1.13738655e-05,-0.007582577,0.0015,-0.00021872818269230772,-0.012977872173076926,0.016853932584269662
2024-01-31 14:39:53.361611,129.75785765087556,-1.13705376e-05,-0.0075803584,0.0015,-0.00021866418461538462,-0.012974074953846153,0.016853932584269662
2024-01-31 14:39:54.997624,129.77356489472237,-1.13763839e-05,-0.007584255933333333,0.0015,-0.00021877661346153847,-0.012980745732051283,0.016853932584269662
2024-01-31 14:39:56.620657,129.78921612010666,-1.13679109e-05,-0.007578607266666666,0.0015,-0.00021861367115384617,-0.012971077821794873,0.016853932584269662
2024-01-31 14:39:58.260385,129.80439705268907,-1.13614568e-05,-0.007574304533333334,0.0015,-0.00021848955384615388,-0.01296371352820513,0.016853932584269662
2024-01-31 14:39:59.884790,129.8197711106148,-1.13449192e-05,-0.007563279466666667,0.0015,-0.0002181715230769231,-0.012944843702564105,0.016853932584269662
2024-01-31 14:40:01.509171,129.83500659484878,-1.1330906e-05,-0.007553937333333333,0.0015,-0.00021790203846153847,-0.012928854282051283,0.016853932584269662
2024-01-31 14:40:03.123584,129.85046302723308,-1.13362509e-05,-0.007557500599999999,0.0015,-0.000218004825,-0.01293495295,0.016853932584269662
2024-01-31 14:40:04.756319,129.8653661820278,-1.13365546e-05,-0.007557703066666666,0.0015,-0.0002180106653846154,-0.01293529947948718,0.016853932584269662
2024-01-31 14:40:06.412588,129.8811262524731,-1.132697e-05,-0.007551313333333333,0.0015,-0.00021782634615384616,-0.012924363205128206,0.016853932584269662
2024-01-31 14:40:08.090001,129.89688551040715,-1.13199108e-05,-0.0075466071999999995,0.0015,-0.00021769059230769232,-0.012916308476923079,0.016853932584269662
2024-01-31 14:40:09.701083,129.91170466537187,-1.13237399e-05,-0.007549159933333334,0.0015,-0.00021776422884615387,-0.01292067757820513,0.016853932584269662
2024-01-31 14:40:11.309463,129.92696601349917,-1.13179916e-05,-0.007545327733333333,0.0015,-0.00021765368461538464,-0.012914118620512822,0.016853932584269662
2024-01-31 14:40:12.918588,129.94175717744295,-1.13168758e-05,-0.007544583866666666,0.0015,-0.00021763222692307692,-0.012912845464102565,0.016853932584269662
2024-01-31 14:40:14.533967,129.95665842347844,-1.1306183e-05,-0.007537455333333333,0.0015,-0.00021742659615384618,-0.012900644705128207,0.016853932584269662
2024-01-31 14:40:16.173580,129.97255422715324,-1.13065864e-05,-0.007537724266666666,0.0015,-0.00021743435384615384,-0.012901104994871794,0.016853932584269662
2024-01-31 14:40:17.812413,129.98745483025655,-1.13272592e-05,-0.0075515061333333335,0.0015,-0.00021783190769230772,-0.012924693189743592,0.016853932584269662
2024-01-31 14:40:19.433322,130.00249333145703,-1.13330061e-05,-0.0075553374,0.0015,-0.000217942425,-0.01293125055,0.016853932584269662
2024-01-31 14:40:21.049310,130.01750368934316,-1.13312917e-05,-0.0075541944666666664,0.0015,-0.00021790945576923078,-0.012929294375641026,0.016853932584269662
2024-01-31 14:40:22.659967,130.03262457265166,-1.13342218e-05,-0.007556147866666666,0.0015,-0.00021796580384615384,-0.012932637694871796,0.016853932584269662
2024-01-31 14:40:24.263320,130.04694329593926,-1.13443077e-05,-0.0075628718,0.0015,-0.00021815976346153845,-0.012944145965384615,0.016853932584269662
2024-01-31 14:40:25.866681,130.0622017536984,-1.13497534e-05,-0.007566502266666667,0.0015,-0.0002182644884615385,-0.01295035964871795,0.016853932584269662
2024-01-31 14:40:27.491423,130.07690710752973,-1.13556076e-05,-0.007570405066666667,0.0015,-0.00021837706923076924,-0.012957039441025641,0.016853932584269662
2024-01-31 14:40:29.096827,130.09191590231848,-1.13401808e-05,-0.007560120533333333,0.0015,-0.0002180804,-0.012939437066666667,0.016853932584269662
2024-01-31 14:40:30.703119,130.10653763873378,-1.13401808e-05,-0.007560120533333333,0.0015,-0.0002180804,-0.012939437066666667,0.016853932584269662
2024-01-31 14:40:32.319987,130.121518452391,-1.13280737e-05,-0.007552049133333333,0.0015,-0.00021784757115384616,-0.012925622555128205,0.016853932584269662
2024-01-31 14:40:33.934631,130.13605658068357,-1.13100209e-05,-0.007540013933333332,0.0015,-0.0002175004019230769,-0.012905023847435897,0.016853932584269662
2024-01-31 14:40:35.560437,130.15056659180047,-1.13212149e-05,-0.0075474766,0.0015,-0.00021771567115384617,-0.01291779648846154,0.016853932584269662
2024-01-31 14:40:37.192678,130.1656568393759,-1.13302895e-05,-0.007553526333333334,0.0015,-0.0002178901826923077,-0.01292815083974359,0.016853932584269662
2024-01-31 14:40:38.799983,130.18052606017642,-1.13314972e-05,-0.007554331466666666,0.0015,-0.0002179134076923077,-0.012929528856410258,0.016853932584269662
2024-01-31 14:40:40.404302,130.19517334068343,-1.13303879e-05,-0.007553591933333333,0.0015,-0.000217892075,-0.012928263116666667,0.016853932584269662
2024-01-31 14:40:42.031537,130.2099584900955,-1.13425941e-05,-0.007561729400000001,0.0015,-0.00021812680961538463,-0.012942190703846154,0.016853932584269662
2024-01-31 14:40:43.696159,130.2249923108524,-1.13395687e-05,-0.007559712466666666,0.0015,-0.00021806862884615383,-0.012938738644871795,0.016853932584269662
2024-01-31 14:40:45.323908,130.2397773075389,-1.13340253e-05,-0.007556016866666667,0.0015,-0.00021796202500000002,-0.012932413483333335,0.016853932584269662
2024-01-31 14:40:46.929018,130.25400889379296,-1.13280727e-05,-0.007552048466666667,0.0015,-0.00021784755192307695,-0.012925621414102566,0.016853932584269662
2024-01-31 14:40:48.531460,130.26857214604422,-1.13210135e-05,-0.0075473423333333334,0.0015,-0.0002177117980769231,-0.012917566685897438,0.016853932584269662
2024-01-31 14:40:50.143458,130.2834387640752,-1.13260564e-05,-0.007550704266666666,0.0015,-0.00021780877692307692,-0.012923320764102565,0.016853932584269662
2024-01-31 14:40:51.773719,130.29769729773125,-1.13194967e-05,-0.007546331133333333,0.0015,-0.00021768262884615385,-0.012915835978205129,0.016853932584269662
2024-01-31 14:40:53.386391,130.31250814378103,-1.13115299e-05,-0.007541019933333334,0.0015,-0.00021752942115384617,-0.012906745655128206,0.016853932584269662
2024-01-31 14:40:55.025043,130.32712537132304,-1.1326453e-05,-0.007550968666666667,0.0015,-0.00021781640384615385,-0.012923773294871795,0.016853932584269662
2024-01-31 14:40:56.675622,130.34168713569022,-1.13166743e-05,-0.007544449533333333,0.0015,-0.00021762835192307693,-0.012912615547435898,0.016853932584269662
2024-01-31 14:40:58.310738,130.3564419079679,-1.13145566e-05,-0.007543037733333333,0.0015,-0.00021758762692307692,-0.012910199197435898,0.016853932584269662
2024-01-31 14:40:59.914210,130.37072633682,-1.13176797e-05,-0.007545119800000001,0.0015,-0.00021764768653846156,-0.012913762734615386,0.016853932584269662
2024-01-31 14:41:01.519430,130.38503875664003,-1.1324436e-05,-0.007549624,0.0015,-0.0002177776153846154,-0.012921471846153847,0.016853932584269662
2024-01-31 14:41:03.154281,130.39957153120068,-1.13186878e-05,-0.007545791866666666,0.0015,-0.00021766707307692307,-0.012914913002564102,0.016853932584269662
2024-01-31 14:41:04.798480,130.41404838820685,-1.1315765e-05,-0.007543843333333334,0.0015,-0.0002176108653846154,-0.012911578012820514,0.016853932584269662
2024-01-31 14:41:06.447841,130.42877432216096,-1.13098129e-05,-0.007539875266666667,0.0015,-0.00021749640192307695,-0.012904786514102566,0.016853932584269662
2024-01-31 14:41:08.051020,130.44333355584874,-1.13187882e-05,-0.007545858799999999,0.0015,-0.00021766900384615384,-0.012915027561538462,0.016853932584269662
2024-01-31 14:41:09.660301,130.45731266316776,-1.13254497e-05,-0.0075502998,0.0015,-0.00021779710961538463,-0.012922628503846154,0.016853932584269662
