 ,Area,Mean,Min,Max,Angle,Length
1,0.004,85.966,73.676,115.000,-64.592,0.559
2,0.005,77.735,69.849,98.258,-58.962,0.832
3,0.005,74.667,67.054,126.000,-64.323,0.728
4,0.005,74.843,63.503,92.296,-61.699,0.745
5,0.005,76.518,64.642,95.000,-60.719,0.774
6,0.005,89.259,70.188,142.000,-58.100,0.728
7,0.004,95.391,68.846,137.000,-61.894,0.629
8,0.004,82.245,72.349,115.333,-58.285,0.660
9,0.005,92.219,67.356,133.333,-60.141,0.786
10,0.005,95.522,72.667,160.333,-60.018,0.757
11,0.005,94.166,69.782,181.322,-60.814,0.802
12,0.004,97.548,76.057,166.000,-61.133,0.562
13,0.004,90.676,73.818,151.182,-59.931,0.554
14,0.004,121.023,75.451,235.313,-65.450,0.562
15,0.003,133.620,96.684,234.352,-64.799,0.474
16,0.003,127.198,78.049,189.816,-61.157,0.497
17,0.003,98.481,76.713,133.866,-61.557,0.517
18,0.003,115.715,87.098,180.000,-64.799,0.474
19,0.003,160.565,113.414,234.552,-64.612,0.412
20,0.003,95.368,80.424,158.000,-61.821,0.401
21,0.003,123.399,95.235,206.667,-60.555,0.449
22,0.002,149.822,120.315,180.136,-57.031,0.278
