 ,Area,Mean,Min,Max,Angle,Length
1,5.276E-4,88.887,64.661,221.152,-81.921,0.410
2,5.408E-4,78.876,63.943,96.702,-81.227,0.420
3,5.753E-4,90.077,61.407,158.731,-80.592,0.447
4,5.835E-4,86.367,65.254,119.547,-80.086,0.454
5,5.901E-4,83.166,65.477,170.641,-78.879,0.459
6,5.999E-4,75.267,61.102,109.913,-77.454,0.466
7,6.114E-4,89.842,62.191,235.792,-75.964,0.476
8,6.065E-4,72.250,62.295,93.852,-75.510,0.471
9,6.213E-4,75.697,62.156,139.127,-74.638,0.484
10,6.361E-4,75.959,64.981,110.778,-74.381,0.495
