 ,Area,Mean,Min,Max,Angle,Length
1,0.003,43.801,37.109,57.333,-84.732,0.605
2,0.003,44.633,37.551,58.333,-85.855,0.591
3,0.003,44.080,35.000,50.318,-82.826,0.616
4,0.003,45.971,37.323,52.333,-81.588,0.613
5,0.003,47.595,33.305,62.620,-83.196,0.757
6,0.004,41.994,35.736,56.667,-84.158,0.923
7,0.004,45.654,35.196,55.258,-83.211,0.904
8,0.004,41.654,31.495,60.179,-83.204,0.830
9,0.003,40.711,32.796,54.788,-83.346,0.774
10,0.003,42.871,35.122,54.120,-82.219,0.694
11,0.003,40.892,35.311,48.182,-82.147,0.625
12,0.002,41.829,35.171,49.912,-82.194,0.535
13,0.002,42.003,35.382,50.772,-83.845,0.438
14,0.002,40.987,34.674,54.059,-83.729,0.391
15,0.001,38.448,32.710,43.198,-82.875,0.344
