Datetime,Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
2022-05-17 10:32:51.131338,-1.06942477e-05,-10.6942477,1e-06,-0.0006598007008754774,-15.670266645792589,4.210526315789474e-05
2022-05-17 10:32:51.748347,-1.06342415e-05,-10.634241500000002,1e-06,-0.0006560985112565786,-15.58233964234374,4.210526315789474e-05
2022-05-17 10:32:52.329256,-1.03904851e-05,-10.390485100000001,1e-06,-0.0006410595250581493,-15.225163720131047,4.210526315789474e-05
2022-05-17 10:32:52.915234,-1.03279576e-05,-10.327957600000001,1e-06,-0.0006372017793352789,-15.133542259212874,4.210526315789474e-05
2022-05-17 10:32:53.509098,-1.02356802e-05,-10.2356802,1e-06,-0.0006315085604289161,-14.998328310186757,4.210526315789474e-05
2022-05-17 10:32:54.078795,-1.02041139e-05,-10.2041139,1e-06,-0.000629561021205185,-14.952074253623143,4.210526315789474e-05
2022-05-17 10:32:54.650004,-1.01133482e-05,-10.1133482,1e-06,-0.0006239610693286774,-14.819075396556087,4.210526315789474e-05
2022-05-17 10:32:55.238720,-1.03462127e-05,-10.3462127,1e-06,-0.0006383280603147771,-15.160291432475956,4.210526315789474e-05
2022-05-17 10:32:55.818724,-1.01380566e-05,-10.1380566,1e-06,-0.0006254854981706904,-14.855280581553897,4.210526315789474e-05
2022-05-17 10:32:56.400875,-1.01367456e-05,-10.136745600000001,1e-06,-0.000625404613685581,-14.853359575032547,4.210526315789474e-05
2022-05-17 10:32:56.979721,-1.01078014e-05,-10.1078014,1e-06,-0.0006236188496017473,-14.810947678041497,4.210526315789474e-05
2022-05-17 10:32:57.554556,-1.02486889e-05,-10.248688900000001,1e-06,-0.0006323111553956924,-15.017389940647695,4.210526315789474e-05
2022-05-17 10:32:58.121917,-1.01079012e-05,-10.1079012,1e-06,-0.0006236250069408883,-14.811093914846097,4.210526315789474e-05
2022-05-17 10:32:58.699901,-1.01642768e-05,-10.164276800000001,1e-06,-0.000627103200212237,-14.89370100504063,4.210526315789474e-05
2022-05-17 10:32:59.285795,-1.01973559e-05,-10.1973559,1e-06,-0.0006291440743322866,-14.942171765391807,4.210526315789474e-05
2022-05-17 10:32:59.869193,-9.96388627e-06,-9.96388627,1e-06,-0.0006147397487706916,-14.600069033303924,4.210526315789474e-05
2022-05-17 10:33:00.466804,-9.95319609e-06,-9.95319609,1e-06,-0.0006140801990338284,-14.584404727053425,4.210526315789474e-05
2022-05-17 10:33:01.044632,-1.00316606e-05,-10.0316606,1e-06,-0.0006189212070359014,-14.699378667102657,4.210526315789474e-05
2022-05-17 10:33:01.622029,-1.03294731e-05,-10.3294731,1e-06,-0.0006372952808129168,-15.135762919306774,4.210526315789474e-05
2022-05-17 10:33:02.191384,-1.0384941e-05,-10.384941,1e-06,-0.0006407174719125387,-15.217039957922795,4.210526315789474e-05
2022-05-17 10:33:02.768468,-1.03444998e-05,-10.344499800000001,1e-06,-0.000638222379891784,-15.157781522429868,4.210526315789474e-05
2022-05-17 10:33:03.355295,-1.02271095e-05,-10.227109500000001,1e-06,-0.0006309797757938835,-14.985769675104732,4.210526315789474e-05
2022-05-17 10:33:03.936260,-1.03662836e-05,-10.366283600000001,1e-06,-0.0006395663703164429,-15.189701295015519,4.210526315789474e-05
2022-05-17 10:33:04.515015,-1.06808373e-05,-10.6808373,1e-06,-0.0006589733223101745,-15.650616404866645,4.210526315789474e-05
2022-05-17 10:33:05.081361,-1.05086878e-05,-10.5086878,1e-06,-0.0006483522516241679,-15.398365976073988,4.210526315789474e-05
2022-05-17 10:33:05.669584,-1.04149973e-05,-10.4149973,1e-06,-0.0006425718489909491,-15.261081413535042,4.210526315789474e-05
2022-05-17 10:33:06.283487,-1.03436958e-05,-10.3436958,1e-06,-0.0006381727756766595,-15.156603422320662,4.210526315789474e-05
2022-05-17 10:33:06.871277,-1.01352371e-05,-10.135237100000001,1e-06,-0.0006253115440854378,-14.851149172029146,4.210526315789474e-05
2022-05-17 10:33:07.448223,-1.03269545e-05,-10.326954500000001,1e-06,-0.0006371398912902649,-15.13207241814379,4.210526315789474e-05
2022-05-17 10:33:08.039478,-1.06137744e-05,-10.6137744,1e-06,-0.0006548357569887034,-15.552349228481704,4.210526315789474e-05
2022-05-17 10:33:08.616980,-1.05514485e-05,-10.5514485,1e-06,-0.0006509904493376851,-15.46102317177002,4.210526315789474e-05
2022-05-17 10:33:09.223253,-1.05604271e-05,-10.5604271,1e-06,-0.0006515444000913113,-15.474179502168644,4.210526315789474e-05
2022-05-17 10:33:09.797303,-1.04625009e-05,-10.4625009,1e-06,-0.0006455026683859505,-15.330688374166323,4.210526315789474e-05
2022-05-17 10:33:10.368543,-1.03080982e-05,-10.3080982,1e-06,-0.0006359765182036365,-15.104442307336367,4.210526315789474e-05
2022-05-17 10:33:10.968042,-1.02528319e-05,-10.2528319,1e-06,-0.0006325667651758668,-15.023460672926836,4.210526315789474e-05
2022-05-17 10:33:11.550173,-1.03066863e-05,-10.3066863,1e-06,-0.0006358894085129225,-15.10237345218191,4.210526315789474e-05
2022-05-17 10:33:12.137251,-1.01807235e-05,-10.180723500000001,1e-06,-0.0006281179087257764,-14.917800332237189,4.210526315789474e-05
2022-05-17 10:33:12.728080,-1.00972193e-05,-10.0972193,1e-06,-0.0006229659680534049,-14.795441741268364,4.210526315789474e-05
2022-05-17 10:33:13.326807,-1.02677582e-05,-10.267758200000001,1e-06,-0.0006334876698975217,-15.045332160066142,4.210526315789474e-05
2022-05-17 10:33:13.901051,-1.01991796e-05,-10.199179599999999,1e-06,-0.0006292565907590555,-14.944844030527568,4.210526315789474e-05
2022-05-17 10:33:14.564267,-1.02843986e-05,-10.284398600000001,1e-06,-0.0006345143290783118,-15.069715315609905,4.210526315789474e-05
2022-05-17 10:33:15.149737,-1.03116283e-05,-10.3116283,1e-06,-0.0006361943140242962,-15.109614958077035,4.210526315789474e-05
2022-05-17 10:33:15.719869,-1.01491575e-05,-10.1491575,1e-06,-0.0006261703880110807,-14.871546715263166,4.210526315789474e-05
2022-05-17 10:33:16.295056,-1.00657538e-05,-10.065753800000001,1e-06,-0.0006210246478655998,-14.749335386807994,4.210526315789474e-05
2022-05-17 10:33:16.902299,-9.93999498e-06,-9.93999498,1e-06,-0.000613265732988654,-14.565061158480534,4.210526315789474e-05
2022-05-17 10:33:17.491207,-1.00484097e-05,-10.0484097,1e-06,-0.0006199545726572189,-14.723921100608948,4.210526315789474e-05
2022-05-17 10:33:18.076249,-1.01007513e-05,-10.1007513,1e-06,-0.0006231838810979561,-14.800617176076457,4.210526315789474e-05
2022-05-17 10:33:18.665692,-1.01628755e-05,-10.1628755,1e-06,-0.0006270167445074437,-14.891647682051788,4.210526315789474e-05
2022-05-17 10:33:19.283269,-1.01378645e-05,-10.1378645,1e-06,-0.0006254736462182955,-14.85499909768452,4.210526315789474e-05
2022-05-17 10:33:19.850277,-1.03026548e-05,-10.302654800000001,1e-06,-0.0006356406779242735,-15.096466100701495,4.210526315789474e-05
