Datetime,Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
2022-05-18 13:56:03.204674,-0.000438970565,4.38970565,-0.0001,-0.0054871320625000004,1.3031938648437502,-0.004210526315789474
2022-05-18 13:56:03.793242,-0.00043051668,4.393933125773196,-9.797979797979798e-05,-0.005381458499999999,1.3044488967139174,-0.004125465178096757
2022-05-18 13:56:04.379837,-0.000421819442,4.395802606105263,-9.595959595959597e-05,-0.005272743025,1.3050038986875,-0.00404040404040404
2022-05-18 13:56:04.967249,-0.000413025791,4.396726162258064,-9.393939393939395e-05,-0.0051628223875,1.305278079420363,-0.003955342902711324
2022-05-18 13:56:05.560809,-0.000404191188,4.397244792527472,-9.191919191919192e-05,-0.00505238985,1.3054320477815935,-0.003870281765018607
2022-05-18 13:56:06.136189,-0.000395402277,4.3982949913483145,-8.98989898989899e-05,-0.0049425284625,1.3057438255565308,-0.0037852206273258906
2022-05-18 13:56:06.731941,-0.000386576858,4.398978039310345,-8.787878787878789e-05,-0.004832210725,1.3059466054202586,-0.003700159489633174
2022-05-18 13:56:07.317028,-0.00037776213,4.399817749411764,-8.585858585858586e-05,-0.0047220266249999995,1.3061958943566174,-0.0036150983519404574
2022-05-18 13:56:07.898691,-0.000369001054,4.401337873012048,-8.383838383838384e-05,-0.004612513175,1.3066471810504519,-0.0035300372142477404
2022-05-18 13:56:08.496363,-0.000360207504,4.40253616,-8.181818181818182e-05,-0.0045025938,1.3070029225000002,-0.003444976076555024
2022-05-18 13:56:09.075017,-0.000351477793,4.404595127468355,-7.97979797979798e-05,-0.0043934724125,1.3076141784671675,-0.0033599149388623076
2022-05-18 13:56:09.656393,-0.000342696705,4.406100492857142,-7.777777777777778e-05,-0.004283708812499999,1.3080610838169642,-0.0032748538011695906
2022-05-18 13:56:10.226161,-0.000333936837,4.4079662484,-7.575757575757576e-05,-0.0041742104625,1.30861497999375,-0.003189792663476874
2022-05-18 13:56:10.819594,-0.000324936341,4.406670925890411,-7.373737373737375e-05,-0.0040617042625,1.3082304311237156,-0.003104731525784158
2022-05-18 13:56:11.395576,-0.000316271677,4.409985355352113,-7.171717171717172e-05,-0.0039533959625,1.3092144023701584,-0.003019670388091441
2022-05-18 13:56:11.975992,-0.000307413279,4.410712263913044,-6.96969696969697e-05,-0.0038426659875,1.3094302033491847,-0.0029346092503987242
2022-05-18 13:56:12.559584,-0.000298664102,4.413096432537313,-6.767676767676769e-05,-0.003733301275,1.3101380034095145,-0.002849548112706008
2022-05-18 13:56:13.147863,-0.00028992743,4.415817779999999,-6.565656565656566e-05,-0.003624092875,1.3109459034375,-0.002764486975013291
2022-05-18 13:56:13.734280,-0.000281105871,4.4173779728571425,-6.363636363636364e-05,-0.0035138233875,1.3114090856919642,-0.0026794258373205745
2022-05-18 13:56:14.306004,-0.000272261897,4.418676689016392,-6.161616161616163e-05,-0.0034032737124999996,1.3117946420517412,-0.0025943646996278583
2022-05-18 13:56:14.886313,-0.000263501527,4.421466300508474,-5.95959595959596e-05,-0.0032937690874999996,1.3126228079634532,-0.002509303561935141
2022-05-18 13:56:15.469680,-0.000254757093,4.4247284573684205,-5.757575757575758e-05,-0.0031844636625,1.3135912607812497,-0.0024242424242424247
2022-05-18 13:56:16.059057,-0.000245860575,4.4254903500000005,-5.555555555555556e-05,-0.0030732571875,1.31381744765625,-0.0023391812865497076
2022-05-18 13:56:16.669278,-0.000237078725,4.428451655660377,-5.353535353535354e-05,-0.0029634840625,1.3146965852741745,-0.002254120148856991
2022-05-18 13:56:17.247532,-0.000228277689,4.431272786470587,-5.1515151515151524e-05,-0.0028534711125,1.3155341084834558,-0.0021690590111642745
2022-05-18 13:56:17.837804,-0.0002195504,4.435814204081632,-4.94949494949495e-05,-0.00274438,1.3168823418367346,-0.002083997873471558
2022-05-18 13:56:18.437532,-0.000210634218,4.436763315319149,-4.747474747474748e-05,-0.002632927725,1.317164109235372,-0.0019989367357788413
2022-05-18 13:56:19.035619,-0.000201839359,4.440465897999999,-4.545454545454546e-05,-0.0025229919874999998,1.3182633134687498,-0.0019138755980861245
2022-05-18 13:56:19.622971,-0.000193185186,4.447751956744185,-4.343434343434344e-05,-0.002414814825,1.32042636215843,-0.001828814460393408
2022-05-18 13:56:20.205515,-0.000184310352,4.450420694634146,-4.141414141414142e-05,-0.0023038794,1.3212186437195121,-0.0017437533227006913
2022-05-18 13:56:20.784953,-0.000175537277,4.455946262307692,-3.93939393939394e-05,-0.0021942159625,1.322859046622596,-0.0016586921850079747
2022-05-18 13:56:21.352856,-0.000166693741,4.46018388081081,-3.737373737373738e-05,-0.0020836717625,1.324117089615709,-0.0015736310473152583
2022-05-18 13:56:21.922984,-0.000157982586,4.468650289714285,-3.535353535353536e-05,-0.001974782325,1.3266305547589283,-0.0014885699096225415
2022-05-18 13:56:22.497889,-0.000148981789,4.46945367,-3.3333333333333335e-05,-0.0018622723625,1.32686905828125,-0.0014035087719298247
2022-05-18 13:56:23.069761,-0.000140254195,4.4790855822580635,-3.1313131313131324e-05,-0.0017531774375,1.3297285322328625,-0.0013184476342371083
2022-05-18 13:56:23.663273,-0.00013140911,4.486035134482758,-2.92929292929293e-05,-0.001642613875,1.3317916805495686,-0.0012333864965443915
2022-05-18 13:56:24.246911,-0.000122800621,4.502689436666666,-2.7272727272727276e-05,-0.0015350077625,1.3367359265104164,-0.0011483253588516749
2022-05-18 13:56:24.827233,-0.000113979741,4.5135977436,-2.5252525252525253e-05,-0.0014247467625,1.33997433013125,-0.001063264221158958
2022-05-18 13:56:25.400895,-0.000105124755,4.524935106521737,-2.3232323232323242e-05,-0.0013140594375,1.3433401097486408,-0.0009782030834662417
2022-05-18 13:56:25.976751,-9.6262023e-05,4.538066798571427,-2.1212121212121218e-05,-0.0012032752875,1.3472385808258924,-0.000893141945773525
2022-05-18 13:56:26.557315,-8.74637348e-05,4.557320918526315,-1.9191919191919194e-05,-0.001093296685,1.3529546476874998,-0.0008080808080808082
2022-05-18 13:56:27.141159,-7.86882387e-05,4.582432724294114,-1.7171717171717184e-05,-0.00098360298375,1.3604097150248151,-0.0007230196703880919
2022-05-18 13:56:27.720785,-6.99487463e-05,4.616617255799998,-1.515151515151516e-05,-0.00087435932875,1.3705582478156244,-0.0006379585326953751
2022-05-18 13:56:28.302362,-6.11191944e-05,4.654461727384613,-1.3131313131313136e-05,-0.0007639899299999999,1.3817933253173071,-0.0005528973950026583
2022-05-18 13:56:28.887675,-5.23170854e-05,4.708537686,-1.1111111111111112e-05,-0.0006539635674999999,1.3978471255312497,-0.00046783625730994154
2022-05-18 13:56:29.472417,-4.33858744e-05,4.772446183999995,-9.090909090909101e-06,-0.0005423234300000001,1.4168199608749985,-0.0003827751196172253
2022-05-18 13:56:30.048062,-3.47088064e-05,4.908816905142852,-7.070707070707077e-06,-0.00043386007999999995,1.4573050187142842,-0.0002977139819245085
2022-05-18 13:56:30.634881,-2.59434943e-05,5.136811871399997,-5.050505050505053e-06,-0.00032429367875,1.5249910243218743,-0.0002126528442317917
2022-05-18 13:56:31.203758,-1.71687023e-05,5.665671758999977,-3.0303030303030428e-06,-0.00021460877875,1.681996303453118,-0.0001275917065390755
2022-05-18 13:56:31.788229,-8.35730151e-06,8.273728494899927,-1.0101010101010188e-06,-0.000104466268875,2.4562631469234164,-4.2530568846358683e-05
2022-05-18 13:56:32.369856,4.77700856e-07,0.4729238474400023,1.0101010101010052e-06,5.9712607e-06,0.14039926720875068,4.2530568846358114e-05
2022-05-18 13:56:32.950304,9.29276471e-06,3.066612354300001,3.0303030303030292e-06,0.00011615955887499999,0.9104005426828127,0.00012759170653907492
2022-05-18 13:56:33.539241,1.79901357e-05,3.5620468686000075,5.05050505050504e-06,0.00022487669624999998,1.0574826641156272,0.00021265284423179113
2022-05-18 13:56:34.132428,2.69018146e-05,3.8046852077142894,7.070707070707064e-06,0.00033627268249999996,1.1295159210401797,0.0002977139819245079
2022-05-18 13:56:34.727954,3.56305503e-05,3.9193605330000016,9.090909090909088e-06,0.00044538187875,1.1635601582343755,0.00038277511961722473
2022-05-18 13:56:35.382983,4.44744574e-05,4.002701166,1.1111111111111112e-05,0.0005559307175,1.1883019086562499,0.00046783625730994154
2022-05-18 13:56:35.966281,5.32618882e-05,4.056097639846157,1.3131313131313122e-05,0.0006657736025,1.2041539868293278,0.0005528973950026578
2022-05-18 13:56:36.548407,6.19559252e-05,4.0890910632000015,1.5151515151515146e-05,0.0007744490649999999,1.2139489093875004,0.0006379585326953746
2022-05-18 13:56:37.138608,7.08591319e-05,4.126502387117648,1.717171717171717e-05,0.00088573914875,1.2250553961755517,0.0007230196703880914
2022-05-18 13:56:37.716048,7.95216077e-05,4.14349429594737,1.919191919191918e-05,0.00099402009625,1.2300998691093756,0.0008080808080808075
2022-05-18 13:56:38.386206,8.83856842e-05,4.166753683714287,2.1212121212121205e-05,0.0011048210525,1.237004999852679,0.0008931419457735243
2022-05-18 13:56:38.965924,9.72107315e-05,4.184288008043479,2.323232323232323e-05,0.00121513414375,1.2422105023879078,0.0009782030834662413
2022-05-18 13:56:39.550554,0.000105996447,4.197459301200002,2.525252525252524e-05,0.0013249555874999999,1.2461207300437505,0.0010632642211589574
2022-05-18 13:56:40.117237,0.000114741822,4.207200139999999,2.7272727272727276e-05,0.001434272775,1.2490125415624997,0.0011483253588516749
2022-05-18 13:56:40.692065,0.000123612448,4.2198732248275865,2.9292929292929287e-05,0.0015451555999999999,1.2527748636206897,0.001233386496544391
2022-05-18 13:56:41.275041,0.000132380514,4.227635769677422,3.13131313131313e-05,0.001654756425,1.2550793691229847,0.0013184476342371072
2022-05-18 13:56:41.848594,0.00014121373,4.236411899999999,3.3333333333333335e-05,0.0017651716249999997,1.2576847828124997,0.0014035087719298247
2022-05-18 13:56:42.428316,0.00014998583,4.242456334285715,3.5353535353535345e-05,0.0018748228750000001,1.2594792242410717,0.0014885699096225408
2022-05-18 13:56:43.018738,0.000158795346,4.248848447027029,3.7373737373737356e-05,0.0019849418250000002,1.2613768827111496,0.001573631047315257
2022-05-18 13:56:43.606044,0.000167519038,4.252406349230769,3.939393939393939e-05,0.002093987975,1.2624331349278846,0.0016586921850079745
2022-05-18 13:56:44.184685,0.000176411943,4.25970301390244,4.1414141414141404e-05,0.0022051492875,1.2645993322522868,0.0017437533227006906
2022-05-18 13:56:44.763174,0.000185106589,4.261756351395348,4.343434343434344e-05,0.0023138323624999997,1.2652089168204939,0.001828814460393408
2022-05-18 13:56:45.332237,0.000193985187,4.267674114,4.545454545454545e-05,0.0024248148375,1.26696575259375,0.0019138755980861242
2022-05-18 13:56:45.913002,0.000202754261,4.270781242340426,4.747474747474746e-05,0.0025344282624999996,1.267888181319814,0.0019989367357788404
2022-05-18 13:56:46.626815,0.000211522024,4.27360824,4.94949494949495e-05,0.0026440253,1.26872744625,0.002083997873471558
2022-05-18 13:56:47.216839,0.0002203032,4.276473882352941,5.151515151515151e-05,0.00275379,1.2695781838235296,0.002169059011164274
2022-05-18 13:56:47.796365,0.00022911806,4.2797524415094355,5.353535353535352e-05,0.00286397575,1.2705515060731136,0.00225412014885699
2022-05-18 13:56:48.396717,0.000237882145,4.28187861,5.555555555555556e-05,0.0029735268124999998,1.2711827123437498,0.0023391812865497076
2022-05-18 13:56:48.994691,0.00024672262,4.285182347368422,5.757575757575757e-05,0.00308403275,1.2721635093750003,0.002424242424242424
2022-05-18 13:56:49.573995,0.000255517611,4.287498896440679,5.959595959595958e-05,0.0031939701375,1.2728512348808267,0.00250930356193514
2022-05-18 13:56:50.150678,0.000264352034,4.290303502622951,6.161616161616162e-05,0.003304400425,1.2736838523411886,0.0025943646996278574
2022-05-18 13:56:50.751675,0.000273096499,4.291516412857143,6.363636363636363e-05,0.0034137062374999996,1.2740439350669643,0.0026794258373205736
2022-05-18 13:56:51.342851,0.000281903188,4.293602401846155,6.565656565656564e-05,0.0035237898500000003,1.2746632130480773,0.00276448697501329
2022-05-18 13:56:51.935592,0.000290621486,4.294257778208955,6.767676767676768e-05,0.0036327685749999996,1.2748577779057835,0.002849548112706007
2022-05-18 13:56:52.536194,0.000299454294,4.296518131304349,6.969696969696969e-05,0.003743178675,1.2755288202309787,0.0029346092503987234
2022-05-18 13:56:53.107446,0.000308263705,4.298324900704225,7.171717171717172e-05,0.0038532963125,1.2760652048965668,0.003019670388091441
2022-05-18 13:56:53.689765,0.000317144418,4.300999641369863,7.373737373737373e-05,0.003964305225,1.2768592685316782,0.003104731525784157
2022-05-18 13:56:54.309903,0.000325851768,4.301243337600001,7.575757575757574e-05,0.0040731471000000005,1.2769316158500004,0.0031897926634768736
2022-05-18 13:56:54.908475,0.000334688611,4.303139284285714,7.777777777777778e-05,0.0041836076375,1.2774944750223214,0.0032748538011695906
2022-05-18 13:56:55.490775,0.000343457076,4.304082344810127,7.979797979797979e-05,0.00429321345,1.2777744461155065,0.0033599149388623068
2022-05-18 13:56:56.095447,0.000352307908,4.305985542222223,8.18181818181818e-05,0.00440384885,1.2783394578472225,0.0034449760765550234
2022-05-18 13:56:56.668069,0.00036109614,4.307050344578314,8.383838383838384e-05,0.00451370175,1.2786555710466867,0.0035300372142477404
2022-05-18 13:56:57.237090,0.000369791891,4.306987906941177,8.585858585858585e-05,0.0046223986375,1.2786370348731617,0.003615098351940457
2022-05-18 13:56:57.827550,0.000378669779,4.309000933448277,8.787878787878786e-05,0.0047333722375,1.2792346521174571,0.003700159489633173
2022-05-18 13:56:58.418072,0.000387387113,4.3091375491011235,8.98989898989899e-05,0.0048423389125,1.279275209889396,0.0037852206273258906
2022-05-18 13:56:59.000646,0.00039622335,4.31056171978022,9.191919191919191e-05,0.004952791874999999,1.2796980105597526,0.0038702817650186068
2022-05-18 13:56:59.581147,0.000405086412,4.312210192258066,9.393939393939392e-05,0.00506358015,1.2801874008266132,0.003955342902711323
