Datetime,Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
2022-05-19 15:25:51.989687,5.48173444e-06,5.48173444,1e-06,6.85216805e-05,1.627389911875,4.210526315789474e-05
2022-05-19 15:25:52.593458,5.62696006e-06,5.62696006,1e-06,7.033700075e-05,1.6705037678124999,4.210526315789474e-05
2022-05-19 15:25:53.177963,5.38400888e-06,5.38400888,1e-06,6.7300111e-05,1.59837763625,4.210526315789474e-05
2022-05-19 15:25:53.747325,5.56029662e-06,5.56029662,1e-06,6.950370774999999e-05,1.6507130590624999,4.210526315789474e-05
2022-05-19 15:25:54.331858,5.54284938e-06,5.54284938,1e-06,6.928561725e-05,1.6455334096874998,4.210526315789474e-05
2022-05-19 15:25:54.917337,5.42293741e-06,5.42293741,1e-06,6.7786717625e-05,1.60993454359375,4.210526315789474e-05
2022-05-19 15:25:55.497063,5.53790768e-06,5.53790768,1e-06,6.922384599999999e-05,1.6440663424999997,4.210526315789474e-05
2022-05-19 15:25:56.080695,5.55101832e-06,5.551018320000001,1e-06,6.9387729e-05,1.64795856375,4.210526315789474e-05
2022-05-19 15:25:56.651947,5.47174935e-06,5.4717493500000005,1e-06,6.8396866875e-05,1.6244255882812502,4.210526315789474e-05
2022-05-19 15:25:57.221006,5.64763403e-06,5.64763403,1e-06,7.059542537499999e-05,1.6766413526562498,4.210526315789474e-05
2022-05-19 15:25:57.891106,5.55142206e-06,5.55142206,1e-06,6.939277574999999e-05,1.6480784240624997,4.210526315789474e-05
2022-05-19 15:25:58.518537,5.52963822e-06,5.52963822,1e-06,6.912047774999999e-05,1.6416113465624997,4.210526315789474e-05
2022-05-19 15:25:59.099761,5.45873989e-06,5.4587398899999995,1e-06,6.8234248625e-05,1.6205634048437498,4.210526315789474e-05
2022-05-19 15:25:59.676481,5.55999441e-06,5.55999441,1e-06,6.9499930125e-05,1.65062334046875,4.210526315789474e-05
2022-05-19 15:26:00.244784,5.60406635e-06,5.604066350000001,1e-06,7.0050829375e-05,1.66370719765625,4.210526315789474e-05
2022-05-19 15:26:00.816372,5.61697387e-06,5.616973870000001,1e-06,7.0212173375e-05,1.66753911765625,4.210526315789474e-05
2022-05-19 15:26:01.410803,5.52782151e-06,5.527821510000001,1e-06,6.9097768875e-05,1.64107201078125,4.210526315789474e-05
2022-05-19 15:26:01.995346,5.56664918e-06,5.566649180000001,1e-06,6.958311475e-05,1.6525989753125,4.210526315789474e-05
2022-05-19 15:26:02.580873,5.56685088e-06,5.56685088,1e-06,6.9585636e-05,1.6526588549999999,4.210526315789474e-05
2022-05-19 15:26:03.164480,5.51763555e-06,5.5176355500000005,1e-06,6.8970444375e-05,1.6380480539062499,4.210526315789474e-05
2022-05-19 15:26:03.748730,5.58863472e-06,5.58863472,1e-06,6.9857934e-05,1.6591259325,4.210526315789474e-05
2022-05-19 15:26:04.322430,5.58167599e-06,5.58167599,1e-06,6.977094987499999e-05,1.6570600595312497,4.210526315789474e-05
2022-05-19 15:26:04.926139,5.37735164e-06,5.3773516400000005,1e-06,6.72168955e-05,1.596401268125,4.210526315789474e-05
2022-05-19 15:26:05.504744,4.99552941e-06,4.99552941,1e-06,6.244411762499999e-05,1.4830477935937498,4.210526315789474e-05
2022-05-19 15:26:06.086296,4.96547578e-06,4.96547578,1e-06,6.206844725e-05,1.4741256221875,4.210526315789474e-05
2022-05-19 15:26:06.671755,4.94974301e-06,4.949743010000001,1e-06,6.1871787625e-05,1.46945495609375,4.210526315789474e-05
2022-05-19 15:26:07.247299,5.02951623e-06,5.02951623,1e-06,6.2868952875e-05,1.4931376307812498,4.210526315789474e-05
2022-05-19 15:26:07.816933,5.09859923e-06,5.09859923,1e-06,6.3732490375e-05,1.51364664640625,4.210526315789474e-05
2022-05-19 15:26:08.393253,5.01186791e-06,5.01186791,1e-06,6.2648348875e-05,1.48789828578125,4.210526315789474e-05
2022-05-19 15:26:08.979789,5.01035514e-06,5.01035514,1e-06,6.262943924999999e-05,1.4874491821874998,4.210526315789474e-05
2022-05-19 15:26:09.562408,4.89346871e-06,4.8934687100000005,1e-06,6.1168358875e-05,1.4527485232812498,4.210526315789474e-05
2022-05-19 15:26:10.146019,4.89286361e-06,4.89286361,1e-06,6.1160795125e-05,1.4525688842187499,4.210526315789474e-05
2022-05-19 15:26:10.728471,4.94621384e-06,4.94621384,1e-06,6.1827673e-05,1.4684072337499998,4.210526315789474e-05
2022-05-19 15:26:11.305434,4.92079936e-06,4.92079936,1e-06,6.150999199999999e-05,1.4608623099999998,4.210526315789474e-05
2022-05-19 15:26:11.870092,5.02850834e-06,5.028508340000001,1e-06,6.285635425e-05,1.4928384134375001,4.210526315789474e-05
2022-05-19 15:26:12.441074,5.05825894e-06,5.05825894,1e-06,6.322823675e-05,1.5016706228125,4.210526315789474e-05
2022-05-19 15:26:13.043443,4.94611252e-06,4.94611252,1e-06,6.182640649999999e-05,1.4683771543749997,4.210526315789474e-05
2022-05-19 15:26:13.652701,4.97979679e-06,4.97979679,1e-06,6.2247459875e-05,1.4783771720312497,4.210526315789474e-05
2022-05-19 15:26:14.235963,5.11100406e-06,5.11100406,1e-06,6.388755075e-05,1.5173293303125,4.210526315789474e-05
2022-05-19 15:26:14.812573,4.85222015e-06,4.852220150000001,1e-06,6.0652751875000006e-05,1.4405028570312501,4.210526315789474e-05
2022-05-19 15:26:15.395887,4.69701032e-06,4.69701032,1e-06,5.8712629000000004e-05,1.39442493875,4.210526315789474e-05
2022-05-19 15:26:15.966794,4.82569632e-06,4.82569632,1e-06,6.032120399999999e-05,1.4326285949999997,4.210526315789474e-05
2022-05-19 15:26:16.536921,4.48159278e-06,4.481592780000001,1e-06,5.601990975e-05,1.3304728565625,4.210526315789474e-05
2022-05-19 15:26:17.112872,4.84959845e-06,4.84959845,1e-06,6.0619980625e-05,1.43972453984375,4.210526315789474e-05
2022-05-19 15:26:17.704617,4.83709292e-06,4.837092920000001,1e-06,6.0463661500000007e-05,1.4360119606250001,4.210526315789474e-05
2022-05-19 15:26:18.289654,4.76710225e-06,4.76710225,1e-06,5.9588778125e-05,1.41523348046875,4.210526315789474e-05
2022-05-19 15:26:18.874311,4.93471678e-06,4.9347167800000005,1e-06,6.168395975e-05,1.4649940440625,4.210526315789474e-05
2022-05-19 15:26:19.454545,5.01559937e-06,5.01559937,1e-06,6.2694992125e-05,1.48900606296875,4.210526315789474e-05
2022-05-19 15:26:20.026679,4.88812253e-06,4.88812253,1e-06,6.1101531625e-05,1.45116137609375,4.210526315789474e-05
2022-05-19 15:26:20.593486,4.7263574e-06,4.7263574,1e-06,5.90794675e-05,1.403137353125,4.210526315789474e-05
2022-05-19 15:26:21.202644,4.65243355e-06,4.65243355,1e-06,5.815541937499999e-05,1.3811912101562498,4.210526315789474e-05
2022-05-19 15:26:21.884080,4.9226136e-06,4.922613600000001,1e-06,6.153267e-05,1.4614009125,4.210526315789474e-05
2022-05-19 15:26:22.468678,4.9549868e-06,4.9549868,1e-06,6.1937335e-05,1.47101170625,4.210526315789474e-05
2022-05-19 15:26:23.064263,4.99885702e-06,4.99885702,1e-06,6.248571275e-05,1.4840356778125,4.210526315789474e-05
2022-05-19 15:26:23.655192,4.87017104e-06,4.870171040000001,1e-06,6.0877138000000004e-05,1.4458320275,4.210526315789474e-05
2022-05-19 15:26:24.252284,4.98988192e-06,4.98988192,1e-06,6.2373524e-05,1.481371195,4.210526315789474e-05
2022-05-19 15:26:24.818322,4.73835929e-06,4.73835929,1e-06,5.9229491124999994e-05,1.4067004142187498,4.210526315789474e-05
2022-05-19 15:26:25.399917,4.71274311e-06,4.71274311,1e-06,5.890928887499999e-05,1.3990956107812498,4.210526315789474e-05
2022-05-19 15:26:25.979597,4.77093419e-06,4.77093419,1e-06,5.9636677375e-05,1.4163710876562499,4.210526315789474e-05
2022-05-19 15:26:26.646446,4.8222674e-06,4.8222674,1e-06,6.0278342499999995e-05,1.431610634375,4.210526315789474e-05
2022-05-19 15:26:27.236165,4.84092485e-06,4.84092485,1e-06,6.0511560625e-05,1.43714956484375,4.210526315789474e-05
2022-05-19 15:26:27.811288,4.85060559e-06,4.85060559,1e-06,6.0632569875e-05,1.44002353453125,4.210526315789474e-05
2022-05-19 15:26:28.393031,4.83144389e-06,4.83144389,1e-06,6.0393048625e-05,1.43433490484375,4.210526315789474e-05
2022-05-19 15:26:28.981445,4.88812219e-06,4.888122190000001,1e-06,6.1101527375e-05,1.4511612751562502,4.210526315789474e-05
2022-05-19 15:26:29.563526,4.91878092e-06,4.91878092,1e-06,6.148476149999999e-05,1.4602630856249996,4.210526315789474e-05
2022-05-19 15:26:30.148382,4.8701707e-06,4.870170700000001,1e-06,6.087713375e-05,1.4458319265625,4.210526315789474e-05
2022-05-19 15:26:30.732483,4.89760219e-06,4.897602190000001,1e-06,6.1220027375e-05,1.45397565015625,4.210526315789474e-05
2022-05-19 15:26:31.335555,4.92473113e-06,4.92473113,1e-06,6.1559139125e-05,1.4620295542187498,4.210526315789474e-05
2022-05-19 15:26:31.934274,4.95861678e-06,4.95861678,1e-06,6.198270975e-05,1.4720893565625,4.210526315789474e-05
2022-05-19 15:26:32.504312,4.93239551e-06,4.93239551,1e-06,6.1654943875e-05,1.4643049170312499,4.210526315789474e-05
2022-05-19 15:26:33.097455,4.96466785e-06,4.9646678500000005,1e-06,6.2058348125e-05,1.47388576796875,4.210526315789474e-05
2022-05-19 15:26:33.680465,5.0076304e-06,5.007630400000001,1e-06,6.259538e-05,1.486640275,4.210526315789474e-05
2022-05-19 15:26:34.271505,5.00127679e-06,5.00127679,1e-06,6.2515959875e-05,1.48475404703125,4.210526315789474e-05
2022-05-19 15:26:34.888122,5.02295977e-06,5.022959770000001,1e-06,6.2786997125e-05,1.49119118171875,4.210526315789474e-05
2022-05-19 15:26:35.475838,5.05472793e-06,5.05472793,1e-06,6.318409912500001e-05,1.5006223542187502,4.210526315789474e-05
2022-05-19 15:26:36.135062,-8.61395278e-07,-0.861395278,1e-06,-1.0767440975e-05,-0.25572672315625,4.210526315789474e-05
2022-05-19 15:26:36.712392,-9.39655419e-07,-0.939655419,1e-06,-1.17456927375e-05,-0.278960202515625,4.210526315789474e-05
2022-05-19 15:26:37.309563,-9.8624844e-07,-0.98624844,1e-06,-1.2328105499999998e-05,-0.2927925056249999,4.210526315789474e-05
2022-05-19 15:26:37.940264,-1.10424376e-06,-1.1042437600000001,1e-06,-1.3803047e-05,-0.32782236625,4.210526315789474e-05
2022-05-19 15:26:38.527512,-9.26040575e-07,-0.926040575,1e-06,-1.15755071875e-05,-0.274918295703125,4.210526315789474e-05
2022-05-19 15:26:39.106265,-9.21300592e-07,-0.921300592,1e-06,-1.1516257399999999e-05,-0.27351111325,4.210526315789474e-05
2022-05-19 15:26:39.704357,-9.24628487e-07,-0.924628487,1e-06,-1.15578560875e-05,-0.274499082078125,4.210526315789474e-05
2022-05-19 15:26:40.311345,-9.37234821e-07,-0.937234821,1e-06,-1.17154352625e-05,-0.278241587484375,4.210526315789474e-05
2022-05-19 15:26:40.897227,-1.01569664e-06,-1.01569664,1e-06,-1.2696207999999999e-05,-0.30153494,4.210526315789474e-05
