Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Resistivity [𝛀 cm],Current Density [A/cm2]
233.0839748734382,0.027015518410000005,270155.1841000001,1e-07,1.1370167680976433,546563.9604245372,2.0802995631370915e-06
226.55637235287526,0.03722498663,372249.8663,1e-07,1.5667081914983165,753116.6276532408,2.0802995631370915e-06
220.58444977677854,0.046907550815000004,469075.50815000007,1e-07,1.9742235191498319,949009.2456553243,2.0802995631370915e-06
214.8896594221378,0.06609212073,660921.2073,1e-07,2.7816549128787877,1337141.5166208334,2.0802995631370915e-06
209.63064839916342,0.08737246720499998,873724.6720499999,1e-07,3.6772923907828274,1767674.4522493053,2.0802995631370915e-06
204.52655911065983,0.11209535295000002,1120953.5295000002,1e-07,4.717817885101011,2267855.0573680564,2.0802995631370915e-06
199.08271005220203,0.1487929449,1487929.449,1e-07,6.262329330808081,3010301.709319445,2.0802995631370915e-06
194.60649826373916,0.1860226811,1860226.8110000002,1e-07,7.82923742003367,3763514.4278101856,2.0802995631370915e-06
190.10636188252454,0.23824725705,2382472.5705,1e-07,10.027241458333334,4820094.969020834,2.0802995631370915e-06
184.63425903465583,0.3609798301000001,3609798.3010000014,1e-07,15.192753792087547,7303156.747856485,2.0802995631370915e-06
179.98470298261677,0.45058098985000006,4505809.898500001,1e-07,18.96384637415825,9115920.952057872,2.0802995631370915e-06
174.39186500651837,0.7266636310499999,7266636.310499999,1e-07,30.583486155303024,14701481.794854166,2.0802995631370915e-06
168.2601238512397,1.5392611370000002,15392611.370000003,1e-07,64.7837178872054,31141533.188379638,2.0802995631370915e-06
163.1477723232151,2.1397958,21397958.0,1e-07,90.05874579124578,43291239.10185185,2.0802995631370915e-06
157.79305286638396,3.1445820125000004,31445820.125000004,1e-07,132.34772779882155,63619552.75289353,2.0802995631370915e-06
156.40832752168404,3.2470493375000005,32470493.375000007,1e-07,136.66032565235693,65692618.541087985,2.0802995631370915e-06
151.59740598053534,4.724453416,47244534.160000004,1e-07,198.840631986532,95582691.79592595,2.0802995631370915e-06
148.38499392526617,6.0556769685,60556769.685,1e-07,254.86855928030303,122515316.44604169,2.0802995631370915e-06
146.1406197681331,7.2026528735,72026528.735,1e-07,303.14195595538723,145720338.22775465,2.0802995631370915e-06
143.70805672243696,8.829770557,88297705.57000001,1e-07,371.62333994107746,178639339.50967595,2.0802995631370915e-06
142.22424327416542,10.017921300500001,100179213.00500001,1e-07,421.6296843644782,202677389.2740047,2.0802995631370915e-06
140.91537703529747,11.15097453,111509745.3,1e-07,469.3171098484848,225600734.70416668,2.0802995631370915e-06
139.25484561751756,2.66130228715,26613022.8715,1e-07,112.00767201809764,53842087.93909954,2.0802995631370915e-06
