Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
105.86975565231542,9.977379217,9977379.217,1e-06,419.9233677188552,20185716.286245372,2.0802995631370915e-05
115.7623887593177,9.93959138,9939591.38,1e-06,418.33297053872053,20109265.8937963,2.0802995631370915e-05
129.26801013443176,9.703203718500003,9703203.718500003,1e-06,408.3839948863638,19631018.63418751,2.0802995631370915e-05
143.562847824789,8.7845367325,8784536.7325,1e-06,369.7195594486532,17772419.22269676,2.0802995631370915e-05
152.84102696691386,7.535512171999999,7535512.171999999,1e-06,317.15118569023565,15245457.496129628,2.0802995631370915e-05
162.50813082888837,9.743778291000002,9743778.291000003,1e-06,410.0916789141415,19713107.005402785,2.0802995631370915e-05
169.04315028254015,7.546271519500001,7546271.519500001,1e-06,317.6040201809765,15267225.250099542,2.0802995631370915e-05
177.39724909718,4.326867972999999,4326867.972999999,1e-06,182.10723792087538,8753894.92685648,2.0802995631370915e-05
188.44738588128112,2.0600532680000008,2060053.2680000009,1e-06,86.70257861952865,4167792.9542407426,2.0802995631370915e-05
197.1892634320059,1.2090588155,1209058.8155,1e-06,50.88631378367003,2446105.1035810187,2.0802995631370915e-05
