Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Resistivity [𝛀 cm],Current Density [A/cm2]
286.2463896344501,0.022571866345000004,22571.866345000006,1e-06,0.9499943747895625,45666.229596134275,2.0802995631370915e-05
276.20109064616076,0.028193416724999996,28193.416725,1e-06,1.1865916130050504,57039.45883715278,2.0802995631370915e-05
267.7332758629363,0.036475681255,36475.681255,1e-06,1.5351717699915826,73795.70698349539,2.0802995631370915e-05
257.72844517564823,0.058352119839999994,58352.11984,1e-06,2.4558972996632993,118054.9831948148,2.0802995631370915e-05
250.1445646568714,0.07558332003,75583.32003,1e-06,3.1811161628787876,152916.25394958333,2.0802995631370915e-05
245.03835241659363,0.092689383035,92689.383035,1e-06,3.9010683095538723,187524.35364025465,2.0802995631370915e-05
240.09635397372466,0.11348100620000001,113481.00620000002,1e-06,4.7761366245791255,229588.8875435186,2.0802995631370915e-05
232.5308113745013,0.1513398934,151339.8934,1e-06,6.3695241329966334,306183.0250731482,2.0802995631370915e-05
227.39779217072328,0.18761048375,187610.48375,1e-06,7.896064130892256,379563.80277199077,2.0802995631370915e-05
221.9469896005603,0.23346000230000002,233460.00230000002,1e-06,9.825757672558924,472324.1713199075,2.0802995631370915e-05
213.58676189270992,0.33956119025,339561.19025,1e-06,14.29129588594276,686982.5932372686,2.0802995631370915e-05
208.18785026283996,0.46220840469999996,462208.4047,1e-06,19.453215686026933,935116.0780273147,2.0802995631370915e-05
204.625032661083,0.58322807695,583228.07695,1e-06,24.54663623526936,1179956.8038293982,2.0802995631370915e-05
199.88799543856982,0.74988023715,749880.23715,1e-06,31.560616041666666,1517118.8131229167,2.0802995631370915e-05
194.91394599984193,0.9475775917,947577.5917,1e-06,39.881211771885525,1917089.8498745374,2.0802995631370915e-05
190.16966984045183,1.244706588,1244706.588,1e-06,52.38664090909091,2518225.8285000003,2.0802995631370915e-05
185.12965793253488,1.6930223395,1693022.3395,1e-06,71.25514896885521,3425235.01093287,2.0802995631370915e-05
180.4824649911546,2.1584563254999996,2158456.3255,1e-06,90.84412144360267,4366876.917793981,2.0802995631370915e-05
175.1100108322537,3.1374815425,3137481.5425000004,1e-06,132.04888646885522,6347589.972557871,2.0802995631370915e-05
172.04282194911002,4.213401342000001,4213401.342000001,1e-06,177.33170631313135,8524335.122472225,2.0802995631370915e-05
169.9145316910769,4.6994213005,4699421.3005,1e-06,197.7870917718855,9507625.501474537,2.0802995631370915e-05
167.79837981477976,5.424473187499999,5424473.1875,1e-06,228.30274358164982,10974512.883969909,2.0802995631370915e-05
165.0377227423106,10.126415439999999,10126415.44,1e-06,426.19593602693595,20487238.64481481,2.0802995631370915e-05
164.08024205164696,10.813609690000002,10813609.690000001,1e-06,455.118252946128,21877534.419120375,2.0802995631370915e-05
162.89018267531773,11.727266539999999,11727266.54,1e-06,493.571824074074,23725997.58324074,2.0802995631370915e-05
161.64066853123387,8.631579517499997,8631579.517499998,1e-06,363.28196622474735,17462964.116423607,2.0802995631370915e-05
161.0874930417901,8.745528096500001,8745528.096500002,1e-06,368.0777818392256,17693498.973011576,2.0802995631370915e-05
157.0780622177967,6.697233563999999,6697233.563999999,1e-06,281.87009949494944,13549495.68272222,2.0802995631370915e-05
155.803881878354,6.938925757,6938925.757,1e-06,292.04232984006734,14038474.795412038,2.0802995631370915e-05
154.552170911369,7.156457131499998,7156457.131499998,1e-06,301.1976907196969,14478572.99289583,2.0802995631370915e-05
153.26086517481258,7.42480918,7424809.18,1e-06,312.49196885521883,15021488.942870371,2.0802995631370915e-05
152.01335212675764,7.610677169500001,7610677.169500001,1e-06,320.31469568602694,15397527.421627317,2.0802995631370915e-05
151.30373282814213,7.763195695499999,7763195.695499999,1e-06,326.73382556818177,15706094.995062498,2.0802995631370915e-05
149.3610177490599,8.096665561999998,8096665.561999999,1e-06,340.76875260942757,16380753.937935185,2.0802995631370915e-05
148.21391784454886,8.207170236,8207170.236,1e-06,345.4196227272727,16604321.264500001,2.0802995631370915e-05
147.08634686069186,8.4057408525,8405740.8525,1e-06,353.7769719065656,17006059.03954861,2.0802995631370915e-05
145.72118993604744,8.592579586,8592579.586,1e-06,361.64055496632994,17384061.477231484,2.0802995631370915e-05
144.78812394548976,8.696181306499998,8696181.306499999,1e-06,366.00089673821543,17593663.10620602,2.0802995631370915e-05
143.59456462155865,8.826274485000003,8826274.485000003,1e-06,371.47619886363645,17856860.879375007,2.0802995631370915e-05
142.46367249899455,8.937447838,8937447.838000001,1e-06,376.1552120370371,18081781.042620376,2.0802995631370915e-05
141.411796850857,9.031353137500002,9031353.137500003,1e-06,380.10745528198663,18271765.3754051,2.0802995631370915e-05
140.3654439949022,9.113835828500003,9113835.828500003,1e-06,383.5789490109429,18438640.078956027,2.0802995631370915e-05
139.37849377813998,9.1976894655,9197689.4655,1e-06,387.10814248737375,18608288.409368057,2.0802995631370915e-05
