Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
109.10679830003721,1.07516879,10751687.9,1e-07,45.2512117003367,21752257.46435185,2.0802995631370915e-06
109.1025879850276,1.90358362,17449516.516666666,1.0909090909090909e-07,80.11715572390573,35302957.02677469,2.2694177052404637e-06
109.09780430194674,2.7624923,23374934.846153844,1.1818181818181818e-07,116.26651094276095,47290956.14707977,2.4585358473438356e-06
109.09594204622181,3.48836727,27408599.97857143,1.2727272727272726e-07,146.81680429292928,55451658.28998016,2.6476539894472075e-06
109.09207526060527,4.22876087,31010913.046666667,1.3636363636363637e-07,177.97815109427611,62739671.302746914,2.83677213155058e-06
109.08903890490785,5.01755817,34495712.41875,1.4545454545454545e-07,211.17669065656565,69789936.69904514,3.0258902736539517e-06
109.08686182955576,5.83173449,37734752.58235294,1.5454545454545453e-07,245.44337079124577,76342994.80781591,3.215008415757323e-06
109.08210635317675,6.66192374,40711756.18888889,1.6363636363636361e-07,280.3839957912458,82365914.14140949,3.404126557860695e-06
109.08038773850342,7.4954993,43394995.94736842,1.7272727272727272e-07,315.46714225589227,87794505.68981482,3.5932446999640673e-06
109.07703603863881,8.35708861,45963987.355,1.8181818181818183e-07,351.7293186026936,92991955.89877315,3.7823628420674396e-06
109.07362712470244,9.25252935,48465629.928571425,1.909090909090909e-07,389.4162184343434,98053149.43882275,3.9714809841708115e-06
109.07124957027216,10.1477107,50738553.5,2e-07,427.09220117845115,102651610.55324075,4.160599126274183e-06
109.06658045727866,11.1265958,53214153.82608696,2.0909090909090907e-07,468.29106902356904,107660116.76851852,4.349717268377555e-06
109.0643744486205,10.3300587,47346102.375,2.1818181818181818e-07,434.7667803030303,95788179.3420139,4.5388354104809275e-06
109.05835858052797,5.86531475,25807384.9,2.2727272727272726e-07,246.85668139730637,52212162.96898148,4.727953552584299e-06
109.05397531932951,8.38947041,35493913.27307692,2.3636363636363637e-07,353.09218897306397,71809444.90895656,4.917071694687671e-06
109.05065228220475,10.2548844,41779158.666666664,2.4545454545454545e-07,431.6028787878788,84525427.48765434,5.106189836791043e-06
109.04652705260334,11.5612233,45419091.53571429,2.5454545454545453e-07,486.5834722222222,91889550.9310516,5.295307978894415e-06
109.04116992341672,6.03611926,22895624.779310346,2.6363636363636366e-07,254.04542340067343,46321240.87295658,5.484426120997787e-06
109.03615639506181,8.76214023,32127847.509999998,2.7272727272727274e-07,368.7769457070707,64999395.19384259,5.67354426310116e-06
109.03386469956513,10.905136,38695643.870967746,2.818181818181818e-07,458.9703703703704,78287020.23894863,5.862662405204531e-06
109.02698907015463,5.99039409,20591979.684375,2.909090909090909e-07,252.12096338383836,41660625.565147564,6.051780547307903e-06
109.02237674657344,8.98882583,29962752.766666666,3e-07,378.3175854377104,60619087.77330247,6.240898689411275e-06
109.02028494111073,11.2924966,36534547.823529415,3.0909090909090907e-07,475.2734259259259,73914802.7726035,6.430016831514646e-06
109.0132375310145,6.21282352,19526016.77714286,3.1818181818181815e-07,261.4824713804714,39504024.68338625,6.6191349736180185e-06
109.0087678398021,9.39221606,28698437.961111117,3.2727272727272723e-07,395.29528872053874,58061191.61576647,6.80825311572139e-06
109.00719221496536,11.8447091,35214000.027027026,3.3636363636363636e-07,498.51469276094275,71243138.94356857,6.997371257824763e-06
108.99991534090368,6.45809101,18694473.976315793,3.4545454545454544e-07,271.8051771885522,37821690.40578704,7.1864893999281346e-06
108.99570365619425,9.88330358,27875984.45641026,3.545454545454545e-07,415.9639553872054,56397246.33079298,7.375607542031506e-06
108.99143473521865,6.22758849,17125868.3475,3.636363636363636e-07,262.10389267676766,34648168.83267361,7.564725684134878e-06
108.9873085420086,9.72483966,26091033.23414634,3.7272727272727274e-07,409.2945984848485,52786025.570934966,7.75384382623825e-06
108.98091970180366,6.26264887,16402175.61190476,3.818181818181818e-07,263.57949789562286,33184031.214825835,7.942961968341623e-06
108.97624927440843,9.89352509,25309017.672093026,3.909090909090909e-07,416.39415361952865,51203892.23474376,8.132080110444995e-06
108.96985981370456,6.40665333,16016633.325000001,4e-07,269.64029166666666,32404022.05104167,8.321198252548366e-06
108.96527581138551,10.1882764,24904675.644444443,4.0909090909090906e-07,428.79951178451176,50385848.410288066,8.510316394651738e-06
108.96103499536154,6.57386866,15720120.70869565,4.181818181818182e-07,276.6779739057239,31804133.100462962,8.69943453675511e-06
108.95667973351225,10.4182868,24383224.425531916,4.272727272727273e-07,438.4800841750842,49330875.34239559,8.888552678858483e-06
108.95080583910584,6.7095307,15376007.854166668,4.3636363636363636e-07,282.3876557239057,31107941.81606867,9.077670820961855e-06
108.94602072069834,10.7590258,24152915.06122449,4.4545454545454544e-07,452.8209511784512,48864925.37849585,9.266788963065226e-06
108.93931599841967,6.88438168,15145639.696,4.545454545454545e-07,289.7467037037037,30641872.903481483,9.455907105168598e-06
108.93550474211594,11.0161534,23760330.8627451,4.6363636363636365e-07,463.6428198653199,48070669.38435004,9.64502524727197e-06
108.92914361050724,6.9987937,14805140.51923077,4.7272727272727273e-07,294.5620244107744,29952992.624554846,9.834143389375342e-06
108.92587696136873,11.2962039,23444951.490566038,4.818181818181818e-07,475.4294570707071,47432610.19156185,1.0023261531478715e-05
108.91977339074899,7.13960247,14543634.66111111,4.909090909090909e-07,300.4883194444444,29423927.531970166,1.0212379673582085e-05
108.91553267335011,11.5215606,23043121.200000003,5e-07,484.9141666666667,46619647.98333334,1.0401497815685458e-05
108.90980156672853,7.21717971,14176603.001785714,5.090909090909091e-07,303.7533547979798,28681368.11009425,1.059061595778883e-05
108.9058756658442,11.5971816,22380525.89473684,5.181818181818182e-07,488.09686868686873,45279119.518518515,1.0779734099892204e-05
108.9014338707179,7.27872312,13804474.88275862,5.272727272727273e-07,306.34356565656566,27928497.795210727,1.0968852241995575e-05
108.89682040080716,11.700872,21815185.08474576,5.363636363636364e-07,492.46094276094277,44135351.30571249,1.1157970384098947e-05
108.8922924669542,7.38361444,13536626.473333333,5.454545454545455e-07,310.7581835016835,27386600.78169753,1.134708852620232e-05
108.88819479121028,11.7906481,21261824.442622952,5.545454545454546e-07,496.23939814814815,43015820.74734365,1.1536206668305691e-05
108.88229125263584,7.48624118,13282040.803225806,5.636363636363636e-07,315.07749074074076,26871536.254674435,1.1725324810409062e-05
108.87813628162102,11.8032999,20608936.333333336,5.727272727272727e-07,496.77188131313136,41694931.378086425,1.1914442952512434e-05
108.8737230898912,7.60352917,13068565.7609375,5.818181818181818e-07,320.01385395622896,26439644.618192997,1.2103561094615807e-05
108.87011183084077,11.898499,20135921.384615384,5.909090909090909e-07,500.7785774410774,40737952.06054131,1.2292679236719177e-05
108.86472446314826,7.72156144,12869269.066666668,6e-07,324.9815420875421,26036437.880246915,1.248179737882255e-05
108.86085542737942,11.9391029,19601512.223880596,6.090909090909091e-07,502.4874957912458,39656763.156647325,1.2670915520925922e-05
108.85581174103712,7.85714347,12710085.025,6.181818181818181e-07,330.68785648148145,25714384.981134262,1.2860033663029292e-05
108.85194263686003,11.9710738,19084320.550724637,6.272727272727272e-07,503.83307239057234,38610407.7808642,1.3049151805132665e-05
108.84649737655339,7.9866559,12550459.27142857,6.363636363636364e-07,336.1387163299663,25391438.43339947,1.3238269947236039e-05
108.83967641383377,7.56867094,11726109.907042252,6.454545454545455e-07,318.5467567340067,23723657.543414183,1.3427388089339411e-05
108.8351768166149,11.9671129,18283089.152777776,6.545454545454546e-07,503.66636784511786,36989397.96186986,1.3616506231442782e-05
108.83127918474885,8.05377284,12135822.087671233,6.636363636363636e-07,338.9635033670034,24552565.98292745,1.3805624373546154e-05
108.8231972484891,7.65467565,11378571.912162162,6.727272727272727e-07,322.1664835858586,23020536.692661412,1.3994742515649526e-05
108.82038815864811,11.9911635,17587039.8,6.818181818181818e-07,504.6785984848485,35581187.002777785,1.4183860657752897e-05
108.81459874913314,8.23507104,11919181.768421052,6.909090909090909e-07,346.59389898989895,24114270.52222222,1.4372978799856269e-05
