Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Resistivity [𝛀 cm],Current Density [A/cm2]
130.0201022371182,0.764880638,7648806.38,1e-07,32.19194604377104,15474668.46324074,2.0802995631370915e-06
130.00448390902932,1.17050815,10254894.411504425,1.1414141414141414e-07,49.26381102693603,20747170.638089973,2.374483339742337e-06
129.97407458805378,1.50143526,11704101.633070866,1.282828282828283e-07,63.1917196969697,23679131.544685036,2.6686671163475826e-06
129.95840005906018,1.9071075,13390329.25531915,1.4242424242424242e-07,80.26546717171718,27090619.83599291,2.9628508929528276e-06
129.94275208777523,2.22376527,14203403.982580645,1.5656565656565657e-07,93.59281439393939,28735590.464758065,3.257034669558073e-06
129.92522430117333,2.53676766,14860354.931360947,1.7070707070707072e-07,106.76631565656567,30064699.560207102,3.5512184461633183e-06
129.90952086785094,2.85432711,15441441.742622951,1.8484848484848484e-07,120.13161237373737,31240324.26632514,3.845402222768563e-06
129.89113504980634,3.16262486,15893393.966497462,1.98989898989899e-07,133.10710690235692,32154690.571108293,4.139585999373809e-06
129.87556863505813,3.16080519,14830318.190047393,2.1313131313131314e-07,133.03052146464645,30003930.78264218,4.433769775979054e-06
129.85826046798303,3.70845181,16317187.964,2.2727272727272729e-07,156.07962163299663,33012088.61235185,4.7279535525843e-06
129.84258292820573,4.01479964,16630341.605020918,2.4141414141414144e-07,168.97304882154882,33645644.82126918,5.022137329189545e-06
129.82654551836006,4.32391829,16919680.265217394,2.5555555555555553e-07,181.98309301346802,34231019.795833334,5.31632110579479e-06
129.80873837887967,4.6287225,17162678.93258427,2.696969696969697e-07,194.81155303030303,34722642.09971911,5.610504882400035e-06
129.7930597478076,4.92936412,17366798.856939502,2.8383838383838383e-07,207.46481986531987,35135606.946678534,5.9046886590052804e-06
129.7771042655987,5.2221057,17525032.688135594,2.97979797979798e-07,219.78559343434344,35455737.42923729,6.198872435610525e-06
129.75995933140337,5.52268328,17694033.809708737,3.1212121212121213e-07,232.43616498316499,35797651.73538296,6.493056212215771e-06
129.74345006906532,5.81801523,17832306.742105264,3.262626262626263e-07,244.86596085858588,36077398.3625,6.787239988821017e-06
129.7257512718618,6.11473798,17963176.855192877,3.4040404040404043e-07,257.3542920875421,36342167.98944115,7.081423765426262e-06
129.710679549327,6.40100011,18054102.874358974,3.545454545454546e-07,269.4023615319865,36526124.79673551,7.375607542031508e-06
129.69466700132352,6.68764877,18139102.14328767,3.6868686868686873e-07,281.4666990740741,36698090.910262555,7.669791318636754e-06
129.67782399606247,6.97599868,18222265.681266487,3.828282828282829e-07,293.60263804713804,36866343.06811786,7.963975095241998e-06
129.66299996443146,7.26445206,18299764.73129771,3.9696969696969697e-07,305.74293181818183,37023135.127671756,8.258158871847243e-06
129.6455483391736,7.54986348,18364532.78918919,4.111111111111111e-07,317.75519696969695,37154170.504054055,8.552342648452488e-06
129.630142665335,7.83878862,18433255.89976247,4.2525252525252527e-07,329.915345959596,37293207.537945375,8.846526425057733e-06
129.6139900132925,8.12772587,18497583.01448276,4.393939393939394e-07,342.07600462962967,37423350.820967436,9.140710201662979e-06
129.59744950875375,8.42033444,18565993.531403117,4.5353535353535357e-07,354.3911801346801,37561755.43158871,9.434893978268225e-06
129.58215369929508,8.70638199,18616237.948380128,4.676767676767677e-07,366.4302184343435,37663407.33075054,9.72907775487347e-06
129.56467223666087,8.99579646,18670520.954716977,4.818181818181819e-07,378.6109621212121,37773229.89449684,1.0023261531478716e-05
129.54976276462622,9.28309129,18717434.576578412,4.95959595959596e-07,390.70249537037034,37868143.10168873,1.031744530808396e-05
129.5326954024624,9.57382304,18768484.77148515,5.101010101010101e-07,402.93868013468017,37971425.2089769,1.0611629084689205e-05
129.51606992144522,9.87549485,18837649.13583815,5.242424242424243e-07,415.63530513468015,38111354.96463552,1.090581286129445e-05
129.49922312935198,10.1663529,18883094.50469043,5.383838383838384e-07,427.87680555555556,38203297.67847092,1.1199996637899696e-05
129.48226500864547,10.4527523,18918144.01645338,5.525252525252526e-07,439.9306523569024,38274208.03328763,1.1494180414504942e-05
129.46646868506835,10.7427806,18957848.117647056,5.666666666666667e-07,452.1372306397306,38354535.3120915,1.1788364191110188e-05
129.44923360800422,11.0276811,18986790.067826085,5.808080808080809e-07,464.12799242424245,38413089.165,1.2082547967715432e-05
129.43349131574325,11.3158159,19019792.429541595,5.94949494949495e-07,476.254877946128,38479857.83198925,1.2376731744320678e-05
129.41650422877657,11.5997041,19044290.313432835,6.090909090909092e-07,488.20303451178455,38529420.68041736,1.2670915520925924e-05
129.40131497460095,11.8813514,19064080.852512155,6.232323232323233e-07,500.0568771043771,38569459.872906536,1.296509929753117e-05
129.36969049361772,6.76523633,10614237.665134706,6.373737373737375e-07,284.73216877104375,21474175.2762216,1.3259283074136415e-05
129.34678079676976,9.45268123,14508766.539069764,6.515151515151516e-07,397.8401191077441,29353384.155432813,1.355346685074166e-05
129.33175576772504,10.7398364,16134200.358118359,6.656565656565658e-07,452.0133164983165,32641877.57637835,1.3847650627346905e-05
129.31479408053642,11.4778017,16884136.23031204,6.797979797979798e-07,483.07246212121214,34159108.947436854,1.4141834403952149e-05
129.28512999038782,6.87401797,9905790.087772924,6.93939393939394e-07,289.31052062289564,20040880.872022077,1.4436018180557393e-05
129.26227278697948,9.83248002,13886098.744365193,7.080808080808081e-07,413.8249166666667,28093634.959664766,1.4730201957162639e-05
129.24611170613852,11.3137466,15665187.6,7.222222222222222e-07,476.16778619528617,31692995.28333333,1.5024385733767885e-05
129.21572550825863,7.0036083,9511073.0,7.363636363636364e-07,294.7646590909091,19242309.72685185,1.531856951037313e-05
129.19264456443452,10.1694687,13550166.908479137,7.505050505050505e-07,428.0079419191919,27413995.087987885,1.5612753286978376e-05
129.1773947524247,11.7628683,15383407.68428005,7.646464646464647e-07,495.0702146464646,31122912.768659174,1.5906937063583622e-05
129.14742116986872,7.29243372,9363825.39922179,7.787878787878788e-07,306.9206111111111,18944406.016018156,1.6201120840188868e-05
129.12461427354793,10.66881,13454932.356687898,7.92929292929293e-07,449.02398989898995,27221321.480891723,1.649530461679411e-05
129.0937249870422,7.24891219,8981756.030162703,8.070707070707071e-07,305.08889688552193,18171423.079542138,1.6789488393399356e-05
129.07127625103234,10.7351295,13072297.91512915,8.212121212121213e-07,451.8152146464646,26447195.31903444,1.7083672170004602e-05
129.04157445340115,7.37150176,8824409.603869407,8.353535353535354e-07,310.2483905723906,17853087.948569126,1.7377855946609848e-05
129.0186540346387,10.9933821,12941079.998810938,8.494949494949496e-07,462.6844318181818,26181722.034631386,1.7672039723215094e-05
128.98897786710108,7.54570715,8737134.59473684,8.636363636363637e-07,317.58026725589224,17676517.67546296,1.796622349982034e-05
128.96591684522784,11.3287926,12906219.417721517,8.777777777777779e-07,476.8010353535353,26111193.914556958,1.8260407276425585e-05
128.93590632458805,7.7378328,8675486.378255945,8.919191919191919e-07,325.6663636363636,17551794.200453,1.8554591053030828e-05
128.91201301159538,11.6130465,12817074.73244147,9.060606060606061e-07,488.7645833333333,25930841.009615384,1.8848774829636073e-05
128.88324602749978,7.90484847,8590340.269264543,9.202020202020202e-07,332.6956426767677,17379531.00772503,1.914295860624132e-05
128.8587693024649,11.8248683,12655804.991351351,9.343434343434344e-07,497.67964225589225,25604568.431576576,1.9437142382846565e-05
128.82928004870905,8.06600949,8504099.46230032,9.484848484848485e-07,339.4785138888889,17205053.078820556,1.973132615945181e-05
128.80674010438412,11.9553985,12419564.02413431,9.626262626262628e-07,503.1733375420875,25126617.956234694,2.0025509936057057e-05
128.78023924169062,8.15671462,8350721.275904861,9.767676767676767e-07,343.2960698653199,16894746.28504826,2.03196937126623e-05
