Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
113.46866893678799,0.554173443,55417344.300000004,1e-08,23.323798106060607,112117497.49583334,2.0802995631370918e-07
113.46795834154958,0.49214247,45113059.75,1.090909090909091e-08,20.71306691919192,91270403.29050927,2.2694177052404637e-07
113.46875376969138,4.23487929,358335939.9230769,1.1818181818181819e-08,178.23566035353537,724966693.2702992,2.4585358473438357e-07
113.46807224655038,7.77000814,610500639.5714285,1.2727272727272728e-08,327.0205446127946,1235133238.3921957,2.6476539894472077e-07
113.4676461750012,11.205887,821765046.6666667,1.3636363636363636e-08,471.62824074074075,1662552432.3765433,2.8367721315505797e-07
113.46793022273813,0.148491837,10208813.79375,1.4545454545454546e-08,6.249656439393939,20653942.72161458,3.0258902736539517e-07
113.46872565092147,0.763314503,49390938.42941177,1.5454545454545453e-08,32.12603127104377,99925185.61876364,3.215008415757323e-07
113.46855503191352,6.06643602,370726645.6666667,1.6363636363636363e-08,255.32138131313133,750034926.6496915,3.404126557860695e-07
113.4681575561377,11.011693,637519068.4210526,1.7272727272727272e-08,463.45509259259256,1289795522.6851852,3.593244699964067e-07
113.46844160360459,0.187167296,10294201.280000001,1.818181818181818e-08,7.877411447811448,20826694.256296296,3.7823628420674396e-07
113.46812896074682,0.957533648,50156524.41904762,1.909090909090909e-08,40.300237710437706,101474079.49594355,3.9714809841708116e-07
113.46846972238932,7.34473967,367236983.5,2e-08,309.122039983165,742974823.099537,4.1605991262741835e-07
113.46878236504904,0.207698727,9933417.37826087,2.090909090909091e-08,8.741528914141414,20096774.97361111,4.3497172683775555e-07
113.46952107792872,1.07564876,49300568.166666664,2.181818181818182e-08,45.271412457912454,99742353.1890432,4.5388354104809275e-07
113.46753226991027,8.01295405,352569978.1999999,2.272727272727273e-08,337.2455408249158,713301298.4879628,4.7279535525842995e-07
113.46920843569829,0.245171607,10372644.911538461,2.3636363636363638e-08,10.31867032828283,20985397.344177354,4.917071694687671e-07
113.46790162733521,1.26742654,51635896.07407407,2.4545454545454547e-08,53.342867845117844,104467067.52023318,5.106189836791044e-07
113.4688676745237,9.53341044,374526838.71428573,2.5454545454545454e-08,401.23781313131315,757723280.1765873,5.295307978894415e-07
113.46818567493726,0.267476276,10145651.848275863,2.6363636363636363e-08,11.257419023569025,20526156.748595152,5.484426120997787e-07
113.46810036535439,1.40759747,51611907.233333334,2.7272727272727272e-08,59.24231776094276,104418534.54151234,5.673544263101159e-07
113.46923703103178,10.5526255,374448001.61290324,2.8181818181818182e-08,444.1340698653199,757563781.04092,5.862662405204531e-07
113.4684130082288,0.293559424,10091105.200000001,2.909090909090909e-08,12.355194612794614,20415800.79814815,6.051780547307903e-07
113.469379054499,1.56201187,52067062.33333333,3.0000000000000004e-08,65.74124031986533,105339380.73919754,6.240898689411276e-07
113.46926514977491,11.7274061,379416079.7058824,3.090909090909091e-08,493.5776978114478,767614939.0345862,6.430016831514646e-07
113.46943576855763,0.320793146,10082070.30285714,3.181818181818182e-08,13.501395033670033,20397521.862724863,6.61913497361802e-07
