Temperature [K],Voltage [V],Resistance [Ohm],Current Source [A],Electric Field [V/cm],Resistivity [Ohm cm],Current Density [A/cm2]
288.14116898511537,1.628171682,1628.171682,0.001,68.5257441919192,3294.032523305556,0.02080299563137092
288.1245351632943,2.80217548,1386.9353385858585,0.0020204081632653062,117.93667845117845,2805.9756618612046,0.042030542193994304
288.10854757250684,3.7344556499999997,1228.1095761744966,0.003040816326530612,157.17405934343432,2484.6476147604403,0.06325808875661768
288.0934272433243,4.365090807,1074.8213544874372,0.004061224489795918,183.71594305555553,2174.522832921343,0.08448563531924105
288.07975860467303,5.038209150000001,991.4548126506027,0.005081632653061224,212.04583964646469,2005.859968186636,0.10571318188186445
288.06737265044785,5.332560486,873.8978722876255,0.00610204081632653,224.4343638888889,1768.0248619893164,0.12694072844448784
288.0559881909313,5.5215687010000005,775.2345740659027,0.007122448979591836,232.3892550925926,1568.4143929018496,0.1481682750071112
288.04557825303147,5.727116703000001,703.3301214210528,0.008142857142857143,241.04026527777782,1422.9410326898153,0.1693958215697346
288.0359535548731,5.797479504,632.6870728195993,0.009163265306122447,244.00166262626263,1280.0196797322449,0.19062336813235795
288.02713933222606,5.905572781,579.9059444268537,0.010183673469387755,248.55104297138047,1173.235637567292,0.21185091469498138
288.01911544794956,5.933933657,529.6224939763207,0.01120408163265306,249.74468253367002,1071.5047679057968,0.23307846125760473
288.01178019279223,5.932178236,485.27000594991654,0.012224489795918368,249.6708011784512,981.7731138894145,0.25430600782022816
288.0048873126107,5.8679093799999995,443.03167892141755,0.013244897959183672,246.96588299663298,896.3187207808311,0.2755335543828515
287.9985064125128,6.059417577,424.76603901716743,0.014265306122448976,255.02599229797977,859.3646252338064,0.29676110094547486
287.9929409708842,6.078291331,397.6452272616823,0.015285714285714284,255.8203422138047,804.4952051544219,0.3179886475080983
287.9883349513526,5.997023698,367.77742328160207,0.01630612244897959,252.39998728956226,744.0682128428708,0.3392161940707216
287.98406192896056,5.899904754,340.51275965371025,0.017326530612244897,248.31248964646463,688.9077591142193,0.36044374063334506
287.9800127249258,5.827739038000001,317.6409486785318,0.0183469387755102,245.27521203703708,642.6346970949926,0.3816712871959684
287.97621957684134,5.7607085399999995,297.444381938883,0.01936734693877551,242.45406313131312,601.7740504967218,0.4028988337585918
287.9727692706093,5.4870266139999995,269.1334375235235,0.020387755102040814,230.93546355218854,544.496815730462,0.4241263803212152
287.9692470643199,5.852016435,273.35443785986655,0.02140816326530612,246.2969880050505,553.0365247442671,0.44535392688383857
287.9667886327216,5.8155863929999985,259.29366083439487,0.022428571428571426,244.76373707912452,524.58948974366,0.46658147344646195
287.9652797930004,5.3618880220000005,228.66189127763275,0.023448979591836734,225.66868779461282,462.6168818903959,0.4878090200090854
287.96301277896316,5.082293577,207.7000711201001,0.02446938775510204,213.9012448232323,420.20801425686915,0.5090365665717087
287.95984100067125,5.242787771999999,205.68182612329863,0.025489795918367343,220.65605101010095,416.124805629081,0.5302641131343321
287.9572956108759,5.49141176,207.1433227405697,0.02651020408163265,231.12002356902357,419.08162980383776,0.5514916596969555
287.9569128535135,5.453222564,198.07850677242405,0.027530612244897956,229.51273417508418,400.7421641645801,0.5727192062595788
287.9569525138189,5.377391671000001,188.3432393702645,0.028551020408163263,226.32119827441082,381.04627594817407,0.5939467528222022
287.9575292772055,5.333483150000001,180.3593335748793,0.029571428571428568,224.4731965488216,364.89365172325114,0.6151742993848256
