Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Resistivity [𝛀 cm],Current Density [A/cm2]
138.97050862539743,5.1531674,5153167.4,1e-06,216.88414983164984,10425621.08240741,2.0802995631370915e-05
138.94847031724515,6.49386742,6302871.319411766,1.0303030303030302e-06,273.3109183501683,12751642.437883988,2.1433389438382153e-05
138.92640387587406,7.3895198,6967261.525714287,1.0606060606060606e-06,311.0067255892256,14095802.2534127,2.2063783245393397e-05
138.90556614243917,8.08643263,7412563.244166666,1.090909090909091e-06,340.3380736531986,14996713.600466818,2.269417705240464e-05
138.88276118367318,8.65681455,7720942.706756757,1.1212121212121212e-06,364.3440467171717,15620610.939132882,2.3324570859415876e-05
138.86230440848942,9.13401867,7932174.1081578955,1.1515151515151514e-06,384.42839520202017,16047963.357708335,2.3954964666427114e-05
138.8410277487191,9.54907719,8079988.391538462,1.1818181818181818e-06,401.89718813131316,16347013.551399576,2.4585358473438355e-05
138.81816631122396,9.92975189,8192045.30925,1.2121212121212122e-06,417.9188505892256,16573721.29695486,2.52157522804496e-05
138.79609606697375,10.2725854,8268178.492682927,1.2424242424242424e-06,432.3478703703704,16727750.00602981,2.5846146087460836e-05
138.77432580966257,10.5884191,8319472.15,1.2727272727272726e-06,445.6405345117845,16831524.673842594,2.6476539894472074e-05
138.7528285258773,10.8911081,8358292.262790698,1.303030303030303e-06,458.37997053872056,16910063.513145998,2.7106933701483315e-05
138.73116609867623,11.1838198,8387864.85,1.3333333333333334e-06,470.69948653198657,16969893.238194447,2.7737327508494556e-05
138.7089021939722,11.4753744,8415274.56,1.3636363636363636e-06,482.970303030303,17025347.142222222,2.8367721315505794e-05
138.68830412909682,11.7561115,8433732.163043479,1.3939393939393938e-06,494.7858375420875,17062689.60763889,2.899811512251703e-05
138.64590450139121,7.95856464,5587928.364255319,1.4242424242424242e-06,334.95642424242425,11305206.92212766,2.9628508929528276e-05
138.61459482692132,10.7885295,7417114.031249999,1.4545454545454546e-06,454.06268939393937,15005920.516927082,3.0258902736539517e-05
138.59295593717195,11.7710139,7927417.524489796,1.4848484848484848e-06,495.41304292929294,16038340.084268708,3.088929654355076e-05
138.55281873092173,8.24999552,5444997.043200001,1.515151515151515e-06,347.2220336700337,11016035.684622223,3.1519690350561995e-05
138.5216418072197,11.3359339,7335016.052941177,1.5454545454545454e-06,477.10159511784514,14839824.144144882,3.215008415757323e-05
138.4809543252237,8.40071391,5331222.289038462,1.5757575757575759e-06,353.56540025252525,10785852.501434295,3.278047796458448e-05
138.44977443075666,11.6713896,7267091.637735848,1.606060606060606e-06,491.220101010101,14702402.989308177,3.3410871771595715e-05
138.41069515984097,8.67601325,5302008.097222223,1.6363636363636363e-06,365.15207281144785,10726747.863361627,3.404126557860695e-05
138.36016259229456,8.55963449,5135780.694,1.6666666666666667e-06,360.25397685185186,10390445.20036111,3.46716593856182e-05
138.31093858018392,8.6358163,5088963.176785714,1.696969696969697e-06,363.460281986532,10295726.427108135,3.5302053192629434e-05
138.26217636237715,8.76005085,5071608.386842106,1.7272727272727273e-06,368.68900883838387,10260615.115972225,3.593244699964067e-05
138.21105963554214,8.90049533,5064074.929137931,1.7575757575757575e-06,374.5999718013468,10245373.814968871,3.656284080665191e-05
138.1608961870282,9.04435597,5058707.576440678,1.7878787878787879e-06,380.6547125420875,10234514.865298964,3.7193234613663154e-05
138.11171418617826,9.19324294,5056283.617,1.8181818181818183e-06,386.9209991582491,10229610.83624537,3.78236284206744e-05
138.06351290718993,9.33578103,5050504.491639344,1.8484848484848485e-06,392.92007702020203,10217918.809474044,3.8454022227685636e-05
138.01790592720465,9.42091488,5014357.92,1.8787878787878787e-06,396.5031515151515,10144788.94,3.9084416034696874e-05
137.97380047752276,9.51380594,4983422.1590476185,1.909090909090909e-06,400.4127079124579,10082201.312517637,3.971480984170811e-05
137.93029391735408,9.64611281,4973776.917656249,1.9393939393939395e-06,405.9811788720539,10062687.560258247,4.0345203648719356e-05
137.88659350974672,9.78726322,4968918.250153846,1.9696969696969695e-06,411.9218526936027,10052857.756098293,4.0975597455730586e-05
137.84264415864737,9.93593017,4967965.085,2.0000000000000003e-06,418.17887920875427,10050929.361782407,4.160599126274184e-05
137.8090581185784,10.0594088,4954634.1850746265,2.0303030303030303e-06,423.3757912457912,10023958.97628524,4.2236385069753075e-05
137.79097944734505,10.160949,4931048.779411766,2.0606060606060603e-06,427.6493686868687,9976242.2064951,4.2866778876764306e-05
137.77385712443638,10.2454858,4900014.947826087,2.090909090909091e-06,431.2073148148149,9913456.167592594,4.349717268377556e-05
137.75506631013414,10.2081191,4812399.004285715,2.121212121212121e-06,429.63464225589223,9736196.133670634,4.4127566490786795e-05
137.73824421320347,10.4188172,4842548.83943662,2.1515151515151515e-06,438.50240740740736,9797193.71682316,4.475796029779803e-05
137.71934282464488,10.5737461,4846300.295833332,2.181818181818182e-06,445.02298400673396,9804783.468885029,4.538835410480928e-05
137.70093339557656,10.7252568,4848403.75890411,2.212121212121212e-06,451.399696969697,9809039.086301371,4.601874791182051e-05
137.68208614028933,10.880556,4852139.837837838,2.2424242424242428e-06,457.9358585858586,9816597.727477478,4.664914171883176e-05
137.66345687463428,11.0361209,4855893.196,2.2727272727272728e-06,464.48320286195286,9824191.327092592,4.7279535525842996e-05
137.64529208037771,11.1818492,4855276.62631579,2.3030303030303027e-06,470.61654882154886,9822943.91527778,4.790992933285423e-05
137.6247745771422,11.3366743,4858574.699999999,2.3333333333333336e-06,477.13275673400676,9829616.406944444,4.854032313986548e-05
137.60633528693796,11.4943998,4863015.3,2.3636363636363636e-06,483.77103535353535,9838600.398611112,4.917071694687671e-05
137.5878684620086,11.6436451,4863801.117721519,2.393939393939394e-06,490.0524031986532,9840190.224279186,4.9801110753887953e-05
137.56907298706406,11.7996035,4867336.44375,2.4242424242424244e-06,496.6163089225589,9847342.712586805,5.04315045608992e-05
137.55071449204763,11.9517643,4869237.307407408,2.4545454545454544e-06,503.02038299663303,9851188.441375174,5.106189836791043e-05
