Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Resistivity [𝛀 cm],Current Density [A/cm2]
113.47682141298934,9.08356697,45417834.85,2e-07,382.30500715488216,91887008.46967594,4.160599126274183e-06
113.47818491282165,2.00308438,9965093.14673367,2.01010101010101e-07,84.30489814814815,20160859.74593803,4.181612253174558e-06
113.4771054558818,9.12298877,45158794.41149999,2.0202020202020202e-07,383.9641738215488,91362931.28622915,4.202625380074933e-06
113.47801429681363,2.02575764,9977612.256716419,2.0303030303030303e-07,85.25915993265994,20186187.76011609,4.223638506975307e-06
113.4785256680946,9.16425182,44913907.43465347,2.0404040404040403e-07,385.7008341750842,90867488.65251651,4.244651633875682e-06
113.4775601148304,2.04564925,9976319.002463054,2.0505050505050503e-07,86.0963489057239,20183571.31516831,4.265664760776056e-06
113.47736138030575,9.21670512,44728127.78823529,2.0606060606060606e-07,387.90846464646467,90491628.90490197,4.286677887676431e-06
113.47880971008726,2.06578519,9976230.917560976,2.0707070707070707e-07,86.94382112794614,20183393.10636179,4.307691014576806e-06
113.47838364704204,9.25881118,44496228.48640777,2.0808080808080807e-07,389.68060521885525,90022462.26185277,4.3287041414771805e-06
113.4781563179637,2.08602769,9976654.169565218,2.0909090909090907e-07,87.7957781986532,20184249.40787037,4.349717268377555e-06
113.47812819968529,9.2923575,44228047.71634615,2.101010101010101e-07,391.09248737373736,89479892.83353366,4.37073039527793e-06
113.4776454229131,2.10795626,9985055.968421053,2.111111111111111e-07,88.71869781144781,20201247.491666667,4.391743522178305e-06
113.47804289167911,9.34547233,44057226.69857143,2.121212121212121e-07,393.327960016835,89134296.60775794,4.412756649078679e-06
113.47633863504456,2.11796464,9937369.637914693,2.131313131313131e-07,89.13992592592592,20104770.980410747,4.433769775979053e-06
113.4771621691259,9.38384809,43820800.04292453,2.1414141414141414e-07,394.94310143097647,88655970.45721306,4.454782902879429e-06
113.47801429681363,2.14807529,9984011.911267607,2.1515151515151514e-07,90.40720917508418,20199135.20937011,4.475796029779803e-06
113.47849754983548,9.41308565,43546517.726635516,2.1616161616161615e-07,396.17363846801345,88101056.69694316,4.496809156680177e-06
113.47798617852781,2.1681662,9983649.013953488,2.1717171717171715e-07,91.25278619528619,20198401.01434109,4.517822283580552e-06
113.47866768910968,9.42480047,43197002.15416666,2.1818181818181818e-07,396.6666864478114,87393934.91375385,4.5388354104809275e-06
113.47713405079554,2.18776949,9981068.180184333,2.1919191919191918e-07,92.07784048821549,20193179.60528034,4.559848537381301e-06
113.47775884928159,9.49577675,43123022.85550459,2.2020202020202019e-07,399.6539036195286,87244263.83266439,4.580861664281676e-06
113.47809960482441,2.20727556,9978094.997260273,2.2121212121212121e-07,92.89880303030303,20187164.415753424,4.601874791182052e-06
113.47841224188782,9.46454824,42590467.08,2.2222222222222222e-07,398.33957239057236,86166824.60166667,4.6228879180824254e-06
113.47846895499418,2.23256104,10001065.292307694,2.2323232323232322e-07,93.96300673400674,20233636.72564103,4.6439010449828e-06
113.4781563179637,9.52017628,42454840.167567566,2.2424242424242422e-07,400.68081986531985,85892431.26493995,4.664914171883175e-06
113.47738949862425,2.26412731,10051506.891928252,2.2525252525252525e-07,95.29155345117846,20335687.554502994,4.6859272987835495e-06
113.47747480673411,9.56935519,42293132.31294643,2.2626262626262626e-07,402.75063930976427,85565272.31832217,4.706940425683924e-06
113.47812819968529,2.26761062,9977486.728000002,2.2727272727272726e-07,95.43815740740742,20185933.79692593,4.727953552584299e-06
113.4782702208053,9.61778674,42131012.710619465,2.282828282828283e-07,404.7890042087542,85237280.34509587,4.748966679484674e-06
113.47838364704204,2.2883867,9980188.691629957,2.292929292929293e-07,96.31257154882155,20191400.269640237,4.769979806385048e-06
113.4782702208053,9.63363849,41830272.39078947,2.303030303030303e-07,405.45616540404035,84628838.12395833,4.790992933285423e-06
113.47866768910968,2.30859309,9980380.607423581,2.313131313131313e-07,97.16300883838385,20191788.54372271,4.812006060185798e-06
113.47903703888947,9.62143199,41413989.870000005,2.323232323232323e-07,404.9424238215488,83786636.91291666,4.8330191870861724e-06
113.47844083673212,2.32846375,9979130.357142858,2.3333333333333333e-07,97.99931607744108,20189259.10218254,4.854032313986547e-06
113.47841224188782,9.68789919,41340604.302155174,2.3434343434343433e-07,407.7398648989899,83638167.0372306,4.875045440886922e-06
113.478213507678,2.3491515,9981373.326180259,2.3535353535353534e-07,98.87001262626264,20193796.960836913,4.8960585677872965e-06
113.4782702208053,9.73775807,41198207.21923077,2.3636363636363637e-07,409.8383026094276,83350076.6426104,4.917071694687671e-06
113.47849754983548,2.36891493,9979684.17319149,2.3737373737373737e-07,99.70180681818181,20190379.55409574,4.938084821588046e-06
113.4781563179637,9.72976263,40815529.676694915,2.3838383838383837e-07,409.5017941919192,82575863.28109111,4.959097948488421e-06
113.47846895499418,2.38879762,9978521.703797469,2.393939393939394e-07,100.53862037037037,20188027.706293955,4.9801110753887945e-06
113.47824162595197,9.79370871,40738536.23067228,2.404040404040404e-07,412.1931275252526,82420094.13335086,5.001124202289169e-06
113.47829881565714,2.40872395,9977559.458158998,2.414141414141414e-07,101.37727062289564,20186080.94081242,5.022137329189544e-06
113.47875299701678,9.77951148,40340484.855,2.4242424242424244e-07,411.595601010101,81614777.22979167,5.0431504560899194e-06
113.47801429681363,2.42850081,9975999.1780083,2.4343434343434344e-07,102.20963005050506,20182924.262914937,5.064163582990294e-06
113.47824162595197,9.83444295,40231812.06818182,2.4444444444444445e-07,413.90753156565654,81394916.08238636,5.085176709890669e-06
113.4783555287755,2.45017173,9982181.122222222,2.4545454545454545e-07,103.12170580808082,20195431.251903296,5.106189836791043e-06
113.4785256680946,9.88144478,40092747.26311476,2.4646464646464645e-07,415.8857230639731,81113567.37954237,5.127202963691417e-06
113.47855426293286,2.4699676,9980685.404081633,2.4747474747474745e-07,103.95486531986532,20192405.19251701,5.148216090591792e-06
113.47829881565714,9.84140322,39605647.10487805,2.4848484848484846e-07,414.20047222222223,80128091.5964431,5.169229217492167e-06
113.47846895499418,2.49002315,9980254.73076923,2.494949494949495e-07,104.79895412457913,20191533.876602564,5.190242344392542e-06
113.47878159184303,9.90981483,39559341.458467744,2.505050505050505e-07,417.07974873737373,80034408.41365927,5.211255471292917e-06
113.4785828577696,2.5098909,9979084.30120482,2.515151515151515e-07,105.63513888888887,20189165.924196787,5.232268598193291e-06
113.47861097602424,9.93856941,39356734.8636,2.525252525252525e-07,418.2899583333333,79624505.25645,5.253281725093666e-06
