Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
113.45102769152274,10.3932836,34644278.66666667,3e-07,437.4277609427609,70090508.22839506,6.240898689411275e-06
113.45312999212796,3.06110359,9968725.506907895,3.0707070707070706e-07,128.8343261784512,20168208.54869792,6.387990577713898e-06
113.45281734037034,3.13076423,9966098.352733118,3.1414141414141414e-07,131.7661712962963,20162893.42659432,6.5350824660165206e-06
113.4539254421978,3.20163774,9967362.775471697,3.212121212121212e-07,134.74906313131314,20165451.541116353,6.682174354319143e-06
113.45375481849526,3.27251731,9968591.190461539,3.282828282828283e-07,137.732210016835,20167936.806628205,6.8292662426217655e-06
113.45276062455952,3.34334606,9969616.263253013,3.3535353535353536e-07,140.713218013468,20170010.68074799,6.976358130924388e-06
113.45082894719545,3.41262557,9966074.673451327,3.4242424242424243e-07,143.6290223063973,20162845.51989921,7.123450019227011e-06
113.45205048490894,3.48344514,9967082.915028902,3.494949494949495e-07,146.60964393939395,20164885.341979768,7.270541907529634e-06
113.4539254421978,3.55421019,9967898.266572239,3.5656565656565653e-07,149.58797095959596,20166534.91894476,7.417633795832255e-06
113.45108440751632,3.62360547,9964915.042500002,3.636363636363636e-07,152.50864772727274,20160499.414687503,7.564725684134878e-06
113.45054489042747,3.69445451,9965967.206811989,3.707070707070707e-07,155.49050968013466,20162628.098966848,7.711817572437501e-06
113.45074363485973,3.76522371,9966768.644117648,3.7777777777777775e-07,158.46901136363635,20164249.525367647,7.858909460740124e-06
113.45091425951757,3.83532912,9965815.823622048,3.8484848484848483e-07,161.41957575757576,20162321.828346457,8.006001349042747e-06
113.45324342366577,3.90538291,9964765.672422681,3.919191919191919e-07,164.3679675925926,20160197.216892183,8.15309323734537e-06
113.45375481849526,3.97620146,9965669.482025316,3.98989898989899e-07,167.3485462962963,20162025.757616036,8.300185125647991e-06
113.45315811171312,4.04700908,9966514.898507461,4.0606060606060605e-07,170.32866498316497,20163736.160406303,8.447277013950614e-06
113.45193657651525,4.11700393,9965364.035941321,4.1313131313131313e-07,173.27457617845118,20161407.79493684,8.594368902253237e-06
113.45128315174918,4.18784798,9966272.837019231,4.2020202020202015e-07,176.25622811447812,20163246.434154652,8.741460790555858e-06
113.4520218886617,4.25785532,9965193.302127661,4.272727272727272e-07,179.202664983165,20161062.37513791,8.888552678858481e-06
113.45335733178267,4.32794146,9964330.338139536,4.343434343434343e-07,182.15241835016835,20159316.471143413,9.035644567161104e-06
113.45199376901716,4.39874721,9965125.258352403,4.414141414141414e-07,185.13245833333332,20160924.712500002,9.182736455463727e-06
113.4520786045505,4.46957497,9965944.189864866,4.4848484848484845e-07,188.11342466329967,20162581.5322729,9.32982834376635e-06
113.45048817437701,4.54039533,9966721.456097562,4.555555555555555e-07,191.09407954545455,20164154.057012197,9.476920232068973e-06
113.45230594464961,4.60967065,9964135.247816594,4.626262626262626e-07,194.0097074915825,20158921.774517834,9.624012120371595e-06
113.45216391667438,4.6803786,9964677.019354839,4.6969696969696967e-07,196.9856313131313,20160017.85860215,9.771104008674218e-06
113.45153908845893,4.75121884,9965480.194067797,4.7676767676767675e-07,199.9671228956229,20161642.800035313,9.918195896976841e-06
113.45278922076739,4.82054804,9963136.86764092,4.838383838383838e-07,202.88501851851854,20156901.903514266,1.0065287785279464e-05
113.45312999212796,4.89128893,9963736.709259259,4.909090909090909e-07,205.8623287037037,20158115.471973594,1.0212379673582085e-05
113.45170971286439,4.96207291,9964406.046450304,4.97979797979798e-07,208.84145244107742,20159469.640272144,1.0359471561884708e-05
113.453272019848,5.03283384,9965011.0032,5.05050505050505e-07,211.81960606060608,20160693.557400003,1.0506563450187331e-05
