Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Resistivity [𝛀 cm],Current Density [A/cm2]
92.209512945961,3.9174341760000004,39174341.760000005,1e-07,130.36386608985026,40008670.50297505,3.2583903551645487e-06
92.17432419292513,4.790077126,40467892.961034484,1.1836734693877551e-07,159.40356492512478,41329771.54656067,3.856870216317221e-06
92.1399187492297,5.515095517000001,40334280.64671642,1.3673469387755103e-07,183.5306328452579,41193313.57895929,4.455350077469894e-06
92.10559948093884,6.234893531,40198655.66039474,1.5510204081632651e-07,207.48397773710482,41054800.073794164,5.053829938622565e-06
92.07167619036997,6.906471794,39813778.577176474,1.7346938775510203e-07,229.83267201331114,40661725.94121617,5.652309799775237e-06
92.03777970757517,7.544425864,39327326.31234042,1.9183673469387755e-07,251.06242475873543,40164913.29536531,6.25078966092791e-06
92.0041035017471,7.924397562,37698590.34349515,2.1020408163265303e-07,263.70707361064893,38501488.7734398,6.849269522080582e-06
91.97083255013438,8.735357562,38217189.33375001,2.2857142857142855e-07,290.69409524126456,39031132.800425544,7.447749383233254e-06
91.93790453979695,9.416280441,38132044.76107438,2.4693877551020407e-07,313.3537584359401,38944174.83252489,8.046229244385926e-06
91.90603791907354,9.990070421999999,37654880.821384616,2.6530612244897955e-07,332.4482669550748,38456848.3330547,8.644709105538598e-06
91.87413273626915,10.601760109999999,37373111.179136686,2.836734693877551e-07,352.80399700499163,38169077.60691197,9.243188966691271e-06
91.84237983605881,11.218990139999999,37143953.84189189,3.020408163265306e-07,373.3440978369384,37935039.71406529,9.841668827843943e-06
91.8108656101793,11.82073896,36892752.16815287,3.2040816326530607e-07,393.3690169717138,37678487.98804031,1.0440148688996615e-05
91.7682158488739,5.856488663999999,17287225.574457828,3.387755102040816e-07,194.89146968386018,17655406.085860588,1.1038628550149288e-05
91.71762204985659,6.153917022,17230967.6616,3.571428571428571e-07,204.78925198003327,17597950.00114822,1.163710841130196e-05
91.66703904626692,6.3902644330000005,17017552.022663046,3.7551020408163265e-07,212.65439044925125,17379989.070733074,1.2235588272454631e-05
91.61734710960873,6.594388149000001,16742228.979326429,3.9387755102040813e-07,219.44719297836943,17098802.242114082,1.2834068133607303e-05
91.56884816153017,6.792971171,16477999.375198022,4.122448979591836e-07,226.05561301164724,16828945.118962638,1.3432547994759975e-05
91.52116343579912,6.952144029,16144789.451232228,4.3061224489795917e-07,231.3525467221298,16488638.544369955,1.4031027855912648e-05
91.47391119533805,7.114604851,15846165.349954547,4.4897959183673465e-07,236.7588968718802,16183654.395677373,1.462950771706532e-05
91.42746490855804,7.252538254999999,15518531.637336243,4.673469387755102e-07,241.3490267886855,15849042.79367219,1.5227987578217993e-05
91.3822458977427,7.365926287000001,15165142.355588239,4.857142857142856e-07,245.1223390016639,15488127.084625727,1.5826467439370662e-05
91.33813801212762,7.471852232000001,14822702.808421055,5.040816326530612e-07,248.6473288519135,15138394.315821702,1.6424947300523337e-05
91.29529426450385,7.602357939999999,14551388.24453125,5.224489795918367e-07,252.9902808652246,14861301.33859115,1.702342716167601e-05
91.25044950111469,5.680558868000001,10503674.888000002,5.408163265306123e-07,189.03690076539107,10727380.443018971,1.7621907022828684e-05
91.19765741821503,4.497356799,8042718.363175184,5.591836734693877e-07,149.6624558735441,8214010.867415854,1.8220386883981352e-05
91.14522195030219,4.653582453,8057439.582932863,5.775510204081632e-07,154.86131291181366,8229045.617311466,1.8818866745134027e-05
91.09372318798115,4.798994253000001,8053106.79441781,5.959183673469388e-07,159.70030792013313,8224620.54977313,1.94173466062867e-05
91.04343057775264,4.953244393,8063421.104883722,6.142857142857142e-07,164.83342405990018,8235154.532741478,2.001582646743937e-05
90.99489755226381,5.0957780249999995,8054616.878225806,6.326530612244898e-07,169.5766397670549,8226162.795099833,2.0614306328592042e-05
90.9476224822815,5.262580712,8083587.927523511,6.510204081632653e-07,175.12747793677204,8255750.865081416,2.1212786189744714e-05
90.90155521407033,5.420054155,8097032.121798782,6.693877551020407e-07,180.36785873544093,8269481.39161413,2.1811266050897386e-05
90.85665114698031,5.531365702,8042638.557804155,6.877551020408163e-07,184.0720699500832,8213929.362363046,2.2409745912050058e-05
90.81318629761422,5.67604298,8038326.763583816,7.061224489795918e-07,188.88662163061565,8209525.736252489,2.3008225773202733e-05
90.77067323132319,5.796234227,8000435.975295776,7.244897959183673e-07,192.88633034941765,8170827.956134022,2.36067056343554e-05
90.72931866852215,5.957441325,8019632.552884615,7.428571428571428e-07,198.25095923460896,8190433.379302124,2.4205185495508076e-05
90.6892729158798,6.0979085689999994,8010657.369463807,7.612244897959183e-07,202.92540995008318,8181267.043888327,2.4803665356660748e-05
90.65053916516854,6.249268855999999,8016077.851937172,7.795918367346938e-07,207.962357936772,8186802.970913538,2.540214521781342e-05
90.61207069394433,6.436795896,8066572.861994885,7.979591836734693e-07,214.20285843594007,8238373.415461664,2.600062507896609e-05
90.57471716005111,6.622748560000001,8112866.986000001,8.163265306122449e-07,220.39096705490851,8285653.504171049,2.6599104940118766e-05
90.53794635306836,6.772280200999999,8113489.727359412,8.346938775510204e-07,225.36706159733774,8286289.508574388,2.7197584801271438e-05
90.50225558047808,6.876414372000001,8060868.522200959,8.530612244897958e-07,228.83242502495844,8232547.585568966,2.7796064662424107e-05
90.46745623749715,7.0423062980000015,8081335.096065576,8.714285714285714e-07,234.35295500831953,8253450.05318644,2.839454452357678e-05
90.43351894110808,7.179120599999999,8068277.738532109,8.897959183673469e-07,238.90584359400995,8240114.602181379,2.8993024384729453e-05
90.40079998688519,7.306883613000001,8045781.955887643,9.081632653061224e-07,243.15752455906826,8217139.708026348,2.9591504245882125e-05
90.36867114550449,7.480739464999999,8073925.854295154,9.265306122448979e-07,248.9430770382695,8245883.010592953,3.0189984107034797e-05
90.33711716281613,7.6036027829999995,8047009.424773218,9.448979591836734e-07,253.03170658901828,8218393.319344095,3.078846396818747e-05
90.30693240898613,7.777918611,8074534.15125,9.632653061224489e-07,258.8325660898502,8246504.262957154,3.1386943829340144e-05
90.27672390030224,7.865674911000001,8012849.701434514,9.816326530612244e-07,261.7529088519135,8183506.0677878605,3.198542369049281e-05
90.24744767298915,8.034374878,8034374.878,1e-06,267.3668844592346,8205489.68405391,3.258390355164549e-05
