Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
87.61842320145598,-2.2231035,44462070.00000001,-5e-08,-38.132135506003436,45056931.31389367,-8.463100880162491e-07
87.61842320145598,-6.16957452,119762328.91764706,-5.1515151515151516e-08,-105.82460583190395,121364637.94947836,-8.719558482591658e-07
87.6181851682992,-6.66018092,125591983.06285715,-5.303030303030303e-08,-114.23980994854203,127272287.46747172,-8.976016085020824e-07
87.61842320145598,-6.8579861,125729745.16666666,-5.4545454545454545e-08,-117.63269468267582,127411892.70062894,-9.23247368744999e-07
87.61842320145598,-7.02315032,125277816.51891893,-5.6060606060606056e-08,-120.46570017152659,126953917.66617034,-9.488931289879156e-07
87.61854475024104,-7.19040348,124885955.17894736,-5.7575757575757574e-08,-123.33453653516295,126556813.58442901,-9.745388892308322e-07
87.6182459427372,-7.3563739,124492481.38461539,-5.909090909090909e-08,-126.18137049742711,126158075.47518143,-1.000184649473749e-06
87.61812439385092,-7.50822395,123885695.17499998,-6.060606060606061e-08,-128.7860025728988,125543171.0281132,-1.0258304097166658e-06
87.61830165262968,-7.66163613,123333654.77560976,-6.212121212121211e-08,-131.41742933104632,124983744.83950302,-1.051476169959582e-06
87.61830165262968,-7.81960479,122879503.84285715,-6.363636363636363e-08,-134.12701183533449,124523517.78792454,-1.0771219302024989e-06
87.61842320145598,-7.9718358,122358409.95348838,-6.515151515151515e-08,-136.7381783876501,123995452.14497587,-1.1027676904454156e-06
87.6181851682992,-8.14559331,122183899.65000004,-6.666666666666665e-08,-139.71858164665525,123818607.05526592,-1.128413450688332e-06
87.61836242704804,-8.28064221,121449419.08,-6.818181818181819e-08,-142.0350293310463,123074299.81554715,-1.154059210931249e-06
87.61830165262968,-8.43089099,120964957.68260871,-6.969696969696969e-08,-144.61219536878215,122583356.77338804,-1.1797049711741653e-06
87.61854475024104,-8.57886107,120469112.89787234,-7.121212121212121e-08,-147.15027564322472,122080878.04470496,-1.205350731417082e-06
87.61872707334157,-8.73575865,120116681.43749999,-7.272727272727273e-08,-149.84148627787306,121723731.37783018,-1.2309964916599988e-06
87.61866629898508,-8.88711663,119704019.91428572,-7.424242424242423e-08,-152.4376780445969,121305548.82566041,-1.2566422519029151e-06
87.61854475024104,-9.04538229,119399046.228,-7.575757575757575e-08,-155.15235488850772,120996494.8739321,-1.2822880121458319e-06
87.61872707334157,-9.17738666,118766180.30588236,-7.727272727272727e-08,-157.4165807890223,120355161.79196449,-1.3079337723887486e-06
87.6187878476879,-9.30987612,118163812.2923077,-7.878787878787878e-08,-159.6891272727273,119744734.65230772,-1.3335795326316652e-06
87.6187878476879,-9.47581672,118000736.51320754,-8.03030303030303e-08,-162.5354497427101,119579477.07033108,-1.359225292874582e-06
87.61860552461829,-9.6185942,117560595.7777778,-8.181818181818181e-08,-164.9844631217839,119133447.65953882,-1.3848710531174985e-06
87.61872707334157,-9.75317179,117038061.48,-8.333333333333333e-08,-167.29282658662092,118603922.33685078,-1.410516813360415e-06
87.61903094496998,-9.88785626,116535448.77857143,-8.484848484848484e-08,-169.60302332761577,118094585.14301887,-1.4361625736033318e-06
87.6187878476879,-10.0465911,116328949.57894738,-8.636363636363636e-08,-172.32574785591768,117885323.1753724,-1.4618083338462486e-06
87.61854475024104,-10.1824249,115868972.99999999,-8.787878787878788e-08,-174.6556586620926,117419192.53584905,-1.4874540940891651e-06
87.61920820330097,-10.2953363,115168168.77966104,-8.939393939393938e-08,-176.59238936535164,116709012.20415735,-1.5130998543320817e-06
87.61903094496998,-10.4484452,114932897.20000002,-9.09090909090909e-08,-179.2186140651801,116470592.90867926,-1.5387456145749982e-06
