Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
87.63659935210103,-1.86881736,9344086.8,-2e-07,-32.05518627787307,9469102.026483705,-3.3852403520649963e-06
87.63647780943178,-1.85495795,9345589.671755726,-1.9848484848484849e-07,-31.817460548885077,9470625.005271496,-3.35959459182208e-06
87.63677660175334,-1.84042674,9343704.98769231,-1.9696969696969696e-07,-31.568211663807894,9468715.105880989,-3.333948831579163e-06
87.63695891559003,-1.82648275,9344795.46511628,-1.9545454545454545e-07,-31.32903516295026,9469820.172882844,-3.3083030713362466e-06
87.63683737304247,-1.81251615,9345786.3984375,-1.9393939393939392e-07,-31.089470840480274,9470824.363974057,-3.2826573110933297e-06
87.63720200056146,-1.7979767,9343815.921259843,-1.9242424242424241e-07,-30.840080617495712,9468827.523636905,-3.257011550850413e-06
87.63726277177854,-1.78607521,9355632.052380951,-1.909090909090909e-07,-30.6359384219554,9480801.743647799,-3.2313657906074966e-06
87.63689814432134,-1.76999768,9345587.7504,-1.8939393939393938e-07,-30.360166037735848,9470623.05820981,-3.20572003036458e-06
87.63744002110306,-1.75621821,9347613.053225806,-1.8787878787878787e-07,-30.123811492281302,9472675.457711503,-3.1800742701216635e-06
87.63744002110306,-1.74193929,9346991.31219512,-1.8636363636363637e-07,-29.878890051457976,9472045.39836171,-3.154428509878747e-06
87.63726277177854,-1.72782004,9347223.167213114,-1.8484848484848484e-07,-29.636707375643223,9472280.355385091,-3.12878274963583e-06
87.63768310574851,-7.67053077,41839258.74545454,-1.8333333333333333e-07,-131.56999605488852,42399029.27412444,-3.1031369893929134e-06
87.63738431418196,-1.70000586,9350032.23,-1.818181818181818e-07,-29.159620240137222,9475127.00083019,-3.0774912291499964e-06
87.63726277177854,-7.52879491,41756341.51764706,-1.803030303030303e-07,-129.13884922813037,42315002.69061044,-3.0518454689070803e-06
87.63774387688409,-1.67207077,9352260.238983052,-1.7878787878787877e-07,-28.680459176672382,9477384.818509754,-3.0261997086641633e-06
87.63738431418196,-7.45099511,42031254.46666667,-1.7727272727272726e-07,-127.8043758147513,42593593.720251575,-3.0005539484212468e-06
87.63750079227984,-1.64357942,9351400.148275862,-1.7575757575757576e-07,-28.191756775300174,9476513.220585557,-2.9749081881783302e-06
87.63726277177854,-7.33163441,42077206.17913044,-1.7424242424242423e-07,-125.75702246998286,42640160.22406564,-2.9492624279354133e-06
87.6376223346025,-1.6156035,9353493.94736842,-1.7272727272727272e-07,-27.711895368782162,9478635.032770606,-2.923616667692497e-06
87.63798696132363,-7.17617224,41913926.35752212,-1.7121212121212122e-07,-123.09043293310464,42474695.86968108,-2.8979709074495806e-06
87.63822498134445,-1.58722228,9353274.15,-1.6969696969696969e-07,-27.225081989708407,9478412.294716982,-2.8723251472066636e-06
87.63810850348169,-7.06260969,41993895.45405406,-1.6818181818181818e-07,-121.14253327615782,42555734.87865376,-2.846679386963747e-06
87.63828575238826,-1.558463,9350777.999999998,-1.6666666666666668e-07,-26.731783876500856,9475882.748542024,-2.8210336267208305e-06
87.63834652342184,-6.9715146,42212840.69724771,-1.6515151515151515e-07,-119.5800102915952,42777609.40640471,-2.7953878664779135e-06
87.63846806545799,-1.53113399,9356929.93888889,-1.6363636363636361e-07,-26.263018696397943,9482116.994675053,-2.769742106234997e-06
87.63834652342184,-6.80136113,41952320.98878505,-1.621212121212121e-07,-116.66142590051459,42513604.18554753,-2.7440963459920804e-06
87.63846806545799,-1.50226436,9353721.486792453,-1.606060606060606e-07,-25.767827787307034,9478865.616461376,-2.718450585749164e-06
87.63822498134445,-6.71565386,42212681.40571429,-1.5909090909090907e-07,-115.19131835334477,42777447.98369812,-2.692804825506247e-06
87.63840729444507,-1.47462718,9358210.95,-1.5757575757575757e-07,-25.29377667238422,9483415.144528303,-2.6671590652633304e-06
87.63846806545799,-6.5775148,42147182.21359223,-1.5606060606060606e-07,-112.82186620926245,42711072.47305368,-2.6415133050204143e-06
87.63846806545799,-1.44733659,9365119.111764707,-1.5454545454545453e-07,-24.8256704974271,9490415.731098779,-2.6158675447774973e-06
87.6388326913195,-6.4526552,42165865.66336633,-1.5303030303030303e-07,-110.68019210977701,42730005.890080325,-2.5902217845345807e-06
87.6388326913195,-1.41756511,9355929.726,-1.5151515151515152e-07,-24.315010463121784,9481103.39986415,-2.564576024291664e-06
87.63894916894712,-6.35937179,42395811.93333334,-1.5e-07,-109.08013361921098,42963028.628153235,-2.5389302640487472e-06
87.63925302345,-1.38974026,9359475.220408162,-1.484848484848485e-07,-23.837740308747858,9484696.329703506,-2.5132845038058307e-06
