Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
87.98069634474962,9.96506344,33216878.133333333,3e-07,170.92733173241854,33661289.195837624,5.0778605280974944e-06
87.97894730432728,2.81322116,9314043.02972973,3.020408163265306e-07,48.25422229845626,9438656.29839507,5.112403796996117e-06
87.97783169841485,10.0228506,32961052.30872483,3.0408163265306124e-07,171.91853516295026,33402040.658652883,5.14694706589474e-06
87.97593187168815,2.8509329,9313047.473333335,3.0612244897959183e-07,48.90107890222985,9437647.422376215,5.181490334793362e-06
87.97499688000748,10.0515548,32617628.158940397,3.0816326530612243e-07,172.4108885077187,33054021.811838746,5.216033603691984e-06
87.9731876034227,2.88917077,9313774.192763159,3.1020408163265303e-07,49.55696003430532,9438383.864638893,5.2505768725906066e-06
87.9716191515203,10.1364912,32463272.470588233,3.122448979591837e-07,173.86777358490568,32897600.98734739,5.28512014148923e-06
87.97053337399738,2.92721794,9313875.263636364,3.142857142857143e-07,50.20957015437393,9438486.287746765,5.319663410387851e-06
87.96935753291038,10.1808314,32184563.780645166,3.163265306122449e-07,174.6283259005146,32615163.433285017,5.354206679286474e-06
87.96724667592126,2.96462345,9311958.272435898,3.183673469387755e-07,50.85117409948542,9436543.648979638,5.388749948185096e-06
87.96625145209659,10.2073121,31857216.108280253,3.204081632653061e-07,175.08254030874784,32283436.152267538,5.423293217083719e-06
87.96420078641141,3.00264405,9311997.370253164,3.224489795918367e-07,51.503328473413376,9436583.269889485,5.457836485982341e-06
87.96302441845958,10.2285119,31521829.12578617,3.244897959183673e-07,175.4461732418525,31943562.002597716,5.4923797548809636e-06
87.96160720614773,3.04080238,9312457.288750002,3.265306122448979e-07,52.15784528301887,9437049.341669813,5.526923023779586e-06
87.96021984040264,10.2466824,31185555.13043478,3.2857142857142857e-07,175.75784562607203,31602788.972660154,5.561466292678208e-06
87.95871154204747,3.07834664,9311048.479012346,3.3061224489795917e-07,52.80182915951973,9435621.683362769,5.596009561576831e-06
87.95756602034614,10.3087216,30989408.49079755,3.3265306122448977e-07,176.82198284734136,31404018.072664138,5.630552830475453e-06
87.95581636039283,3.11622467,9310671.27012195,3.346938775510204e-07,53.45153807890223,9435239.427766807,5.665096099374076e-06
87.95470068205073,10.3644,30779127.272727273,3.36734693877551e-07,177.7770154373928,31190923.486667708,5.699639368272698e-06
87.95268030870791,3.15419478,9310574.95301205,3.387755102040816e-07,54.10282641509434,9435141.822023189,5.7341826371713206e-06
87.95174525601105,10.4213031,30577476.16167665,3.408163265306122e-07,178.7530548885077,30986574.470529266,5.768725906069943e-06
87.95011649764673,3.19176874,9309325.491666667,3.4285714285714286e-07,54.74731972555747,9433875.644042311,5.803269174968565e-06
87.94875944631693,10.4211075,30215045.414201185,3.4489795918367346e-07,178.7496998284734,30619294.73535173,5.837812443867188e-06
87.94749296161159,3.22975514,9309294.227058824,3.4693877551020406e-07,55.39888747855918,9433843.961142974,5.87235571276581e-06
87.9461657536736,10.4933695,30068719.619883046,3.4897959183673466e-07,179.98918524871357,30471011.237438947,5.906898981664432e-06
87.94429561164547,3.26710514,9307450.689534884,3.510204081632653e-07,56.03953927958834,9431975.758794528,5.941442250563055e-06
87.9433306833364,10.5092028,29765950.12716763,3.530612244897959e-07,180.2607684391081,30164190.969349295,5.9759855194616776e-06
87.94143067265945,3.30507002,9307381.0908046,3.551020408163265e-07,56.69073790737565,9431905.228897696,6.0105287883603e-06
87.94055580415174,10.5418195,29517094.6,3.5714285714285716e-07,180.82023156089195,29912005.98572899,6.045072057258922e-06
87.93859556466298,3.34295877,9307101.121022727,3.5918367346938776e-07,57.34063070325901,9431621.513379464,6.079615326157545e-06
87.93760026082774,10.5565351,29224306.209039547,3.6122448979591835e-07,181.07264322469982,29615300.35729085,6.114158595056167e-06
87.93597194383369,3.38034323,9305439.228651686,3.6326530612244895e-07,57.98187358490566,9429937.386427814,6.148701863954789e-06
87.93476512236936,10.606345,29034128.77094972,3.6530612244897955e-07,181.92701543739278,29422578.521230012,6.183245132853411e-06
87.93352894839093,3.41835683,9305526.926111111,3.673469387755102e-07,58.633907890222986,9430026.257198019,6.2177884017520346e-06
87.93241269428012,10.6558839,28847420.50276243,3.693877551020408e-07,182.77673927958833,29233372.269351702,6.252331670650657e-06
87.93057284080221,3.45626184,9305320.338461539,3.714285714285714e-07,59.28407958833619,9429816.905597046,6.2868749395492786e-06
87.92918586027344,10.6864216,28613915.75956284,3.7346938775510205e-07,183.3005420240137,28996743.44897037,6.321418208447902e-06
87.92779836833397,3.49373521,9303968.76576087,3.7551020408163265e-07,59.9268475128645,9428447.250105526,6.355961477346524e-06
87.92668209628283,10.6983872,28336268.800000004,3.7755102040816324e-07,183.50578387650089,28715381.830257297,6.390504746245146e-06
87.92505372942648,3.53158006,9303624.889247313,3.7959183673469384e-07,60.57598730703259,9428098.772842731,6.425048015143768e-06
87.92442019251848,10.7455438,28156772.524064176,3.8163265306122444e-07,184.31464493996572,28533484.06040672,6.459591284042391e-06
87.92285203202422,3.56917887,9302647.054787233,3.836734693877551e-07,61.22090686106347,9427107.85586329,6.494134552941014e-06
87.9218263228013,10.7552226,27883910.444444444,3.857142857142857e-07,184.48066209262436,28256971.33889842,6.5286778218396356e-06
87.91995655912864,3.60708924,9302493.303157896,3.877551020408163e-07,61.87117049742711,9426952.047179563,6.563221090738258e-06
87.91802606212835,3.62560636,9301293.803141361,3.8979591836734694e-07,62.18878833619211,9425736.498963837,6.597764359636881e-06
