Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
102.40441251135348,9.33697268,18673945.360000003,5e-07,160.1539053173242,18923785.452295028,8.463100880162492e-06
102.39877629603511,11.2911577,22356492.246,5.05050505050505e-07,193.67337392795883,22655601.404694337,8.54858674763888e-06
102.3935465378538,11.3874288,22323870.32079208,5.101010101010101e-07,195.32467924528302,22622543.028342985,8.63407261511527e-06
102.38756117001519,11.4790829,22282925.62941177,5.151515151515151e-07,196.89679073756432,22581050.534916762,8.719558482591657e-06
102.38241853446726,11.5782978,22257310.333980583,5.202020202020201e-07,198.598590051458,22555092.530558713,8.805044350068046e-06
102.37669478418366,11.6723339,22222328.001923077,5.252525252525252e-07,200.21155917667238,22519642.167300437,8.890530217544435e-06
102.37129073965671,11.7682424,22191542.811428573,5.303030303030303e-07,201.8566449399657,22488445.0994717,8.976016085020824e-06
102.36527582327571,11.8605058,22154529.70188679,5.353535353535354e-07,203.43920754716981,22450936.788807403,9.061501952497213e-06
102.35981362947167,11.9534311,22119433.25046729,5.404040404040404e-07,205.03312349914236,22415370.77937577,9.146987819973602e-06
102.34842348389554,3.97888345,7294619.658333334,5.454545454545454e-07,68.24842967409948,7392214.912767297,9.23247368744999e-06
102.33985131079038,10.177483,18487537.926605508,5.505050505050505e-07,174.57089193825044,18734884.060100403,9.317959554926379e-06
102.32834462403069,4.05362181,7296519.258,5.555555555555555e-07,69.53039125214409,7394139.927318011,9.403445422402768e-06
102.31991783297731,10.3151441,18399986.77297297,5.606060606060606e-07,176.93214579759862,18646161.553125955,9.488931289879157e-06
102.30870071396724,4.12747699,7296789.67875,5.656565656565657e-07,70.79720394511149,7394413.96604717,9.574417157355546e-06
102.29995371891616,10.4961557,18391494.05840708,5.707070707070707e-07,180.03697598627787,18637555.21390549,9.659903024831935e-06
102.28876534842402,4.20108469,7296620.777368422,5.757575757575757e-07,72.05977169811321,7394242.804921551,9.745388892308322e-06
