Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
87.64861161608938,8.11362669,40568133.45,2e-07,139.17026912521442,41110897.49958834,3.3852403520649963e-06
87.64884962906017,1.85492962,9345446.940458015,1.9848484848484849e-07,31.81697461406518,9470480.364361227,3.35959459182208e-06
87.64884962906017,7.98367097,40532483.386153854,1.9696969696969696e-07,136.94118301886795,41074770.470908575,3.333948831579163e-06
87.64879392391094,1.82675013,9346163.455813954,1.9545454545454545e-07,31.33362144082333,9471206.46602896,3.3083030713362466e-06
87.64879392391094,7.87630864,40612216.425000004,1.9393939393939392e-07,135.09963361921098,41155570.26396227,3.2826573110933297e-06
87.64884962906017,1.79826053,9345290.943307087,1.9242424242424241e-07,30.844949056603777,9470322.280112913,3.257011550850413e-06
87.64891039830403,7.75334325,40612750.35714286,1.909090909090909e-07,132.9904502572899,41156111.33962265,3.2313657906074966e-06
87.64939655188385,1.77042589,9347848.6992,1.8939393939393938e-07,30.367510977701546,9472914.256410567,3.20572003036458e-06
87.64957885930639,7.70136391,40991130.48870968,1.8787878787878787e-07,132.09886638078905,41539553.84687767,3.1800742701216635e-06
87.64945732103492,1.74204728,9347570.770731706,1.8636363636363637e-07,29.880742367066897,9472632.609516798,3.154428509878747e-06
87.64969533344447,7.57005412,40952751.79672132,1.8484848484848484e-07,129.84655437392797,41500661.68353852,3.12878274963583e-06
87.6492142443686,1.71401517,9349173.654545454,1.8333333333333333e-07,29.399917152658663,9474256.938431311,3.1031369893929134e-06
87.64933578272233,7.43625265,40899389.575,1.818181818181818e-07,127.55150343053174,41446585.52471699,3.0774912291499964e-06
87.64957885930639,1.68580107,9349821.060504202,1.803030303030303e-07,28.915970325900513,9474913.00608213,3.0518454689070803e-06
87.64963456433367,7.34228619,41067024.45254238,1.7878787878787877e-07,125.93972881646656,41616463.20165015,3.0261997086641633e-06
87.64993840978475,1.65742112,9349555.035897436,1.7727272727272726e-07,28.42917873070326,9474643.422312532,3.0005539484212468e-06
87.65005994789317,7.17390707,40817057.467241384,1.7575757575757576e-07,123.05157924528302,41363151.88961614,2.9749081881783302e-06
87.64963456433367,1.62950508,9351942.19826087,1.7424242424242423e-07,27.950344425385936,9477062.522697294,2.9492624279354133e-06
87.65030302398631,7.11566596,41195960.82105263,1.7272727272727272e-07,122.05258936535164,41747124.61934459,2.923616667692497e-06
87.64999917884404,1.60115415,9351873.796460176,1.7121212121212122e-07,27.464050600343054,9476993.205743864,2.8979709074495806e-06
87.65005994789317,6.99449055,41217533.59821429,1.6969696969696969e-07,119.97410891938252,41768986.02028303,2.8723251472066636e-06
87.65030302398631,1.57324444,9354426.4,1.6818181818181818e-07,26.98532487135506,9479579.960754719,2.846679386963747e-06
87.65012071693187,6.86201753,41172105.18,1.6666666666666668e-07,117.70184442538594,41722949.81191081,2.8210336267208305e-06
87.65024225497838,1.54471089,9353295.297247706,1.6515151515151515e-07,26.49589862778731,9478433.724895276,2.7953878664779135e-06
87.65018148596029,6.72145767,41075574.650000006,1.6363636363636361e-07,115.29086912521441,41625127.79283019,2.769742106234997e-06
87.64993840978475,1.51632611,9353039.557009347,1.621212121212121e-07,26.009024185248716,9478174.563089404,2.7440963459920804e-06
87.64969533344447,6.61761321,41204006.77924528,1.606060606060606e-07,113.50966054888508,41755278.22500534,2.718450585749164e-06
87.65012071693187,1.48833173,9355228.017142858,1.5909090909090907e-07,25.528846140651805,9480392.302792456,2.692804825506247e-06
87.65018148596029,6.47836582,41112706.16538461,1.5757575757575757e-07,111.12119759862779,41662756.09349783,2.6671590652633304e-06
87.64993840978475,1.45983534,9354284.702912621,1.5606060606060606e-07,25.040057289879933,9479436.367891556,2.6415133050204143e-06
87.65012071693187,6.33936936,41019448.800000004,1.5454545454545453e-07,108.73703876500858,41568251.0309434,2.6158675447774973e-06
87.65005994789317,1.43172939,9355855.41980198,1.5303030303030303e-07,24.557965523156092,9481028.099518029,2.5902217845345807e-06
87.65030302398631,6.26158832,41326482.912,1.5151515151515152e-07,107.40288713550602,41879392.97497359,2.564576024291664e-06
87.64993840978475,1.40339932,9355995.466666667,1.5e-07,24.0720295025729,9481170.020080047,2.5389302640487472e-06
87.65036379298382,6.14073377,41355962.12448979,1.484848484848485e-07,105.3299102915952,41909266.59202157,2.5132845038058307e-06
87.65030302398631,1.37504588,9355982.27628866,1.4696969696969696e-07,23.585692624356778,9481156.653227,2.487638743562914e-06
87.6506625737387,5.97972706,41110623.5375,1.4545454545454545e-07,102.56821715265866,41660645.60198113,2.4619929833199976e-06
87.65054103583462,1.34714616,9359120.690526318,1.4393939393939392e-07,23.107138250428818,9484337.056540221,2.4363472230770806e-06
87.65102718720406,5.89163819,41366821.33404256,1.4242424242424242e-07,101.05725883361922,41920271.08773987,2.410701462834164e-06
87.65054103583462,1.31880694,9359275.058064517,1.409090909090909e-07,22.62104528301887,9484493.489373099,2.3850557025912475e-06
87.65102718720406,5.77664359,41441138.79782609,1.3939393939393938e-07,99.08479571183534,41995582.85035276,2.3594099423483305e-06
87.65090564942341,1.29065285,9360778.912087914,1.3787878787878788e-07,22.138127787307035,9486017.463570392,2.3337641821054144e-06
87.65090564942341,5.64349098,41385600.519999996,1.3636363636363637e-07,96.8008744425386,41939301.52181132,2.308118421862498e-06
87.65096641831894,1.26204856,9359011.793258427,1.3484848484848484e-07,21.647488164665525,9484226.702327752,2.282472661619581e-06
87.65102718720406,5.51820452,41386533.9,1.3333333333333334e-07,94.65187855917668,41940247.38957119,2.2568269013766643e-06
87.65102718720406,1.23362794,9358556.786206895,1.3181818181818183e-07,21.159998970840483,9483765.607703319,2.2311811411337478e-06
87.65078411160172,5.39833236,41429062.297674425,1.303030303030303e-07,92.59575231560893,41983344.777814835,2.2055353808908312e-06
87.65102718720406,1.20565271,9361538.689411767,1.2878787878787877e-07,20.680149399656948,9486787.4060111,2.1798896206479143e-06
87.65072334267529,5.28262321,41506325.22142857,1.2727272727272726e-07,90.61103276157804,42061641.40792453,2.1542438604049977e-06
87.65102718720406,1.17713874,9360380.342168674,1.2575757575757576e-07,20.1910590051458,9485613.561154809,2.128598100162081e-06
87.65120442972685,5.15990178,41530916.765853666,1.2424242424242423e-07,88.50603396226415,42086561.96443627,2.102952339919164e-06
87.65120442972685,1.14925119,9364268.955555556,1.2272727272727272e-07,19.712713379073758,9489554.200587004,2.0773065796762476e-06
87.65108795607888,5.03792258,41562861.285,1.2121212121212122e-07,86.41376638078903,42118933.871660374,2.0516608194333315e-06
87.65114366087175,1.12093625,9364783.860759495,1.196969696969697e-07,19.227036878216122,9490075.99474564,2.0260150591904145e-06
87.65126519857175,4.91519939,41590148.68461538,1.1818181818181818e-07,84.30873739279588,42146586.35140783,2.000369298947498e-06
87.65114366087175,1.09238431,9363294.085714284,1.1666666666666667e-07,18.737295197255573,9488566.287890222,1.9747235387045814e-06
87.6508448805177,4.77928471,41504314.586842105,1.1515151515151515e-07,81.97743927958834,42059603.87290964,1.9490777784616645e-06
87.65126519857175,1.06442759,9366962.792,1.1363636363636363e-07,18.257763121783878,9492284.078067927,1.923432018218748e-06
87.65120442972685,4.66591917,41614954.75945945,1.1212121212121213e-07,80.03291886792452,42171724.308556855,1.8977862579758316e-06
87.65114366087175,11.8233313,106895872.02739726,1.1060606060606061e-07,202.80156603773585,108326039.78350995,1.8721404977329148e-06
87.65126519857175,11.9078986,109155737.16666666,1.0909090909090909e-07,204.25212006861062,110616139.82515723,1.846494737489998e-06
87.65114366087175,11.8104337,109787130.1690141,1.0757575757575757e-07,202.58033790737568,111255980.28105237,1.8208489772470815e-06
87.65114366087175,11.6853736,110176379.65714285,1.0606060606060607e-07,200.4352246998285,111650437.56679246,1.795203217004165e-06
87.65138673623045,11.5650091,110621826.17391303,1.0454545454545455e-07,198.37065351629502,112101843.74536505,1.7695574567612482e-06
87.65120442972685,11.4414299,111049172.55882353,1.0303030303030303e-07,196.25094168096055,112534907.62907879,1.7439116965183317e-06
87.65126519857175,11.3188002,111498628.8358209,1.0151515151515151e-07,194.14751629502572,112990377.21475641,1.718265936275415e-06
87.65138673623045,11.1958497,111958497.0,1e-07,192.0385883361921,113456397.98902231,1.6926201760324981e-06
87.65132596740622,11.0692535,112395497.07692307,9.848484848484849e-08,189.8671269296741,113899244.72220609,1.6669744157895818e-06
87.65114366087175,10.941742,112836714.37499999,9.696969696969697e-08,187.67996569468266,114346365.0990566,1.641328655546665e-06
87.65132596740622,10.8017768,113161471.23809524,9.545454545454546e-08,185.27919039451118,114675466.90817612,1.6156828953037483e-06
87.65156904264134,10.6877566,113772892.83870968,9.393939393939394e-08,183.32344082332762,115295068.76348144,1.5900371350608317e-06
87.65156904264134,10.5578254,114232209.24590163,9.242424242424243e-08,181.09477530017153,115760530.39876276,1.5643913748179152e-06
87.65150827384802,10.4237228,114660950.8,9.090909090909091e-08,178.7945591766724,116195008.11773585,1.5387456145749986e-06
87.65144750504443,10.2801948,114998789.28813559,8.93939393939394e-08,176.33267238421956,116537366.57192197,1.5130998543320819e-06
87.65144750504443,10.1542172,115547988.8275862,8.787878787878788e-08,174.17182161234993,117093913.89251791,1.4874540940891651e-06
87.65162981142433,10.0237681,116064683.26315789,8.636363636363636e-08,171.93427272727274,117617521.22105263,1.4618083338462486e-06
87.65132596740622,9.88467945,116498007.80357142,8.484848484848486e-08,169.54853259005148,118056643.24245283,1.436162573603332e-06
87.65162981142433,9.73109473,116773136.76,8.333333333333334e-08,166.91414631217842,118335453.16948201,1.4105168133604153e-06
87.65156904264134,9.59628769,117287960.65555556,8.181818181818182e-08,164.60184716981132,118857164.93190774,1.3848710531174987e-06
87.65156904264134,9.47148404,117946782.38490567,8.03030303030303e-08,162.46113276157806,119524801.0857672,1.359225292874582e-06
87.65144750504443,9.32087035,118303354.44230768,7.87878787878788e-08,159.87770754716982,119886143.74702467,1.3335795326316654e-06
87.65150827384802,9.18364048,118847112.09411764,7.727272727272727e-08,157.52385042881647,120437176.37256382,1.3079337723887486e-06
87.65169058019718,9.04445694,119386831.608,7.575757575757576e-08,155.13648267581476,120984116.83363019,1.282288012145832e-06
87.65150827384802,8.90024556,119880858.56326528,7.424242424242426e-08,152.66287409948544,121484753.41196764,1.2566422519029158e-06
87.65150827384802,8.76311545,120492837.43750001,7.272727272727273e-08,150.31072813036022,122104919.99669813,1.2309964916599988e-06
87.65162981142433,8.61710443,121006147.31489359,7.121212121212122e-08,147.80625094339624,122625097.48480128,1.2053507314170822e-06
87.65150827384802,8.46293064,121424657.00869566,6.969696969696969e-08,145.16176054888507,123049206.45066449,1.1797049711741653e-06
87.65144750504443,8.31734359,121987705.98666666,6.818181818181819e-08,142.66455557461407,123619788.50244024,1.154059210931249e-06
87.65162981142433,8.1660155,122490232.49999999,6.666666666666668e-08,140.06887650085764,124129038.35506003,1.1284134506883324e-06
87.65138673623045,8.01440601,123011813.1767442,6.515151515151515e-08,137.4683706689537,124657597.29814832,1.1027676904454156e-06
87.65156904264134,7.86519532,123595926.45714283,6.363636363636365e-08,134.90901063464838,125249525.47320755,1.077121930202499e-06
87.65169058019718,7.68332289,123682758.71707319,6.212121212121211e-08,131.78941492281305,125337519.46834794,1.051476169959582e-06
87.65169058019718,7.54641239,124515804.435,6.060606060606061e-08,129.44103584905662,126181710.56637736,1.0258304097166658e-06
87.65187288645362,7.40424557,125302617.3384615,5.9090909090909105e-08,127.00249691252144,126979050.2977068,1.0001846494737492e-06
87.65162981142433,7.25173367,125951163.74210528,5.7575757575757574e-08,124.38651234991424,127636273.65151939,9.745388892308322e-07
87.65175134895958,7.09559799,126570126.30810809,5.606060606060607e-08,121.70837032590052,128263517.3633452,9.488931289879159e-07
87.65181211771167,6.93036739,127056735.48333335,5.454545454545454e-08,118.87422624356775,128756636.91861637,9.232473687449989e-07
87.65211089725996,6.773376,127726518.85714285,5.3030303030303034e-08,116.18140651801029,129435381.3735849,8.976016085020825e-07
87.65187288645362,6.58504617,127827366.82941173,5.151515151515153e-08,112.95104922813036,129537578.59831294,8.71955848259166e-07
87.65198935984668,6.44929289,128985857.8,5e-08,110.62251955403087,130711569.10504289,8.463100880162491e-07
87.65217166595126,6.35471353,127094270.6,5e-08,109.0002320754717,128794674.22037737,8.463100880162491e-07
87.65198935984668,6.41761907,124577311.3588235,5.151515151515153e-08,110.0792293310463,126244040.3958712,8.71955848259166e-07
87.65223243463217,6.57628501,124009945.90285714,5.3030303030303034e-08,112.8007720411664,125669084.11562265,8.976016085020825e-07
87.65211089725996,6.73298144,123437993.06666668,5.454545454545454e-08,115.48853241852487,125089479.08025159,9.232473687449989e-07
87.65187288645362,6.90087963,123096771.77837837,5.606060606060607e-08,118.36843276157805,124743692.56718,9.488931289879159e-07
87.65235397196315,7.05668503,122563476.8368421,5.7575757575757574e-08,121.04090960548885,124203262.633287,9.745388892308322e-07
87.65253627788225,7.22205698,122219425.81538458,5.9090909090909105e-08,123.87747821612349,123854608.52783741,1.0001846494737492e-06
87.65241474061317,7.3666892,121550371.79999998,6.060606060606061e-08,126.35830531732418,123176603.18943395,1.0258304097166658e-06
87.65241474061317,7.5203815,121059799.75609757,6.212121212121211e-08,128.99453687821614,122679467.74597335,1.051476169959582e-06
87.65229320330275,7.68233011,120722330.29999998,6.363636363636365e-08,131.7723861063465,122337483.26113206,1.077121930202499e-06
87.65223243463217,7.83002975,120181851.97674417,6.515151515151515e-08,134.30582761578043,121789773.83852565,1.1027676904454156e-06
87.65253627788225,7.97949505,119692425.74999997,6.666666666666668e-08,136.8695548885077,121293799.54219551,1.1284134506883324e-06
87.65198935984668,8.13214356,119271438.87999998,6.818181818181819e-08,139.48788267581475,120867180.25781131,1.154059210931249e-06
87.65241474061317,8.27623256,118745945.42608698,6.969696969696969e-08,141.95939210977704,120334656.1882199,1.1797049711741653e-06
87.65271351965937,8.44822452,118634642.19574466,7.121212121212122e-08,144.90951149228133,120221863.82374951,1.2053507314170822e-06
87.65283505682733,8.56958351,117831773.26249999,7.272727272727273e-08,146.9911408233276,119408253.24783018,1.2309964916599988e-06
87.65253627788225,8.71968456,117448812.4408163,7.424242424242426e-08,149.5657728987993,119020168.76506735,1.2566422519029158e-06
87.6525970465015,8.85742263,116917978.71599999,7.575757575757576e-08,151.92834699828475,118482232.97669435,1.282288012145832e-06
87.65271351965937,9.00714226,116563017.48235296,7.727272727272727e-08,154.49643670668954,118122522.69052164,1.3079337723887486e-06
87.6525970465015,9.15210725,116161361.24999999,7.87878787878788e-08,156.98297169811323,117715492.66981134,1.3335795326316654e-06
87.65277428824845,9.29646827,115767340.72075471,8.03030303030303e-08,159.45914699828475,117316200.51084372,1.359225292874582e-06
87.65277428824845,9.44315089,115416288.65555555,8.181818181818182e-08,161.9751439108062,116960451.69417192,1.3848710531174987e-06
87.65283505682733,9.56428887,114771466.44,8.333333333333334e-08,164.0529823327616,116307002.35463466,1.4105168133604153e-06
87.6531388995669,9.70084946,114331440.06428571,8.484848484848486e-08,166.3953595197256,115861088.83358492,1.436162573603332e-06
87.65301736250191,9.85079876,114061880.37894738,8.636363636363636e-08,168.9673886792453,115587922.68933466,1.4618083338462486e-06
87.6530781310396,9.98426029,113613996.40344827,8.787878787878788e-08,171.25660874785592,115134046.44109304,1.4874540940891651e-06
87.65301736250191,10.1302028,113320912.67796609,8.93939393939394e-08,173.75991080617496,114837041.52683082,1.5130998543320819e-06
87.65338197357325,10.2600998,112861097.8,9.090909090909091e-08,175.98798970840483,114371074.75169812,1.5387456145749986e-06
87.65332120508711,10.3904044,112420768.91803277,9.242424242424243e-08,178.22306003430532,113924854.67714196,1.5643913748179152e-06
87.6531388995669,10.5204591,111991983.96774194,9.393939393939394e-08,180.45384391080617,113490332.98137553,1.5900371350608317e-06
87.6534376780098,10.6697767,111778613.04761904,9.545454545454546e-08,183.01503773584906,113274107.35597485,1.6156828953037483e-06
87.65361998337814,10.8029064,111404972.24999999,9.696969696969697e-08,185.29856603773584,112895467.59056602,1.641328655546665e-06
87.65355921493237,10.9115908,110794614.27692308,9.848484848484849e-08,187.16279245283022,112276943.5931495,1.6669744157895818e-06
87.65361998337814,11.0444269,110444269.0,1e-07,189.4412847341338,111921911.02092627,1.6926201760324981e-06
87.65361998337814,11.1771304,110103075.58208954,1.0151515151515151e-07,191.7175025728988,111576152.75111237,1.718265936275415e-06
87.6532604365907,11.3064085,109738670.73529412,1.0303030303030303e-07,193.9349656946827,111206872.50499445,1.7439116965183317e-06
87.65332120508711,11.430964,109339655.6521739,1.0454545454545455e-07,196.07142367066896,110802518.96964726,1.7695574567612482e-06
87.65374152023891,11.5730121,109116971.22857141,1.0606060606060607e-07,198.50792624356777,110576855.23471698,1.795203217004165e-06
87.6538022886538,11.6797137,108571986.50704226,1.0757575757575757e-07,200.33814236706692,110024579.12240236,1.8208489772470815e-06
87.6538022886538,11.7979613,108147978.58333334,1.0909090909090909e-07,202.36640308747857,109594898.36540882,1.846494737489998e-06
87.65361998337814,11.9215135,107783546.71232876,1.1060606060606061e-07,204.48565180102915,109225590.73352286,1.8721404977329148e-06
87.6538022886538,1.05055982,9369857.854054052,1.1212121212121213e-07,18.01989399656947,9495217.87337073,1.8977862579758316e-06
87.6538022886538,4.70575494,41410643.472,1.1363636363636363e-07,80.71620823327616,41964679.52531321,1.923432018218748e-06
87.65361998337814,1.07853282,9366206.068421053,1.1515151515151515e-07,18.499705317324185,9491517.230228402,1.9490777784616645e-06
87.65392382545267,4.84353186,41515987.37142857,1.1666666666666667e-07,83.0794487135506,42071432.828542024,1.9747235387045814e-06
87.65368075181361,1.1067865,9365116.538461538,1.1818181818181818e-07,18.984331046312178,9490413.123367198,2.000369298947498e-06
87.6538630570584,4.94791067,41336975.21772152,1.196969696969697e-07,84.86982281303602,41890025.65802723,2.0260150591904145e-06
87.65410613057388,1.13477235,9361871.8875,1.2121212121212122e-07,19.464362778730703,9487125.06198113,2.0516608194333315e-06
87.65410613057388,5.08989127,41473188.12592593,1.2272727272727272e-07,87.30516758147513,42028060.96877708,2.0773065796762476e-06
87.6541668989271,1.16315941,9362014.763414634,1.2424242424242423e-07,19.951276329331048,9487269.84944317,2.102952339919164e-06
87.65434413989817,5.21999237,41508373.0626506,1.2575757575757576e-07,89.53674734133791,42063716.64736532,2.128598100162081e-06
87.65440490821095,1.19116242,9359133.3,1.2727272727272726e-07,20.431602401372214,9484349.834716981,2.1542438604049977e-06
87.65446567651354,5.3455034,41506261.69411765,1.2878787878787877e-07,91.68959519725558,42061577.030677035,2.1798896206479143e-06
87.65476951787154,1.21959907,9359713.793023255,1.303030303030303e-07,20.91936655231561,9484938.09419921,2.2055353808908312e-06
87.65476951787154,5.46878147,41487307.703448266,1.3181818181818183e-07,93.80414185248713,42042369.45316851,2.2311811411337478e-06
87.65489105434273,1.24804954,9360371.55,1.3333333333333334e-07,21.407367753001715,9485604.65135506,2.2568269013766643e-06
87.65489105434273,5.57793128,41364434.211235955,1.3484848484848484e-07,95.6763512864494,41917852.027441174,2.282472661619581e-06
87.65489105434273,1.27604493,9357662.82,1.3636363636363637e-07,21.887563121783877,9482859.681056604,2.308118421862498e-06
87.65476951787154,5.71532638,41451817.7010989,1.3787878787878788e-07,98.03304253859348,42006404.627460085,2.3337641821054144e-06
87.65506829495594,1.30441723,9357775.780434784,1.3939393939393938e-07,22.37422349914237,9482974.152797379,2.3594099423483305e-06
87.65494675854491,5.81164424,41243926.864516124,1.409090909090909e-07,99.6851499142367,41795732.40404139,2.3850557025912475e-06
87.65494675854491,1.33254384,9356158.876595745,1.4242424242424242e-07,22.85666963979417,9481335.61628262,2.410701462834164e-06
87.65525059949533,5.96027119,41408199.84631579,1.4393939393939392e-07,102.23449725557462,41962203.206180744,2.4363472230770806e-06
87.65525059949533,1.3607792,9355357.0,1.4545454545454545e-07,23.340981132075473,9480523.011320755,2.4619929833199976e-06
87.65543290394204,6.04968992,41162838.63092784,1.4696969696969696e-07,103.76826620926244,41713559.28499514,2.487638743562914e-06
87.65549367207032,1.38933522,9356747.4,1.484848484848485e-07,23.83079279588336,9481932.013584906,2.5132845038058307e-06
87.65549367207032,6.1668244,41112162.66666667,1.5e-07,105.77743396226415,41662205.32327045,2.5389302640487472e-06
87.65567597639345,1.4173072,9354227.52,1.5151515151515152e-07,24.310586620926244,9479378.41992453,2.564576024291664e-06
87.65585321661884,6.31175589,41245137.4990099,1.5303030303030303e-07,108.26339433962264,41796959.23570334,2.5902217845345807e-06
87.65573168047374,1.44573994,9354787.847058823,1.5454545454545453e-07,24.79828370497427,9479946.2436404,2.6158675447774973e-06
87.65585321661884,6.44354136,41288711.627184466,1.5606060606060606e-07,110.5238655231561,41841116.34535263,2.6415133050204143e-06
87.65573168047374,1.4741544,9355210.615384616,1.5757575757575757e-07,25.285667238421954,9480374.668214805,2.6671590652633304e-06
87.65609628878536,6.55852001,41224982.92,1.5909090909090907e-07,112.49605506003431,41776535.007094346,2.692804825506247e-06
87.65621782480677,1.50214772,9352995.237735849,1.606060606060606e-07,25.765827101200685,9478129.650865076,2.718450585749164e-06
87.65621782480677,6.686863,41246070.841121495,1.621212121212121e-07,114.69747855917667,41797905.065067895,2.7440963459920804e-06
87.65627859280217,1.53049795,9353043.02777778,1.6363636363636361e-07,26.252108919382504,9478178.080293503,2.769742106234997e-06
87.6564001287618,6.79775085,41160693.220183484,1.6515151515151515e-07,116.5995,41711385.17064221,2.7953878664779135e-06
87.65615705680122,1.55862235,9351734.1,1.6666666666666668e-07,26.734517152658665,9476851.640274443,2.8210336267208305e-06
87.65663813656357,6.88230686,40921824.572972976,1.6818181818181818e-07,118.0498603773585,41469320.682182565,2.846679386963747e-06
87.6565166006846,1.5869178,9351479.892857144,1.6969696969696969e-07,27.21985934819897,9476594.032075472,2.8723251472066636e-06
87.65663813656357,6.99942145,40881576.61061947,1.7121212121212122e-07,120.05868696397941,41428534.23937218,2.8979709074495806e-06
87.65688120819807,1.61543997,9352547.194736842,1.7272727272727272e-07,27.70909039451115,9477675.61346574,2.923616667692497e-06
87.65675967240148,7.16107059,41098318.16869565,1.7424242424242423e-07,122.83139948542023,41648175.59873995,2.9492624279354133e-06
87.65688120819807,1.64350969,9351003.408620689,1.7575757575757576e-07,28.190560720411664,9476111.172921276,2.9749081881783302e-06
87.65675967240148,7.2725981,41024912.35897436,1.7727272727272726e-07,124.74439279588336,41573787.687276244,3.0005539484212468e-06
87.65694197608103,1.6718428,9350985.152542375,1.7878787878787877e-07,28.67654888507719,9476092.672593541,3.0261997086641633e-06
87.65694197608103,7.37805256,40920291.509243704,1.803030303030303e-07,126.55321715265868,41467767.10748058,3.0518454689070803e-06
87.65688120819807,1.69974687,9348607.785,1.818181818181818e-07,29.15517787307033,9473683.498075474,3.0774912291499964e-06
87.65706351181579,7.5186186,41010646.90909091,1.8333333333333333e-07,128.96429845626074,41559331.37888664,3.1031369893929134e-06
87.65675967240148,1.72819073,9349228.539344262,1.8484848484848484e-07,29.643065694682676,9474312.557537891,3.12878274963583e-06
87.65694197608103,7.63636004,40975590.45853658,1.8636363636363637e-07,130.98387718696398,41523805.905494705,3.154428509878747e-06
87.65700274395358,1.75648316,9349023.270967742,1.8787878787878787e-07,30.128356089193826,9474104.542860622,3.1800742701216635e-06
87.65718504750957,7.71985298,40760823.734400004,1.8939393939393938e-07,132.41600308747857,41306165.801515475,3.20572003036458e-06
87.65712427966777,1.78456442,9347718.39047619,1.909090909090909e-07,30.610024356775302,9472782.204276731,3.2313657906074966e-06
87.65688120819807,7.84822793,40786066.40787402,1.9242424242424241e-07,134.61797478559177,41331746.19857971,3.257011550850413e-06
87.65675967240148,1.81306792,9348631.4625,1.9393939393939392e-07,31.09893516295026,9473707.492358493,3.2826573110933297e-06
87.65688120819807,7.93979442,40622204.009302326,1.9545454545454545e-07,136.18858353344768,41165691.47289162,3.3083030713362466e-06
87.65688120819807,1.8410643,9346941.830769232,1.9696969696969696e-07,31.579147512864495,9471995.254920175,3.333948831579163e-06
87.65682044030491,7.99990659,40304872.89618321,1.9848484848484849e-07,137.21966706689537,40844114.76340487,3.35959459182208e-06
87.65663813656357,1.86954795,9347739.75,2e-07,32.06771783876501,9472803.849571185,3.3852403520649963e-06
