Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
87.67149052365147,6.54394446,40899652.875,1.6e-07,112.24604562607205,41446852.3474271,2.7081922816519973e-06
87.67318182362935,1.49604259,9350266.1875,1.6e-07,25.661107890222986,9475364.088464838,2.7081922816519973e-06
87.67299952820711,6.59135044,41195940.25,1.6e-07,113.05918421955404,41747103.77307033,2.7081922816519973e-06
87.6717335852171,1.49602631,9350164.4375,1.6e-07,25.660828644939965,9475260.977144083,2.7081922816519973e-06
87.67269570229718,6.60236819,41264801.1875,1.6e-07,113.2481679245283,41816886.00613207,2.7081922816519973e-06
87.67167281984118,1.49606378,9350398.625,1.6e-07,25.661471355060037,9475498.29785592,2.7081922816519973e-06
87.67203234816573,6.5886536,41179085.0,1.6e-07,113.01292624356775,41730023.015437394,2.7081922816519973e-06
87.67215387878551,1.496194,9351212.5,1.6e-07,25.663704974271013,9476323.061749572,2.7081922816519973e-06
87.67215387878551,6.56401249,41025078.0625,1.6e-07,112.59026569468267,41573955.60776158,2.7081922816519973e-06
87.67306029335816,1.49622493,9351405.8125,1.6e-07,25.66423550600343,9476518.960591767,2.7081922816519973e-06
87.67275646749971,6.59017149,41188571.8125,1.6e-07,113.03896209262437,41739636.75270155,2.7081922816519973e-06
87.67197158284047,1.49612243,9350765.1875,1.6e-07,25.662477358490566,9475869.764622642,2.7081922816519973e-06
87.67275646749971,6.55274677,40954667.3125,1.6e-07,112.39702864493997,41502602.82714408,2.7081922816519973e-06
87.67348058537111,1.4961204,9350752.5,1.6e-07,25.66244253859348,9475856.907375643,2.7081922816519973e-06
87.67287799787402,6.60674444,41292152.75,1.6e-07,113.32323224699829,41844603.507204115,2.7081922816519973e-06
87.6732425887496,1.49869233,9366827.0625,1.6e-07,25.70655797598628,9492146.532632934,2.7081922816519973e-06
87.6738451756337,6.55427922,40964245.125,1.6e-07,112.42331423670669,41512308.781903945,2.7081922816519973e-06
87.67299952820711,1.49638162,9352385.125,1.6e-07,25.666923156089194,9477511.375385934,2.7081922816519973e-06
87.67378441061571,6.59040636,41190039.75,1.6e-07,113.04299073756434,41741124.32984563,2.7081922816519973e-06
87.67306029335816,1.49629922,9351870.125,1.6e-07,25.66550977701544,9476989.485162951,2.7081922816519973e-06
87.67299952820711,6.58950807,41184425.4375,1.6e-07,113.02758267581476,41735434.9030446,2.7081922816519973e-06
87.67432623166286,1.49724575,9357785.9375,1.6e-07,25.68174528301887,9482984.445754718,2.7081922816519973e-06
87.67293876304566,6.59069078,41191817.375,1.6e-07,113.047869296741,41742925.737821616,2.7081922816519973e-06
87.67463005619084,1.49694056,9355878.5,1.6e-07,25.676510463121787,9481051.48850772,2.7081922816519973e-06
87.67456929130579,6.5629197,41018248.125,1.6e-07,112.57152144082333,41567034.29202402,2.7081922816519973e-06
87.6748680518912,1.49614377,9350898.5625,1.6e-07,25.662843396226418,9476004.924056605,2.7081922816519973e-06
87.67463005619084,6.59916077,41244754.8125,1.6e-07,113.19315214408233,41796571.4292024,2.7081922816519973e-06
87.67463005619084,1.49596274,9349767.125,1.6e-07,25.659738250428816,9474858.34897084,2.7081922816519973e-06
87.67444776150501,6.59273788,41204611.75,1.6e-07,113.08298250428817,41755891.289708406,2.7081922816519973e-06
87.67475158592984,1.49656295,9353518.4375,1.6e-07,25.670033447684393,9478659.850557461,2.7081922816519973e-06
87.67498958154951,6.59201418,41200088.625,1.6e-07,113.0705691252144,41751307.64948542,2.7081922816519973e-06
87.67456929130579,1.4966693,9354183.125,1.6e-07,25.671857632933104,9479333.430960549,2.7081922816519973e-06
87.67498958154951,6.60389398,41274337.375,1.6e-07,113.27433927958833,41826549.77898799,2.7081922816519973e-06
87.67517187595982,1.49665099,9354068.6875,1.6e-07,25.671543567753,9479217.462392796,2.7081922816519973e-06
87.67523264074262,6.54949593,40934349.5625,1.6e-07,112.34126809605489,41482013.24446827,2.7081922816519973e-06
87.67571369490983,1.49649264,9353079.0,1.6e-07,25.66882744425386,9478214.533790737,2.7081922816519973e-06
87.67583522428156,6.59986702,41249168.875,1.6e-07,113.20526620926243,41801044.54777015,2.7081922816519973e-06
87.67541493502934,1.49640414,9352525.875,1.6e-07,25.667309433962266,9477654.008490566,2.7081922816519973e-06
87.67541493502934,6.58898792,41181174.5,1.6e-07,113.01866072041167,41732140.47101201,2.7081922816519973e-06
87.67613904753041,1.49619966,9351247.875,1.6e-07,25.663802058319042,9476358.910034306,2.7081922816519973e-06
87.67571369490983,6.53394942,40837183.875,1.6e-07,112.07460411663808,41383547.57006861,2.7081922816519973e-06
87.67571369490983,1.49634165,9352135.3125,1.6e-07,25.666237564322472,9477258.220626073,2.7081922816519973e-06
87.67571369490983,6.60278909,41267431.8125,1.6e-07,113.25538747855919,41819551.82645798,2.7081922816519973e-06
87.67541493502934,1.49648643,9353040.1875,1.6e-07,25.66872092624357,9478175.202015437,2.7081922816519973e-06
87.67601751826182,6.60152867,41259554.1875,1.6e-07,113.23376792452831,41811568.80613208,2.7081922816519973e-06
87.67626057675793,1.49640607,9352537.9375,1.6e-07,25.66734253859348,9477666.232375642,2.7081922816519973e-06
87.6771011527864,6.5911959,41194974.375,1.6e-07,113.05653344768439,41746124.97555746,2.7081922816519973e-06
87.6764378068074,1.49638484,9352405.25,1.6e-07,25.666978387650087,9477531.769639794,2.7081922816519973e-06
87.67595675361196,6.54608565,40913035.3125,1.6e-07,112.28277272727273,41460413.82954545,2.7081922816519973e-06
87.67595675361196,1.49625438,9351589.875,1.6e-07,25.664740651801033,9476705.485677531,2.7081922816519973e-06
87.67662010048122,-6.73629782,42101861.375,-1.6e-07,-115.54541715265866,42665145.28361921,-2.7081922816519973e-06
87.67655933593362,-1.49545945,9346621.5625,-1.6e-07,-25.651105488850774,9471670.701758148,-2.7081922816519973e-06
87.67632134135617,-6.72593231,42037076.9375,-1.6e-07,-115.36762109777015,42599494.09035163,-2.7081922816519973e-06
87.67668086501864,-1.49626442,9351652.625,-1.6e-07,-25.664912864493996,9476769.075214408,-2.7081922816519973e-06
87.67632134135617,-6.71456224,41966014.0,-1.6e-07,-115.17259416809607,42527480.396569476,-2.7081922816519973e-06
87.67770879688074,-1.49736029,9358501.8125,-1.6e-07,-25.683709948542024,9483709.898499142,-2.7081922816519973e-06
87.67746573936661,-6.72496701,42031043.8125,-1.6e-07,-115.35106363636365,42593380.247727275,-2.7081922816519973e-06
87.67722268168772,-1.4964203,9352626.875,-1.6e-07,-25.667586620926244,9477756.359777015,-2.7081922816519973e-06
87.6764985713757,-6.72890134,42055633.375,-1.6e-07,-115.41854785591768,42618298.7957976,-2.7081922816519973e-06
87.67722268168772,-1.53058354,9566147.125,-1.6e-07,-26.253577015437394,9694133.312950257,-2.7081922816519973e-06
87.67783032557604,-6.72430523,42026907.6875,-1.6e-07,-115.33971234991424,42589188.78520583,-2.7081922816519973e-06
87.67746573936661,-1.49434124,9339632.75,-1.6e-07,-25.631925214408234,9464588.38542024,-2.7081922816519973e-06
87.67764803251768,-6.73162922,42072682.625,-1.6e-07,-115.46533825042883,42635576.14897084,-2.7081922816519973e-06
87.67728344612287,-1.49463728,9341483.0,-1.6e-07,-25.63700308747856,9466463.390051458,-2.7081922816519973e-06
87.67716191724227,-6.72030462,42001903.875,-1.6e-07,-115.27109125214409,42563850.44485421,-2.7081922816519973e-06
87.67849366897794,-1.49476951,9342309.4375,-1.6e-07,-25.63927118353345,9467300.884519726,-2.7081922816519973e-06
87.67776956123346,-6.70380516,41898782.25,-1.6e-07,-114.98808164665523,42459349.14802744,-2.7081922816519973e-06
87.67867089792334,-1.49482058,9342628.625,-1.6e-07,-25.64014716981132,9467624.34245283,-2.7081922816519973e-06
87.67794679053694,-6.7417871,42136169.375,-1.6e-07,-115.63957289879932,42699912.292881645,-2.7081922816519973e-06
87.67825061199602,-1.49493859,9343366.1875,-1.6e-07,-25.642171355060036,9468371.772855919,-2.7081922816519973e-06
87.67921777525963,-6.70034105,41877131.5625,-1.6e-07,-114.92866295025729,42437408.794382505,-2.7081922816519973e-06
87.67939500384692,-1.49537413,9346088.3125,-1.6e-07,-25.649642024013726,9471130.317367068,-2.7081922816519973e-06
87.67855443319772,-6.71986447,41999152.9375,-1.6e-07,-115.26354150943396,42561062.70235849,-2.7081922816519973e-06
87.67806831915155,-1.49527342,9345458.875,-1.6e-07,-25.647914579759863,9470492.458576329,-2.7081922816519973e-06
87.67783032557604,-6.7383682,42114801.25,-1.6e-07,-115.5809296740995,42678258.282161236,-2.7081922816519973e-06
87.67885319046148,-1.49540986,9346311.625,-1.6e-07,-25.65025488850772,9471356.617581476,-2.7081922816519973e-06
87.67837214050762,-6.73966321,42122895.0625,-1.6e-07,-115.60314253859349,42686460.38237564,-2.7081922816519973e-06
87.67849366897794,-1.49548006,9346750.375,-1.6e-07,-25.6514590051458,9471801.237650087,-2.7081922816519973e-06
87.6795165319705,-6.75097452,42193590.75,-1.6e-07,-115.7971615780446,42758101.912692964,-2.7081922816519973e-06
87.67903548290691,-1.49560417,9347526.0625,-1.6e-07,-25.65358782161235,9472587.30313036,-2.7081922816519973e-06
87.67891395462023,-6.74855762,42178485.125,-1.6e-07,-115.75570531732419,42742794.18842196,-2.7081922816519973e-06
87.6795165319705,-1.49560474,9347529.625,-1.6e-07,-25.65359759862779,9472590.913293311,-2.7081922816519973e-06
87.67945576791381,-6.73767441,42110465.0625,-1.6e-07,-115.56902933104632,42673864.08048885,-2.7081922816519973e-06
87.67963806005277,-1.49556193,9347262.0625,-1.6e-07,-25.652863293310464,9472319.771054888,-2.7081922816519973e-06
87.68006340801645,-6.7383058,42114411.25,-1.6e-07,-115.57985934819898,42677863.06432247,-2.7081922816519973e-06
87.6798811160938,-1.49576234,9348514.625,-1.6e-07,-25.656300857632935,9473589.09168096,-2.7081922816519973e-06
87.68006340801645,-6.75315951,42207246.9375,-1.6e-07,-115.83463996569468,42771940.80733276,-2.7081922816519973e-06
87.68030140010924,-1.49594825,9349676.5625,-1.6e-07,-25.659489708404806,9474766.574828474,-2.7081922816519973e-06
87.68048369181811,-6.74202168,42137635.5,-1.6e-07,-115.64359656946827,42701398.03327616,-2.7081922816519973e-06
87.68060521957257,-1.49604466,9350279.125,-1.6e-07,-25.661143396226414,9475377.199056603,-2.7081922816519973e-06
87.68054445570044,-6.73736964,42108560.25,-1.6e-07,-115.56380171526587,42671933.78336192,-2.7081922816519973e-06
87.68090397512697,-1.49602839,9350177.4375,-1.6e-07,-25.660864322469983,9475274.151072042,-2.7081922816519973e-06
87.6807267472857,-6.72262647,42016415.4375,-1.6e-07,-115.31091715265866,42578556.15861921,-2.7081922816519973e-06
87.68096473893804,-1.49601212,9350075.75,-1.6e-07,-25.660585248713552,9475171.10308748,-2.7081922816519973e-06
87.68084827495777,-6.71654875,41978429.6875,-1.6e-07,-115.2066680960549,42540062.194468275,-2.7081922816519973e-06
87.6807267472857,-1.49601066,9350066.625,-1.6e-07,-25.660560205831906,9475161.856003432,-2.7081922816519973e-06
87.68090397512697,-6.74414362,42150897.625,-1.6e-07,-115.67999348198971,42714837.593224704,-2.7081922816519973e-06
