Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
87.75659250273567,9.98242504,33274750.133333337,3e-07,171.22512933104633,33719935.46959406,5.0778605280974944e-06
87.75538760635486,2.79791769,9326392.299999999,3e-07,47.99172710120069,9451170.790463123,5.0778605280974944e-06
87.75435989741253,10.003671,33345570.000000004,3e-07,171.5895540308748,33791702.84048028,5.0778605280974944e-06
87.75261329170088,2.79808153,9326938.433333334,3e-07,47.99453739279589,9451724.230554605,5.0778605280974944e-06
87.75176783022229,9.94494922,33149830.733333334,3e-07,170.5823193825043,33593344.76372785,5.0778605280974944e-06
87.75061860692587,2.79811307,9327043.566666666,3e-07,47.99507838765008,9451830.770474557,5.0778605280974944e-06
87.74947444262146,10.0053638,33351212.666666668,3e-07,171.61859005145797,33797421.00080046,5.0778605280974944e-06
87.74838596433501,2.79818674,9327289.133333333,3e-07,47.99634202401372,9452079.62259577,5.0778605280974944e-06
87.74778350283701,9.96439659,33214655.3,3e-07,170.9158934819897,33659036.62305318,5.0778605280974944e-06
87.74591029674322,2.79831057,9327701.9,3e-07,47.99846603773585,9452497.911698114,5.0778605280974944e-06
87.74542933684017,9.98707799,33290259.966666665,3e-07,171.3049397941681,33735652.810131505,5.0778605280974944e-06
87.74385988424025,2.79852827,9328427.566666666,3e-07,48.00220017152659,9453233.287112636,5.0778605280974944e-06
87.7429536487986,9.98815247,33293841.566666666,3e-07,171.32336998284734,33739282.32862207,5.0778605280974944e-06
87.74174870650171,2.79875746,9329191.533333333,3e-07,48.00613138936536,9454007.474945685,5.0778605280974944e-06
87.74066020472134,9.96590233,33219674.433333337,3e-07,170.9417209262436,33664122.90774158,5.0778605280974944e-06
87.7393945008148,2.79880425,9329347.5,3e-07,48.00693396226415,9454165.528301887,5.0778605280974944e-06
87.73854900811202,9.98832292,33294409.733333334,3e-07,171.3262936535163,33739858.096832484,5.0778605280974944e-06
87.73667575369339,2.79895136,9329837.866666667,3e-07,48.00945728987994,9454662.455620358,5.0778605280974944e-06
87.73607327248628,9.98819592,33293986.400000006,3e-07,171.32411526586623,33739429.09969126,5.0778605280974944e-06
87.7346252882958,2.79883898,9329463.266666668,3e-07,48.00752967409949,9454282.843819326,5.0778605280974944e-06
87.73323805319383,10.0075268,33358422.66666667,3e-07,171.6556912521441,33804727.46392225,5.0778605280974944e-06
87.73233179086319,2.79885628,9329520.933333334,3e-07,48.00782641509434,9454341.28201258,5.0778605280974944e-06
87.73124832339019,10.0065256,33355085.333333336,3e-07,171.6385180102916,33801345.480160095,5.0778605280974944e-06
87.7299167677528,2.79881077,9329369.233333332,3e-07,48.00704579759863,9454187.552407091,5.0778605280974944e-06
87.7288332929719,10.0071412,33357137.333333332,3e-07,171.64907718696398,33803424.93401945,5.0778605280974944e-06
87.72762324015878,-2.79661172,9322039.066666666,-3e-07,-47.96932624356776,9446759.314899944,-5.0778605280974944e-06
87.72617522179456,-2.79761173,9325372.433333334,-3e-07,-47.986479073756435,9450137.278925102,-5.0778605280974944e-06
87.7246664411857,-2.79876937,9329231.233333334,-3e-07,-48.00633567753002,9454047.706094913,-5.0778605280974944e-06
87.72309689756462,-2.79818543,9327284.766666668,-3e-07,-47.99631955403088,9452075.197507149,-5.0778605280974944e-06
87.72146659013222,-2.79793619,9326453.966666667,-3e-07,-47.99204442538594,9451233.282172672,-5.0778605280974944e-06
87.71978058116119,-2.79844244,9328141.466666667,-3e-07,-48.00072795883362,9452943.359359635,-5.0778605280974944e-06
87.71838822542621,-2.79813317,9327110.566666666,-3e-07,-47.995423156089196,9451898.6668725,-5.0778605280974944e-06
87.71712244278798,-2.79863349,9328778.3,-3e-07,-48.00400497427101,9453588.712933106,-5.0778605280974944e-06
87.71585665567599,-2.79806787,9326892.9,-3e-07,-47.99430308747856,9451678.088027446,-5.0778605280974944e-06
87.7142870734444,-2.79825806,9327526.866666667,-3e-07,-47.99756535162951,9452320.536580905,-5.0778605280974944e-06
