Temperature [K],Voltage source [V],Resistance [𝛀],Current [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
87.7349290616883,5.0,131232665.80525546,3.810027e-08,85.76329331046313,132988437.32031721,6.448928571428571e-07
87.7347467976837,5.204081632653061,130511618.90435311,3.987447e-08,89.26383589456366,132257743.47974584,6.749233243060257e-07
87.73486830703045,5.408163265306122,129619956.6837496,4.172323e-08,92.76437847866418,131354151.64452703,7.062158090724442e-07
87.7346252882958,5.612244897959184,128824272.67408386,4.356512e-08,96.26492106276474,130547822.11980918,7.373920108327691e-07
87.73390129400448,5.816326530612245,128190765.41882911,4.537243e-08,99.76546364686527,129905839.12426116,7.679829045362221e-07
87.73480755236228,6.020408163265306,127321787.24121921,4.728498e-08,103.2660062309658,129025234.82352026,8.003551117129316e-07
87.73528852653656,6.224489795918368,126591518.95262645,4.916988e-08,106.76654881506634,128285196.22163242,8.322593094109682e-07
87.73396204882643,6.428571428571429,125863796.24117003,5.107562e-08,110.26709139916687,127547737.25434521,8.645162491536899e-07
87.73516701733243,6.63265306122449,125165982.6095385,5.299086e-08,113.76763398326742,126840587.52266784,8.969339878131348e-07
87.7350505709732,6.836734693877551,124487354.10820661,5.491911e-08,117.26817656736795,126152879.60056342,9.295719363574814e-07
87.73402280363807,7.040816326530612,123792396.20456101,5.6876e-08,120.76871915146847,125448623.80386731,9.626946513202438e-07
87.73522777193959,7.244897959183674,123064830.67066222,5.887058e-08,124.26926173556902,124711324.11702788,9.964553148273526e-07
87.73522777193959,7.448979591836735,122400897.83640718,6.085723e-08,127.76980431966956,124038508.47641402,1.0300817535545024e-06
87.7345037788666,7.653061224489796,121717041.4660034,6.287584e-08,131.27034690377008,123345502.74119179,1.064249153689912e-06
87.73480755236228,7.857142857142858,121079740.69562733,6.48923e-08,134.77088948787065,122699675.47680385,1.0983801624915368e-06
87.73516701733243,8.061224489795919,120393601.7353747,6.695725e-08,138.27143207197116,122004356.61279482,1.13333192281652e-06
87.73420506801125,8.26530612244898,119701675.40582983,6.904921e-08,141.7719746560717,121303172.94985294,1.1687408598510496e-06
