Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
287.24557936122784,2.0929952260000002e-05,59.79986360000001,3.5e-07,0.00044456143288020396,82.87895284409517,5.363984674329502e-06
279.9442508869154,2.180482117e-05,62.29948905714286,3.5e-07,0.000463144035046729,86.34328081942591,5.363984674329502e-06
265.1745216752339,3.9293407349999995e-05,112.26687814285714,3.5e-07,0.0008346093319881053,155.5950254634968,5.363984674329502e-06
259.42208632135237,5.230798116000001e-05,149.45137474285715,3.5e-07,0.0011110446295666953,207.13046308350533,5.363984674329502e-06
250.55909942771126,7.561812228e-05,216.05177794285717,3.5e-07,0.0016061623254035686,299.4345478073796,5.363984674329502e-06
240.01477924941415,0.00011917134560000002,340.4895588571429,3.5e-07,0.002531252030586237,471.8976999878628,5.363984674329502e-06
229.5852168956003,0.00020491524289999999,585.4721225714286,3.5e-07,0.004352490290994052,811.4285471067484,5.363984674329502e-06
224.6730823633383,0.0002643538023,755.296578,3.5e-07,0.005614991552676296,1046.794853748938,5.363984674329502e-06
219.85969105091277,0.0003454266114,986.9331754285714,3.5e-07,0.007337013836023789,1367.829008001578,5.363984674329502e-06
215.11374269626754,0.0004414298859,1261.2282454285717,3.5e-07,0.009376165800764657,1747.9851957139824,5.363984674329502e-06
210.12224392389598,0.0005843100013999999,1669.4571468571426,3.5e-07,0.012411002578589634,2313.765480722782,5.363984674329502e-06
204.84318879618917,0.0008072595459,2306.4558454285716,3.5e-07,0.017146549403143585,3196.6067101574827,5.363984674329502e-06
199.89042377298094,0.001086485964,3104.2456114285715,3.5e-07,0.023077441886151233,4302.294523061051,5.363984674329502e-06
193.37887851973068,0.001577841017,4508.1171914285715,3.5e-07,0.033514040293118094,6247.974654645588,5.363984674329502e-06
189.56845406776554,0.001963601316,5610.289474285715,3.5e-07,0.04170775947323705,7775.518016082051,5.363984674329502e-06
184.2022194682123,0.0027129566520000003,7751.304720000001,3.5e-07,0.05762439787595583,10742.83417544605,5.363984674329502e-06
179.95451680782475,0.0035469427009999998,10134.122002857142,3.5e-07,0.07533863001274427,14045.273166661611,5.363984674329502e-06
173.72157287352934,0.0054309610460000005,15517.031560000001,3.5e-07,0.11535601202209007,21505.656526975366,5.363984674329502e-06
171.37871034102312,0.006347103829,18134.58236857143,3.5e-07,0.13481528948598132,25133.421825600803,5.363984674329502e-06
169.2249631879124,0.007344428154,20984.08044,3.5e-07,0.1559988987680544,29082.651841758714,5.363984674329502e-06
168.09963068669424,0.007932043412,22662.981177142858,3.5e-07,0.16848010645709433,31409.50556092973,5.363984674329502e-06
166.11048950009314,0.009121355005000002,26061.014300000006,3.5e-07,0.19374161013169078,36118.97160312235,5.363984674329502e-06
163.93006804635252,0.01063149424,30375.697828571432,3.5e-07,0.22581763466440105,42098.859033863344,5.363984674329502e-06
161.31652593918136,0.01282114298,36631.83708571429,3.5e-07,0.2723267412914189,50769.485340757376,5.363984674329502e-06
159.63962397968945,0.014747093520000004,42134.55291428573,3.5e-07,0.3132347816482584,58395.91286442532,5.363984674329502e-06
158.02527702953427,0.01701463222,48613.23491428571,3.5e-07,0.3613983054375531,67374.96979942954,5.363984674329502e-06
155.91717418896664,0.02017813776,57651.82217142857,3.5e-07,0.42859256074766355,79901.89882510014,5.363984674329502e-06
154.07892101833906,0.02346735865,67049.59614285715,3.5e-07,0.49845706563296516,92926.63866443136,5.363984674329502e-06
150.99082773235972,0.02933186005,83805.31442857142,3.5e-07,0.6230216663126593,116149.0392197172,5.363984674329502e-06
148.00586406578844,0.036602031240000006,104577.23211428574,3.5e-07,0.7774433143585389,144937.64646255618,5.363984674329502e-06
145.63647279430126,0.044778596399999995,127938.84685714285,3.5e-07,0.951117170773152,177315.41540842335,5.363984674329502e-06
143.9789353691762,0.050727540019999996,144935.8286285714,3.5e-07,1.0774753615123194,200872.19239622526,5.363984674329502e-06
142.0742573768203,0.059119026750000005,168911.50500000003,3.5e-07,1.2557142470263383,234101.01319562452,5.363984674329502e-06
140.14178301456818,0.06991935178999999,199769.5765428571,3.5e-07,1.4851179224723872,276868.4126894951,5.363984674329502e-06
138.01235780340525,0.08258984731,235970.99231428574,3.5e-07,1.7542448451571795,327041.3604185885,5.363984674329502e-06
136.0092410780189,0.0964818462,275662.4177142857,3.5e-07,2.049317039082413,382051.24800036417,5.363984674329502e-06
134.09160304208166,0.11231504090000002,320900.11685714294,3.5e-07,2.385621089634665,444747.93171046255,5.363984674329502e-06
132.07716516160838,0.1313402826,375257.9502857143,3.5e-07,2.7897256287170773,520084.563639398,5.363984674329502e-06
130.00323398279096,0.156850373,448143.92285714287,3.5e-07,3.331571219201359,621100.0630082535,5.363984674329502e-06
127.96633338057345,0.1849409656,528402.7588571429,3.5e-07,3.9282278164825835,732333.9000728246,5.363984674329502e-06
125.92495360138358,0.2160053483,617158.138,3.5e-07,4.588049029311811,855343.4261788448,5.363984674329502e-06
124.02916186027468,0.24906063069999998,711601.802,3.5e-07,5.290157831350892,986236.5671304163,5.363984674329502e-06
122.07589552523295,0.2908320376,830948.6788571428,3.5e-07,6.177400968564146,1151644.0377108871,5.363984674329502e-06
119.99065870212478,0.3372349803,963528.5151428571,3.5e-07,7.163019972387426,1335391.5805665131,5.363984674329502e-06
117.96120919545811,0.38997691370000004,1114219.7534285716,3.5e-07,8.283281939252339,1544240.4186749004,5.363984674329502e-06
116.08669826548196,0.4476466212,1278990.3462857143,3.5e-07,9.508212005097706,1772602.380950358,5.363984674329502e-06
114.05845710830445,0.5138996149,1468284.614,3.5e-07,10.91545486193713,2034952.6564039937,5.363984674329502e-06
112.03372032751982,0.5843375117,1669535.747714286,3.5e-07,12.41158690951572,2313874.4167025737,5.363984674329502e-06
110.02689063875951,0.6553554239999999,1872444.0685714283,3.5e-07,13.920038742565845,2595092.9370069182,5.363984674329502e-06
