Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Resistivity [𝛀 cm],Current Density [A/cm2]
191.4236503751259,0.00526825655,5268.25655,1e-06,0.11190009664401021,7301.481306021667,1.532567049808429e-05
191.41123505428416,0.00650219617,5310.1268721666665,1.2244897959183673e-06,0.13810951932880206,7359.511011233541,1.8766127140511375e-05
191.40050777709916,0.00774633217,5346.06023,1.4489795918367347e-06,0.1645355176295667,7409.3124470582,2.220658378293846e-05
191.38100129516437,0.00898590028,5369.62333804878,1.673469387755102e-06,0.19086449192863214,7441.969473400232,2.564704042536555e-05
191.3733908804819,0.0102278623,5388.873684946237,1.8979591836734693e-06,0.21724431393372984,7468.649276608793,2.908749706779263e-05
191.35513074626547,0.0114640512,5401.331815384617,2.1224489795918364e-06,0.24350151231945627,7485.915483301747,3.2527953710219714e-05
191.3329220585567,0.0127215039,5420.466879130435,2.346938775510204e-06,0.27021036321155484,7512.435511114293,3.5968410352646806e-05
191.3177001444068,0.0139661446,5431.278455555555,2.5714285714285716e-06,0.29664708156329656,7527.41969466865,3.940886699507389e-05
191.30806329168246,0.0152203209,5443.764409489051,2.7959183673469388e-06,0.3232863402718777,7544.724463023803,4.284932363750098e-05
191.29047767975953,0.0164693297,5452.683481756757,3.020408163265306e-06,0.34981583899745117,7557.08575158514,4.628978027992806e-05
191.27904811577352,0.0177215829,5461.368315094341,3.244897959183673e-06,0.3764142502124045,7569.122399318305,4.973023692235514e-05
191.26081227775984,0.0189737375,5468.900808823529,3.469387755102041e-06,0.40301056711979616,7579.561974845695,5.317069356478224e-05
191.2527596231315,0.0202358764,5478.220682872929,3.6938775510204083e-06,0.42981895497026346,7592.478750158425,5.661115020720932e-05
191.24283635358952,0.0214921567,5484.9774911458335,3.9183673469387755e-06,0.4565029035683943,7601.843273094004,6.0051606849636404e-05
191.22795107915317,0.0227520771,5491.880679310345,4.142857142857143e-06,0.48326416949872564,7611.410669604929,6.349206349206349e-05
191.21758610631628,0.0240118312,5498.0361158878495,4.367346938775511e-06,0.5100219031435854,7619.941728158075,6.693252013449059e-05
191.20114195738918,0.0252811789,5505.678960444444,4.591836734693878e-06,0.5369834090909091,7630.534243181819,7.037297677691766e-05
191.19158219505792,0.0265426977,5510.983844491525,4.816326530612245e-06,0.5637786257434155,7637.886487958201,7.381343341934475e-05
191.17217609003924,0.0278091927,5516.803410121457,5.040816326530612e-06,0.5906795390824129,7645.952049924068,7.725389006177183e-05
191.15991423506998,0.0290761829,5522.220783333334,5.265306122448979e-06,0.6175909706881904,7653.460197801615,8.069434670419892e-05
191.15048359725435,0.0303460876,5527.725994052044,5.4897959183673465e-06,0.6445643075615973,7661.090083090398,8.4134803346626e-05
191.1379874639527,0.0316139465,5532.440637499999,5.7142857142857145e-06,0.6714941907391674,7667.6242905028685,8.757525998905309e-05
191.12751798465064,0.0328921094,5538.533885223368,5.938775510204082e-06,0.698642935429057,7676.069159108428,9.101571663148017e-05
191.11629435806998,0.0341638995,5543.149256622516,6.163265306122449e-06,0.7256563190314358,7682.465781533968,9.445617327390726e-05
191.09948531127966,0.0354409768,5548.267933546326,6.387755102040816e-06,0.7527820050977061,7689.559954628246,9.789662991633434e-05
191.09031442270958,0.0367164989,5552.803845987654,6.612244897959183e-06,0.779874658028887,7695.846451798948,0.00010133708655876143
191.06898399160633,0.0380037515,5558.757682089552,6.836734693877551e-06,0.8072164719626169,7704.098104425305,0.00010477754320118851
191.0581242268969,0.0392821161,5563.074245375723,7.061224489795918e-06,0.8343695008496177,7710.080597085088,0.0001082179998436156
191.04383429446645,0.04056901,5568.295490196079,7.2857142857142855e-06,0.8617036958368736,7717.316923009647,0.00011165845648604269
191.03588393970162,0.0418522982,5572.724488586957,7.510204081632653e-06,0.8889613041631266,7723.455243846622,0.00011509891312846977
191.02026902708548,0.0431439861,5577.982371767809,7.73469387755102e-06,0.9163973258283772,7730.742348297569,0.00011853936977089687
191.0058748992384,0.0444324975,5582.5445576923075,7.959183673469388e-06,0.9437658772302465,7737.065258908733,0.00012197982641332394
190.99917144277728,0.0457255829,5587.415366832917,8.183673469387755e-06,0.9712315824129142,7743.815902418179,0.00012542028305575104
190.98581629220467,0.0470152447,5591.618908495146,8.408163265306122e-06,0.9986245688190315,7749.641754020991,0.00012886073969817813
190.96851152471507,0.048315547,5596.836413711583,8.632653061224491e-06,1.0262435641461343,7756.872897083281,0.0001323011963406052
190.95796254334297,0.0496101784,5601.149174193548,8.857142857142858e-06,1.053742107051827,7762.8501192890635,0.0001357416529830323
190.94211252386427,0.0509066418,5605.450445393258,9.081632653061225e-06,1.081279562446899,7768.811418052466,0.00013918210962545938
190.93553862134482,0.0522069144,5609.953521052631,9.306122448979593e-06,1.1088979269328803,7775.0524054520865,0.00014262256626788647
190.91516714210002,0.0535120236,5614.751940899358,9.53061224489796e-06,1.1366190229396773,7781.702721828444,0.00014606302291031355
190.91085390680607,0.0548134621,5618.953227824268,9.755102040816327e-06,1.1642621516567546,7787.525448503261,0.00014950347955274064
190.8970818791499,0.0561162041,5623.096116359918,9.979591836734694e-06,1.1919329672897196,7793.267238582936,0.00015294393619516772
190.8798538707922,0.0574211786,5627.2755028,1.0204081632653061e-05,1.219651202209006,7799.059612525489,0.0001563843928375948
190.8663936360665,0.0587316262,5631.799772602739,1.042857142857143e-05,1.2474856881903145,7805.329973711316,0.00015982484948002192
190.85462218284428,0.0600390441,5635.848967241379,1.0653061224489797e-05,1.2752558220050978,7810.941909781222,0.000163265306122449
190.84456571895237,0.0613521722,5640.2559808630385,1.0877551020408164e-05,1.3031472429906543,7817.049761072926,0.00016670576276487607
190.82419269603795,0.0626595651,5643.968179963234,1.1102040816326532e-05,1.3309168457943925,7822.1946419414,0.00017014621940730315
190.82000905533437,0.0639724422,5648.017419459458,1.1326530612244899e-05,1.358802935429057,7827.806640181176,0.00017358667604973024
190.80756137353808,0.0652896614,5652.285174204947,1.1551020408163266e-05,1.3867812531860664,7833.721487189312,0.00017702713269215732
190.79059192872762,0.0666132189,5656.928468110919,1.1775510204081633e-05,1.4148941992353443,7840.156808501221,0.0001804675893345844
190.77868980505113,0.0679292296,5660.769133333333,1.2e-05,1.4428468479184369,7845.479735556501,0.0001839080459770115
190.75956305936342,0.0679730873,5664.423941666666,1.2e-05,1.4437784048428208,7850.545076332838,0.0001839080459770115
190.75735427964634,0.0667472864,5668.313749740034,1.1775510204081633e-05,1.417741852166525,7855.936112373349,0.0001804675893345844
190.74282706958397,0.0655042186,5670.859914134275,1.1551020408163266e-05,1.3913385429056924,7859.464940468595,0.00017702713269215732
190.72473920598162,0.0642795799,5675.134081261261,1.1326530612244899e-05,1.365326675870858,7865.388674645226,0.00017358667604973024
190.71764438094726,0.0630433993,5678.541481066176,1.1102040816326532e-05,1.3390696537807987,7870.111122335769,0.00017014621940730315
190.69903639764397,0.0618102921,5682.372069230768,1.0877551020408164e-05,1.312877912064571,7875.420083205347,0.00016670576276487607
190.68752317052287,0.0605677024,5685.473980076627,1.0653061224489797e-05,1.2864847578589635,7879.71914188615,0.000163265306122449
190.67616593141383,0.0593295028,5689.130405479452,1.042857142857143e-05,1.2601848513169076,7884.786723821883,0.00015982484948002192
190.66491236055182,0.0580899318,5692.8133164,1.0204081632653061e-05,1.2338558156329653,7889.8910130649965,0.0001563843928375948
190.65308703632257,0.0568477427,5696.399575255624,9.979591836734694e-06,1.2074711703483434,7894.86134845857,0.00015294393619516772
190.63832483819309,0.0556003573,5699.618216945606,9.755102040816327e-06,1.18097615335599,7899.322188948617,0.00014950347955274064
190.62748690072556,0.0543525484,5702.944050535331,9.53061224489796e-06,1.1544721410365335,7903.931590854511,0.00014606302291031355
190.61599871024418,0.0530975095,5705.653433114035,9.306122448979593e-06,1.1278145603228549,7907.6866293689645,0.00014262256626788647
190.59822114290404,0.0518530472,5709.661377078652,9.081632653061225e-06,1.1013816312659304,7913.2413945280805,0.00013918210962545938
190.58896792945316,0.0505946154,5712.295287096774,8.857142857142858e-06,1.0746519838572643,7916.891832690411,0.0001357416529830323
190.57235949552282,0.0493432554,5715.885377304964,8.632653061224491e-06,1.048072544604928,7921.867478104269,0.0001323011963406052
190.56544560569756,0.0480923843,5719.72531723301,8.408163265306122e-06,1.021503489804588,7927.18939994592,0.00012886073969817813
190.55013635330303,0.0468377653,5723.31795436409,8.183673469387755e-06,0.9948548279524215,7932.168575239101,0.00012542028305575104
190.5392457195318,0.0455774437,5726.396772564102,7.959183673469388e-06,0.9680850403568394,7936.435628925397,0.00012197982641332394
190.52528756112628,0.0443160016,5729.509441688654,7.73469387755102e-06,0.9412914528462193,7940.74959792236,0.00011853936977089687
190.51468233863605,0.0430467232,5731.764773913043,7.510204081632653e-06,0.9143314188615124,7943.875350421115,0.00011509891312846977
190.50236186344893,0.0417797794,5734.4795254901965,7.2857142857142855e-06,0.8874209728122345,7947.637830038983,0.00011165845648604269
190.48793533689235,0.0405095605,5736.903076589595,7.061224489795918e-06,0.8604409621920136,7950.9967236081375,0.0001082179998436156
190.47693990423778,0.0392451976,5740.342335522388,6.836734693877551e-06,0.8335853355989804,7955.763326101016,0.00010477754320118851
190.45578083441077,0.0379677878,5742.041982098765,6.612244897959183e-06,0.8064525870858115,7958.118932284293,0.00010133708655876143
190.45094609230438,0.0366986552,5745.156884345048,6.387755102040816e-06,0.7794956499575192,7962.435996251369,9.789662991633434e-05
190.43935239987786,0.0354245533,5747.692422847683,6.163265306122449e-06,0.7524331627017843,7965.95009751086,9.445617327390726e-05
190.42401535460533,0.034150796,5750.477676975945,5.938775510204082e-06,0.7253779949022939,7969.810289351751,9.101571663148017e-05
190.40919841247302,0.0328685378,5751.9941149999995,5.7142857142857145e-06,0.698142264231096,7971.911979688828,8.757525998905309e-05
190.39913819018017,0.0315958406,5755.376168773235,5.4897959183673465e-06,0.6711096134239593,7976.59929932994,8.4134803346626e-05
190.38894791388879,0.0303139568,5757.301872868217,5.265306122448979e-06,0.6438818351741716,7979.268207405506,8.069434670419892e-05
190.36729312201027,0.0290351374,5760.007014574899,5.040816326530612e-06,0.6167191461342396,7983.01736833076,7.725389006177183e-05
190.36141781045632,0.0277524437,5762.159920762712,4.816326530612245e-06,0.5894741652506372,7986.001164608474,7.381343341934475e-05
190.3495375630919,0.0264679579,5764.133053777777,4.591836734693878e-06,0.562191119371283,7988.735806265931,7.037297677691766e-05
190.3371630326718,0.0251743807,5764.2273565420555,4.367346938775511e-06,0.5347149681393373,7988.866504128485,6.693252013449059e-05
190.32268259155367,0.0238897736,5766.497075862069,4.142857142857143e-06,0.5074293457943926,7992.012196261683,6.349206349206349e-05
190.31059390430082,0.0225978156,5767.15085625,3.9183673469387755e-06,0.47998758708581146,7992.918295885994,6.0051606849636404e-05
190.29910308154624,0.0213070003,5768.193451381216,3.6938775510204083e-06,0.4525700998300765,7994.363268959736,5.661115020720932e-05
190.28425840432104,0.0200082843,5767.09371,3.469387755102041e-06,0.42498479821580293,7992.83909467927,5.317069356478224e-05
190.2746908729982,0.0187134074,5767.024922012579,3.244897959183673e-06,0.39748104078164825,7992.743758736636,4.973023692235514e-05
190.25786997477815,0.0174135278,5765.289609459459,3.020408163265306e-06,0.3698710237892948,7990.338721691371,4.628978027992806e-05
190.22565731139457,0.0161171675,5764.534361313869,2.7959183673469388e-06,0.34233575828377233,7989.291993961979,4.284932363750098e-05
190.23428917015315,0.0148125422,5760.433077777778,2.5714285714285716e-06,0.314624940526763,7983.607865866611,3.940886699507389e-05
190.22147156340492,0.0135116416,5757.1342469565225,2.346938775510204e-06,0.2869932370433305,7979.035888145987,3.5968410352646806e-05
190.20537749435408,0.01220427,5750.088750000001,2.1224489795918364e-06,0.25922408666100255,7969.271260354717,3.2527953710219714e-05
190.1984095527046,0.0109016841,5743.898074193548,1.8979591836734693e-06,0.23155658666100257,7960.69136238592,2.908749706779263e-05
190.17812970278658,0.00959875099,5735.839006219512,1.673469387755102e-06,0.20388171176720477,7949.521987167017,2.564704042536555e-05
190.16489533217378,0.00828780245,5719.750986619718,1.4489795918367347e-06,0.17603658559898047,7927.224976145639,2.220658378293846e-05
190.15069893885047,0.00697449083,5695.834177833333,1.2244897959183673e-06,0.14814126656754462,7894.0777422180345,1.8766127140511375e-05
190.1290397737777,0.00565963407,5659.63407,1e-06,0.12021312807986406,7843.906607211131,1.532567049808429e-05
185.36029965892766,0.00740686841,7406.86841,1e-06,0.15732515739167374,10265.466519806712,1.532567049808429e-05
185.34670009709296,0.00912451984,7451.691202666666,1.2244897959183673e-06,0.19380883262531862,10327.588168521666,1.8766127140511375e-05
185.33939137925503,0.0108438446,7483.780076056338,1.4489795918367347e-06,0.23032805012744265,10372.061384084029,2.220658378293846e-05
185.322894169327,0.0125678609,7510.063220731707,1.673469387755102e-06,0.2669469180118947,10408.48821479915,2.564704042536555e-05
185.31370565326586,0.0142928563,7530.644717204302,1.8979591836734693e-06,0.3035865824129142,10437.01290988914,2.908749706779263e-05
185.29885262343024,0.015856273,7470.744009615386,2.1224489795918364e-06,0.3367942438402719,10353.994193445284,3.2527953710219714e-05
185.29073429646797,0.0177476747,7562.05269826087,2.346938775510204e-06,0.3769684515717927,10480.542450329689,3.5968410352646806e-05
185.28089299575342,0.0194757548,7573.904644444445,2.5714285714285716e-06,0.4136736363636364,10496.968522727275,3.940886699507389e-05
185.27311397508706,0.0212128209,7587.06732919708,2.7959183673469388e-06,0.45056968776550554,10515.211198600457,4.284932363750098e-05
185.25157755497852,0.0229433295,7596.1023344594605,3.020408163265306e-06,0.48732645497026345,10527.733163200506,4.628978027992806e-05
185.25319584278193,0.0246819155,7606.3764748427675,3.244897959183673e-06,0.5242547897196261,10541.9724932772,4.973023692235514e-05
185.23805524699114,0.0264147514,7613.663638823528,3.469387755102041e-06,0.561060989804588,10552.072056780698,5.317069356478224e-05
185.23348675534075,0.0281617326,7623.89446077348,3.6938775510204083e-06,0.5981676423109601,10566.251350158658,5.661115020720932e-05
185.22591636437537,0.0298997788,7630.672714583333,3.9183673469387755e-06,0.6350845114698386,10575.64559529657,6.0051606849636404e-05
185.21215859299875,0.0316434887,7638.083479310345,4.142857142857143e-06,0.6721216801189465,10585.916461873407,6.349206349206349e-05
185.1972522779269,0.0333830383,7643.779797663551,4.367346938775511e-06,0.7090704821580289,10593.811210653073,6.693252013449059e-05
185.19626024023876,0.0351347734,7651.572873777777,4.591836734693878e-06,0.7462781096006798,10604.61193742566,7.037297677691766e-05
185.18263267527257,0.0368812991,7657.557863983051,4.816326530612245e-06,0.7833750870858115,10612.90676773352,7.381343341934475e-05
185.17683717196016,0.0386347466,7664.382928744939,5.040816326530612e-06,0.8206190866610026,10622.365889987412,7.725389006177183e-05
185.1655066954663,0.040378708,7668.824387596899,5.265306122448979e-06,0.8576615972812235,10628.52148026121,8.069434670419892e-05
185.1579621874679,0.042136219,7675.370747211897,5.4897959183673465e-06,0.8949919073916739,10637.594334230593,8.4134803346626e-05
185.1414626664619,0.0438902788,7680.79879,5.7142857142857145e-06,0.9322489124893799,10645.117269488108,8.757525998905309e-05
185.13827749453077,0.0456547043,7687.561892439862,5.938775510204082e-06,0.9697260896346644,10654.490515754058,9.101571663148017e-05
185.13112396934784,0.0474120604,7692.685296688742,6.163265306122449e-06,1.0070531096006796,10661.591240631698,9.445617327390726e-05
185.11937566851938,0.0491707834,7697.662576996806,6.387755102040816e-06,1.044409163126593,10668.489446666134,9.789662991633434e-05
185.11055145171088,0.0509276464,7702.0205975308645,6.612244897959183e-06,1.0817257094307562,10674.529396535449,0.00010133708655876143
185.10089143670984,0.052697119,7707.936808955224,6.836734693877551e-06,1.1193100892098558,10682.728903660332,0.00010477754320118851
185.0916492221767,0.054463689,7713.065783236994,7.061224489795918e-06,1.156832816482583,10689.837348262829,0.0001082179998436156
185.06971819149936,0.0562255598,7717.233698039216,7.2857142857142855e-06,1.194255730671198,10695.613823217054,0.00011165845648604269
185.07078873294446,0.0579957808,7722.264291304348,7.510204081632653e-06,1.2318560067969415,10702.5859177487,0.00011509891312846977
185.0593793614675,0.0597777187,7728.517721108179,7.73469387755102e-06,1.2697051550552252,10711.252788919046,0.00011853936977089687
185.05131166163034,0.0615507178,7733.295313333333,7.959183673469388e-06,1.3073644392523365,10717.874239485982,0.00012197982641332394
185.04415765767772,0.0633213895,7737.5263977556115,8.183673469387755e-06,1.3449742884451998,10723.738263669364,0.00012542028305575104
185.03321807053186,0.0651047113,7743.036052669904,8.408163265306122e-06,1.3828528313508923,10731.37430834136,0.00012886073969817813
185.02350535367012,0.066883334,7747.71481323877,8.632653061224491e-06,1.4206315632965167,10737.858784278458,0.0001323011963406052
185.0145495100512,0.0686611411,7752.064317741935,8.857142857142858e-06,1.4583929715378081,10743.8869314499,0.0001357416529830323
185.00551563187622,0.0704491272,7757.319624269662,9.081632653061225e-06,1.4963705862361938,10751.170464817236,0.00013918210962545938
184.99640327948018,0.0722276816,7761.307891228069,9.306122448979593e-06,1.5341478674596432,10756.697958849438,0.00014262256626788647
