Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
139.61326906823447,0.153196525,153196.525,1e-06,3.253961873406967,212321.0122398046,1.532567049808429e-05
139.609039695948,0.187700138,153288.4460333333,1.2244897959183673e-06,3.986833857264231,212448.40916896772,1.8766127140511375e-05
139.60451045571568,0.222227914,153368.56036619717,1.4489795918367347e-06,4.720219073916738,212559.44273352524,2.220658378293846e-05
139.5928864724816,0.256792306,153449.06090243903,1.673469387755102e-06,5.454382030586237,212671.0115523396,2.564704042536555e-05
139.58104440251705,0.291386856,153526.40800000002,1.8979591836734693e-06,6.189185556499576,212778.20989804593,2.908749706779263e-05
139.58257251051865,0.317851029,149756.7348173077,2.1224489795918364e-06,6.751296282922685,207553.67346706308,3.2527953710219714e-05
139.5645087772756,0.36076301,153716.41295652173,2.346938775510204e-06,7.662765717926933,213041.54514471206,3.5968410352646806e-05
139.56442683072842,0.395340181,153743.40372222223,2.5714285714285716e-06,8.39720010620221,213078.95269488107,3.940886699507389e-05
139.55585856085636,0.430171549,153856.97737956204,2.7959183673469388e-06,9.137033751062022,213236.35883637264,4.284932363750098e-05
139.54420682232822,0.464784524,153881.3626756757,3.020408163265306e-06,9.872228632115549,213270.15536507728,4.628978027992806e-05
139.54559857606287,0.499554864,153950.87003773585,3.244897959183673e-06,10.610766015293118,213366.4883169555,4.973023692235514e-05
139.53615657570077,0.534246343,153988.6518058823,3.469387755102041e-06,11.347628355989805,213418.85153640236,5.317069356478224e-05
139.53053545323306,0.569161486,154082.39123756907,3.6938775510204083e-06,12.089241418861514,213548.7686544474,5.661115020720932e-05
139.5229218287869,0.603906699,154122.02214062502,3.9183673469387755e-06,12.827245093457945,213603.6946617626,6.0051606849636404e-05
139.51249749485373,0.638731217,154176.50065517242,4.142857142857143e-06,13.56693324129142,213679.19855033988,6.349206349206349e-05
139.51577236909262,0.673510643,154215.053771028,4.367346938775511e-06,14.305663615123194,213732.6308105263,6.693252013449059e-05
139.49413174947227,0.708509004,154297.51642666667,4.591836734693878e-06,15.049044265080715,213846.91900679696,7.037297677691766e-05
139.49675153020812,0.743321193,154333.637529661,4.816326530612245e-06,15.788470539507223,213896.98064592996,7.381343341934475e-05
139.4840073703243,0.778224291,154384.57594736843,5.040816326530612e-06,16.529827761257437,213967.5781768435,7.725389006177183e-05
139.47955888248296,0.813017216,154410.2464496124,5.265306122448979e-06,17.268844859813086,214003.15592262556,8.069434670419892e-05
139.48108719464483,0.847984085,154465.50247211897,5.4897959183673465e-06,18.0115566057774,214079.7373896721,8.4134803346626e-05
139.4631849628291,0.882841557,154497.272475,5.7142857142857145e-06,18.751944711129994,214123.76867021562,8.757525998905309e-05
139.46673247697743,0.917972937,154572.76258762888,5.938775510204082e-06,19.498150743415465,214228.3933484024,9.101571663148017e-05
139.45614391314365,0.952834965,154599.05061258277,6.163265306122449e-06,20.2386356202209,214264.82694288503,9.445617327390726e-05
139.4483656247196,0.987880745,154652.25720447284,6.387755102040816e-06,20.98302347068819,214338.5680244659,9.789662991633434e-05
139.43706709301506,1.02292258,154701.25438271606,6.612244897959183e-06,21.727327527612573,214406.4751162324,0.00010133708655876143
139.42975290279148,1.05805281,154759.96325373134,6.836734693877551e-06,22.473509133389975,214487.84202009285,0.00010477754320118851
139.42997131302332,1.09300154,154789.23543352602,7.061224489795918e-06,23.21583559898046,214528.41147063664,0.0001082179998436156
139.42121058665563,1.12811017,154838.65078431374,7.2857142857142855e-06,23.961558411214956,214596.89812396924,0.00011165845648604269
139.41040251417834,1.16318468,154880.56880434786,7.510204081632653e-06,24.706556499575196,214654.9939355076,0.00011509891312846977
139.40710016952306,1.19844046,154943.48955145117,7.73469387755102e-06,25.455404842820734,214742.19824197516,0.00011853936977089687
139.39683817459715,1.23415382,155060.35174358974,7.959183673469388e-06,26.21397238742566,214904.16209153,0.00012197982641332394
139.37467580332878,1.2693899,155112.48154613466,8.183673469387755e-06,26.962402293967717,214976.41080894833,0.00012542028305575104
139.37991618029145,1.3044684,155143.086407767,8.408163265306122e-06,27.707485131690742,215018.82727499568,0.00012886073969817813
139.37172773194504,1.33981445,155203.09231678484,8.632653061224491e-06,28.458250849617674,215101.99179418464,0.0001323011963406052
139.36553207395346,1.37492438,155233.39774193545,8.857142857142858e-06,29.20400127442651,215143.9932595856,0.0001357416529830323
139.3610558741928,1.41018262,155278.53568539326,9.081632653061225e-06,29.952901869158882,215206.55168801852,0.00013918210962545938
139.34896427878303,1.44532771,155309.3372587719,9.306122448979593e-06,30.699399107901446,215249.24078451292,0.00014262256626788647
139.3447883863141,1.48068988,155361.4649250535,9.53061224489796e-06,31.45050722175021,215321.48654120098,0.00014606302291031355
139.33122241581083,1.51592079,155397.73788702927,9.755102040816327e-06,32.198827315208156,215371.75864759262,0.00014950347955274064
139.3294483440754,1.55118184,155435.3991002045,9.979591836734694e-06,32.947787595581985,215423.95478522393,0.00015294393619516772
139.3248624822188,1.58639057,155466.27586,1.0204081632653061e-05,33.69563657604078,215466.74808549279,0.0001563843928375948
139.31959470595,1.62181897,155516.88753424655,1.042857142857143e-05,34.448151444350046,215536.89276995728,0.00015982484948002192
139.30597378789355,1.65710754,155552.24034482756,1.0653061224489797e-05,35.197696261682246,215585.8896028037,0.000163265306122449
139.30559139299163,1.6924873,155594.51726078798,1.0877551020408164e-05,35.9491779949023,215644.48282214144,0.00016670576276487607
139.29762104865617,1.72776949,155626.2959742647,1.1102040816326532e-05,36.698587298215806,215688.52617503767,0.00017014621940730315
139.28681121545534,1.76318546,155668.62619819818,1.1326530612244899e-05,37.45083814783348,215747.19327596502,0.00017358667604973024
139.285419445104,1.79841399,155693.08393992932,1.1551020408163266e-05,38.199107689039934,215781.09020986385,0.00017702713269215732
139.27701152243986,1.83388111,155736.8706932409,1.1775510204081633e-05,38.95244498725574,215841.77597140972,0.0001804675893345844
139.27261677833764,1.86917386,155764.48833333334,1.2e-05,39.70207858963467,215880.0523311385,0.0001839080459770115
139.2614521085881,1.8700986,155841.55,1.2e-05,39.7217204757859,215986.85508708583,0.0001839080459770115
139.25402676566944,1.83623514,155936.77965337955,1.1775510204081633e-05,39.002445624469,216118.83756123658,0.0001804675893345844
139.25255295491618,1.80261668,156056.92106007066,1.1551020408163266e-05,38.28837468139338,216285.34620156357,0.00017702713269215732
139.24196094356893,1.76898418,156180.58526126124,1.1326530612244899e-05,37.57400552251487,216456.73721956875,0.00017358667604973024
139.24089610093017,1.73520521,156296.05751838232,1.1102040816326532e-05,36.856525276125744,216616.77470421515,0.00017014621940730315
139.2344264055048,1.70150275,156423.32973733582,1.0877551020408164e-05,36.14067013593883,216793.16621412835,0.00016670576276487607
139.2254449514311,1.66750022,156527.79842911876,1.0653061224489797e-05,35.41844137638063,216937.9534303313,0.000163265306122449
139.21864764662791,1.6337145,156657.55479452052,1.042857142857143e-05,34.70081775700935,217117.7878152605,0.00015982484948002192
139.20510690037,1.59984488,156784.79824,1.0204081632653061e-05,33.98141206457095,217294.13944689892,0.0001563843928375948
139.21034844916394,1.56588853,156909.07560327198,9.979591836734694e-06,33.26016418861513,217466.38027004033,0.00015294393619516772
139.20041127729195,1.53177849,157023.3180125523,9.755102040816327e-06,32.53565186915888,217624.71326081222,0.00014950347955274064
139.19123842284515,1.49778316,157154.97824411135,9.53061224489796e-06,31.81357604078165,217807.18628777115,0.00014606302291031355
139.18651523203962,1.46354386,157266.77442982455,9.306122448979593e-06,31.086318181818182,217962.12896232057,0.00014262256626788647
139.1760042863402,1.42939703,157394.27970786515,9.081632653061225e-06,30.361024426508074,218138.84347787176,0.00013918210962545938
139.16958854375943,1.39512657,157514.2901612903,8.857142857142858e-06,29.63310471537808,218305.1706249829,0.0001357416529830323
139.1609067991793,1.36088994,157644.46113475176,8.632653061224491e-06,28.905903568394226,218485.57963132017,0.0001323011963406052
139.159405324558,1.32632479,157742.51143203882,8.408163265306122e-06,28.17172451146984,218621.47134538094,0.00012886073969817813
139.1535079541685,1.29201498,157877.14219451373,8.183673469387755e-06,27.442968988954973,218808.06134647454,0.00012542028305575104
139.14673702928263,1.25749337,157992.75674358974,7.959183673469388e-06,26.70971474086661,218968.29603906607,0.00012197982641332394
139.13838253518446,1.22308864,158130.19356200527,7.73469387755102e-06,25.978943075615977,219158.77506204005,0.00011853936977089687
139.12486783856048,1.18836337,158233.16611413044,7.510204081632653e-06,25.241362999150386,219301.48872019994,0.00011509891312846977
139.12287432711258,1.15390771,158379.48960784313,7.2857142857142855e-06,24.50950955819881,219504.28413151583,0.00011165845648604269
139.11031490111483,1.11917056,158495.252716763,7.061224489795918e-06,23.77167714528462,219664.72471896317,0.0001082179998436156
139.10747528213525,1.08447778,158625.10811940298,6.836734693877551e-06,23.034787170773154,219844.6963634462,0.00010477754320118851
139.10206948668718,1.04946452,158715.31320987653,6.612244897959183e-06,22.291090059473238,219969.7151007741,0.00010133708655876143
139.09884733756726,1.01469604,158850.1787859425,6.387755102040816e-06,21.55259218351742,220156.6305391408,9.789662991633434e-05
139.08729806036487,0.980458147,159080.9576258278,6.163265306122449e-06,20.825364209855568,220476.47589390966,9.445617327390726e-05
139.07746830118967,0.945191648,159155.98196563573,5.938775510204082e-06,20.07628819031436,220580.4550394591,9.101571663148017e-05
139.0716522926274,0.909930997,159237.924475,5.7142857142857145e-06,19.32733638487681,220694.02234481208,8.757525998905309e-05
139.0636245149239,0.875033587,159392.73517843868,5.4897959183673465e-06,18.58609997875956,220908.58050962456,8.4134803346626e-05
139.0444562709613,0.839879332,159511.96615503877,5.265306122448979e-06,17.839408071367885,221073.82734953865,8.069434670419892e-05
139.04792420058493,0.804790779,159654.85089473682,5.040816326530612e-06,17.09411170348343,221271.8568581474,7.725389006177183e-05
139.04631301253605,0.769391904,159746.6241355932,4.816326530612245e-06,16.34222395921835,221399.0489559783,7.381343341934475e-05
139.0294106781846,0.734185823,159889.35700888888,4.591836734693878e-06,15.594431244689892,221596.86798704337,7.037297677691766e-05
139.022365598664,0.698658816,159973.2802990654,4.367346938775511e-06,14.83982192013594,221713.18053343284,6.693252013449059e-05
139.0258881466202,0.663301101,160107.16231034484,4.142857142857143e-06,14.088808432455394,221898.73281117246,6.349206349206349e-05
139.01764135462764,0.627797115,160219.055390625,3.9183673469387755e-06,13.33468808411215,222053.80977566444,6.0051606849636404e-05
139.01111523395076,0.592375271,160366.78607182318,3.6938775510204083e-06,12.582312468139337,222258.55546275413,5.661115020720932e-05
139.00538072260508,0.556608332,160434.16628235293,3.469387755102041e-06,11.822606881903145,222351.94031273428,5.317069356478224e-05
138.99443019124732,0.521053356,160576.19147169814,3.244897959183673e-06,11.067403483432457,222548.77853713479,4.973023692235514e-05
138.98817692786812,0.485330014,160683.5857162162,3.020408163265306e-06,10.308623916737469,222697.62039046537,4.628978027992806e-05
138.9845447060305,0.449679061,160834.1167080292,2.7959183673469388e-06,9.551381924384028,222906.24713676522,4.284932363750098e-05
138.9808854356498,0.413699336,160883.0751111111,2.5714285714285716e-06,8.787156669498726,222974.10048853018,3.940886699507389e-05
138.97130032665055,0.3779273,161029.89304347828,2.346938775510204e-06,8.027342820730672,223177.58116157513,3.5968410352646806e-05
138.9616330845136,0.341952072,161112.03392307693,2.1224489795918364e-06,7.26321308411215,223291.4233959382,3.2527953710219714e-05
138.95999468090469,0.295690606,155793.9752043011,1.8979591836734693e-06,6.280599107901446,215920.91933051505,2.908749706779263e-05
138.95308549019393,0.269891939,161276.8903780488,1.673469387755102e-06,5.732624022939678,223519.90435785227,2.564704042536555e-05
138.94644930889027,0.233806599,161359.4838169014,1.4489795918367347e-06,4.966155458793543,223634.37381165716,2.220658378293846e-05
138.93680878190514,0.197699127,161454.28705,1.2244897959183673e-06,4.199216801189465,223765.76529338362,1.8766127140511375e-05
138.9322210006942,0.161545159,161545.159,1e-06,3.4312905480033984,223891.70825722176,1.532567049808429e-05
136.1889688574222,0.204408014,204408.014,1e-06,4.341716525063721,283297.00326040783,1.532567049808429e-05
136.16852025819614,0.250626901,204678.63581666668,1.2244897959183673e-06,5.323426104502975,283672.0685437023,1.8766127140511375e-05
136.14631753524432,0.297051865,205007.62514084508,1.4489795918367347e-06,6.309512850467291,284128.0276219232,2.220658378293846e-05
136.12405895970687,0.343662065,205359.03884146342,1.673469387755102e-06,7.299534090909091,284615.06551413523,2.564704042536555e-05
136.10020977802992,0.390355306,205671.0752043011,1.8979591836734693e-06,8.291319158878505,285047.5288249925,2.908749706779263e-05
136.07098640290457,0.437316921,206043.54931730774,2.1224489795918364e-06,9.288804609175871,285563.75516045734,3.2527953710219714e-05
136.0579098127678,0.484329503,206366.48388695653,2.346938775510204e-06,10.287372621070519,286011.3227192845,3.5968410352646806e-05
136.04211834205836,0.531245419,206595.4407222222,2.5714285714285716e-06,11.283887404418012,286328.64288710704,3.940886699507389e-05
136.0153056942827,0.578648541,206961.8869270073,2.7959183673469388e-06,12.290750658453696,286836.51491051883,4.284932363750098e-05
135.9838585999233,0.625688955,207153.7756418919,3.020408163265306e-06,13.289909834324554,287102.46093104174,4.628978027992806e-05
135.9700670143181,0.673165027,207453.37310062896,3.244897959183673e-06,14.298322578589636,287517.68468173407,4.973023692235514e-05
135.9547677232871,0.720664941,207721.07122941175,3.469387755102041e-06,15.307241737468141,287888.69791247067,5.317069356478224e-05
135.93264048636996,0.768378926,208014.18438674032,3.6938775510204083e-06,16.320707858963466,288294.9348180715,5.661115020720932e-05
135.91169166221377,0.816066081,208266.864421875,3.9183673469387755e-06,17.333604099405267,288645.1338897057,6.0051606849636404e-05
135.88887766493403,0.863975983,208545.92693103448,4.142857142857143e-06,18.35123158453696,289031.89745645714,6.349206349206349e-05
135.85742520694325,0.911907876,208801.3360934579,4.367346938775511e-06,19.3693261682243,289385.8789315661,6.693252013449059e-05
135.81796305718802,0.960435958,209161.6086311111,4.591836734693878e-06,20.40008406966865,289885.19462999154,7.037297677691766e-05
135.8111895192182,1.00864583,209422.22741525425,4.816326530612245e-06,21.424083050127447,290246.3963221186,7.381343341934475e-05
135.80274298426386,1.05715573,209719.1529149798,5.040816326530612e-06,22.454454757858965,290657.91690107115,7.725389006177183e-05
135.78140674970697,1.10548613,209956.66810077522,5.265306122448979e-06,23.481013806287173,290987.09841919254,8.069434670419892e-05
135.76177007948885,1.15417025,210239.1905204461,5.4897959183673465e-06,24.515086023789294,291378.65721026144,8.4134803346626e-05
135.7163511812365,1.20492609,210862.06575,5.7142857142857145e-06,25.593162489379782,292241.9241756054,8.757525998905309e-05
135.69643852435544,1.25407346,211167.00872852234,5.938775510204082e-06,26.637074341546306,292664.5564897214,9.101571663148017e-05
135.67457783849053,1.30290581,211398.6248013245,6.163265306122449e-06,27.67429502973662,292985.5621980974,9.445617327390726e-05
135.65428025433195,1.35219811,211685.96610223645,6.387755102040816e-06,28.721285259133392,293383.7996637835,9.789662991633434e-05
135.6236406943369,1.40133306,211929.99981481483,6.612244897959183e-06,29.764933305012747,293722.0154612716,0.00010133708655876143
135.61239387461515,1.4508757,212217.63970149256,6.836734693877551e-06,30.817240866610028,294120.66674856393,0.00010477754320118851
135.59094215596855,1.50024089,212461.86014450865,7.061224489795918e-06,31.865779311809685,294459.14134301594,0.0001082179998436156
135.5698188928953,1.54999588,212744.5325490196,7.2857142857142855e-06,32.92259728122345,294850.9080038983,0.00011165845648604269
135.55042376716634,1.59959446,212989.4797282609,7.510204081632653e-06,33.97609303313509,295190.3898103021,0.00011509891312846977
