Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
103.96385993412757,1.4130322039999998,1413032.204,1e-06,30.01342829226848,1958376.1960705183,1.532567049808429e-05
103.96431741103137,1.941416242,1398961.7037941178,1.3877551020408162e-06,41.236538700084964,1938875.343512451,2.126827742591289e-05
103.96468803574119,2.453583176,1381903.168091954,1.7755102040816327e-06,52.11519065420561,1915233.256542056,2.7210884353741498e-05
103.96582293279357,2.9389814139999997,1358585.747981132,2.163265306122449e-06,62.425263678844516,1882916.7386526947,3.31534912815701e-05
103.96609514438714,3.4541303159999996,1354019.0838719998,2.5510204081632653e-06,73.36725395072217,1876587.6215515716,3.90960982093987e-05
103.96677266100468,3.94102061,1341041.735347222,2.9387755102040816e-06,83.70901890399321,1858601.8103527245,4.50387051372273e-05
103.96734583874115,4.421470606,1329153.7404539876,3.3265306122448983e-06,93.91398908241291,1842125.7766487403,5.098131206505591e-05
103.96816227643134,4.894296949999999,1317695.3326923077,3.714285714285714e-06,103.9570295242141,1826245.1244301843,5.692391899288451e-05
103.96903088117911,5.3618850479999995,1307126.205731343,4.102040816326531e-06,113.88880730671198,1811596.961001915,6.286652592071311e-05
103.96963310340875,5.822672778,1296868.027827273,4.489795918367347e-06,123.6761422684792,1797379.753944978,6.880913284854171e-05
103.97018898555773,6.280386393999999,1287610.5996066942,4.8775510204081635e-06,133.39818169073916,1784549.5247310284,7.475173977637032e-05
103.97097073606888,6.728578362,1277908.2935581396,5.265306122448979e-06,142.91797710280375,1771102.7220617803,8.069434670419892e-05
103.97138769495378,7.173893563999999,1269028.1033790612,5.653061224489796e-06,152.37666873406965,1758795.321696766,8.663695363202753e-05
103.97221568570546,7.614397545999999,1260491.4856554053,6.040816326530612e-06,161.73316792693288,1746964.091737791,9.257956055985612e-05
103.97311323269358,8.05090338,1252362.748,6.428571428571429e-06,171.00474468988955,1735698.158602379,9.852216748768472e-05
103.97343760786956,8.478756074,1243889.3641497006,6.8163265306122445e-06,180.0925249362787,1723954.566923704,0.00010446477441551332
103.97400494888048,8.907179918,1236407.410713881,7.204081632653061e-06,189.19243666100257,1713585.037151248,0.00011040738134334193
103.97496029471003,9.330472732,1229013.8813655914,7.591836734693878e-06,198.18336304163128,1703338.057754988,0.00011634998827117054
103.97541212586755,9.750530631999998,1221933.5063120201,7.979591836734695e-06,207.10557841971112,1693525.0910547862,0.00012229259519899914
103.97624001215058,10.164132720000001,1214737.812878049,8.36734693877551e-06,215.89066949872563,1683552.30013366,0.00012823520212682773
103.9768305674208,10.57708802,1208105.6246620044,8.755102040816328e-06,224.6620225148683,1674360.4929735726,0.00013417780905465636
103.97732280952877,10.98450948,1201430.7243749998,9.142857142857144e-06,233.31583432455398,1665109.489495938,0.00014012041598248496
103.97804664846717,11.388711420000002,1194961.155417559,9.53061224489796e-06,241.90126210705188,1656143.062680453,0.00014606302291031355
103.97863137290854,11.78656416,1188357.2918518519,9.918367346938776e-06,250.3518300764656,1646990.5117530446,0.00015200562983814215
103.97966802042427,11.0298099,1070219.1784158414,1.0306122448979593e-05,234.27803525913342,1483258.3133312163,0.00015794823676597077
103.9802527425214,11.401079800000002,1066131.5080152673,1.0693877551020409e-05,242.16397196261687,1477593.0522089251,0.00016389084369379937
103.9804787039335,11.767313599999998,1061875.444567219,1.1081632653061225e-05,249.94293967714526,1471694.408623854,0.00016983345062162797
103.98097647965525,12.13081844,1057669.22341637,1.1469387755102042e-05,257.663943075616,1465864.8434137243,0.0001757760575494566
103.98186818034296,12.49085472,1053445.5787951807,1.1857142857142858e-05,265.31127272727275,1460011.1303395398,0.0001817186644772852
103.98207092355327,12.848372359999999,1049283.7427333333,1.2244897959183674e-05,272.9051053525913,1454243.080147621,0.00018766127140511376
103.98280048641547,13.20216992,1045082.9177382875,1.263265306122449e-05,280.4199218351742,1448420.9936793388,0.00019360387833294236
103.9831247580527,13.553201820000002,1040919.8889968653,1.3020408163265308e-05,287.87599447748516,1442651.2905064882,0.00019954648526077098
103.98340842256668,13.90318566,1036919.4784474885,1.3408163265306123e-05,295.30980586236194,1437106.9662000558,0.00020548909218859958
103.98394689881408,14.253011480000001,1033132.4889349113,1.379591836734694e-05,302.7402608326254,1431858.4303951354,0.00021143169911642818
103.98459543978785,14.59773994,1029193.1756258992,1.4183673469387757e-05,310.06244562446904,1426398.7831263791,0.0002173743060442568
103.9851514007253,14.94230054,1025451.9978431371,1.4571428571428573e-05,317.3810649957519,1421213.7395765653,0.0002233169129720854
103.98607777375685,15.2832099,1021660.689085948,1.4959183673469389e-05,324.62213041631264,1415959.2175628317,0.000229259519899914
103.98638475152259,15.620412960000001,1017819.4614893617,1.5346938775510204e-05,331.7844723874257,1410635.5110913522,0.0002352021268277426
103.98730529370542,15.95971896,1014301.2049805447,1.573469387755102e-05,338.9914817332201,1405759.4227905811,0.0002411447337555712
103.9871142105737,16.29336848,1010601.336101266,1.6122448979591836e-05,346.0783449447749,1400631.6308540273,0.0002470873406833998
103.98799433920908,16.6254262,1006978.8427688503,1.6510204081632655e-05,353.13139762107056,1395611.0766921728,0.0002530299476112284
103.98822602847447,16.956619080000003,1003471.4189855073,1.689795918367347e-05,360.1660807136789,1390750.0018862437,0.00025897255453905703
103.98888602649927,17.28806746,1000136.1340495867,1.7285714285714287e-05,367.2061907391674,1386127.5009926837,0.0002649151614668856
103.98931452919867,17.614423499999997,996659.0663972284,1.7673469387755103e-05,374.138137213254,1381308.49792734,0.00027085776839471423
103.99003252033249,17.93879908,993221.6439774011,1.806122448979592e-05,381.0280178419711,1376544.4407290872,0.0002768003753225428
103.99036834684391,18.26233444,989883.172079646,1.8448979591836735e-05,387.900051826678,1371917.5229013786,0.0002827429822503714
103.99105738771932,18.58622762,986701.1412567714,1.883673469387755e-05,394.7796860662702,1367507.422833567,0.0002886855891782
103.99136436180655,18.90515944,983389.3976220805,1.922448979591837e-05,401.5539388275276,1362917.5487434315,0.00029462819610602867
103.99216929323532,19.224754479999998,980242.4240582724,1.9612244897959186e-05,408.3422786745964,1358556.0358921469,0.00030057080303385724
103.99227333360633,19.55076316,977538.1579999998,2e-05,415.26684706881906,1354808.0885620222,0.0003065134099616858
111.67669388633085,0.9216737180000001,921673.7180000001,1e-06,19.576756966864913,1277383.3920879357,1.532567049808429e-05
111.68487404459015,1.27452815,918409.9904411766,1.3877551020408162e-06,27.07154099405268,1272860.0653416903,2.126827742591289e-05
111.6910818574908,1.61908712,911899.6422988506,1.7755102040816327e-06,34.39012574341547,1263837.1210705184,2.7210884353741498e-05
111.69719262135285,1.944637256,898936.0900377359,2.163265306122449e-06,41.30495446049278,1245870.430649156,3.31534912815701e-05
111.70328610317463,2.291746952,898364.805184,2.5510204081632653e-06,48.67771775700935,1245078.6647887852,3.90960982093987e-05
111.70936832306413,2.6214134459999996,892008.7420416665,2.9387755102040816e-06,55.67997973661851,1236269.5500896082,4.50387051372273e-05
111.71515391789478,2.9466950720000002,885816.30998773,3.3265306122448983e-06,62.58910518266781,1227687.218069231,5.098131206505591e-05
111.7215722421518,3.2682033259999996,879900.8954615383,3.714285714285714e-06,69.41808254035683,1219488.815396461,5.692391899288451e-05
111.72747752729848,3.588012422,874689.5954129352,4.102040816326531e-06,76.21096903143585,1212266.2723172053,6.286652592071311e-05
111.7335252311744,3.9031075120000005,869328.4913090911,4.489795918367347e-06,82.90372795242142,1204836.10998127,6.880913284854171e-05
111.7398692224009,4.216050632,864378.5814560669,4.8775510204081635e-06,89.55077807986406,1197975.8377232023,7.475173977637032e-05
111.74607619494968,4.525368838,859469.2754341087,5.265306122448979e-06,96.12083343245541,1191171.8398911555,8.069434670419892e-05
111.75201534492199,4.833523948,855027.7019927797,5.653061224489796e-06,102.66618411214954,1185016.0908035021,8.663695363202753e-05
111.7585301822201,5.137573946,850476.7680878378,6.040816326530612e-06,109.1243403993203,1178708.7748031314,9.257956055985612e-05
111.76381378715595,5.44021999,846256.4428888889,6.428571428571429e-06,115.55267608326254,1172859.6622451148,9.852216748768472e-05
111.76982675063832,5.739327258000001,841997.112700599,6.8163265306122445e-06,121.90584660152935,1166956.4911579036,0.00010446477441551332
111.77594243524481,6.036579917999999,837938.8554730878,7.204081632653061e-06,128.21962442650806,1161331.994894201,0.00011040738134334193
111.78241691367111,6.332150448,834073.580516129,7.591836734693878e-06,134.49767306711982,1155974.9602522817,0.00011634998827117054
111.78827016972093,6.625460061999999,830300.6215805624,7.979591836734695e-06,140.72769885301614,1150745.869968813,0.00012229259519899914
111.79456224620473,6.915544962,826491.9588731708,8.36734693877551e-06,146.88923028887,1145467.2964416821,0.00012823520212682773
111.80084296788284,7.203924326000001,822825.8554172494,8.755102040816328e-06,153.01453538657609,1140386.3013163877,0.00013417780905465636
111.80666733682995,7.491421753999999,819374.2543437498,9.142857142857144e-06,159.1211077740017,1135602.5933714886,0.00014012041598248496
111.81261153888752,7.776906844,815992.3669293361,9.53061224489796e-06,165.18493721325405,1130915.5042935256,0.00014606302291031355
111.81876640997014,8.059697336,812603.2293497941,9.918367346938776e-06,171.19153220050976,1126218.3669302054,0.00015200562983814215
111.824670511836,8.340580384,809284.037259406,1.0306122448979593e-05,177.1576122344945,1121618.1697361139,0.00015794823676597077
111.83030674015606,8.619614536,806032.6569923664,1.0693877551020409e-05,183.08442090059475,1117111.9555809665,0.00016389084369379937
111.83576631380708,8.89640082,802805.9671823204,1.1081632653061225e-05,188.96348385726424,1112639.9608888363,0.00016983345062162797
111.84187540482131,9.171120972,799617.3089466192,1.1469387755102042e-05,194.7986612574342,1108220.6756322621,0.0001757760575494566
111.84760256514362,9.444609676,796533.3461686746,1.1857142857142858e-05,200.60768215802892,1103946.491875659,0.0001817186644772852
111.85356351623231,9.716702408,793530.6966533333,1.2244897959183674e-05,206.38705199660154,1099785.0033268905,0.00018766127140511376
111.85983760724181,9.987299424,790593.9770210016,1.263265306122449e-05,212.13465216652506,1095714.8895628792,0.00019360387833294236
111.8657925886832,10.254935040000001,787604.7287774294,1.3020408163265308e-05,217.81935089209858,1091571.974356994,0.00019954648526077098
111.87109787656452,10.52237698,784773.9300152207,1.3408163265306123e-05,223.4999358538658,1087648.6604395318,0.00020548909218859958
111.87700148842964,10.7883708,781997.2917159762,1.379591836734694e-05,229.14976210705183,1083800.4096106086,0.00021143169911642818
111.88320684869093,11.05236656,779231.5991942445,1.4183673469387757e-05,234.75714868309262,1079967.328959738,0.0002173743060442568
111.8879251592388,11.315694480000001,776567.2682352941,1.4571428571428573e-05,240.35035004248093,1076274.7292343448,0.0002233169129720854
111.89458057451752,11.57681426,773893.4498499318,1.4959183673469389e-05,245.8966495327103,1072568.9805163138,0.000229259519899914
111.90095121083263,11.8360437,771231.5708776595,1.5346938775510204e-05,251.4027973661852,1068879.7790944623,0.0002352021268277426
111.90611360805246,11.31650218,719207.0127367056,1.573469387755102e-05,240.36750594732374,996776.9239819465,0.0002411447337555712
