Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Resistivity [𝛀 cm],Current Density [A/cm2]
97.94658845301865,3.458053832,3458053.8320000004,1e-06,73.45059116397621,4792651.073449449,1.532567049808429e-05
97.93321559318593,3.8685912969999996,3438747.819555555,1.125e-06,82.17058829651657,4765894.121197961,1.7241379310344828e-05
97.91703589045073,4.268381248,3414704.9984000004,1.2499999999999999e-06,90.66230348343245,4732572.241835174,1.9157088122605363e-05
97.89701186012364,4.660051961,3389128.698909091,1.375e-06,98.98156246813934,4697125.055306249,2.1072796934865898e-05
97.8845947762695,5.041945988,3361297.3253333336,1.5e-06,107.09316032285473,4658552.4740441805,2.2988505747126437e-05
97.86511256881222,5.427620666999999,3340074.2566153845,1.625e-06,115.28506089634664,4629138.599068688,2.490421455938697e-05
97.84071908493394,5.809955157,3319974.3754285714,1.75e-06,123.40601437977911,4601281.393303193,2.6819923371647507e-05
97.83075853015987,6.194494178,3303730.228266667,1.8749999999999998e-06,131.57379307561598,4578767.999031437,2.873563218390804e-05
97.80846607734023,6.5904831139999995,3295241.557,2e-06,139.9847730246389,4567003.219928845,3.065134099616858e-05
97.7948072929077,6.955852441999999,3273342.3256470584,2.125e-06,147.74537897196262,4536652.224903794,3.256704980842912e-05
97.78204904773526,7.344341897000001,3264151.9542222233,2.2499999999999996e-06,155.99706663126597,4523914.932306713,3.448275862068965e-05
97.77226626426685,7.708136495,3245531.1557894736,2.375e-06,163.72422461767206,4498107.6447592005,3.6398467432950195e-05
97.7575426584638,8.071053195000001,3228421.278000001,2.4999999999999998e-06,171.43273566270182,4474394.400796518,3.8314176245210727e-05
97.73175664867382,8.428082338,3210698.0335238096,2.625e-06,179.01619239592185,4449831.068127201,4.022988505747126e-05
97.71170580827362,8.787272245,3195371.7254545456,2.75e-06,186.64554471113001,4428589.742691358,4.2145593869731796e-05
97.7023472645229,9.143380122,3180306.1293913047,2.8749999999999996e-06,194.20943334749364,4407709.748147465,4.406130268199233e-05
97.68204533690019,9.504930173,3168310.057666667,3e-06,201.88891616397623,4391083.926566483,4.597701149425287e-05
97.66609055556201,9.859614724000002,3155076.7116800006,3.1249999999999997e-06,209.42257272727278,4372743.318545456,4.7892720306513405e-05
97.64929211723066,10.20437517,3139807.7446153844,3.2500000000000002e-06,216.74543691588786,4351581.464234363,4.980842911877395e-05
97.63129120003046,10.54757301,3125206.817777778,3.375e-06,224.0351106627018,4331345.472812235,5.172413793103448e-05
97.62009129145223,10.89663766,3113325.045714286,3.4999999999999995e-06,231.44939804587935,4314878.063569608,5.363984674329501e-05
97.60809203689955,11.237279840000003,3099939.2662068973,3.625e-06,238.68478844519973,4296326.192013595,5.555555555555555e-05
97.59697660848505,11.57746841,3087324.9093333334,3.7499999999999997e-06,245.91054396771455,4278843.465038233,5.747126436781608e-05
97.57769800226092,11.921264659999999,3076455.3961290317,3.875e-06,253.2129282073067,4263778.984652068,5.938697318007663e-05
97.54447449841865,9.644375474999999,2411093.86875,4e-06,204.8507959855565,3341628.6095143906,6.130268199233716e-05
