 ,Area,Mean,Min,Max,Angle,Length
1,0.00031,52.697,42,63.334,132.51,0.141
2,0.0003194,51.884,39.433,81.333,-48.652,0.144
3,0.0003053,46.942,41.347,58.079,133.727,0.138
4,0.0003194,50.57,40.856,69.333,-48.652,0.144
5,0.000404,87.332,69.503,105.898,-50.281,0.183
6,0.000404,58.699,45.138,68.695,-48.507,0.184
7,0.00031,49.348,41.799,67,-45,0.141
8,0.0003053,46.942,41.347,58.079,133.727,0.138
9,0.0003147,50.46,39.199,63.401,-49.304,0.143
10,0.0004181,54.426,46.646,70,-45.462,0.19
11,0.00031,47.696,41.624,52.304,-49.899,0.141
12,0.0003288,53.152,43.35,80.498,-46.548,0.149
,,,,,,0.153
