Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
113.0846971233365,10.1421712,28977632.0,3.5e-07,662.8870065359478,49015759.2261438,1.3523956723338484e-05
113.08520839254106,3.03490891,8671168.314285714,3.5e-07,198.3600594771242,14667309.540765641,1.3523956723338484e-05
113.08398601955481,10.1439329,28982665.42857143,3.5e-07,663.0021503267974,49024273.28702148,1.3523956723338484e-05
113.08446962746079,3.03513578,8671816.514285715,3.5e-07,198.37488758169937,14668405.973183943,1.3523956723338484e-05
113.08412814500048,10.1577099,29022028.285714287,3.5e-07,663.9026078431373,49090855.68851541,1.3523956723338484e-05
113.08364501371749,3.03523547,8672101.342857143,3.5e-07,198.38140326797387,14668887.761643326,1.3523956723338484e-05
113.08344613328977,10.1163923,28903978.0,3.5e-07,661.2021111111111,48891173.244444445,1.3523956723338484e-05
113.08478201695092,3.03528259,8672235.971428571,3.5e-07,198.38448300653596,14669115.48631186,1.3523956723338484e-05
113.0835028881436,10.1765971,29075991.714285716,3.5e-07,665.1370653594772,49182135.004295066,1.3523956723338484e-05
113.08395788061985,3.0351415,8671832.857142858,3.5e-07,198.3752614379085,14668433.617180208,1.3523956723338484e-05
113.08455499804182,10.1192834,28912238.285714287,3.5e-07,661.391071895425,48905145.54472457,1.3523956723338484e-05
113.08370176855026,3.03537767,8672507.628571428,3.5e-07,198.3906973856209,14669574.99525677,1.3523956723338484e-05
113.0829343854707,10.1262022,28932006.285714287,3.5e-07,661.8432810457516,48938583.18132587,1.3523956723338484e-05
113.08242263716258,3.03542788,8672651.085714286,3.5e-07,198.39397908496733,14669817.653482728,1.3523956723338484e-05
113.08282087563651,10.1579583,29022738.000000004,3.5e-07,663.918843137255,49092056.17254903,1.3523956723338484e-05
113.08193950434084,3.03538007,8672514.485714287,3.5e-07,198.39085424836603,14669586.594136324,1.3523956723338484e-05
113.08188274932132,10.1767032,29076294.85714286,3.5e-07,665.144,49182647.77142858,1.3523956723338484e-05
113.08188274932132,3.03546936,8672769.6,3.5e-07,198.39669019607845,14670018.120784316,1.3523956723338484e-05
113.08156988120663,10.1584084,29024024.000000004,3.5e-07,663.9482614379086,49094231.44575165,1.3523956723338484e-05
113.08188274932132,3.03539748,8672564.228571428,3.5e-07,198.39199215686276,14669670.734341739,1.3523956723338484e-05
