Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
113.09996201888066,4.32306897,8646137.94,5e-07,282.55352745098037,14624970.580862746,1.9319938176197834e-05
113.10030349124509,4.32308627,8646172.540000001,5e-07,282.55465816993467,14625029.10687582,1.9319938176197834e-05
113.10047375042925,4.32314771,8646295.42,5e-07,282.55867385620917,14625236.958797388,1.9319938176197834e-05
113.09990526577108,4.32316094,8646321.88,5e-07,282.5595385620915,14625281.71597386,1.9319938176197834e-05
113.09902392259127,4.32309886,8646197.72,5e-07,282.55548104575166,14625071.698928108,1.9319938176197834e-05
113.0986543112482,4.32320975,8646419.5,5e-07,282.56272875816995,14625446.840522878,1.9319938176197834e-05
113.09905253765235,4.32309522,8646190.44,5e-07,282.55524313725493,14625059.384784317,1.9319938176197834e-05
113.09905253765235,4.32327914,8646558.280000001,5e-07,282.5672640522876,14625681.587346409,1.9319938176197834e-05
113.0978588113891,4.32355788,8647115.76,5e-07,282.5854823529412,14626624.566588238,1.9319938176197834e-05
113.09797231803599,4.32353921,8647078.42,5e-07,282.58426209150326,14626561.40585621,1.9319938176197834e-05
113.09788694959373,4.32355142,8647102.840000002,5e-07,282.585060130719,14626602.712366017,1.9319938176197834e-05
113.09802907135041,4.32353172,8647063.440000001,5e-07,282.5837725490196,14626536.067137256,1.9319938176197834e-05
113.09640897647262,4.32349611,8646992.22,5e-07,282.58144509803924,14626415.598274512,1.9319938176197834e-05
113.09646572995268,4.32355268,8647105.36,5e-07,282.58514248366015,14626606.974954251,1.9319938176197834e-05
113.09660785208652,4.3235153,8647030.600000001,5e-07,282.58269934640526,14626480.518169938,1.9319938176197834e-05
113.09657923689481,4.32354785,8647095.7,5e-07,282.58482679738563,14626590.635032682,1.9319938176197834e-05
113.09623823907613,4.32344059,8646881.18,5e-07,282.5778163398693,14626227.773751637,1.9319938176197834e-05
113.09564113468048,4.32346805,8646936.1,5e-07,282.5796111111111,14626320.671111112,1.9319938176197834e-05
113.09487376870884,4.32326463,8646529.26,5e-07,282.5663156862745,14625632.49992157,1.9319938176197834e-05
113.09518662905128,4.32358,8647160.0,5e-07,282.5869281045752,14626699.398692813,1.9319938176197834e-05
