Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
292.70904502569874,0.29004024,290.04024,0.001,18.95687843137255,490.60401380392165,0.03863987635239567
292.7090700188048,0.371145104,288.6684142222222,0.0012857142857142856,24.257849934640525,488.28356601771975,0.04967984102450872
292.7087221980653,0.450696159,286.80664663636367,0.0015714285714285713,29.457265294117647,485.13438006203216,0.06071980569662176
292.7086726284007,0.528526241,284.59105284615384,0.0018571428571428571,34.544198758169934,481.38669592538963,0.07175977036873482
292.7085235028513,0.60477752,282.22950933333334,0.0021428571428571425,39.52794248366013,477.39213735599134,0.08279973504084785
292.7085734890695,0.67796366,279.16150705882353,0.0024285714285714284,44.31135032679739,472.2026014825068,0.09383969971296091
292.7080023964894,0.748076266,275.60704536842104,0.0027142857142857142,48.89387359477124,466.1902179173031,0.10487966438507397
292.7084243635165,0.815808304,271.9361013333334,0.0029999999999999996,53.320804183006544,459.9808040854032,0.115919629057187
292.70820109172865,0.880055858,267.8430872173913,0.0032857142857142855,57.51999071895425,453.05745733242406,0.12695959372930005
292.7081015358343,0.941530631,263.62857668000004,0.0035714285714285713,61.5379497385621,445.9285989855164,0.13799955840141312
292.7079028405902,1.00012027,259.2904403703704,0.0038571428571428567,65.36733790849674,438.59062724086186,0.14903952307352614
292.707679568774,1.05569728,254.82348137931035,0.004142857142857143,68.99982222222222,431.03475150957854,0.1600794877456392
292.7078532709156,1.108343,250.27100000000002,0.004428571428571428,72.44071895424837,423.334214379085,0.17111945241775225
292.707679568774,1.15753378,245.5374684848485,0.004714285714285714,75.6558026143791,415.32743035214907,0.1821594170898653
292.7075304431885,1.18557726,237.11545200000006,0.004999999999999999,77.48870980392158,401.0815619450982,0.19319938176197832
292.7073317479167,1.23806108,234.22777189189193,0.005285714285714285,80.91902483660131,396.19704160537015,0.2042393464340914
292.7074313038299,1.28301365,230.2845012820513,0.005571428571428571,83.85710130718955,389.5269864823195,0.21527931110620444
292.70728217823535,1.32332113,225.93287585365857,0.005857142857142857,86.49157712418301,382.16619784919504,0.22631927577831748
292.7073817341496,1.36081292,221.52768465116282,0.006142857142857143,88.94202091503269,374.71480253412375,0.23735924045043055
292.70728217823535,1.39598084,217.15257511111113,0.006428571428571428,91.24057777777779,367.3142904493828,0.24839920512254357
292.70728217823535,1.42774808,212.6433310638298,0.0067142857142857134,93.3168679738562,359.6868894073147,0.25943916979465664
292.70740631071385,1.45813718,208.30531142857146,0.006999999999999999,95.30308366013072,352.3491150177405,0.2704791344667697
292.70720761543606,1.48682047,204.0733978431373,0.007285714285714285,97.17780849673204,345.19081935819565,0.28151909913888273
292.70715804575315,1.51380336,199.9362928301887,0.007571428571428571,98.94139607843138,338.19289270884207,0.2925590638109958
292.7074808735095,1.53911184,195.88696145454543,0.007857142857142858,100.59554509803921,331.3434354538324,0.3035990284831089
292.7073317479167,1.56130285,191.73894649122806,0.008142857142857143,102.04593790849673,324.3270545877767,0.31463899315522187
292.70770414533644,1.58381317,187.91003711864408,0.008428571428571428,103.51720065359477,317.8504418712751,0.3256789578273349
292.7073567410333,1.60452184,184.12545704918037,0.008714285714285713,104.87070849673204,311.4488123158685,0.33671892249944796
292.7073317479167,1.62452463,180.50273666666672,0.008999999999999998,106.17808039215687,305.3209689498912,0.34775888717156095
292.70720761543606,1.64265705,176.90152846153845,0.009285714285714286,107.36320588235294,299.2295135022624,0.3587988518436741
292.70770414533644,1.66047655,173.4826246268657,0.009571428571428571,108.52787908496732,293.44642649302506,0.36983881651578715
292.707679568774,1.67725561,170.15636623188408,0.009857142857142856,109.62454967320262,287.82004954778824,0.38087878118790014
292.70762999909675,1.69192777,166.8097801408451,0.010142857142857141,110.58351437908497,282.15928823824,0.3919187458600132
292.7077787081268,1.70858524,163.83694082191784,0.010428571428571426,111.67223790849673,277.1307208151133,0.4029587105321262
292.7081015358343,1.72353971,160.86370626666667,0.010714285714285714,112.64965424836602,272.1014848484532,0.41399867520423933
292.70815110550586,1.73718838,157.92621636363637,0.011,113.54172418300655,267.13271107783726,0.4250386398763524
292.7084243635165,1.74900971,154.97554392405064,0.011285714285714284,114.31436013071895,262.1416390035576,0.43607860454846537
292.70859806562663,1.76168891,152.24472061728397,0.01157142857142857,115.1430660130719,257.5224424559026,0.4471185692205784
292.70884633050025,1.77294314,149.525325060241,0.011857142857142854,115.87863660130719,252.92257598425078,0.45815853389269146
292.7086976215089,1.78425834,146.93892211764705,0.012142857142857143,116.61819215686275,248.54766695455592,0.4691984985648046
292.70909459535886,1.7954541,144.46182413793105,0.012428571428571428,117.3499411764706,244.35764762677488,0.4802384632369176
