Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
241.1954770234482,1.22596536,1225965.36,1e-06,80.1284549019608,2073724.4128627456,3.863987635239567e-05
241.19207183102873,1.3784964400000002,1164591.82,1.1836734693877552e-06,90.09780653594773,1969910.8693856213,4.573699649875406e-05
241.1923870878735,1.527984195,1117480.9784328358,1.3673469387755102e-06,99.86824803921569,1890222.7269177642,5.283411664511245e-05
241.19129003420488,1.667697585,1075226.0745394737,1.5510204081632651e-06,108.99984215686275,1818748.4188942213,5.993123679147083e-05
241.1877968149101,1.79537281,1034979.6198823529,1.7346938775510204e-06,117.34462810457516,1750671.4093173395,6.702835693782922e-05
241.1872291418748,1.94331211,1013003.1211702127,1.9183673469387756e-06,127.0138633986928,1713498.089927131,7.412547708418761e-05
241.18725453260603,2.075925175,987576.0541262137,2.1020408163265306e-06,135.68138398692813,1670488.1229272166,8.1222597230546e-05
241.18335739621745,2.2091427,966499.9312499999,2.285714285714286e-06,144.3884117647059,1634837.7922058823,8.83197173769044e-05
241.18290355116858,2.3247984099999996,941447.2899999999,2.4693877551020405e-06,151.94760849673202,1592461.1676601307,9.541683752326277e-05
241.18229821334586,2.435312035,917925.3054999999,2.653061224489796e-06,159.17072124183008,1552673.6540091503,0.00010251395766962118
241.17783381341394,2.541555725,895944.1044964028,2.836734693877551e-06,166.11475326797384,1515492.3806775755,0.00010961107781597956
241.17956138873944,2.6383534749999997,873508.920777027,3.020408163265306e-06,172.44140359477123,1477543.1940986575,0.00011670819796233794
241.1767238451059,2.748425705,857788.9142993629,3.2040816326530614e-06,179.63566699346404,1450952.7517691187,0.00012380531810869634
241.1767868989461,2.853405725,842270.3646084338,3.387755102040816e-06,186.49710620915033,1424703.0742526972,0.0001309024382550547
241.17625730668215,2.98427291,835596.4148,3.5714285714285714e-06,195.05051699346407,1413414.066341438,0.0001379995584014131
241.17434057247493,3.107237085,827470.7454619565,3.7551020408163268e-06,203.0873911764706,1399669.4701016622,0.00014509667854777151
