Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
100.6218602670778,9.532231495,9532231.495,1e-06,623.0216663398693,16123800.724875819,3.863987635239567e-05
100.60171669098192,11.26859835,9520022.743965516,1.1836734693877552e-06,736.5096960784314,16103149.58260311,4.573699649875406e-05
100.58520420452237,13.00467445,9510881.314179104,1.3673469387755102e-06,849.9787222222222,16087686.82424544,5.283411664511245e-05
100.56825348759055,14.7381087,9502201.661842106,1.5510204081632651e-06,963.2750784313725,16073005.163952531,5.993123679147083e-05
100.55239662709045,16.4666376,9492532.26352941,1.7346938775510204e-06,1076.2508235294117,16056649.345107267,6.702835693782922e-05
100.53576548132358,18.19037975,9482219.23138298,1.9183673469387756e-06,1188.913709150327,16039204.817528857,7.412547708418761e-05
100.52012601093196,18.8848951,8984076.309708739,2.1020408163265306e-06,1234.306869281046,15196594.437598836,8.1222597230546e-05
100.50385835747024,21.6533103,9473323.25625,2.285714285714286e-06,1415.2490392156865,16024157.246519608,8.83197173769044e-05
100.48610226395206,23.36728925,9462786.555785125,2.4693877551020405e-06,1527.2738071895424,16006334.383249609,9.541683752326277e-05
100.46999389612265,25.08856235,9456458.116538461,2.653061224489796e-06,1639.7753169934642,15995629.807582706,0.00010251395766962118
100.45343252622402,26.8083027,9450408.865467625,2.836734693877551e-06,1752.1766470588236,15985397.479627592,0.00010961107781597956
100.43884081200105,28.519229,9442177.168918919,3.020408163265306e-06,1864.0018954248367,15971473.538014488,0.00011670819796233794
100.42255563057623,30.23105685,9435170.609235669,3.2040816326530614e-06,1975.886068627451,15959621.919413015,0.00012380531810869634
100.40721856555793,31.9422924,9428748.961445784,3.387755102040816e-06,2087.7315294117648,15948759.681190647,0.0001309024382550547
100.39157440224332,33.645249500000006,9420669.860000001,3.5714285714285714e-06,2199.0359150326804,15935093.854692815,0.0001379995584014131
100.37579818716465,35.35092535,9414105.120380433,3.7551020408163268e-06,2310.517996732026,15923989.576172916,0.00014509667854777151
100.36085343562726,37.0622642,9409590.392746115,3.938775510204081e-06,2422.370209150327,15916352.899625454,0.0001521937986941299
100.34348542647699,38.747780899999995,9399214.17871287,4.122448979591837e-06,2532.534699346405,15898801.499679025,0.0001592909188404883
100.32729873284018,40.44628965,9392740.250473933,4.306122448979591e-06,2643.548343137255,15887850.828906236,0.00016638803898684666
100.31153485754633,42.142912949999996,9386376.066136364,4.489795918367347e-06,2754.4387549019607,15877085.790301247,0.00017348515913320506
100.29636868509502,43.83069075,9378619.418122271,4.673469387755102e-06,2864.751029411765,15863965.394836888,0.00018058227927956346
100.28086644519934,45.52130495,9372033.372058824,4.857142857142857e-06,2975.248689542484,15852825.076397544,0.0001876793994259218
100.26552431684706,47.2108259,9365710.401214575,5.040816326530612e-06,3085.674895424837,15842129.750551192,0.0001947765195722802
100.25013778146325,48.894241,9358663.316406252,5.224489795918367e-06,3195.702026143791,15830209.583568223,0.0002018736397186386
100.23410825123008,50.58189625,9352878.929245284,5.408163265306122e-06,3306.0062908496734,15820425.27378222,0.000208970759864997
100.21774231040428,52.267155,9347045.967153285,5.5918367346938776e-06,3416.1539215686275,15810558.799341636,0.0002160678800113554
100.2014342849761,53.95027675,9341213.99558304,5.775510204081632e-06,3526.1618790849675,15800694.000371834,0.00022316500015771376
100.18670218905399,55.614815,9332623.065068493,5.9591836734693876e-06,3634.95522875817,15786162.413331544,0.00023026212030407216
100.17056836939219,57.292288549999995,9326651.624418603,6.142857142857143e-06,3744.594022875817,15776061.701957744,0.00023735924045043056
100.15620024242921,58.972298249999994,9321427.787903225,6.3265306122448975e-06,3854.3985784313722,15767225.56542062,0.0002444563605967889
100.14047391675716,60.644235,9315258.667711599,6.510204081632653e-06,3963.6754901960785,15756790.478455959,0.00025155348074314734
100.12562310947396,62.316456,9309470.560975611,6.6938775510204075e-06,4072.9709803921573,15746999.876996655,0.0002586506008895057
100.11026069532494,63.98417725,9303337.34495549,6.877551020408163e-06,4181.972369281046,15736625.52205543,0.0002657477210358641
100.09473703038354,65.6503543,9297304.510693641,7.061224489795918e-06,4290.87283006536,15726420.96318637,0.0002728448411822225
100.07868721313841,67.32202000000001,9292335.15492958,7.244897959183673e-06,4400.132026143791,15718015.28167173,0.0002799419613285809
100.0633814505991,68.9828258,9286149.626923077,7.428571428571428e-06,4508.681424836602,15707552.440834593,0.00028703908147493926
100.04743263658094,70.64769695000001,9280796.650268098,7.612244897959183e-06,4617.496532679739,15698497.863329306,0.00029413620162129764
100.03269548767256,72.3101036,9275379.781151833,7.79591836734694e-06,4726.150562091504,15689335.211516958,0.00030123332176765607
100.01762185386426,73.97280155,9270248.787595907,7.979591836734695e-06,4834.8236307189545,15680656.119149156,0.0003083304419140145
100.00184656065487,75.61595235,9262954.162875,8.163265306122448e-06,4942.219107843138,15668317.237595102,0.0003154275620603728
99.98721027071659,77.2742931,9257800.39584352,8.346938775510204e-06,5050.607392156862,15659599.623818975,0.0003225246822067312
99.97308423620669,78.92686275,9252192.044856459,8.53061224489796e-06,5158.618480392157,15650113.079796417,0.0003296218023530896
99.95891434545598,80.5768601,9246524.929508196,8.714285714285715e-06,5266.461444444445,15640527.135664847,0.000336718922499448
99.94404251304707,82.22599775,9240995.159977064,8.89795918367347e-06,5374.248218954249,15631173.512431793,0.0003438160426458064
99.9279431559373,83.8446749,9232334.988988763,9.081632653061225e-06,5480.044111111111,15616524.80490387,0.0003509131627921648
99.91339184759705,85.45873815,9223520.196806166,9.26530612244898e-06,5585.538441176471,15601614.555120496,0.0003580102829385232
99.89847454951598,87.0974954,9217661.500215983,9.448979591836735e-06,5692.646758169935,15591704.550692135,0.00036510740308488154
99.88357168546924,88.72561155,9210921.53802966,9.63265306122449e-06,5799.059578431373,15580303.88262795,0.00037220452323123997
99.86853666122752,90.35617815,9204683.429002078,9.816326530612245e-06,5905.63255882353,15569752.10082182,0.00037930164337759834
99.85353027196308,92.00776024999999,9200776.024999999,1e-05,6013.579101307189,15563142.714183005,0.00038639876352395677
93.86576545740476,9.716709510000001,9716709.510000002,1e-06,635.0790529411765,16435845.89011765,3.863987635239567e-05
93.86901324284395,11.489751049999999,9706858.645689653,1.1836734693877552e-06,750.9641209150326,16419183.12094433,4.573699649875406e-05
93.87138592324487,13.2594189,9697186.956716418,1.3673469387755102e-06,866.6286862745098,16402823.427439276,5.283411664511245e-05
93.87537536430622,15.03077435,9690893.98881579,1.5510204081632651e-06,982.4035522875818,16392178.85167011,5.993123679147083e-05
93.87936476082778,16.79790115,9683495.957058825,1.7346938775510204e-06,1097.9020359477126,16379665.056776628,6.702835693782922e-05
93.88258281866767,18.5627094,9676305.963829787,1.9183673469387756e-06,1213.248980392157,16367503.159733001,7.412547708418761e-05
93.88583070838314,20.3149062,9664372.852427185,2.1020408163265306e-06,1327.7716470588236,16347318.262798404,8.1222597230546e-05
93.88910792714432,22.094984699999998,9666555.806249999,2.285714285714286e-06,1444.1166470588234,16351010.736323528,8.83197173769044e-05
93.8926523274458,23.851669049999998,9658940.35909091,2.4693877551020405e-06,1558.9326176470588,16338129.182566846,9.541683752326277e-05
93.89659700667066,25.60810965,9652287.483461538,2.653061224489796e-06,1673.7326568627452,16326875.821698342,0.00010251395766962118
93.90037843799706,27.36286545,9645902.208992807,2.836734693877551e-06,1788.4225784313726,16316075.109067569,0.00010961107781597956
93.90368538647995,29.11280915,9638700.32668919,3.020408163265306e-06,1902.7979836601307,16303893.10161544,0.00011670819796233794
93.90814867536074,30.8682529,9634040.714012738,3.2040816326530614e-06,2017.532869281046,16296011.351545732,0.00012380531810869634
93.91155954857487,32.6205157,9628947.405421687,3.387755102040816e-06,2132.0598496732027,16287396.00341917,0.0001309024382550547
93.91488132690519,34.3637282,9621843.896,3.5714285714285714e-06,2245.9953071895425,16275380.394018302,0.0001379995584014131
93.91904793744379,36.11503935,9617592.000815218,3.7551020408163268e-06,2360.4600882352943,16268188.299418159,0.00014509667854777151
93.92340755416436,37.870251249999995,9614727.001295336,3.938775510204081e-06,2475.1798202614377,16263342.143367536,0.0001521937986941299
93.9273665920492,39.60964825,9608281.011138614,4.122448979591837e-06,2588.8658986928103,16252438.729952112,0.0001592909188404883
93.93123702669033,41.35236365,9603155.53957346,4.306122448979591e-06,2702.768866013072,16243768.97804975,0.00016638803898684666
93.93424692136952,43.094688500000004,9598362.438636364,4.489795918367347e-06,2816.6463071895428,16235661.432150923,0.00017348515913320506
93.9381023588829,44.82364775,9591086.199781658,4.673469387755102e-06,2929.650179738562,16223353.65034963,0.00018058227927956346
93.94206124303187,46.5604244,9585969.729411766,4.857142857142857e-06,3043.1649934640527,16214699.123998467,0.0001876793994259218
93.9456198266407,48.3003968,9581860.093927126,5.040816326530612e-06,3156.888679738562,16207747.662146015,0.0001947765195722802
93.94975649770684,50.02907825,9575878.258789062,5.224489795918367e-06,3269.8743954248366,16197629.3684615,0.0002018736397186386
93.95478293202655,51.761670800000005,9571025.921509435,5.408163265306122e-06,3383.115738562092,16189421.624095699,0.000208970759864997
93.95906800911804,53.4906105,9565839.1040146,5.5918367346938776e-06,3496.118333333334,16180648.1053528,0.0002160678800113554
93.96367940123612,55.2186875,9560832.818021202,5.775510204081632e-06,3609.0645424836603,16172179.956234558,0.00022316500015771376
93.9676825463027,56.93620009999999,9554362.345547944,5.9591836734693876e-06,3721.320267973856,16161235.130900707,0.00023026212030407216
93.97118168695218,58.67021905,9550965.891860465,6.142857142857143e-06,3834.654839869281,16155490.018388813,0.00023735924045043056
93.97534767652871,60.3958313,9546437.850645162,6.3265306122448975e-06,3947.439954248366,16147830.82187561,0.0002444563605967889
93.97914325202771,62.1117161,9540671.12507837,6.510204081632653e-06,4059.5892875817,16138076.386733873,0.00025155348074314734
93.98124834779932,63.8354231,9536389.426524391,6.6938775510204075e-06,4172.249875816994,16130833.879637338,0.0002586506008895057
93.98504410831234,65.56067300000001,9532560.762611277,6.877551020408163e-06,4285.011307189543,16124357.682116332,0.0002657477210358641
93.98775708302644,67.27082575,9526793.242052022,7.061224489795918e-06,4396.785996732026,16114601.902242245,0.0002728448411822225
93.99214551191204,68.9863479,9522059.287605634,7.244897959183673e-06,4508.911627450981,16106594.40282574,0.0002799419613285809
93.99776435593651,70.7027521,9517678.167307692,7.428571428571428e-06,4621.094908496732,16099183.723524386,0.00028703908147493926
94.0009075416491,72.41010735,9512319.732305631,7.612244897959183e-06,4732.686754901962,16090119.913207175,0.00029413620162129764
94.00381316709839,74.1247727,9508151.471989527,7.79591836734694e-06,4844.756385620914,16083069.287260717,0.00030123332176765607
94.00579973316275,75.83720705,9503895.512659846,7.979591836734695e-06,4956.680199346406,16075870.318146197,0.0003083304419140145
94.01076597761926,77.5379222,9498395.4695,8.163265306122448e-06,5067.838052287581,16066566.97716732,0.0003154275620603728
94.01450200464272,79.24257275,9493608.960268948,8.346938775510204e-06,5179.253120915033,16058470.581160812,0.0003225246822067312
94.01853421123477,80.94822385,9489145.858014354,8.53061224489796e-06,5290.733584967321,16050921.229111863,0.0003296218023530896
94.02358933128761,82.64754405,9484144.399180327,8.714285714285715e-06,5401.800264705882,16042461.245149469,0.000336718922499448
94.02891125133107,84.3518814,9479913.276605504,8.89795918367347e-06,5513.194862745098,16035304.287486957,0.0003438160426458064
94.03049776395005,86.05538924999999,9475761.962359548,9.081632653061225e-06,5624.535245098039,16028282.325873539,0.0003509131627921648
94.03481158543495,87.7470509,9470496.683039647,9.26530612244898e-06,5735.101366013072,16019376.088697128,0.0003580102829385232
94.0384730110375,89.4431945,9465910.433045357,9.448979591836735e-06,5845.960424836602,16011618.431844044,0.00036510740308488154
94.0395996341875,91.12916390000001,9460442.8625,9.63265306122449e-06,5956.154503267975,16002370.018398695,0.00037220452323123997
94.04466939279018,92.8028626,9453929.869854469,9.816326530612245e-06,6065.546575163399,15991353.27005449,0.00037930164337759834
94.04815265955943,94.4953003,9449530.03,1e-05,6176.163418300654,15983910.92656209,0.00038639876352395677
76.91580571383443,9.91564127,9915641.270000001,1e-06,648.0811287581699,16772339.61226144,3.863987635239567e-05
76.91121963436714,11.724129300000001,9904867.856896553,1.1836734693877552e-06,766.2829607843138,16754116.348789724,4.573699649875406e-05
76.9168658099899,13.5386285,9901385.02238806,1.3673469387755102e-06,884.8776797385622,16748225.122836798,5.283411664511245e-05
76.91362262231935,15.35387845,9899211.105921054,1.5510204081632651e-06,1003.5214673202614,16744547.936028553,5.993123679147083e-05
76.91262268029543,17.16656705,9896021.005294118,1.7346938775510204e-06,1121.997846405229,16739151.87039293,6.702835693782922e-05
76.90962548449664,18.980800600000002,9894247.121276597,1.9183673469387756e-06,1240.5752026143794,16736151.339780286,7.412547708418761e-05
76.91371422912155,20.797719899999997,9894060.92330097,2.1020408163265306e-06,1359.3280980392155,16735836.38529602,8.1222597230546e-05
76.91012544769376,22.61474055,9893948.990625,2.285714285714286e-06,1478.087617647059,16735647.050808825,8.83197173769044e-05
76.90750517578326,24.4222288,9889993.480991736,2.4693877551020405e-06,1596.2241045751634,16728956.293337656,9.541683752326277e-05
76.91231115403326,26.2354317,9888739.64076923,2.653061224489796e-06,1714.7340980392157,16726835.41850377,0.00010251395766962118
76.9063507787265,28.047976650000003,9887416.229136692,2.836734693877551e-06,1833.2010882352943,16724596.863402456,0.00010961107781597956
76.90223052372473,29.853953,9884079.033783784,3.020408163265306e-06,1951.2387581699347,16718951.986557148,0.00011670819796233794
76.89957876743097,31.66871515,9883866.51178344,3.2040816326530614e-06,2069.850663398693,16718592.50489905,0.00012380531810869634
76.89876726877293,33.47834235,9882161.296084339,3.387755102040816e-06,2188.126950980392,16715708.126971416,0.0001309024382550547
76.89851858315168,35.281688599999995,9878872.807999998,3.5714285714285714e-06,2305.992718954248,16710145.638630064,0.0001379995584014131
76.89636417250478,37.093396999999996,9878132.896739129,3.7551020408163268e-06,2424.4050326797383,16708894.076314291,0.00014509667854777151
76.8950526712892,38.900135750000004,9876200.268134717,3.938775510204081e-06,2542.492532679739,16705625.028714148,0.0001521937986941299
76.89545842583703,40.6902917,9870417.293564357,4.122448979591837e-06,2659.496189542484,16695843.108329775,0.0001592909188404883
76.89389823071313,42.49681285,9868928.102606636,4.306122448979591e-06,2777.5694673202615,16693324.136958152,0.00016638803898684666
76.89358671557325,44.30611495,9868180.147954546,4.489795918367347e-06,2895.824506535948,16692058.969219847,0.00017348515913320506
76.89427519227588,46.1090844,9866135.963318776,4.673469387755102e-06,3013.6656470588237,16688601.2242281,0.00018058227927956346
76.89555528303812,47.91557695,9864971.725000001,4.857142857142857e-06,3131.737055555556,16686631.911307193,0.0001876793994259218
76.89355791908898,49.72082005,9863644.463360325,5.040816326530612e-06,3249.726800653595,16684386.843906224,0.0001947765195722802
76.89130923618006,51.51758805,9860788.337695314,5.224489795918367e-06,3367.162617647059,16679555.698010113,0.0002018736397186386
76.89158934108046,53.321058199999996,9859365.478490565,5.408163265306122e-06,3485.0364836601307,16677148.927015416,0.000208970759864997
76.89140347689445,55.1244426,9858020.756934308,5.5918367346938776e-06,3602.9047450980397,16674874.32610849,0.0002160678800113554
76.89174640835616,56.92801815,9856794.662014134,5.775510204081632e-06,3720.7855,16672800.382544171,0.00022316500015771376
76.89087206166306,58.7165874,9853125.96780822,5.9591836734693876e-06,3837.6854509803925,16666594.77430567,0.00023026212030407216
76.89040609364598,60.51959565,9852027.19883721,6.142857142857143e-06,3955.5291274509805,16664736.203000456,0.00023735924045043056
76.89099771789202,62.3221738,9850924.245806452,6.3265306122448975e-06,4073.3446928104577,16662870.55434451,0.0002444563605967889
76.89065478517131,64.1168282,9848666.40062696,6.510204081632653e-06,4190.642366013072,16659051.401844818,0.00025155348074314734
76.88996630142881,65.91753779999999,9847437.049390243,6.6938775510204075e-06,4308.335803921568,16656971.950210424,0.0002586506008895057
76.89006054228621,67.71837794999999,9846292.342878338,6.877551020408163e-06,4426.037774509803,16655035.675404664,0.0002657477210358641
76.8897804367558,69.5102827,9843941.76965318,7.061224489795918e-06,4543.1557320261445,16651059.6731127,0.0002728448411822225
76.88971760907916,71.32436325,9844771.265492959,7.244897959183673e-06,4661.723088235294,16652462.768036455,0.0002799419613285809
76.89024902430404,73.10565275,9841145.5625,7.428571428571428e-06,4778.147238562092,16646329.879575165,0.00028703908147493926
76.89171499542017,74.90850125,9840526.973860592,7.612244897959183e-06,4895.98047385621,16645283.534870073,0.00029413620162129764
76.89118619973044,76.70233329999999,9838780.973036647,7.79591836734694e-06,5013.224398692811,16642330.168770488,0.00030123332176765607
76.89184064962826,78.49743505,9837274.469181586,7.979591836734695e-06,5130.551310457517,16639781.912576431,0.0003083304419140145
76.8918720632177,80.277906,9834043.485000001,8.163265306122448e-06,5246.921960784314,16634316.692274513,0.0003154275620603728
76.89168358119534,82.0756181,9833020.261369193,8.346938775510204e-06,5364.419483660131,16632585.906159135,0.0003225246822067312
76.89293226935123,83.8687397,9831502.979186604,8.53061224489796e-06,5481.616973856209,16630019.418388842,0.0003296218023530896
76.89314954580844,85.66124934999999,9829979.433606556,8.714285714285715e-06,5598.7744673202615,16627442.336061288,0.000336718922499448
76.89380399191131,87.44771575,9827839.614105504,8.89795918367347e-06,5715.536977124183,16623822.824382382,0.0003438160426458064
76.89352388763425,89.24880705,9827396.731348313,9.081632653061225e-06,5833.255362745098,16623073.686751265,0.0003509131627921648
76.89318095921942,91.0346729,9825328.132378854,9.26530612244898e-06,5949.978620915033,16619574.644834297,0.0003580102829385232
76.89302389130226,92.82794925,9824124.218682505,9.448979591836735e-06,6067.186225490196,16617538.220882567,0.00036510740308488154
76.89184064872617,94.62037165,9822877.565360168,9.63265306122449e-06,6184.33801633987,16615429.502713803,0.00037220452323123997
