Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
112.99761732485594,3.41062087,34106208.7,1e-07,222.91639673202613,57690763.474248365,3.863987635239567e-06
112.99810053379836,6.52119881,62046357.609708734,1.0510204081632653e-07,426.22214444444444,104951616.66269685,4.061129861527301e-06
112.99773085276117,6.81969298,61882399.26296297,1.1020408163265305e-07,445.7315673202615,104674280.58336483,4.2582720878150325e-06
112.99773085276117,7.118669,61737129.380530976,1.1530612244897959e-07,465.2724836601307,104428556.10249291,4.455414314102766e-06
112.99815729770272,7.40825187,61526159.59830509,1.204081632653061e-07,484.199468627451,104071700.02641411,4.652556540390499e-06
112.99699148992048,7.71010407,61430097.46829268,1.2551020408163266e-07,503.9283705882353,103909210.61956958,4.849698766678232e-06
112.99815729770272,8.00474252,61286309.91875001,1.3061224489795918e-07,523.1857856209151,103665993.50962421,5.046840992965965e-06
112.99773085276117,8.28803562,61069736.14736843,1.357142857142857e-07,541.701674509804,103299658.26757485,5.243983219253698e-06
112.99716225897706,8.58299664,60951715.269565225,1.4081632653061222e-07,560.9801725490196,103100025.56708157,5.44112544554143e-06
112.99724764348485,8.86833595,60776008.60839161,1.4591836734693877e-07,579.6298006535949,102802817.17550164,5.638267671829164e-06
112.99710549496709,9.15691569,60633630.92027028,1.510204081632653e-07,598.4912215686275,102561984.85075784,5.835409898116897e-06
112.99798652896385,9.44214035,60479068.90849674,1.5612244897959184e-07,617.1333562091504,102300542.70273829,6.03255212440463e-06
112.99727578697888,9.7206,60292329.11392405,1.6122448979591836e-07,635.3333333333333,101984671.7299578,6.229694350692363e-06
112.99781623717828,10.0014918,60131668.49079755,1.6632653061224488e-07,653.692274509804,101712913.76090463,6.426836576980096e-06
112.99727578697888,10.2854703,59998576.75000001,1.714285714285714e-07,672.2529607843138,101487788.64640526,6.623978803267828e-06
112.99630936716764,10.5631568,59837535.63005781,1.7653061224489793e-07,690.4024052287582,101215387.06574486,6.821121029555561e-06
112.99670719271106,10.8316815,59635100.39325843,1.8163265306122448e-07,707.9530392156863,100872967.20114565,7.0182632558432946e-06
112.99702011043658,11.1103821,59498221.08196721,1.8673469387755102e-07,726.1687647058824,100641435.39877853,7.215405482131029e-06
112.99687796185835,11.3911242,59379264.44680851,1.9183673469387755e-07,744.5179215686275,100440219.8616604,7.412547708418762e-06
112.99574077187263,11.6620364,59216557.88601036,1.9693877551020407e-07,762.2246013071896,100165001.18234956,7.609689934706494e-06
112.99656504404965,11.9190787,58993419.82828283,2.020408163265306e-07,779.024751633987,99787562.42849411,7.806832160994226e-06
112.99622398251006,1.8035225,8706660.344827587,2.071428571428571e-07,117.87728758169935,14727344.426414246,8.00397438728196e-06
112.99616721840054,7.13597453,33621418.45865385,2.1224489795918366e-07,466.4035640522876,56870739.19672952,8.201116613569693e-06
112.99630936716764,1.89191241,8704573.529577466,2.1734693877551018e-07,123.65440588235295,14723814.571599009,8.398258839857425e-06
112.99588292075303,7.48543816,33650134.84770642,2.2244897959183673e-07,489.24432418300654,56919313.06265636,8.595401066145159e-06
112.99568353070207,1.9810207,8705830.878923766,2.2755102040816325e-07,129.478477124183,14725941.38212726,8.792543292432892e-06
112.99537108920478,7.80808015,33561046.25877193,2.3265306122448977e-07,510.3320359477125,56768619.423334494,8.989685518720624e-06
112.9958256795977,2.06948035,8704252.11587983,2.377551020408163e-07,135.26015359477125,14723270.899279086,9.186827745008358e-06
112.9951435553583,8.1540948,33575684.47058824,2.428571428571428e-07,532.9473725490196,56793380.00645907,9.38396997129609e-06
112.99537108920478,2.15731874,8700297.799176956,2.479591836734694e-07,141.00122483660132,14716582.15965357,9.581112197583825e-06
112.99548461758673,8.47529024,33491066.270967748,2.5306122448979586e-07,553.9405385620915,56650248.04527095,9.778254423871555e-06
