Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
112.98772265524312,10.1313255,28946644.28571429,3.5e-07,662.178137254902,48963343.40616248,1.3523956723338484e-05
112.98732482301793,3.06617997,8684555.984393064,3.530612244897959e-07,200.40391960784314,14689954.828502776,1.3642242059111125e-05
112.98652868066185,10.2150769,28684170.091690544,3.5612244897959183e-07,667.6520849673203,48519367.44921251,1.3760527394883765e-05
112.98706866470188,3.1188091,8683048.0625,3.5918367346938776e-07,203.8437320261438,14687404.173692811,1.3878812730656405e-05
112.98621575679904,10.2437164,28278428.371830985,3.622448979591837e-07,669.5239477124184,47833054.00411673,1.3997098066429045e-05
112.98689836944068,3.17134291,8681329.753631286,3.6530612244897955e-07,207.27731437908497,14684497.648625992,1.4115383402201683e-05
112.98641467336104,10.3561708,28113704.664819945,3.6836734693877547e-07,676.873908496732,47554423.31539479,1.4233668737974323e-05
112.98684112732393,3.22469129,8681861.165384617,3.714285714285714e-07,210.7641366013072,14685396.533343391,1.4351954073746962e-05
112.98559038554299,10.4298828,27850913.198910084,3.744897959183673e-07,681.6916862745098,47109910.692012616,1.4470239409519602e-05
112.986016840163,3.27757897,8681155.10972973,3.7755102040816324e-07,214.2208477124183,14684202.23789578,1.4588524745292242e-05
112.98516393058293,10.4650701,27495358.439678285,3.8061224489795917e-07,683.9915098039216,46508488.65482838,1.4706810081064882e-05
112.98590283275314,3.33075238,8681216.309574468,3.836734693877551e-07,217.6962339869281,14684305.757633151,1.4825095416837523e-05
112.986016840163,10.5148402,27188768.854881268,3.86734693877551e-07,687.2444575163399,45989891.370217465,1.4943380752610163e-05
112.98598821905819,3.38312377,8679218.0486911,3.8979591836734694e-07,221.1192006535948,14680925.692818671,1.5061666088382803e-05
112.98578930233755,10.5859733,26946113.85454545,3.9285714285714286e-07,691.893679738562,45579439.644159235,1.5179951424155443e-05
112.98559038554299,3.43618341,8679019.953092784,3.959183673469388e-07,224.58715098039215,14680590.613466745,1.5298236759928084e-05
