 ,Area,Mean,Min,Max,Angle,Length
1,0.0002983,76.093,63.674,99.333,77.829,0.124
2,0.0002926,73.695,61.333,141,75.141,0.12
3,0.0003208,73.633,52.218,124.087,74.476,0.133
4,0.0002983,83.165,64.988,149,73.301,0.124
5,0.0003095,77.94,56.65,127.432,73.909,0.128
6,0.0003039,64.269,54.78,93.667,74.65,0.125
7,0.0003095,75.921,46.626,149,73.909,0.128
8,0.0002814,82.852,62.582,118.667,75.964,0.117
9,0.0003039,78.031,49.904,145.372,74.65,0.125
10,0.0003039,74.064,58.407,104.485,77.005,0.127
11,0.0002645,74.104,63.391,108,76.264,0.11
,,,,,,0.123727272727273
