Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
107.48284024865957,0.51127698,51127698.0,1e-08,41.232014516129034,51457554.11612903,8.012820512820513e-07
107.47614420792489,0.614793747,45762842.821804516,1.3434343434343434e-08,49.580140887096775,46058086.96904196,1.0764698264698265e-06
107.47255218403187,2.99103886,177313082.1197605,1.6868686868686868e-08,241.2128112903226,178457037.48827508,1.3516576016576016e-06
107.46884489843403,4.35415507,214458384.04477614,2.03030303030303e-08,351.1415379032258,215841986.5224844,1.6268453768453767e-06
107.46462022686475,1.14997625,48445807.9787234,2.373737373737374e-08,92.74002016129032,48758361.57858613,1.9020331520331522e-06
107.46071181869634,5.05484972,186033502.7063197,2.7171717171717172e-08,407.64917096774195,187233718.85281208,2.1772209272209272e-06
107.4575791872381,6.79440487,221995406.64356437,3.0606060606060606e-08,547.9358766129033,223427635.07352287,2.4524087024087023e-06
107.45387178818035,7.86595805,231077105.91988128,3.404040404040404e-08,634.3514556451613,232567925.95807406,2.727596477596478e-06
107.45025067028557,8.72080671,232711553.71698114,3.747474747474747e-08,703.2908637096774,234212918.57967132,3.002784252784253e-06
107.4457384594994,9.49580786,232119747.6888889,4.0909090909090904e-08,765.7909564516128,233617294.44817206,3.2779720279720275e-06
107.44191572900796,10.248147,231108554.214123,4.434343434343434e-08,826.4634677419355,232599577.1445367,3.553159803159803e-06
107.43889821958291,10.972493,229656830.23255813,4.777777777777778e-08,884.8784677419355,231138487.20180047,3.828347578347578e-06
107.4349032939129,11.6762495,227997771.30177516,5.1212121212121215e-08,941.6330241935485,229468724.66501242,4.103535353535354e-06
107.42628070096465,0.53058099,9709337.89463956,5.464646464646464e-08,42.788789516129036,9771978.784282394,4.378723128723128e-06
107.41734211040834,2.84527335,48988184.63478261,5.8080808080808076e-08,229.45752822580644,49304237.438877985,4.653910903910903e-06
107.41357702317693,11.5663676,188024694.97536945,6.151515151515151e-08,932.7715806451613,189237757.52359763,4.929098679098679e-06
107.40659263240022,0.630077714,9701041.008709176,6.494949494949495e-08,50.81271887096774,9763628.370055687,5.204286454286454e-06
107.3976826153362,3.30001372,48257216.8803545,6.838383838383839e-08,266.1301387096774,48568553.763453566,5.479474229474229e-06
107.3897494434319,0.696352457,9696046.869620254,7.181818181818181e-08,56.15745620967743,9758602.01071458,5.7546620046620045e-06
107.38058015456697,3.71966921,49429161.31409396,7.525252525252525e-08,299.9733233870968,49748059.129023604,6.0298497798497796e-06
107.37356635701734,0.762819734,9694371.459050065,7.868686868686868e-08,61.517720483870974,9756915.791043937,6.305037555037555e-06
107.36454095982059,4.07634896,49638197.66789669,8.212121212121211e-08,328.7378193548387,49958444.104463756,6.58022533022533e-06
107.35718211148716,0.829350651,9693708.907792209,8.555555555555555e-08,66.88311701612903,9756248.965261836,6.855413105413105e-06
107.34815592911467,4.38290317,49251692.82973893,8.898989898989898e-08,353.4599330645161,49569445.68670499,7.13060088060088e-06
107.34010716909219,0.895828636,9692572.127213115,9.242424242424242e-08,72.24424483870968,9755104.85061449,7.405788655788656e-06
107.33139657223137,4.70503943,49083129.98630137,9.585858585858586e-08,379.4386637096774,49399795.341051705,7.680976430976431e-06
107.32426776308021,0.962287496,9691400.010579858,9.929292929292928e-08,77.60383032258065,9753925.171938438,7.956164206164206e-06
107.31495351623845,5.04577097,49118124.48672567,1.0272727272727272e-07,406.91701370967746,49435015.61244648,8.231351981351981e-06
107.30805404877425,1.02883036,9691170.85061846,1.0616161616161615e-07,82.97019032258065,9753694.533525676,8.506539756539756e-06
107.3023901906793,5.44341594,49668034.84423964,1.0959595959595959e-07,438.98515645161297,49988473.778718606,8.781727531727531e-06
107.29411060469708,1.09535797,9690834.587131368,1.1303030303030301e-07,88.33532016129033,9753356.100596732,9.056915306915306e-06
107.28922314240711,5.72536156,49159652.59670425,1.1646464646464645e-07,461.7227064516129,49476811.64571525,9.332103082103081e-06
107.28154722439957,1.16190925,9690734.267059814,1.198989898989899e-07,93.70235887096774,9753255.133298911,9.607290857290856e-06
107.27614207852504,6.06770808,49197633.081081085,1.2333333333333333e-07,489.33129677419356,49515037.16547516,9.882478632478631e-06
107.26852335463785,1.22840114,9690176.323505975,1.2676767676767676e-07,99.06460806451612,9752693.590109238,1.0157666407666408e-05
107.26303220430778,6.4001807,49155771.08611327,1.302020202020202e-07,516.1436048387097,49472905.09312045,1.0432854182854183e-05
107.25584402906196,1.2949974,9690456.734693877,1.3363636363636364e-07,104.4352741935484,9752975.810401581,1.0708041958041958e-05
107.25012264426196,6.79880501,49600714.516580686,1.3707070707070707e-07,548.2907266129032,49920719.12636508,1.0983229733229733e-05
107.24261831985801,1.36142054,9689477.60316319,1.405050505050505e-07,109.79197903225806,9751990.361893276,1.1258417508417509e-05
107.23709793438135,7.13321156,49557048.73263158,1.4393939393939395e-07,575.2589967741936,49876771.627680816,1.1533605283605285e-05
107.22996726344928,1.42785186,9688645.246058945,1.4737373737373739e-07,115.14934354838711,9751152.634743195,1.180879305879306e-05
107.22459048905766,7.39312423,49023395.764902875,1.5080808080808082e-07,596.2196959677419,49339675.737579666,1.2083980833980835e-05
107.21685614627262,1.49436864,9688441.084479373,1.5424242424242423e-07,120.51360000000001,9750947.155992143,1.2359168609168609e-05
107.2113928755501,7.65498134,48548568.39590006,1.5767676767676767e-07,617.3372048387097,48861784.966196194,1.2634356384356384e-05
107.2044055885474,1.56205451,9695510.751724139,1.611111111111111e-07,125.97213790322581,9758062.433993327,1.2909544159544159e-05
107.19905699472682,7.9273659,48177361.82320442,1.6454545454545454e-07,639.3037016129032,48488183.51238638,1.3184731934731934e-05
107.19181094810196,1.62713538,9686494.444978952,1.6797979797979798e-07,131.22059516129033,9748987.957527205,1.345991970991971e-05
107.18631845004174,8.13362572,47450144.15321155,1.7141414141414142e-07,655.9375580645161,47756274.11549033,1.3735107485107486e-05
107.17843973079307,1.69377626,9687108.59272097,1.7484848484848485e-07,136.59485967741935,9749606.067512717,1.4010295260295261e-05
107.17268848909316,8.36815919,46937550.13087819,1.782828282828283e-07,674.8515475806452,47240373.034948364,1.4285483035483036e-05
107.16595924250328,1.76040383,9687603.066703724,1.8171717171717173e-07,141.96805080645163,9750103.731650202,1.4560670810670811e-05
107.15994925376822,8.55970211,46230796.99345336,1.8515151515151514e-07,690.2985572580645,46529060.19986273,1.4835858585858584e-05
107.15247248670771,1.82686465,9687177.308516337,1.8858585858585858e-07,147.32779435483872,9749675.226635797,1.5111046361046361e-05
107.14766996497411,8.7049498,45333510.26827985,1.9202020202020201e-07,702.0120806451613,45625984.52807521,1.5386234136234135e-05
107.14019300903243,1.8933089,9686696.69767442,1.9545454545454545e-07,152.68620161290323,9749191.51507877,1.566142191142191e-05
107.13461356268975,8.86956445,44595575.446927376,1.988888888888889e-07,715.2874556451613,44883288.83690755,1.5936609686609688e-05
107.12748138916668,1.95978281,9686395.316525213,2.0232323232323232e-07,158.04700080645162,9748888.189535053,1.621179746179746e-05
107.12190227935353,9.03121255,43892491.0382916,2.0575757575757576e-07,728.3235927419355,44175668.39982897,1.648698523698524e-05
107.11390719665869,2.02648769,9687217.832448093,2.091919191919192e-07,163.42642661290324,9749716.012012275,1.6762173012173012e-05
107.10936292021002,9.16160365,43087827.14251781,2.1262626262626264e-07,738.8390040322581,43365813.124082446,1.703736078736079e-05
107.10197174565161,2.09434429,9693318.593267882,2.1606060606060605e-07,168.89873306451614,9755856.13257929,1.7312548562548562e-05
107.09607580639636,9.24108507,42101584.07409112,2.1949494949494948e-07,745.248795967742,42373207.197149776,1.758773633773634e-05
107.08974841261295,2.15977002,9688139.192569098,2.2292929292929292e-07,174.17500161290323,9750643.316392126,1.7862924112924112e-05
107.08301849971222,9.40668857,41555652.31726908,2.2636363636363636e-07,758.6039169354839,41823753.299961135,1.813811188811189e-05
107.07614421257537,2.22694184,9690867.787252747,2.297979797979798e-07,179.59208387096774,9753389.514912443,1.8413299663299662e-05
107.07059298335074,9.49360085,40704481.77349502,2.3323232323232323e-07,765.6129717741936,40967091.33332402,1.868848743848744e-05
107.0625685847071,2.29358216,9691192.225352114,2.3666666666666667e-07,184.96630322580646,9753716.046160836,1.8963675213675216e-05
107.05710357912184,9.5968503,39970053.83676904,2.401010101010101e-07,773.9395403225807,40227925.15184497,1.923886298886299e-05
107.05008511873798,2.35903497,9686622.232683536,2.435353535353535e-07,190.24475564516132,9749116.569668591,1.9514050764050762e-05
107.0445625459313,9.72235787,39366602.418404914,2.469696969696969e-07,784.0611185483871,39620580.49852365,1.9789238539238536e-05
107.03725676688664,2.42614374,9688916.105687778,2.504040404040404e-07,195.65675322580645,9751425.241853505,2.0064426314426313e-05
107.03248157803131,9.83141894,38731017.710306406,2.5383838383838385e-07,792.8563661290324,38980895.24392129,2.0339614089614093e-05
