 ,Area,Mean,Min,Max,Angle,Length
1,0.0005561,104.044,65.367,187.865,46.818,0.179
2,0.0004336,108.311,60.012,233.404,49.128,0.138
3,0.0004901,95.66,59.483,181.22,46.042,0.156
4,0.0004807,108.45,68.756,173.816,46.606,0.152
5,0.0005184,127.948,84.382,214.328,45,0.165
6,0.0004524,80.572,62.464,169.139,50.092,0.144
7,0.0004619,91.973,60.906,154.914,48.888,0.147
8,0.0004619,86.432,62.172,192.011,51.096,0.147
9,0.0006315,106.86,61.95,179.338,50.004,0.203
10,0.0005938,92.132,60.605,166.834,50.042,0.191
11,0.000509,121.861,84.606,199.678,49.297,0.162
12,0.0004996,95.576,73.987,148.852,44.669,0.161
,,,,,,0.162083333333333
