Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
103.53147656533815,-1.68916563,56305521.00000001,-3e-08,-104.21608867061938,82504403.53090702,-1.263157894736842e-06
103.53159228313501,-8.35235752,278411917.3333334,-3e-08,-515.3136059919918,407956604.7436603,-1.263157894736842e-06
103.53066508130195,-0.297125089,9904169.633333335,-3e-08,-18.331662728355226,14512566.326614555,-1.263157894736842e-06
103.53095486246667,-1.6865043,56216810.0,-3e-08,-104.05189316584713,82374415.42296232,-1.263157894736842e-06
103.53188206370687,-8.3061314,276871046.6666667,-3e-08,-512.4616030058675,405698769.0463118,-1.263157894736842e-06
103.53086783089475,-0.297413219,9913773.966666669,-3e-08,-18.34943942301167,14526639.543217573,-1.263157894736842e-06
103.53124464344612,-1.69035293,56345097.66666667,-3e-08,-104.28934126342678,82562395.16687953,-1.263157894736842e-06
103.53069376770067,-8.31319592,277106530.6666667,-3e-08,-512.897461177298,406043823.43202764,-1.263157894736842e-06
103.53196909508404,-0.297443941,9914798.033333333,-3e-08,-18.35133487163984,14528140.106714875,-1.263157894736842e-06
103.5315052516855,-1.68849339,56283113.00000001,-3e-08,-104.17461362388407,82471569.11890823,-1.263157894736842e-06
103.53104140781218,-8.31809158,277269719.3333334,-3e-08,-513.199507659656,406282943.56389433,-1.263157894736842e-06
103.53138953386636,-0.297471206,9915706.866666667,-3e-08,-18.353017034482335,14529471.818965184,-1.263157894736842e-06
103.53112843935077,-1.6984477,56614923.333333336,-3e-08,-104.78876254758366,82957770.3501704,-1.263157894736842e-06
103.53133167494572,-8.19837209,273279069.6666667,-3e-08,-505.8132000271466,400435450.0214911,-1.263157894736842e-06
103.53170800090237,-11.9233138,397443793.3333334,-3e-08,-735.6301277740419,582373851.1544498,-1.263157894736842e-06
103.53078079930609,-0.297487099,9916236.633333333,-3e-08,-18.35399758148603,14530248.08534311,-1.263157894736842e-06
103.53069376770067,-1.68832493,56277497.66666667,-3e-08,-104.16422018348625,82463340.97859329,-1.263157894736842e-06
103.53133167494572,-8.37025727,279008575.6666667,-3e-08,-516.4179630189471,408830887.38999987,-1.263157894736842e-06
103.53109975297957,-0.297668266,9922275.533333335,-3e-08,-18.3651750029306,14539096.877320059,-1.263157894736842e-06
103.5307516267028,-1.69167749,56389249.66666667,-3e-08,-104.37106235694058,82627091.03257798,-1.263157894736842e-06
103.53092568987462,-8.2923414,276411380.0,-3e-08,-511.61080434098585,405025220.1032805,-1.263157894736842e-06
103.53133167494572,-11.9616897,398722990.00000006,-3e-08,-737.9977974247763,584248256.2946147,-1.263157894736842e-06
103.5318242048491,-0.297875757,9929191.900000002,-3e-08,-18.377976530542995,14549231.420013206,-1.263157894736842e-06
103.53069376770067,-1.68034105,56011368.333333336,-3e-08,-103.67164045581586,82073382.0275209,-1.263157894736842e-06
103.5302012365687,-8.42354601,280784867.00000006,-3e-08,-519.7057069526109,411433684.67081696,-1.263157894736842e-06
103.53136036130226,-0.297521977,9917399.233333334,-3e-08,-18.35614944195258,14531951.641545795,-1.263157894736842e-06
103.53153442424023,-1.68288005,56096001.66666667,-3e-08,-103.82828859288144,82197395.13603115,-1.263157894736842e-06
103.53127332980817,-8.09037885,269679295.00000006,-3e-08,-499.1503643195154,395160705.0862831,-1.263157894736842e-06
103.53115761192979,-0.297684926,9922830.866666669,-3e-08,-18.366202871368376,14539910.606499966,-1.263157894736842e-06
103.5307516267028,-1.67985653,55995217.66666667,-3e-08,-103.64174712955709,82049716.47756603,-1.263157894736842e-06
103.53130250237783,-8.13972303,271324101.00000006,-3e-08,-502.1947415830162,397570837.0865545,-1.263157894736842e-06
103.53127332980817,-11.8780569,395935230.00000006,-3e-08,-732.8379225458563,580163355.3488029,-1.263157894736842e-06
103.53072294030771,-0.2979502,9931673.333333334,-3e-08,-18.382569424307302,14552867.46090995,-1.263157894736842e-06
103.53066508130195,-1.69569065,56523021.66666667,-3e-08,-104.61866142655307,82823106.96268786,-1.263157894736842e-06
103.53127332980817,-8.2702065,275673550.00000006,-3e-08,-510.2451521751202,403944078.8053035,-1.263157894736842e-06
103.53104140781218,-0.29772317,9924105.666666666,-3e-08,-18.36856240321317,14541778.569210427,-1.263157894736842e-06
103.53101272143546,-1.69208913,56402971.00000001,-3e-08,-104.39645922150999,82647196.88369541,-1.263157894736842e-06
103.53095486246667,-8.44247436,281415812.00000006,-3e-08,-520.873525292597,412358207.523306,-1.263157894736842e-06
103.53118678450699,-0.297709922,9923664.066666668,-3e-08,-18.367745044205748,14541131.493329551,-1.263157894736842e-06
103.53115761192979,-1.69136569,56378856.333333336,-3e-08,-104.35182529938366,82611861.6953454,-1.263157894736842e-06
103.53101272143546,-8.17235974,272411991.3333333,-3e-08,-504.2083216623582,399164921.3160336,-1.263157894736842e-06
103.53098354884703,-11.9808648,399362160.00000006,-3e-08,-739.1808394464566,585184831.2284449,-1.263157894736842e-06
103.53118678450699,-0.297920543,9930684.766666668,-3e-08,-18.38073968275513,14551418.91551448,-1.263157894736842e-06
103.53101272143546,-1.68802894,56267631.333333336,-3e-08,-104.14595855209986,82448883.85374573,-1.263157894736842e-06
103.53098354884703,-8.17305388,272435129.3333333,-3e-08,-504.2511478686846,399198825.396042,-1.263157894736842e-06
