Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
131.93590120791913,11.4269473,8280396.594202899,1.38e-06,705.0059105520012,12133253.895369586,5.8105263157894734e-05
131.9382444429183,6.54569793,4743259.369565218,1.38e-06,403.8485177347409,6950291.518985577,5.8105263157894734e-05
131.9379137262401,11.4376951,8288184.855072464,1.38e-06,705.6690152576149,12144666.02345533,5.8105263157894734e-05
131.93865795418836,6.5470845,4744264.130434783,1.38e-06,403.93406464589134,6951763.79372458,5.8105263157894734e-05
131.93970560752155,11.4375955,8288112.681159421,1.38e-06,705.662870257831,12144560.267118469,5.8105263157894734e-05
131.940891095974,6.5451502,4742862.463768116,1.38e-06,403.8147245547035,6949709.933459572,5.8105263157894734e-05
131.94229721319368,11.4325403,8284449.492753623,1.38e-06,705.3509806703973,12139192.602117347,5.8105263157894734e-05
131.9426556801394,6.54461367,4742473.673913044,1.38e-06,403.7816223786579,6949140.24021241,5.8105263157894734e-05
131.94411683582462,11.434867,8286135.507246378,1.38e-06,705.4945305800115,12141663.116866142,5.8105263157894734e-05
131.9451367290681,6.5444743,4742372.681159421,1.38e-06,403.77302369773514,6948992.255667544,5.8105263157894734e-05
131.9459087017272,11.411781,8269406.521739131,1.38e-06,704.0701986019509,12117150.157098792,5.8105263157894734e-05
131.94701138622852,6.54308518,4741366.072463769,1.38e-06,403.687319459783,6947517.273311483,5.8105263157894734e-05
131.9480590274534,11.4283804,8281435.072463769,1.38e-06,705.0943282145568,12134775.576156322,5.8105263157894734e-05
131.9488865010605,6.54306931,4741354.572463769,1.38e-06,403.68634033180535,6947500.422377085,5.8105263157894734e-05
131.94924450220455,11.4378658,8288308.550724639,1.38e-06,705.6795468988113,12144847.274526644,5.8105263157894734e-05
131.95078843792368,6.54100933,4739861.833333333,1.38e-06,403.55924618868113,6945313.113754476,5.8105263157894734e-05
131.95145032187892,11.4355563,8286635.000000001,1.38e-06,705.5370581738986,12142395.022920357,5.8105263157894734e-05
131.95233237034478,6.54090992,4739789.797101449,1.38e-06,403.55311291128623,6945207.5591616295,5.8105263157894734e-05
131.95244291540962,11.4367466,8287497.536231884,1.38e-06,705.6104958570609,12143658.896090722,5.8105263157894734e-05
131.95439988403007,6.54066881,4739615.079710145,1.38e-06,403.53823719945956,6944951.546005192,5.8105263157894734e-05
131.9539313406192,11.3884146,8252474.347826088,1.38e-06,702.6285668453818,12092339.4656361,5.8105263157894734e-05
131.95591651950338,6.54018357,4739263.456521739,1.38e-06,403.5082994515156,6944436.313024272,5.8105263157894734e-05
131.95586101597405,11.4170884,8273252.463768117,1.38e-06,704.3976481185566,12122785.61073603,5.8105263157894734e-05
131.9575982744227,6.53833846,4737926.420289855,1.38e-06,403.3944620965802,6942477.155647666,5.8105263157894734e-05
131.95765331529043,11.3966626,8258451.159420291,1.38e-06,703.1374419279012,12101097.279556273,5.8105263157894734e-05
131.9595556916126,6.53813211,4737776.891304349,1.38e-06,403.38173096499946,6942258.051028071,5.8105263157894734e-05
131.95958298070892,11.3969154,8258634.347826087,1.38e-06,703.1530388751443,12101365.705278752,5.8105263157894734e-05
131.96098906156627,6.53749391,4737314.427536232,1.38e-06,403.3423560768249,6941580.403496081,5.8105263157894734e-05
131.96145760040224,11.4219131,8276748.623188406,1.38e-06,704.6953165970522,12127908.528391298,5.8105263157894734e-05
131.96231234766427,6.53740337,4737248.81884058,1.38e-06,403.33677004991273,6941484.267163354,5.8105263157894734e-05
131.96358059092756,11.3958941,8257894.275362319,1.38e-06,703.0900279486436,12100281.278101657,5.8105263157894734e-05
131.9648488319658,6.53636903,4736499.29710145,1.38e-06,403.27295459733597,6940385.993975891,5.8105263157894734e-05
131.9653446571788,11.4176683,8273672.681159422,1.38e-06,704.4334260841669,12123401.354709394,5.8105263157894734e-05
131.9667784781757,6.53538631,4735787.181159421,1.38e-06,403.2123239327999,6939342.531452172,5.8105263157894734e-05
131.9667507268286,11.4177198,8273710.000000001,1.38e-06,704.4366034685934,12123456.037955865,5.8105263157894734e-05
131.9685702879012,6.53470472,4735293.275362319,1.38e-06,403.170272021125,6938618.811957768,5.8105263157894734e-05
131.96873587050666,11.401149,8261702.173913044,1.38e-06,703.4142383840378,12105860.986681812,5.8105263157894734e-05
131.98571759909805,6.5267935,4729560.507246377,1.38e-06,402.68217518185133,6930218.594615196,5.8105263157894734e-05
131.9861865844168,11.3729817,8241291.086956522,1.38e-06,701.6764065324556,12075952.648656392,5.8105263157894734e-05
131.98737199664225,6.52685352,4729604.000000001,1.38e-06,402.6858782228859,6930282.324488073,5.8105263157894734e-05
131.98855740692403,11.3935931,8256226.884057972,1.38e-06,702.9480636464035,12097838.051885568,5.8105263157894734e-05
131.98932933321433,6.52619866,4729129.463768116,1.38e-06,402.6454754662735,6929586.987191302,5.8105263157894734e-05
131.99021133546228,11.3446439,8220756.449275362,1.38e-06,699.9280553790343,12045863.271921786,5.8105263157894734e-05
