Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
125.67389059378964,-8.39368158,16787363.160000004,-5e-07,-517.8631676363345,24598500.46272589,-2.105263157894737e-05
125.66952275735221,-9.37489418,19972600.644347828,-4.693877551020408e-07,-578.4008304387258,29265824.62708988,-1.9763694951664876e-05
125.66718573343978,-8.80611958,20069760.903255817,-4.387755102040816e-07,-543.3092662401364,29408193.422649242,-1.8474758324382383e-05
125.66309603807322,-8.20884118,20111660.891000003,-4.0816326530612243e-07,-506.4591092218185,29469589.417844567,-1.718582169709989e-05
125.65886722307515,-7.62995407,20209067.536756758,-3.7755102040816324e-07,-470.7436356681454,29612319.24371915,-1.5896885069817398e-05
125.65605733300053,-7.0533961,20330376.994117647,-3.4693877551020406e-07,-435.1718625642418,29790073.827008028,-1.4607948442534907e-05
125.65116100051515,-6.45721314,20413125.410322584,-3.163265306122449e-07,-398.3892906720631,29911324.96900732,-1.3319011815252416e-05
125.64921365955767,-5.87626126,20566914.41,-2.857142857142857e-07,-362.54642744766574,30136671.781587217,-1.2030075187969923e-05
125.64531849337509,-5.26378696,20634044.8832,-2.551020408163265e-07,-324.75873225446225,30235037.972890437,-1.0741138560687432e-05
125.64036606743757,-4.67091899,20806820.955454547,-2.2448979591836733e-07,-288.1806845875262,30488206.517157603,-9.45220193340494e-06
125.63864134473924,-3.18223509,16413633.622105263,-1.9387755102040814e-07,-196.33367410524238,24050875.07789219,-8.163265306122448e-06
125.63427327148868,-3.46637744,21231561.820000004,-1.6326530612244896e-07,-213.86434357705622,31110578.7297249,-6.8743286788399564e-06
125.63112952887715,-2.85548355,21525952.91538462,-1.3265306122448978e-07,-176.17415459980384,31541949.60238796,-5.5853920515574646e-06
125.62742890190275,-2.23511684,21904145.032,-1.020408163265306e-07,-137.8995230838521,32096113.99776658,-4.296455424274973e-06
125.6231167673462,-1.60911149,22527560.860000007,-7.142857142857141e-08,-99.27700560823777,33009604.364739068,-3.0075187969924804e-06
125.61860948721385,-0.879595806,21550097.24700001,-4.081632653061223e-08,-54.26823331256209,31577328.25874708,-1.7185821697099885e-06
125.61410217581216,-0.165769114,16245373.172000028,-1.0204081632653043e-08,-10.22742138287174,23804323.268634018,-4.2964554242749654e-07
125.61143119628349,0.354645529,17377630.92099994,2.0408163265306193e-08,21.880488947020975,25463419.01209557,8.592910848549976e-07
125.6073686909855,0.862606657,16907090.477199994,5.102040816326532e-08,53.22005743970683,24773936.73818352,2.148227712137487e-06
125.60063560315649,1.41790821,17369375.57250001,8.163265306122445e-08,87.4803779545048,25451322.46113875,3.437164339419977e-06
