Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
124.25056276637864,-7.07972401,7079724.01,-1e-06,-436.7962099664987,10373909.986704344,-4.210526315789474e-05
124.2454882198641,-6.94232346,7085464.149896908,-9.797979797979797e-07,-428.31903777694146,10382321.005907563,-4.1254651780967565e-05
124.23960481974252,-6.80296391,7089404.49568421,-9.595959595959596e-07,-419.7210015856074,10388094.789243782,-4.0404040404040405e-05
124.23416764300688,-6.66276979,7092625.905483871,-9.393939393939393e-07,-411.07147510843214,10392815.116652701,-3.955342902711323e-05
124.22917670116531,-6.52242571,7095825.772417583,-9.191919191919192e-07,-402.4126965813812,10397503.877329368,-3.870281765018607e-05
124.22371136647708,-6.38034247,7097234.882359551,-8.98989898989899e-07,-393.6466174737635,10399568.644215578,-3.785220627325891e-05
124.21869274139854,-6.23631773,7096499.485862069,-8.787878787878787e-07,-384.76075405810604,10398491.06872554,-3.7001594896331734e-05
124.21347806329868,-6.09654997,7100687.612117647,-8.585858585858586e-07,-376.1375326221751,10404627.924445758,-3.615098351940457e-05
124.20700912678163,-5.95510172,7103073.135903615,-8.383838383838384e-07,-367.4106303560522,10408123.429212863,-3.530037214247741e-05
124.2010977670319,-5.81402278,7106027.842222223,-8.181818181818181e-07,-358.70651332959045,10412452.956372835,-3.4449760765550235e-05
124.19579967087384,-5.67313095,7109366.633544304,-7.97979797979798e-07,-350.01394038856637,10417345.282767301,-3.359914938862307e-05
124.19013896274525,-5.53285946,7113676.448571429,-7.777777777777778e-07,-341.35964043113717,10423660.448879367,-3.274853801169591e-05
124.18517574311178,-5.39095636,7116062.3952,-7.575757575757575e-07,-332.6046753823658,10427156.57323717,-3.1897926634768736e-05
124.18010067152692,-5.25050197,7120543.767534247,-7.373737373737373e-07,-323.9390910829637,10433723.12203861,-3.104731525784157e-05
124.1747186557751,-5.10937916,7124345.589295774,-7.171717171717172e-07,-315.23226741854484,10439293.926307796,-3.0196703880914407e-05
124.16953215317507,-4.96847824,7128686.170434782,-6.969696969696969e-07,-306.5391336537453,10445654.173961865,-2.9346092503987238e-05
124.16339727870945,-4.8267714,7132095.053731344,-6.767676767676767e-07,-297.79627721599434,10450649.206031444,-2.849548112706007e-05
124.1575131140938,-4.68461169,7135023.958615384,-6.565656565656566e-07,-289.0254801552291,10454940.926384345,-2.764486975013291e-05
124.15302357703443,-4.54283678,7138743.511428572,-6.363636363636363e-07,-280.2784240173245,10460391.182075147,-2.679425837320574e-05
124.14733441375598,-4.40172317,7143780.226721313,-6.161616161616161e-07,-271.5721679633275,10467771.474160226,-2.5943646996278573e-05
124.14211961427667,-4.25953447,7147354.449661017,-5.95959595959596e-07,-262.7995823127657,10473008.778184583,-2.509303561935141e-05
124.13548244936666,-4.117316,7151127.7894736845,-5.757575757575757e-07,-254.02515994891507,10478537.847892748,-2.424242424242424e-05
124.13040697825595,-3.97548912,7155880.416000001,-5.555555555555555e-07,-245.274897429095,10485501.865093812,-2.3391812865497074e-05
124.12669813426902,-10.393418,19414120.415094342,-5.353535353535354e-07,-641.2404755588187,28447484.304861747,-2.2541201488569908e-05
124.12181769841908,-3.68996452,7162872.303529413,-5.151515151515151e-07,-227.65894757624184,10495747.068404682,-2.169059011164274e-05
