Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
127.61796950167829,6.8361458,13672291.6,5e-07,421.76821751818517,20033990.332113795,2.105263157894737e-05
127.61378105192853,8.21733692,15486519.58,5.306122448979591e-07,506.98326906584896,22692376.129822377,2.2341568206229858e-05
127.60895406415538,8.67561995,15458377.365454545,5.612244897959183e-07,535.2578586279869,22651139.38102981,2.363050483351235e-05
127.60415543084821,9.14282249,15448217.310689654,5.918367346938776e-07,564.0827532807266,22636251.86656709,2.4919441460794844e-05
127.5998277427634,9.59970076,15422470.073442623,6.224489795918367e-07,592.2706736671952,22598524.474760603,2.6208378088077336e-05
127.596138551823,10.0537732,15394840.212500002,6.530612244897958e-07,620.285483363462,22558038.477007158,2.7497314715359826e-05
127.59031315413125,10.5196412,15386937.874626867,6.836734693877551e-07,649.0280411887737,22546459.19204285,2.878625134264232e-05
127.58706744064469,10.9716193,15360267.02,7.142857142857143e-07,676.9136368403844,22507378.42494278,3.007518796992481e-05
127.58201872890967,11.4423269,15360932.002739726,7.448979591836734e-07,705.9547824262878,22508352.82324911,3.13641245972073e-05
127.5769145957135,11.8833215,15323230.355263159,7.755102040816326e-07,733.1627314400647,22453108.650351983,3.265306122448979e-05
127.56981286590126,4.94796009,6137975.807848101,8.061224489795918e-07,305.2732297649969,8993967.623772537,3.3941997851772286e-05
127.5624062114716,11.1767583,13357589.187804878,8.36734693877551e-07,689.5700536145062,19572857.314484917,3.523093447905478e-05
127.55577580467885,5.32249237,6136520.6148235295,8.673469387755102e-07,328.3806673124264,8991835.33140791,3.651987110633727e-05
127.54856308071992,11.4499226,12751050.16818182,8.979591836734693e-07,706.4234126959645,18684096.5119302,3.780880773361976e-05
127.54057346911247,5.69749488,6135763.716923077,9.285714285714285e-07,351.51711653905716,8990726.249941269,3.909774436090226e-05
127.53136291132303,11.6557359,12151724.661702126,9.591836734693878e-07,719.1214316121988,17805905.660397794,4.038668098818475e-05
127.52170865617092,6.07333445,6135946.145360826,9.897959183673468e-07,374.7052096765238,8990993.5620836,4.1675617615467236e-05
127.51571598556184,11.7959731,11560053.638,1.020408163265306e-06,727.7736159868709,16938930.91209442,4.296455424274973e-05
127.50800339846565,6.4481889,6135170.021359223,1.0510204081632653e-06,397.8325240771704,8989856.30863703,4.425349087003222e-05
127.50140038582057,11.9059369,11007375.624528302,1.0816326530612245e-06,734.5580289111135,16129092.568779403,4.5542427497314714e-05
127.49399298184603,6.82388231,6135233.636513761,1.1122448979591838e-06,421.0115996125442,8989949.523836667,4.683136412459721e-05
127.48597479673964,7.0124803,6135920.262499999,1.142857142857143e-06,432.64748924933525,8990955.635962747,4.8120300751879706e-05
127.47726295353007,7.20014046,6135771.87026087,1.173469387755102e-06,444.225517790268,8990738.197016075,4.940923737916219e-05
127.46841228346739,7.3880468,6135835.477966103,1.204081632653061e-06,455.8187348457272,8990831.401300257,5.069817400644467e-05
127.45989478878376,7.57684236,6136616.126280992,1.2346938775510203e-06,467.4668139163268,8991975.284216948,5.198711063372717e-05
127.45121007334052,7.76542336,6137189.429677419,1.2653061224489795e-06,479.10165532474105,8992815.344905926,5.3276047261009664e-05
127.44271982622121,7.95392186,6137671.986456693,1.2959183673469387e-06,490.7314067483944,8993522.434699906,5.4564983888292156e-05
127.43350839940413,8.14282378,6138436.388,1.326530612244898e-06,502.38604788904456,8994642.511244241,5.585392051557465e-05
127.42415765774344,8.33148606,6138989.728421052,1.3571428571428572e-06,514.025904012142,8995453.320212483,5.714285714285715e-05
127.41627736816916,8.52121417,6140286.681323529,1.3877551020408165e-06,525.7315184195752,8997353.74354089,5.843179377013964e-05
127.40781461297007,8.70965776,6140622.0178417275,1.4183673469387755e-06,537.3578820727653,8997845.11168605,5.972073039742213e-05
127.39954541302731,8.89777054,6140714.87971831,1.4489795918367345e-06,548.9638358125159,8997981.182067823,6.100966702470461e-05
127.39080498699693,9.08672161,6141370.4674482765,1.4795918367346937e-06,560.6215093501478,8998941.813879099,6.22986036519871e-05
127.3819257153783,9.27822516,6143689.632972973,1.510204081632653e-06,572.4366626975069,9002340.083975997,6.358754027926959e-05
127.3732125283179,9.46742217,6144419.686490067,1.5408163265306122e-06,584.1095099424371,9003409.83040412,6.48764769065521e-05
127.36505417173684,9.65650347,6145047.662727273,1.5714285714285714e-06,595.7752182523769,9004330.003132515,6.616541353383459e-05
127.35631283273935,9.84512746,6145366.18522293,1.6020408163265307e-06,607.4127120055775,9004796.733713258,6.745435016111708e-05
127.3525115067134,10.0324508,6144876.114999999,1.63265306122449e-06,618.969959835393,9004078.634480482,6.874328678839958e-05
127.3482101396068,10.2206046,6144903.379141105,1.6632653061224487e-06,630.5784443772635,9004118.584589453,7.003222341568206e-05
127.34432496516257,10.4062371,6143441.179518073,1.693877551020408e-06,642.0313728151626,9001976.02546561,7.132116004296455e-05
127.34096726249177,10.594182,6143371.810650888,1.7244897959183672e-06,653.6269688986507,9001874.379358636,7.261009667024704e-05
127.33724872225925,10.7811299,6142736.803488372,1.7551020408163264e-06,665.1610532875133,9000943.904224925,7.389903329752953e-05
127.3332247422875,10.9681356,6142155.936,1.7857142857142857e-06,676.6987037505477,9000092.759882284,7.518796992481203e-05
127.32933994694872,11.1527589,6140282.989887641,1.816326530612245e-06,688.0893677930444,8997348.334484892,7.647690655209452e-05
127.32564881191041,11.3391239,6139415.150276243,1.8469387755102042e-06,699.5874891259417,8996076.69027972,7.776584317937701e-05
127.32206893166281,11.5265581,6139145.075,1.8775510204081634e-06,711.1515766613403,8995680.949343856,7.90547798066595e-05
127.31735159907741,11.713854,6138811.187165776,1.908163265306122e-06,722.7071315313759,8995191.703953357,8.034371643394198e-05
127.31429872419272,11.900987,6138403.821052632,1.9387755102040814e-06,734.2526359951385,8994594.790940447,8.163265306122448e-05
