Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
114.01934018511444,1.99680183,39936036.6,5e-08,123.19625315424815,58518220.24826788,2.1052631578947366e-06
114.0196239426471,5.48613115,102476789.40566038,5.3535353535353535e-08,338.4766539365634,150159100.48459333,2.254120148856991e-06
114.01766572698229,5.92693196,103852436.11327435,5.7070707070707066e-08,365.6726467303789,152174833.73890328,2.4029771398192446e-06
114.01743862492611,6.30663199,104059427.835,6.060606060606061e-08,389.09891783839146,152478138.42791963,2.5518341307814995e-06
114.01687110742184,6.67094045,104003638.51181103,6.414141414141413e-08,411.57557856160116,152396390.40834093,2.700691121743753e-06
114.01647403525725,7.05377282,104227389.42985076,6.767676767676767e-08,435.19510497707967,152724252.32497892,2.849548112706007e-06
114.01681445085978,7.42024066,104199124.16170214,7.121212121212121e-08,457.80499250384065,152682835.26590857,2.9984051036682615e-06
114.01624693270136,7.78797093,104190421.90135136,7.474747474747475e-08,480.4927679028646,152670083.85562304,3.1472620946305155e-06
114.015565624462,8.14362724,104028270.54967743,7.828282828282828e-08,502.43561878790507,152432483.70000798,3.29611908559277e-06
114.01613314333456,8.51010425,104012385.27777779,8.181818181818181e-08,525.0460720741843,152409207.03264517,3.4449760765550235e-06
114.01522520807433,8.87927194,104029339.88875741,8.535353535353534e-08,547.822531665875,152434050.60111108,3.5938330675172775e-06
114.01587795035803,9.23079319,103846423.3875,8.888888888888888e-08,569.5102626432138,152166023.29998368,3.742690058479532e-06
114.0163602459382,9.59414471,103805500.14098361,9.242424242424242e-08,591.9278832450042,152106058.5223843,3.891547049441786e-06
114.01627502295976,9.95314164,103722212.88000001,9.595959595959596e-08,614.0768396438863,151984017.81186184,4.04040404040404e-06
114.01809136454169,10.3161455,103685117.20812182,9.94949494949495e-08,636.4730107414102,151929661.57418686,4.189261031366295e-06
114.01732531191495,10.6765518,103625355.70588236,1.0303030303030303e-07,658.7089207381405,151842093.1260346,4.338118022328548e-06
114.0160479203203,11.0329094,103531566.88151658,1.0656565656565657e-07,680.6950389615198,151704664.48893586,4.486975013290803e-06
114.01633215568421,11.3816818,103374908.09174314,1.1010101010101009e-07,702.2131747314648,151475112.57682174,4.635832004253056e-06
114.0147429114832,11.7394668,103307307.84000002,1.1363636363636363e-07,724.2873589457255,151376058.01965663,4.784688995215311e-06
114.01409016783124,1.07840847,9203658.493965518,1.1717171717171717e-07,66.53433549477738,13486108.304490976,4.933545986177565e-06
114.01437392811509,4.91361331,40706921.98242678,1.207070707070707e-07,303.15414386456325,59647797.55326815,5.082402977139819e-06
114.01295512520886,1.14265921,9197013.153658537,1.2424242424242423e-07,70.4983995853976,13476370.896354971,5.231259968102072e-06
114.01218858920588,5.20747339,40754139.573913045,1.2777777777777777e-07,321.28436603468595,59716985.426012285,5.380116959064327e-06
114.01139396160758,1.2074556,9195238.8,1.313131313131313e-07,74.49612852674248,13473770.938346405,5.528973950026581e-06
114.01074121391834,5.46370291,40517347.42247192,1.3484848484848484e-07,337.0929036357916,59370014.20776442,5.677830940988836e-06
114.00903863856182,1.27218751,9193179.816788321,1.3838383838383838e-07,78.4898792593918,13470753.91303978,5.826687931951089e-06
114.00796024284422,5.7828105,40747205.65836299,1.4191919191919192e-07,356.7808160016782,59706825.168964125,5.975544922913344e-06
114.00668330527002,1.33688903,9191112.08125,1.4545454545454545e-07,82.48175502674556,13467724.062960798,6.124401913875598e-06
114.00495215019255,6.02697856,40452262.87728813,1.48989898989899e-07,371.84520029861244,59274645.91200762,6.2732589048378525e-06
114.00341953055806,1.40173569,9190187.636423841,1.5252525252525253e-07,86.4825854654714,13466369.475211235,6.422115895800106e-06
114.00242634881987,6.35369843,40713019.066019416,1.5606060606060606e-07,392.0027658668707,59656731.60158444,6.5709728867623605e-06
114.00106417282086,1.46649947,9188825.793037975,1.595959595959596e-07,90.47830247465805,13464373.967945553,6.719829877724615e-06
114.00046854707604,6.62193576,40592671.22229102,1.6313131313131314e-07,408.5521467396335,59480386.06944664,6.8686868686868685e-06
113.99919111571081,1.53141068,9188464.08,1.6666666666666668e-07,94.48311544085439,13463843.95032175,7.017543859649123e-06
113.99899257318177,6.90651672,40578347.49436202,1.702020202020202e-07,426.10987703830756,59459397.53034544,7.1664008506113765e-06
113.99836837784991,1.59598983,9186220.533139534,1.7373737373737372e-07,98.46744137263008,13460556.48415096,7.31525784157363e-06
113.99785749890778,7.22911477,40779621.77948718,1.7727272727272726e-07,446.0131395642973,59754324.46726804,7.4641148325358846e-06
113.99728996087829,1.6606049,9184351.122905029,1.808080808080808e-07,102.45398345292229,13457817.23987059,7.612971823498139e-06
113.99572922822937,7.50390348,40706106.5490411,1.8434343434343434e-07,462.9667195202458,59646602.699834414,7.761828814460393e-06
113.99510455301015,1.72542843,9183731.966129033,1.8787878787878787e-07,106.45338684501152,13456909.990286738,7.910685805422648e-06
113.9943384678586,7.7384022,40427536.559366755,1.914141414141414e-07,477.43453662629645,59238414.471903935,8.059542796384901e-06
113.99371426716044,1.79026311,9183214.91658031,1.9494949494949495e-07,110.45347815625328,13456152.358284485,8.208399787347155e-06
113.99303293056532,8.02915384,40452225.45343511,1.9848484848484849e-07,495.37297804211426,59274591.07488657,8.35725677830941e-06
113.99175595778173,1.85513666,9182926.467,2.0202020202020202e-07,114.45596762152726,13455729.6935058,8.506113769271664e-06
113.99090464091914,8.26474859,40206885.03243243,2.0555555555555556e-07,509.90841667540707,58915094.08884771,8.654970760233917e-06
113.99008141433515,1.91983714,9181829.8,2.0909090909090907e-07,118.44777922422465,13454122.748838563,8.803827751196171e-06
113.98940054929726,8.46139484,39794683.57054632,2.126262626262626e-07,522.0408580788855,58311095.84598478,8.952684742158426e-06
113.98812356794475,1.98533321,9184485.410747664,2.1616161616161615e-07,122.4886761720847,13458014.011664214,9.10154173312068e-06
113.98761267933398,8.62436689,39255738.94758621,2.1969696969696968e-07,532.0957096055724,57521381.02115413,9.250398724082933e-06
113.98676087982318,2.04975728,9182170.62081448,2.2323232323232322e-07,126.46343416644561,13454622.15311562,9.399255715045189e-06
113.9863352176313,8.80181487,38814239.29309577,2.2676767676767676e-07,543.0436794728627,56874452.1764173,9.548112706007442e-06
113.98551246023109,2.11413421,9179793.280263158,2.303030303030303e-07,130.43528377436255,13451138.63923114,9.696969696969696e-06
113.98556912006899,8.96697853,38346906.02462203,2.3383838383838383e-07,553.2337462904809,56189669.37215953,9.845826687931951e-06
