Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
128.1495720963801,1.33143716,13314371.6,1e-07,82.14539217561374,19509530.641708266,4.210526315789473e-06
128.15045888671858,1.68978282,15071035.962162163,1.1212121212121211e-07,104.25416730934153,22083568.548296332,4.720893141945773e-06
128.14937818349978,1.86932719,15045804.212195123,1.2424242424242423e-07,115.33147769969707,22046596.499301855,5.231259968102072e-06
128.14968323587183,2.05338491,15058156.006666666,1.3636363636363637e-07,126.68724727454455,22064695.566983175,5.741626794258374e-06
128.14912846827087,2.22531853,14986839.079591839,1.4848484848484846e-07,137.2949988586095,21960194.97049698,6.251993620414672e-06
128.14982181144728,2.39996141,14943155.949056603,1.606060606060606e-07,148.0699030743508,21896186.13858914,6.762360446570973e-06
128.14926704395847,2.57778703,14924030.173684211,1.7272727272727272e-07,159.04117211552108,21868161.16588415,7.272727272727272e-06
128.14937818349978,2.75580102,14908431.747540984,1.8484848484848484e-07,170.02406298007813,21845304.813219056,7.783094098883572e-06
128.14937818349978,2.92963541,14873533.620000001,1.9696969696969696e-07,180.74908596213052,21794168.63427997,8.293460925039872e-06
128.1481584376728,3.11224832,14884665.878260871,2.0909090909090907e-07,192.01571540507027,21810480.717206355,8.803827751196171e-06
128.14954466026845,2.85212727,12893178.069863016,2.212121212121212e-07,175.96708291430934,18892356.33343698,9.314194577352471e-06
128.14965533474594,3.46309951,14841855.042857146,2.333333333333333e-07,213.662105834665,21747750.05817126,9.82456140350877e-06
128.14965533474594,3.63610467,14813759.766666668,2.4545454545454545e-07,224.33596799170797,21706582.088086557,1.0334928229665072e-05
128.149793910327,3.81168263,14798297.269411767,2.5757575757575754e-07,235.16856363714888,21683924.911837116,1.084529505582137e-05
128.14912846827087,3.9840088,14772167.460674157,2.696969696969697e-07,245.80053429415796,21645636.938544527,1.1355661881977671e-05
128.15045888671858,4.15998568,14761239.50967742,2.818181818181818e-07,256.6577420210633,21629624.22677509,1.1866028708133972e-05
128.1507365025456,4.33364592,14743331.480412373,2.939393939393939e-07,267.37202050801136,21603383.615789063,1.237639553429027e-05
128.1505146889039,4.50698395,14725789.14356436,3.06060606060606e-07,278.0664196738708,21577678.853405572,1.288676236044657e-05
128.15217759194104,4.68763411,14732564.345714288,3.1818181818181815e-07,289.21195375209004,21587606.547923867,1.339712918660287e-05
128.15151215219998,4.8544543,14696971.733944956,3.303030303030303e-07,299.504223144932,21535452.7421872,1.390749601275917e-05
128.15190044171513,5.03134223,14693300.317699116,3.424242424242424e-07,310.4176397277938,21530073.020943224,1.4417862838915469e-05
128.1523715040291,5.20409394,14678213.676923078,3.545454545454545e-07,321.0758648346835,21507966.586682327,1.4928229665071769e-05
128.15201111581203,5.37071617,14647407.736363638,3.666666666666666e-07,331.3559207319707,21462826.683775377,1.5438596491228068e-05
128.15270399105478,5.55242095,14658391.308000002,3.7878787878787876e-07,342.56652147356607,21478920.896392595,1.5948963317384368e-05
128.15353590543737,5.71772864,14626747.68372093,3.909090909090909e-07,352.7654744791249,21432553.536667764,1.645933014354067e-05
128.15348010349808,5.88645554,14605491.189473685,4.03030303030303e-07,363.1753817488571,21401406.424486224,1.696969696969697e-05
128.15453336433544,6.06274619,14603695.202189783,4.1515151515151513e-07,374.0519480759858,21398774.76675576,1.748006379585327e-05
128.15411764038376,6.23662623,14596359.261702128,4.272727272727272e-07,384.77978751627256,21388025.423111964,1.7990430622009566e-05
128.1554480491443,6.39777663,14560457.157931035,4.3939393939393937e-07,394.7222490945997,21335418.119165003,1.8500797448165867e-05
128.1558637722888,6.57188625,14555184.31208054,4.5151515151515146e-07,405.4642528827823,21327691.825294007,1.9011164274322167e-05
128.1552820388248,6.73747278,14531804.03529412,4.636363636363636e-07,415.68040941986516,21293432.737439174,1.9521531100478468e-05
128.15686169281219,6.90975578,14523690.492993632,4.757575757575757e-07,426.3097166266666,21281543.974914014,2.0031897926634765e-05
128.15744388994867,7.08538263,14522833.962111803,4.878787878787878e-07,437.1453286279252,21280288.901374932,2.0542264752791065e-05
128.15816466047872,7.24704198,14494083.96,5e-07,447.1191907849682,21238161.56228599,2.105263157894737e-05
128.1588017279935,7.4232926,14495186.73372781,5.121212121212121e-07,457.99328738979415,21239777.455133203,2.156299840510367e-05
128.15924534984015,7.58724248,14472774.672832372,5.242424242424242e-07,468.10846788373857,21206937.09270984,2.2073365231259963e-05
128.1593839234818,7.75274959,14454278.89661017,5.363636363636363e-07,478.3197244621583,21179835.256904893,2.2583732057416267e-05
128.16018792905788,7.92794653,14454267.154143646,5.484848484848484e-07,489.1288123985859,21179818.050684627,2.3094098883572567e-05
128.16090823169068,8.09008872,14430969.068108112,5.606060606060605e-07,499.132464231289,21145679.39682556,2.360446570972886e-05
128.16237720030452,8.25935709,14421099.680952381,5.727272727272727e-07,509.57577845918456,21131217.797216184,2.4114832535885168e-05
128.16381873022965,8.43428259,14421312.200518137,5.848484848484848e-07,520.368119420297,21131529.201847557,2.4625199362041465e-05
128.16431768488124,8.59272245,14393900.550761422,5.969696969696969e-07,530.1433493950631,21091362.948648766,2.5135566188197765e-05
128.1646780666264,8.75963813,14381495.437313436,6.090909090909091e-07,540.4415102139028,21073185.752743598,2.5645933014354066e-05
128.16415121170147,8.9257455,14368273.24390244,6.212121212121212e-07,550.6898009044749,21053811.29067718,2.6156299840510366e-05
128.1648440746698,9.09690264,14363530.484210528,6.333333333333332e-07,561.2496461689382,21046861.731335185,2.6666666666666663e-05
128.1654541655091,9.26690173,14357171.6943662,6.454545454545454e-07,571.7380434715548,21037544.20520334,2.7177033492822964e-05
128.1657866461875,9.42707266,14336101.280184334,6.575757575757575e-07,581.6200748998971,21006669.75588914,2.7687400318979264e-05
128.1668119876837,9.59549692,14328117.57285068,6.696969696969697e-07,592.0113102546227,20994971.24036473,2.8197767145135564e-05
128.16789312841632,9.76058662,14315527.042666666,6.818181818181818e-07,602.1968139780237,20976522.353567824,2.8708133971291865e-05
128.16811493643326,9.92769424,14306284.275982535,6.939393939393938e-07,612.5068168777725,20962978.94008534,2.9218500797448162e-05
128.16922351043561,10.0969678,14300426.497854078,7.06060606060606e-07,622.9504513119822,20954395.545741033,2.9728867623604462e-05
128.17035998292923,10.2594312,14285283.94936709,7.181818181818181e-07,632.9739207689888,20932207.18998713,3.0239234449760763e-05
128.1711360753784,10.4245679,14274304.593360996,7.303030303030303e-07,643.1623242412838,20916119.154527232,3.074960127591706e-05
128.1711360753784,10.586374,14259197.632653063,7.424242424242423e-07,653.1452404015226,20893982.94549769,3.125996810207336e-05
128.17216140887263,10.7605778,14261006.722891567,7.545454545454545e-07,663.8930547929148,20896633.802969757,3.1770334928229664e-05
128.1727156928259,10.9250204,14250026.608695652,7.666666666666666e-07,674.0386345267549,20880544.656535346,3.228070175438596e-05
128.17338111197972,11.0876049,14237002.400778212,7.787878787878787e-07,684.0695754644227,20861460.302344017,3.2791068580542265e-05
128.17437854199653,11.2506524,14224962.804597702,7.909090909090909e-07,694.1290820135364,20843818.698394988,3.330143540669856e-05
128.17520996506926,11.4115653,14210628.486792454,8.030303030303029e-07,704.0568906054306,20822814.641962502,3.381180223285486e-05
128.17532110040364,11.5782554,14203807.739776952,8.151515151515151e-07,714.3411338635144,20812820.210614476,3.432216905901116e-05
128.1764575627884,11.7385771,14189488.802197805,8.272727272727272e-07,724.2324673161282,20791838.69080643,3.483253588516746e-05
128.17742755333367,11.90282,14180254.87364621,8.393939393939393e-07,734.3657262020077,20778308.227827568,3.534290271132376e-05
128.17845287741795,5.06142331,5944020.257295375,8.515151515151514e-07,312.2735456525361,8709764.818689508,3.585326953748006e-05
128.18008827778402,10.9441417,12672164.073684212,8.636363636363635e-07,675.2183572614032,18568504.82468859,3.636363636363636e-05
128.18155720529617,5.20252779,5940602.666782008,8.757575757575757e-07,320.97923841488625,8704757.027946958,3.687400318979266e-05
128.18258252320467,11.1694551,12579932.365187714,8.878787878787878e-07,689.1194696544364,18433357.827360567,3.738437001594896e-05
128.1840793450991,5.34405576,5937839.733333333,9e-07,329.71105914870776,8700708.505313123,3.789473684210526e-05
128.18524322765037,11.3200315,12410665.764119605,9.12121212121212e-07,698.4095494283794,18185331.70646154,3.840510366826156e-05
128.18610253719154,5.48549206,5935122.556721313,9.242424242424241e-07,338.4372241382502,8696727.030109955,3.8915470494417856e-05
128.18721108210863,11.4157306,12191556.951456312,9.363636363636363e-07,704.31387622391,17864271.86053364,3.942583732057416e-05
128.188430758443,5.62633293,5931916.507667732,9.484848484848484e-07,347.1266530111116,8692029.21078143,3.993620414673046e-05
128.18978853511217,11.5038479,11975614.533123031,9.606060606060605e-07,709.7504303350753,17547851.72792162,4.0446570972886754e-05
128.19197817682377,5.76738543,5929087.825233647,9.727272727272725e-07,355.8291387745785,8687884.346248472,4.095693779904305e-05
128.19297604477728,11.6140295,11792706.876923077,9.848484848484847e-07,716.5482808190866,17279837.3874449,4.1467304625199355e-05
128.19355821124446,5.90885158,5926811.615197568,9.96969696969697e-07,364.55714541315257,8684549.01877077,4.1977671451355665e-05
128.194999210622,11.6655049,11560410.261261262,1.009090909090909e-06,719.7241475046736,16939453.471675314,4.248803827751196e-05
