Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
105.86694256053453,1.7002271,48577917.14285714,3.5e-08,104.89854580677802,71181156.0831708,1.4736842105263159e-06
105.87270947166434,8.38292461,239512131.7142857,3.5e-08,517.1994971712024,350956801.65188736,1.4736842105263159e-06
105.87250726088554,11.3000917,322859762.8571428,3.5e-08,697.1793278752244,473085972.4867594,1.4736842105263159e-06
105.86821098707449,0.344354595,9838702.714285713,3.5e-08,21.245571404774097,14416637.738953851,1.4736842105263159e-06
105.8685859027355,1.70608173,48745192.28571428,3.5e-08,105.25975765502861,71426264.12305513,1.4736842105263159e-06
105.87025826485073,8.3425409,238358311.4285714,3.5e-08,514.7079520986161,349266110.35263234,1.4736842105263159e-06
105.87236310099536,11.2393861,321125317.14285713,3.5e-08,693.4339875249102,470544491.5347605,1.4736842105263159e-06
105.86714428992532,0.344409405,9840268.714285715,3.5e-08,21.24895300555888,14418932.39662924,1.4736842105263159e-06
105.86676937312328,1.70289969,48654276.85714285,3.5e-08,105.06343601734915,71293045.86891548,1.4736842105263159e-06
105.86610613247946,8.28516403,236718972.2857143,3.5e-08,511.16798368737017,346863988.93071544,1.4736842105263159e-06
105.86821098707449,11.2332022,320948634.28571427,3.5e-08,693.052460776269,470285598.38389677,1.4736842105263159e-06
105.86800925813797,0.34449001,9842571.714285715,3.5e-08,21.25392607491224,14422306.979404734,1.4736842105263159e-06
105.86558705290317,1.7094282,48840805.71428572,3.5e-08,105.46622409506242,71566366.35022092,1.4736842105263159e-06
105.86824001281367,8.53756944,243930555.42857143,3.5e-08,526.7405859960638,357431111.92590046,1.4736842105263159e-06
105.86953746153891,11.329866,323710457.14285713,3.5e-08,699.0163064602705,474332493.66946924,1.4736842105263159e-06
105.86596197064112,0.344449337,9841409.628571428,3.5e-08,21.25141668157673,14420604.176784208,1.4736842105263159e-06
105.86671180522669,1.70645659,48755902.57142857,3.5e-08,105.2828853118464,71441957.89018148,1.4736842105263159e-06
105.8685859027355,8.36146828,238899093.7142857,3.5e-08,515.8757105927211,350058517.9022036,1.4736842105263159e-06
105.86552948486293,11.2356336,321018102.8571428,3.5e-08,693.2024703392707,470387390.58736223,1.4736842105263159e-06
105.8643761875238,0.34445523,9841578.0,3.5e-08,21.251780260730616,14420850.89121006,1.4736842105263159e-06
105.86584683464477,1.70177335,48622095.71428572,3.5e-08,104.99394446055418,71245890.88394748,1.4736842105263159e-06
105.86613515834762,8.37756845,239359098.57142857,3.5e-08,516.8690393193611,350732562.3952808,1.4736842105263159e-06
105.86071406284282,11.2737013,322105751.4285714,3.5e-08,695.5511250408742,471981120.56345034,1.4736842105263159e-06
105.8606564942103,0.344443863,9841253.228571428,3.5e-08,21.251078953375742,14420375.004076395,1.4736842105263159e-06
105.86307872466041,1.71358676,48959621.71428572,3.5e-08,105.72279387721107,71740467.2738218,1.4736842105263159e-06
105.86276137302383,4.42700948,-126485985.14285712,-3.5e-08,273.13225199434856,-185339742.42473653,-1.4736842105263159e-06
105.86509699868982,-5.46513472,156146706.28571427,-3.5e-08,-337.18124170949454,228801556.87429985,-1.4736842105263159e-06
105.86567364683287,-10.0892463,288264179.99999994,-3.5e-08,-622.474059586755,422393111.8624408,-1.4736842105263159e-06
105.86454889204404,-0.34260742,9788783.428571427,-3.5e-08,-21.137776324475734,14343491.077322818,-1.4736842105263159e-06
105.8625881840837,-1.88774342,53935526.28571428,-3.5e-08,-116.46769988215915,79031653.49146514,-1.4736842105263159e-06
105.86284796747017,-8.4110481,240315660.0,-3.5e-08,-518.9346260866347,352134210.5587878,-1.4736842105263159e-06
105.86403029452771,-11.3479333,324226665.7142857,-3.5e-08,-700.1310007835492,475088893.3888369,-1.4736842105263159e-06
105.86062746800637,-0.343381607,9810903.057142856,-3.5e-08,-21.185541173349456,14375902.939058559,-1.4736842105263159e-06
105.86319386132968,-1.89376446,54107556.0,-3.5e-08,-116.83917869239836,79283728.39841317,-1.4736842105263159e-06
105.85336118565358,-8.57113142,244889469.14285713,-3.5e-08,-528.8112522596448,358836206.89047325,-1.4736842105263159e-06
105.86304969860494,-11.4654666,327584759.99999994,-3.5e-08,-707.3824275217019,480009504.3897262,-1.4736842105263159e-06
105.86085822627847,-0.343637138,9818203.942857143,-3.5e-08,-21.20130661451232,14386600.916990502,-1.4736842105263159e-06
105.86097336348756,-1.88456476,53844707.428571425,-3.5e-08,-116.27158677961292,78898576.74330877,-1.4736842105263159e-06
105.8579749492271,-8.34614766,238461361.7142857,-3.5e-08,-514.9304775948126,349417109.79647994,-1.4736842105263159e-06
105.85886847672725,-11.4444926,326985502.85714287,-3.5e-08,-706.0883991535202,479131413.71131724,-1.4736842105263159e-06
