Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
106.11727546378168,1.44647243,48215747.66666667,3e-08,89.2426984939815,70650469.64106868,1.263157894736842e-06
106.11813997647273,7.00483921,233494640.33333334,3e-08,432.17605856258837,342139379.6953825,1.263157894736842e-06
106.11471092696442,9.42575444,314191814.6666667,3e-08,581.538744964,460384839.7631667,1.263157894736842e-06
106.11603622948452,10.4885063,349616876.6666667,3e-08,647.1071179580832,512293135.05014926,1.263157894736842e-06
106.11635341188261,10.9100444,363668146.6666667,3e-08,673.1146634748864,532882441.9176184,1.263157894736842e-06
106.11592115411099,11.0863314,369544380.00000006,3e-08,683.9910046087499,541492878.6485938,1.263157894736842e-06
106.1133851372417,11.1659677,372198923.3333334,3e-08,688.9043082864953,545382577.3934755,1.263157894736842e-06
106.11315450167213,11.2020426,373401420.00000006,3e-08,691.1300136349896,547144594.1277002,1.263157894736842e-06
106.11471092696442,11.2192753,373975843.3333334,3e-08,692.1932158215236,547986295.8587062,1.263157894736842e-06
106.11341366448468,11.2322292,374407640.00000006,3e-08,692.992429804483,548619006.928549,1.263157894736842e-06
106.11286632793133,11.2376144,374587146.6666667,3e-08,693.3246793309602,548882037.8036768,1.263157894736842e-06
106.1117421585665,11.2444988,374816626.66666675,3e-08,693.7494246774802,549218294.5363386,1.263157894736842e-06
106.11133890748926,11.2469239,374897463.3333334,3e-08,693.8990455507364,549336744.3943331,1.263157894736842e-06
106.1109351725552,11.2507111,375023703.3333334,3e-08,694.1327036148147,549521723.6950617,1.263157894736842e-06
106.11298140404338,11.2513679,375045596.6666667,3e-08,694.1732260631899,549553803.9666921,1.263157894736842e-06
106.11361577269948,11.2529115,375097050.0,3e-08,694.2684612204858,549629198.466218,1.263157894736842e-06
106.111194820091,11.2561275,375204250.0,3e-08,694.4668780809833,549786278.4807785,1.263157894736842e-06
106.10969592175054,11.2575308,375251026.6666667,3e-08,694.5534571793464,549854820.2669827,1.263157894736842e-06
106.11159807129033,11.2588799,375295996.6666667,3e-08,694.6366923119637,549920714.7469712,1.263157894736842e-06
106.11079108503475,11.25842,375280666.6666667,3e-08,694.6083179605511,549898251.7187697,1.263157894736842e-06
106.10984000960254,11.2602038,375340126.6666667,3e-08,694.7183726855994,549985378.3760996,1.263157894736842e-06
106.10854321736416,11.262662,375422066.66666675,3e-08,694.8700357224386,550105444.9469306,1.263157894736842e-06
106.10851468982928,11.2652035,375506783.3333334,3e-08,695.0268381014666,550229580.1636611,1.263157894736842e-06
106.10940774591568,11.2653167,375510556.6666667,3e-08,695.0338221775264,550235109.2238752,1.263157894736842e-06
106.10900449286056,11.2660669,375535563.3333334,3e-08,695.0801071056188,550271751.458615,1.263157894736842e-06
106.10894695432725,7.95481274,-265160424.66666672,-3e-08,490.7863711801979,-388539210.5176567,-1.263157894736842e-06
106.1069292331252,-2.84466102,94822034.00000001,-3e-08,-175.50643929344844,138942597.77398002,-1.263157894736842e-06
106.10880286620485,-7.76570815,258856938.33333334,-3e-08,-479.1192259521357,379302720.5454408,-1.263157894736842e-06
106.10900449286056,-9.85371403,328457134.3333334,-3e-08,-607.9424757685878,481287793.3167987,-1.263157894736842e-06
106.10865877803887,-10.7522177,358407256.6666667,-3e-08,-663.377263500799,525173666.9381326,-1.263157894736842e-06
106.10543080487115,-11.1428758,371429193.3333334,-3e-08,-687.4796122974033,544254693.0687777,-1.263157894736842e-06
106.10646843913703,-11.3142701,377142336.6666667,-3e-08,-698.0540895713925,552626154.2440192,-1.263157894736842e-06
106.10730396033121,-11.3910748,379702493.3333334,-3e-08,-702.792692632787,556377548.3342897,-1.263157894736842e-06
106.10638188911466,-11.4277063,380923543.3333334,-3e-08,-705.0527384118014,558166751.2426761,-1.263157894736842e-06
106.10741952130685,-11.4486955,381623183.3333334,-3e-08,-706.3477045711148,559191932.785466,-1.263157894736842e-06
106.10422006752758,-11.4603804,382012680.00000006,-3e-08,-707.0686253339339,559762661.7226977,-1.263157894736842e-06
106.10398991103875,-11.4686171,382287236.6666667,-3e-08,-707.5768032427831,560164969.23387,-1.263157894736842e-06
106.1060937112731,-11.4639175,382130583.3333334,-3e-08,-707.2868530320886,559935425.3170702,-1.263157894736842e-06
106.1061512501514,-11.4733415,382444716.6666667,-3e-08,-707.8682835337452,560395724.464215,-1.263157894736842e-06
106.10471035850031,-11.4720244,382400813.3333334,-3e-08,-707.7870226982473,560331392.9694458,-1.263157894736842e-06
106.10168398830777,-11.493238,383107933.3333334,-3e-08,-709.0958336161103,561367534.9460874,-1.263157894736842e-06
106.10335552955215,-11.4847791,382825970.00000006,-3e-08,-708.5739466816385,560954374.4562972,-1.263157894736842e-06
106.10401843884489,-11.5056496,383521653.3333334,-3e-08,-709.8615894325748,561973758.3007884,-1.263157894736842e-06
106.10341355228421,-11.5031908,383439693.3333334,-3e-08,-709.7098893776646,561853662.4239845,-1.263157894736842e-06
106.09960918017543,-11.4965327,383217756.6666667,-3e-08,-709.2991060135856,561528458.927422,-1.263157894736842e-06
106.10081944572494,-11.4895096,382983653.3333334,-3e-08,-708.8658033229889,561185427.6306996,-1.263157894736842e-06
106.10113663826438,-11.4903612,383012040.00000006,-3e-08,-708.9183443050783,561227022.5748538,-1.263157894736842e-06
106.10087698524092,-11.4988379,383294596.6666667,-3e-08,-709.4413294423229,561641052.4751723,-1.263157894736842e-06
106.10185709004557,-11.4974851,383249503.3333334,-3e-08,-709.3578660316012,561574977.2750177,-1.263157894736842e-06
106.09923444691017,-8.1824442,-272748140.00000006,3e-08,-504.83050042262306,-399657479.5012433,1.263157894736842e-06
