 ,Area,Mean,Min,Max,Angle,Length
1,0.0003266,119.019,67.8,181.089,67.62,0.108
2,0.0003094,111.517,67.088,234.721,71.565,0.102
3,0.0003867,102.135,58.49,230.912,67.479,0.13
4,0.0003438,66.095,53.866,90.667,68.749,0.113
5,0.0003438,105.905,60.53,233.667,70.641,0.115
6,0.0003953,120.897,76.947,225.827,73.179,0.132
7,0.0003524,82.973,62.433,233,75.619,0.118
8,0.0004125,163.732,106.167,224.426,72.719,0.138
9,0.0004039,154.815,86.127,234.163,71.175,0.136
10,0.0004469,155.958,93.268,235.667,71.565,0.148
11,0.0004211,140.805,78.792,238.833,75.379,0.139
12,0.0004125,163.943,90.056,235.376,75.069,0.137
13,0.0003781,119.555,91.18,188.333,72.408,0.126
,,,,,,0.126307692307692
