 ,Area,Mean,Min,Max,Angle,Length
1,0.0004102,76.285,64.315,106.333,-42.221,0.172
2,0.0003548,120.161,94.605,251,-39.226,0.149
3,0.0003825,125.186,79.608,192.529,-41.424,0.16
4,0.0003936,140.012,95.067,222.139,-39.806,0.165
5,0.0004047,103.066,82.494,162.476,-43.877,0.17
6,0.0004102,93.073,71.746,209.667,-43.332,0.172
7,0.0004379,90.889,67.718,218.333,-41.878,0.183
8,0.0004157,119.875,71.403,254.412,-45,0.173
9,0.0003991,89.913,65.162,188.768,-43.299,0.168
10,0.0004157,92.349,67.743,230.496,-45,0.175
,,,,,,0.1687
