Datetime,Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
2023-03-23 19:09:07.874151,76.91805423090233,0.000425823606,inf,0.0,0.01314270388888889,inf,0.0
2023-03-23 19:09:08.716234,76.91755165337922,8.73071682,496403.61347999994,1.7587939698492464e-05,269.4665685185185,350087.1162968518,0.0007697128970893857
2023-03-23 19:09:09.448057,76.91674019846845,14.5546775,413768.6889285714,3.517587939698493e-05,449.21844135802473,291809.0908030203,0.0015394257941787714
2023-03-23 19:09:09.960278,76.91661455365849,19.4403943,368441.7586380952,5.2763819095477394e-05,600.0121697530865,259842.41311359493,0.0023091386912681574
2023-03-23 19:09:10.471972,76.91599156410105,20.9959482,298442.40655714285,7.035175879396985e-05,648.0230925925927,210475.58610588624,0.003078851588357543
2023-03-23 19:09:11.023414,76.91605438663079,20.973239,238495.6892,8.793969849246232e-05,647.3221913580247,168198.34871049382,0.003848564485446929
2023-03-23 19:09:11.529159,76.91536857336587,20.9976024,198977.27988571426,0.00010552763819095479,648.0741481481482,140328.11251199292,0.004618277382536315
2023-03-23 19:09:12.042216,76.9154313960144,20.9975894,170551.84859591836,0.00012311557788944724,648.0737469135803,120281.164827677,0.0053879902796257
2023-03-23 19:09:12.546630,76.91480840422004,20.9975741,149232.75878214286,0.0001407035175879397,648.073274691358,105245.94253617173,0.006157703176715086
2023-03-23 19:09:13.053337,76.9154313960144,20.9975894,132651.43779682537,0.00015829145728643218,648.0737469135803,93552.0170881932,0.0069274160738044726
2023-03-23 19:09:13.557136,76.91449429026372,20.997569,119386.17802857142,0.00017587939698492463,648.0731172839506,84196.73357879189,0.007697128970893858
2023-03-23 19:09:14.064553,76.91424299888305,20.9975649,108532.86792467532,0.0001934673366834171,648.0729907407408,76542.47012588984,0.008466841867983244
2023-03-23 19:09:14.607724,76.9137456507939,20.9976026,99488.64089047618,0.00021105527638190958,648.0741543209878,70164.05692430188,0.00923655476507263
